,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24C,25H,26C,27H,28H,29C,30H,31H,32C,33H,34H,35C,36O,37O,38H
1N,0.0,1.0206988845267662,1.021945296080798,1.4688312101790582,2.082169082069612,2.4499391870381686,2.5238121397923337,2.7358194537745786,3.821476635441496,4.594160191508313,4.411954587508663,4.731850618798019,4.673386434771426,5.918858021219766,6.657565219959256,6.025639546646149,6.810066755471647,6.5342160051752165,7.875489338496733,8.297372780333058,2.471853189731886,2.8378687033377084,3.5988478576919913,4.764447028056392,4.741520603023954,5.859578068438581,6.839358481456428,5.991569558372967,5.717580801253341,6.143270150304699,6.442475908807555,4.279713013718391,4.262316332514927,4.232140204888817,5.481418755073185,5.7424649523742985,6.296225914419487,6.893192687940884
2H,0.0,0.0,1.6213300604714878,2.0465363660427096,2.3322509609103896,3.3429800721902514,3.456167420337849,3.6818440126611263,4.587378820719936,5.28259221157424,5.067775833304212,5.443327083507383,5.367920624207052,6.552445373858372,7.246625519673798,6.681761403287295,7.436407204883628,7.167519501314853,8.471952983386869,8.892725631444398,2.715371781244188,3.108536054568666,3.614308985673666,4.677949092461305,4.501669603146827,5.667221961084379,6.681810115790809,5.614669257921505,5.657310664525388,6.2470333966077485,6.299277011266759,4.2553341743824245,4.447406651750346,3.9920185366494274,5.62171818369869,6.06560555352796,6.356863952269049,7.061747904155904
3H,0.0,0.0,0.0,2.0194522608365824,2.9073107581214246,2.7250537461950857,2.927604506336111,2.586523715335397,4.165778432252751,5.147150899435012,5.090793824798161,4.880539421089661,4.608639939992784,6.4580574562871265,7.2820873362331,6.245225954804278,6.928596831374905,6.929402886436816,8.287760294377081,8.62114466639042,2.534586140200867,2.423122523404305,3.8245769242160343,4.778888143763303,4.637262813474339,6.059718104049992,6.9569860545495,6.249543157084954,6.107042396601277,6.462615886692729,6.937002961670102,4.783632611939606,4.835928890377746,4.878168852624036,5.301007224715108,5.597186657263619,5.956885173008078,6.49324824602446
4C,0.0,0.0,0.0,0.0,1.0953104565714413,1.550842087043105,2.131372073338729,2.1536888502228106,2.5832783103245003,3.441101040941067,3.510888247706614,3.412532067210824,3.4646487661595877,4.6676582073073085,5.483112364932491,4.643693636438477,5.431973113823334,5.165990480439432,6.491092843244542,6.884424514743515,1.5429662481831605,2.4065496900309147,2.515456421464809,3.8574496282842885,4.147702893134679,4.851397350087432,5.811689077886271,5.166073599760669,4.488901447025457,4.796144519042377,5.252915362959865,3.054029165475674,2.887100446537568,3.2523978216696507,4.504618712540155,4.594352131910832,5.533106885199306,6.089633718842539
5H,0.0,0.0,0.0,0.0,0.0,2.168242953761161,2.5198636223861786,3.054181895601324,2.7617521385097303,3.2017858302799915,3.1258489360549744,3.7149359273529763,4.013707119604119,4.34561922685193,5.020550227283298,4.735428304043468,5.5977758828679285,5.001594227212277,6.252859072315622,6.742925792533526,2.1885591165272706,3.284813857144965,2.628736364579175,4.074457439486504,4.458358886269517,4.745541650116509,5.771792573648394,4.955976715352527,4.151134675641842,4.573178704785435,4.729319170783789,2.6212773749876774,2.370347486351016,2.567165360730304,4.938997196278581,5.027839790870394,6.058111762701911,6.675540109521935
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0954321094499395,1.0975829765212193,1.513867470489321,2.5368971293481057,2.7331988944692758,2.5443256863582837,2.758886827089548,3.827602393577569,4.703051588816966,3.8305613376024454,4.696999160896852,4.335992862718476,5.704684241396797,6.115251670738508,2.542775329476867,3.119873446046831,3.4908548074327164,4.757354961673464,5.218783058072295,5.76899062039506,6.611067016296003,6.292896343180575,5.207238311430064,5.206112116690753,6.0051518906453945,3.9077625648756564,3.3611641355532074,4.3526694127472,4.982880660233513,4.7046466944729195,6.068203074364036,6.411982239049855
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7645415022097755,2.155720239125061,2.674803545252193,2.4573408989562577,3.402090469388719,3.7491469541544857,4.0519129854017475,4.754271527190792,4.567245415498333,5.513477437416558,4.829177568946178,6.164947332166796,6.690371924168618,3.448377724394279,4.000354479245011,4.421137935952571,5.749302531908858,6.1489797435236255,6.715604556752444,7.606350237701548,7.1558330187192345,6.087333707721508,6.140270702344852,6.793781792234512,4.701618854402064,4.09213150405297,4.970838974103135,6.061865509891759,5.798488745095514,7.128037872396216,7.483971433384495
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15798023083609,3.3801680338588116,3.6911570627418473,2.716857383870595,2.5489748686843616,4.559178482590842,5.502244254476514,4.087269092117778,4.788230843867145,4.842515693218918,6.196751100533475,6.478986629873797,2.684985098665531,2.8061752483999993,3.8114139363598816,4.8557153835772215,5.222016833431581,6.063535348762443,6.8130278542442735,6.650221284809355,5.7101053456809145,5.628964873899741,6.617869328784092,4.540574173138004,4.123303597460438,5.091074771066026,4.823886623780531,4.528530543415208,5.757358477684029,5.996999424739658
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4047285838742647,2.157473842025174,1.4011842343490621,2.160010294138809,2.4436355540187695,3.4317564887352674,2.436931080767663,3.4176127061494763,2.822430072591932,4.191422498063234,4.61891190748549,3.184480498607795,3.930001866323562,3.6339468201825684,4.838154871178354,5.568052219389427,5.576185203590111,6.312141055700928,6.256387975496828,4.713011818955619,4.464263520308339,5.440504096148226,3.6510879584535125,2.8072541604783288,4.300498327049366,4.895290560941102,4.322631046591098,6.1300660990288725,6.3723531762068175
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088513296196367,2.402200542959823,3.3941960712833072,1.393237783728598,2.1669951575221527,2.779514623377317,3.8684502461013754,2.4135175660564188,3.6457328568480283,4.326752458561517,4.286343023754205,5.192223432755792,4.530375269036287,5.808458737108917,6.5965639540316285,6.274211961995046,7.034460971234757,6.88468988935519,5.145995454955977,4.911742869780748,5.637577166109655,4.109108666617641,3.0745728558910113,4.579726617116734,6.013353142986392,5.414885424675292,7.310418842119011,7.579203762221575
