 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,S31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,2.0542244734159167,1.7208510886628763,2.828193518983263,0.0988240827624074,0.19938792363366575,0.017307241153965314,0.010150721526292372,0.03271333956846255,0.0007903713920147659,0.00390797661942574,0.000181111797270761,0.0005010388877487726,0.0011330749382649774,0.004953818076334007,0.00011866513120106781,0.0011239618209604174,7.327985816640847e-05,0.20097196739710502,0.040606476816006154,0.04721733604077755,0.06667369028148484,0.006059257995522219,0.001275557543161554,0.0007603730076593679,2.9971807240625203e-05,0.0001206031864171564,0.00014580189139905275,7.419719039447603e-05,4.140640784733307e-05,4.069002318715653e-05,4.924758100779969e-06,5.843343929834433e-07,2.3280634738886974e-06,3.078036643344717e-07,0.001172551752875367,0.0006451397814487142,0.00024295880339608028,2.2883740608881098e-05
H2,0.0,0.0,0.02757358544183175,0.09997740364650731,0.0036352907639316534,0.03202041703874858,0.0012600758795751066,0.0005346648514830132,0.005114352251585186,6.943778456292016e-05,0.0002518313823410834,9.975318495447638e-06,3.6581698741322555e-05,5.83562173315233e-05,0.0012103608338916994,3.968254363972967e-05,0.000273864497110754,2.6902966746122914e-05,0.008526356986765293,0.0012225707203050717,0.009216949822255627,0.005200326327933658,0.000754710349466059,4.2461121432246784e-05,0.0004644895698688867,3.612084562565343e-06,5.623631305695653e-05,4.340493155297054e-05,6.708212910488953e-06,3.3092396156675363e-06,2.0088766866988017e-05,3.6713079559769213e-06,1.1299990099189472e-07,2.61591110106707e-07,2.453932383961188e-07,0.00023057550632821222,0.0005816256329856939,7.205176114155609e-05,9.895272504722996e-06
H3,0.0,0.0,0.0,0.10224770714294107,0.03534514827334245,0.01918426041587562,0.0006741227114308579,0.00941766596652105,0.0014693789714586014,6.832574348236697e-05,0.0011750662266375445,1.2284810732232643e-05,0.00016165443435078863,0.00032565777691306863,0.0001463297670674102,2.3394806184073857e-05,3.4971516784443324e-05,2.0412619932130838e-05,0.004596894861055634,0.001002348331077041,0.006436345461419024,0.011540611930854094,0.0010288461259746473,0.00041232880582087184,4.599281469785943e-05,1.6512063141238542e-05,1.7489755546717944e-05,1.6911879823888754e-05,4.258422781733273e-06,6.903536327262927e-06,4.118357167848252e-06,3.116569412542347e-07,3.274690363319621e-08,2.894570805267449e-08,5.78490011449162e-09,9.408039369085408e-05,4.709653753287579e-05,3.0303687332144946e-05,2.0280217869483863e-06
C4,0.0,0.0,0.0,0.0,1.7617250685648398,2.809012381462659,0.09182547001499675,0.08253236442420486,0.1424303397571791,0.006127801559300927,0.01917035839573114,0.0007695607691213802,0.002318280787774185,0.0077793485218975444,0.031777722590305424,0.0011713265833410702,0.0044958529783674095,0.0005486461294439415,2.431000309497899,0.28238360335333346,0.2192760271824767,0.01332810359647485,0.03780511287929672,0.004864267690267932,0.0028859503596695146,0.0001433405497794915,0.0007820960433708724,0.001211545582103929,0.0004844936042855963,0.0006773000563291554,0.0002816298147639562,2.395119425389891e-05,5.806385152684612e-07,6.846428203477473e-06,1.1774316983625965e-06,0.004050887023867106,0.0003832150827092484,0.0012629496492237713,0.00026511498887660245
H5,0.0,0.0,0.0,0.0,0.0,0.07860116866951639,0.005130311970446222,0.034378366430482865,0.005740443957183761,4.0332354411143356e-05,0.010603976029973872,0.00021779071295902064,0.0007510578561316095,0.009999353092259078,0.0010484151464040803,0.00021582332449510133,6.707618888568412e-05,2.023802122153029e-05,0.11348493362643275,0.01760809103143357,0.02386945134086027,0.0024900685604509754,0.0031189192925440423,7.815049816795039e-05,0.00020467317719896627,1.5679300119586514e-05,4.72045191601822e-06,0.0001933808952673255,1.3487425845282175e-05,0.00020922754305097158,2.6796373633675152e-05,3.6098107497606335e-06,3.7753636439319394e-08,2.7528893276063116e-07,1.8560232928344078e-07,0.001004089104537087,4.067583259526053e-05,0.00025890202990730415,9.369791166546904e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.768334457144672,1.8189386843548845,2.44792922244358,0.0843822426186096,0.16005479380076018,0.01072974087312395,0.03072578781175017,0.005151639078895931,0.18640767974044126,0.012018383911506003,0.030539016837453525,0.008385474353862943,0.18210801983977654,0.03873090717961421,0.024937934516930965,0.000742188595987181,0.0029751245461372977,0.0005126895605688242,0.001113313130773591,1.6069120117201408e-05,0.00013668983209058627,0.0006316662071869372,6.716966980968575e-05,0.000960856147621314,0.00014643602242853798,3.583002934881563e-05,1.2243853833027174e-06,5.125378757053767e-05,2.403793678884547e-06,0.00033236936022373875,5.453064080289394e-05,9.617676132146757e-05,1.756500354332946e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219525752362546,0.08439375513331626,0.03589357032599483,0.008834237649169685,0.0046668833014607,0.00034094120844674336,0.00015034283793480263,0.009601145631710883,0.00023893524606188876,0.0005965473575286762,0.004237479231804064,0.030248988465944704,0.004654385225432822,0.004449090075697715,8.438349319495053e-05,0.0007340744527530862,0.00018640950604065232,0.00027804084311400246,3.032725307550166e-06,4.638581882199233e-05,0.00011095387891058017,2.9091398492830933e-05,8.222247153111262e-05,1.526054750544681e-05,1.3266709320780556e-05,4.448073311902334e-07,2.283654266532764e-05,9.829072427081087e-07,3.605630773817481e-05,4.2164422122681344e-06,1.0291497356318402e-05,5.740132489329142e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08386913608348467,0.00428948718966482,0.029810766014372714,0.0005528485316366183,0.0015118945399972272,0.0004032552700881098,0.012841821837725309,0.006574537719096218,0.0008058454742472243,0.0001977339870697925,0.008983598808082638,0.0010142786493947398,0.004547990660901391,0.00019558291834909092,0.0004216167486250644,0.00011178854072424471,0.00015544244172449595,8.534665592252466e-06,2.7906690439172266e-05,0.0002276322839680489,2.545864330238956e-05,0.000524189211980719,8.328848374539177e-05,2.9187004193520494e-06,2.8569040066983575e-07,4.0302347925624815e-06,3.761082256747983e-07,0.00010265888992955219,6.041229460906905e-06,2.9339161023878013e-05,1.0424363772632006e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7441255653854175,2.6889536960064433,0.08059989592284977,0.08670037795446417,0.08677327332534013,2.8834219628659628,0.08036395365483529,0.0845794679247387,0.08022948043991884,0.020051988740937776,0.021015587772273123,0.0033367492201602234,0.00011711608358555559,0.0004607217545096187,7.396900932643558e-05,0.0003454715208923015,6.408341751917845e-06,9.93392821870831e-05,0.002713462080909168,4.309005734581817e-05,0.0035021455242882915,0.0005869726780570739,0.0002649544534601561,5.38421765794439e-06,0.00028113263874329775,3.237751384665977e-05,5.8737327322561095e-05,2.0729323902374253e-05,1.0094053146489368e-05,2.2490556828014263e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08055605387432807,0.03379933523857748,0.0034784992535572545,0.006045038000858094,0.08144141145810257,0.0038471507654260773,0.005514225737182077,0.0344689356605945,0.01335019924386538,0.022028998533868083,0.0014154796163485805,1.612625759417341e-05,0.0001652210127478515,2.086297589576347e-05,0.0005030775268533016,4.271990885040822e-06,0.0001548491826386389,0.003171060908642831,7.613663708538887e-05,0.006430407296256879,0.0012396041705098337,0.0004110661678413674,5.8200660131291215e-06,0.0005724797044450725,5.487027579564874e-05,2.587114357543996e-05,8.370348896113988e-06,7.338600718220789e-06,2.206856282160885e-07
