,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31N,32C,33H,34C,35H,36N,37H,38C,39O,40O,41H
1N,0.0,1.02219011894058,1.0204311080657216,1.4775482415774237,2.0812229829449365,2.463537970122127,2.5703368641268183,2.738214692876416,3.842042029538176,4.84703529236982,4.853078746891369,4.524232194288526,4.253615787715738,6.131789325146167,6.964403315270862,5.875248862308343,6.570094709724198,6.569829667952788,7.912583067049468,8.371904250366708,2.4495451776355557,3.0992836525156413,3.237782404527292,3.2865329817721456,4.348590126400131,4.768341069495992,5.589240337845295,6.441855381040265,5.9031144790415535,5.7325688647765904,5.160169930275094,6.780808637674066,7.596978431724377,5.9630986527366945,6.13557169786471,6.896401469873473,7.706836655484817,4.354933833922861,3.701067756191935,5.635306894742993,5.851168159832367
2H,0.0,0.0,1.6199247328142066,2.050740028050201,2.9231432693331856,2.772347379226112,3.0235752494040704,2.6324506141406805,4.19831226572733,4.973623556306643,4.75183501815959,5.1170230995109165,5.012137811371814,6.325637695531441,7.043846176268063,6.436855692967898,7.230909701056315,6.95839226333707,8.314945525683045,8.673787558667927,2.589666278485717,3.3553728849539626,2.9644343505895687,2.87321442631164,3.9235438628878967,4.524448144045992,5.0811366881952935,5.904496784486408,5.544767492518753,5.056310219355442,4.509415046288986,5.989526275775669,6.789440365264515,5.206657349876075,5.4061624308525005,6.061871899069068,6.831036421340097,3.7144462934726827,2.9158017824327835,5.009257639370515,5.158841095482454
3H,0.0,0.0,0.0,2.039189073779628,2.307352490523161,3.3410676694019723,3.478149995294777,3.691705111100783,4.587250308996016,5.604675669140758,5.648458600891625,5.1231881160284685,4.756563199582646,6.827281554014881,7.667489954878909,6.431640716433309,7.044168632248182,7.186053062466938,8.49124249394997,8.98085823169716,2.6138590190928093,2.8441723108768207,3.5970221547233834,3.886721837678313,4.4950958166829755,4.737675564986679,5.89286303795803,6.632176652761215,6.258789623724064,6.213408972746426,5.831638317078412,7.24598312905131,7.967667043809055,6.683001654001074,6.951493821173004,7.499237982783066,8.314547025306657,4.341817726080603,3.6929761099142784,5.503191255388358,5.648850755838416
4C,0.0,0.0,0.0,0.0,1.094830693222808,1.5424579089794197,2.1197139401637903,2.18084686029141,2.5778312362100078,3.5964404120957334,3.778181862573948,3.25139048635873,3.1661191225781278,4.792402041338028,5.659278584151316,4.535142391191424,5.27795147208229,5.1788816243981035,6.5035031550741405,6.963522968987365,1.5378969354449825,2.41106183390341,2.476212630340791,2.626240800706016,3.7998810448274605,4.102654956675146,4.937862552990678,5.865393444435989,5.00002134360941,5.269175171973688,4.701450335633403,6.494564939173342,7.347153302623358,5.713061720861119,5.964740319550538,6.718074316693906,7.624101314729483,4.323813137193292,4.057809394571876,5.605583108264442,6.054797701696378
5H,0.0,0.0,0.0,0.0,0.0,2.1587420487573303,2.4663790505013217,3.0728116672551717,2.7888906777054605,3.9862998613042224,4.4196744313474925,2.9576821664826975,2.595217162787729,4.984417432274626,5.946910321285598,4.199193829627529,4.7576791560699885,5.074065147901869,6.327018419315661,6.909924886740667,2.111045219411763,2.5302608555633803,3.2996667214835442,3.5993609584391293,4.543373395071358,4.621752101376444,5.729127259089143,6.613759458778321,5.676079862123069,6.217978381799394,5.699393880920295,7.485770459332648,8.312738393220183,6.753161838438712,6.996888626811608,7.764317997543087,8.685960872801427,5.134795752964008,4.934415256266791,6.3389901666065205,6.8030173956689755
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0969773336418305,1.0988369480732154,1.5160410480455004,2.5477987758985945,2.7578626083201967,2.536493303231058,2.732442819115825,3.8348303353509268,4.705400649309838,3.8267761164592513,4.70113557081867,4.338176217283894,5.707244843261422,6.11976665088726,2.6303835232088586,3.7226342592686352,2.952230120321297,2.5963208054808886,4.391129949761804,4.894010129435811,5.130260947404628,6.181209175259711,5.043676216178148,5.1475844630854874,4.242164019523664,6.346455467809525,7.3225440088582925,5.122859292956078,5.162796421120471,6.319630272438685,7.1873510886438785,5.0951157844957145,4.849370125933057,6.417180945895744,6.918651157534633
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7477302707871103,2.157756439475896,3.318068791252238,3.6084093694202024,2.7737413050801787,2.650900097588773,4.501269890079206,5.4197821641645705,4.113360551268633,4.849277412690705,4.822774229827315,6.159133236157013,6.656521756985102,3.510814103381556,4.503752537715001,3.9713606595485773,3.5853972694122054,5.398518389657262,5.907116221641598,6.176370880979736,7.224936467006022,6.127304416061018,6.090600640827769,5.087583337170834,7.216402863310181,8.213529150359271,5.806589567850657,5.6765301265313095,7.051404386365126,7.851528937458446,5.950852253773136,5.5382783775163045,7.29584769779742,7.7114965115876695
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1539591018631974,2.646835635607922,2.41372486219839,3.423437266306384,3.7708509965156516,4.035519444910701,4.717714197003394,4.585555312401747,5.546338102296313,4.831190062243589,6.186198671087744,6.45189897284659,2.9124674741130048,4.122237975516272,2.7578946049854363,2.0671329883878715,4.0986844603894985,4.815981334033518,4.645523899433798,5.712184728211896,4.680102963694897,4.385521060283824,3.3419952812762284,5.48274464720679,6.4954741260457,4.097323068078441,4.089097379444959,5.324138345659357,6.1548664019198,4.694858057404572,4.398961534433433,6.020540120873646,6.487716458253248
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3998814606513441,2.156739415590524,1.404584641506832,2.1584028011508254,2.437095867352262,3.4202537037255136,2.442255830430287,3.430285141177259,2.822228544320352,4.191641912498078,4.620274678125743,3.2242417206375786,4.1818719321690745,3.4235547576966883,3.1536431193960395,4.778756524010739,5.123958790261833,5.257087754031034,6.30831059700226,4.851463469074275,5.418320558814927,4.561117810644062,6.692391680631716,7.661182692807875,5.5346112364677005,5.610367574932921,6.737845821681102,7.640820347329762,5.834690464851428,5.863510388183536,7.059328514170502,7.710502289940638
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087860695528518,2.400579685138205,3.390304149858025,1.3967556390242981,2.158661536345526,2.7882251758000733,3.874020940070403,2.420075362296865,3.6923946123170635,3.8385254769278387,3.7816718457565215,4.762210429573398,3.490814157246111,3.087540601825392,4.625501784581775,5.0325269949604765,4.68210478920285,5.720461033555527,4.102476485182435,4.7530033359678185,3.9144851709082022,5.985018986574481,6.94532836159929,4.87380999394768,5.004243943388879,6.0310993239609205,6.926986638309452,5.852611561045872,6.074130899063962,6.969033008105084,7.706918047490005
