 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,C22,O23,N24,H25,H26,C27,O28,O29,H30
N1,0.0,1.8228045015569059,1.8038401746786694,3.066677628006505,0.09093504683070619,0.19914594090218796,0.007745567395267772,0.030526947275855587,0.013693880809389047,0.2301653304348251,0.048339129564997335,0.03702042964072112,0.002867010994369923,0.0071369800352583945,0.00041661734124798233,0.001244994390932147,3.855625900139881e-05,0.00029005603927345636,0.00011401474163386105,8.009139474507432e-05,1.062963639575365e-05,2.7332059724799462e-05,1.809525220922148e-05,0.00017459962015295427,0.0002681864981409765,8.576877021382323e-06,0.000714015650594757,0.00011733065597557824,0.00021419659234292454,5.1322572530931865e-05
H2,0.0,0.0,0.027224463049691394,0.10951762616746408,0.007006825061567801,0.03399318712840593,0.0007794798488114374,0.0028772806407053597,0.0007639163022414852,0.00788706305802922,0.003338614829282105,0.000538285164515595,3.772247923850003e-05,0.00018526097182181012,9.57668100376452e-06,2.096050311262143e-05,1.5282352054946102e-06,9.11468155528894e-06,2.698917508292542e-05,7.043255156080619e-05,3.2241654508435857e-06,4.229804662525538e-06,5.294580748826938e-06,3.7943373372151257e-06,9.035839968918324e-06,1.5717107437751565e-07,2.27522131798219e-05,3.7802498865646683e-06,6.439599095520165e-06,1.8783227055951812e-06
H3,0.0,0.0,0.0,0.10503855604654222,0.037051233975603504,0.009551365355051189,0.004766158689168076,0.00029465244772231003,0.00016568085478962935,0.016956320822988924,0.04314185402842441,0.003008087538997506,0.0008834170620373172,0.0003796314124043798,4.2844280901288556e-05,2.3978662214485524e-05,1.724649403511691e-06,2.644220039371703e-06,3.214259012751519e-05,1.339563041713454e-05,3.3484459913690756e-06,1.3564115896924633e-05,8.025569446235004e-06,0.00010642710643915532,2.6904447386399966e-05,8.438597440596496e-06,4.8896045596102944e-05,3.1566345592315415e-05,6.080310236966646e-06,1.1643563131435997e-06
C4,0.0,0.0,0.0,0.0,1.9826910482217437,2.7164447343978235,0.08445322709531689,0.08826771532298805,0.09173255850448614,2.604681755714457,0.2676848844940693,0.2313792004079637,0.017254202206946512,0.03634396983488475,0.003153640379871092,0.0036566004038221522,0.0001703692377061916,0.0009318805630511573,0.0006544281300061572,0.0006726143434108156,3.3321181303724856e-05,0.00036277382505586764,0.0001228957628304772,0.002874439147032351,0.006845620999503033,8.971509392519117e-05,0.0034376106229989656,0.00041853318435552955,0.0010341292934759189,0.00022007081843566922
H5,0.0,0.0,0.0,0.0,0.0,0.0824399931734402,0.0349488096257371,0.004210973497372539,0.0051304166124890305,0.09535771537335935,0.023596803227829644,0.012509796565623343,0.008654999878500158,0.001805061396566554,0.0003579219909435327,7.509351050671853e-05,1.8918830740455306e-05,6.477363553303306e-06,9.855023169924593e-05,6.0253499566620405e-05,5.579792231813485e-06,3.904648497266017e-05,1.6865469923965648e-05,0.000376852201263711,0.0003624973461853198,2.2894935583606113e-05,0.00011098584607016626,9.540318052347896e-05,4.230221026846337e-05,1.3813346127822257e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0527423891060543,2.0959615624758916,2.039346494111773,0.19542893647973847,0.03784209453019311,0.03196629216638311,0.0018954057737218255,0.003467941220150997,0.00019301703480778531,0.0009702802166735858,3.546314082758517e-05,7.447607139210444e-05,0.00023972522443704847,0.0003578758257275494,5.288467772368577e-06,3.5791316763095216e-05,2.3771144711463854e-05,0.00012998888810671072,0.00026130742748342595,7.254813822132888e-06,0.0008374725236987013,0.00023308181949800721,0.0002540860837829742,7.591866859990581e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809317032037258,0.02477019770901001,0.010717218275945184,0.004950701960512061,0.0010560764486893248,4.433524957581092e-05,0.00010508622391114386,7.920379582193604e-06,2.398518045976239e-05,1.1906810146733449e-06,6.500618195515173e-06,1.8970758680181277e-05,6.032104044484399e-06,3.1716786952351583e-06,4.514499481356182e-06,1.7517624126828224e-06,3.636760511116499e-05,3.702551330841963e-05,2.306376526872711e-06,7.45170073024326e-06,4.502771917880288e-06,1.2222861222044301e-06,2.125495690563639e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025673083757479898,0.008229931407320201,0.0015734383438716915,0.004655487301146177,0.0012489783643494512,0.0003194298902839954,5.402527452735839e-06,0.00022429433330373172,3.925628622392097e-06,1.8325814832298448e-05,1.9686758987447206e-05,3.859189436017374e-06,5.772294071615391e-07,2.9044904794606197e-06,3.928995743640584e-06,4.829224087732342e-06,8.8088507665951e-06,1.8210704699761493e-07,0.0002106802547281461,0.0004961584558087484,6.981927684646116e-05,5.732472132757849e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030997806889823565,0.006157532113738262,0.004417409561814356,0.0003204344838774187,0.0007173501771535751,2.6942493654091848e-05,8.603969037079828e-05,3.4501243468820775e-06,8.437271359351683e-07,2.9073153543057728e-05,2.1758591857157228e-05,1.739953323642851e-07,5.260166149767542e-06,6.116896554719808e-06,2.3703252723272783e-05,7.88789544785562e-05,1.1198744687135331e-07,0.00018558831806880782,6.541632187051505e-06,5.818055182604809e-05,1.8170460809763256e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.492047276960385,3.5319545826515664,0.13938552597527876,0.2681754257800444,0.022589560367268557,0.03345308746474562,0.0009699254053145978,0.004147901894848927,0.008579504581643721,0.011405483385713344,0.0005575092806919812,0.0014691094394281012,0.0008534785977830361,0.00869510360248929,0.019122546406902363,0.00043409952544970487,0.030122946606554707,0.0069268032580525885,0.005691070057004061,0.0013161504086361964
