 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,C22,O23,N24,H25,H26,C27,O28,O29,H30
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5265326826797581,0.025331419080950712,0.05561907456482135,0.026994751293853314,0.010451066903766015,0.0008627046188878218,0.0015450923957347484,0.009619135121780475,0.010110600892039523,0.0011970053490140131,0.006075421366834324,0.002014994157722584,0.05992907890207513,0.18730414192343825,0.0015589680650326398,0.009278892108415149,0.003838124541064962,0.0014206619308690938,0.0003747239598829166
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.664823704210813,2.877818477415087,0.09332991165366056,0.17793297142342254,0.01124913303491204,0.026141130123051748,0.01379966472943231,0.0037462255602949135,0.0010333247388649713,0.0018387899790240358,0.0009049316310294209,0.0017076237470560612,0.0010458710256135983,7.849357049749539e-05,0.2043237111193208,0.05976335872746738,0.02886200373582183,0.005652236157445589
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09719366409126129,0.02336138515453201,0.005706768273155527,0.0014290856840564192,0.00011533248249762096,0.00040124459833945636,3.2745749752205455e-05,3.2078277518721166e-05,0.00025745681385191954,6.89789280224895e-05,0.00020420136472720785,6.363215671623124e-05,3.4459493036820277e-06,0.0337603528410354,0.08322249683912708,0.005441510355087109,0.00017307692295265298
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.943476780998,2.741920753755602,0.08622765782951358,0.09339617969104519,0.16076903464852774,0.009697045217929245,0.027756790175974988,0.013579982961358567,0.0033812025260883533,0.010880787855075902,0.0023783036327366114,0.00024882931346192905,2.7549151158676812,0.27551957701817875,0.2191867777934719,0.05349036269906482
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07767377696025424,0.03229075983130825,0.002568078966721954,0.01034492128884379,0.00024659441519236935,0.00106631897385423,0.0066881413676833645,0.0006280022146448738,0.01960298021059359,0.00315586313211913,0.00010085150785843489,0.10809870041465941,0.027118997648591825,0.010719316318287486,0.0008273692915639064
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9895749097943702,2.0780173317916555,2.839130827671697,0.08149891637375428,0.09941775954919296,0.18447087996027436,0.04388458117785528,0.030225370926501044,0.0005794362968001288,0.0023869607457269737,0.20075762770606842,0.042038978868006394,0.03149821474144443,0.0019828345934442826
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02535339414043225,0.08697228957219472,0.002479915009865108,0.007455500471323262,0.02690674127421211,0.004950710183708074,0.0033057340573905414,0.00013669077287237208,0.0009826057431316926,0.008018496252110152,0.0014826722762645295,0.0008394921651532217,0.0001348898954354194
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08245489873503198,0.033215623256015236,0.003064960864846311,0.015694526683802223,0.012968235030473174,0.002285339944905873,9.115083615385267e-05,4.588202353850157e-05,0.013336988441977615,0.00232517436913271,0.01356703885008892,0.00022659465212848673
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9954506839493675,1.991684159442862,2.5630211820836712,0.29845363394830626,0.22768360531040738,0.014142066206347947,0.04556026728649454,0.032684907586475215,0.008034407368606805,0.0050562249966787515,0.0004773889669552611
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02629549522302055,0.08804758652029254,0.024410957099069264,0.010637552862312272,0.005677596069505464,0.0013789310179759262,0.0011100575613114394,0.00021525763359175887,0.00036430073189097634,0.00013746345015475114
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10695486066701565,0.0197322394635131,0.024216033680830473,0.0010461188799366639,0.001124684990653213,0.004084211005676686,0.0013379664940377234,0.00036461270214616093,5.319704716044704e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794040435998178,3.4601234459948134,0.13141260678208844,0.14459891517254764,0.0021070900459545516,0.0008127740918433823,0.0003096593469944231,3.2637709775129586e-05
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5642127819610947,0.027151265384780965,0.02933581034802979,0.0007638258698860201,0.00021746243018450767,0.00013846003355905134,1.930825815354975e-05
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83559847079589,1.8027050250406562,0.001407076241018601,0.0006141027176108788,0.00014722776649962743,1.0205050796630033e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04108694036194316,0.0001813248754902741,0.00015225196312618205,5.781115520631097e-05,5.339474173471359e-06
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.755186909693009e-05,3.604728516348743e-06,5.443498909962763e-06,1.4199394899883089e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.763554346087944,3.635683566740412,0.17801202781491254
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5138433403967742,0.06338854551605422
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8125686235900842
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
