 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,H9,H9,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,H15,H15,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,H17,H17,H18,H18,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,H20,H20,H21,H21,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,H25,H25,H26,H26,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,H30,H30
1N1S,N1,0.0,0.023554299463350192,0.0013090447856385357,3.1044843141758705e-05,0.0007278876176870508,5.8541037808446106e-05,0.0026984338732509716,0.000278773522225384,0.0010956476790990877,3.3623520777029126e-05,3.540380691782752e-05,0.00011181823483824571,8.313656286007554e-06,3.042378824397174e-06,0.007952909931657759,0.0013784309482582913,0.007897168892641027,0.001333751840539521,0.0011648528958846938,0.0021140033068820507,0.004552800590601702,0.004741966873401449,0.00039337984713672114,0.0006156111110753315,0.0005109039437487528,0.0003169244544134475,6.0118873155268204e-06,0.00012182061282040024,0.0007384890506013375,7.471499202660326e-07,0.00010898807475720473,5.554963144471792e-07,0.00019024293699598793,1.679229211437594e-05,3.483132600984318e-05,0.0002188412283374852,5.938838368413357e-06,0.0002693787327896491,5.041983202280775e-06,4.5898183025361305e-06,3.964753904917018e-05,0.0001985239938191441,1.782703637709382e-05,2.1549667000519968e-05,5.076126823755356e-05,1.900860794601389e-07,6.399894003056295e-05,1.4694019642824685e-05,6.904703216314978e-05,5.584492537291652e-07,0.00016235643928341759,0.00010956322572286403,7.158343757462937e-05,3.558358365429726e-05,9.789369633250722e-07,2.6001518638185672e-06,7.0994929934897755e-06,6.5142406799889585e-06,1.967642226929911e-08,4.068011144309214e-05,0.00014972999927864716,3.722110391457534e-05,1.9953867802957603e-05,5.967609137680352e-06,1.1138727000509219e-05,2.1540730896774107e-06,5.987042696803391e-06,6.366847539462928e-06,2.2415473412140674e-06,4.50743123314723e-06,4.652519102132935e-05,1.3373012750728108e-05,3.151409294854801e-05,2.7031374960628796e-07,1.6493287600782836e-05,2.551811769668788e-06,1.8603908413794557e-08,1.202140064715529e-07,5.095529934801002e-07,1.2378908945120948e-07,6.669047550311724e-08,2.757970811728683e-07,1.0248401416390607e-07,3.567019440930963e-06,5.600986847653644e-06,4.439842824499607e-07,4.278246764188864e-06,1.387344294778714e-06,6.759530546407433e-07,7.448184508929145e-06,5.611727607046646e-07,2.130390787113967e-07,5.910542175274758e-07,4.597007020601396e-07,3.690680080992159e-09,1.5691717217269918e-07,9.975485117941219e-07,9.150251334411053e-09,2.1794211130243824e-08,2.625720463278469e-07,1.1050789929800686e-06,6.3276635042797125e-09,2.3204857368952503e-08,3.8070758900943247e-07,1.402235616287939e-06,6.592941725891421e-07,1.506303872744752e-07,8.938777495970385e-11,3.0227061076359973e-08,2.5286329585760825e-08,7.664391010742122e-09,1.2064122062449556e-08,1.4443507057038119e-08,7.106731234607366e-07,2.4577336693587526e-08,2.054302283838183e-09,1.262986728534088e-07,4.97965155776825e-08,2.0853252902242048e-08,2.1304367381347333e-08,1.3814141319734574e-07,4.283916554825851e-09,8.884812752185667e-08,3.2547883416222945e-09,7.0997295542607475e-09,9.64389401669763e-11,1.1126717602838454e-09,3.4789857938921642e-09,7.703154780713817e-09,1.0645218040394866e-10,1.9530795647426658e-08,4.128097086386617e-09,2.3801743909146467e-10,2.408691024413656e-09,2.2447101732936403e-08,1.117199666111901e-09,4.811136378179981e-09,9.32722343804926e-10,4.552971333282585e-09,3.556773764401555e-08,1.27089228030286e-10,3.490960298613288e-11,1.6677504377504704e-09,6.996067614117862e-11,8.821920971513464e-10,1.5257504148991075e-09,7.899396248234325e-09,3.328411590786118e-08,1.735761689936055e-08,2.983471714124164e-08,4.063078762328587e-10,2.848365987517809e-11,6.738388069749135e-09,3.5503453510443705e-09,8.261418216193306e-09,1.0214706858135969e-10,4.3912447011962286e-09,6.433559573970626e-09,2.7079236630811465e-09,1.0082790158350008e-10,6.246449468783055e-10,1.5881158832442566e-08,1.2764694856670644e-10,9.070266204780353e-10,6.093895804637484e-10,1.941124816440265e-09,2.6088700755266814e-08,7.775063259884973e-09,4.558829536094322e-09,1.2152501227546963e-11,3.6633029942834128e-09,3.386308566888374e-09,3.190804065411612e-09,9.083932772657732e-10,5.1614407192701606e-12,1.5754816895530155e-10,2.7644955769012824e-11,2.5561137928509226e-10,4.131980370358779e-08,1.4608059273335527e-07,2.050439584788677e-07,6.281458819756836e-08,2.448762363993495e-07,2.2133616051078775e-08,4.757763738538756e-09,5.16478282364119e-09,1.5990941903964995e-09,5.280567094700928e-10,5.790912332992448e-10,8.704307691287383e-09,5.9461143925299e-09,4.632251526803799e-11,9.491714303422327e-09,5.444914248364796e-07,9.2740566337568e-09,8.335299672701524e-09,4.784553725434293e-09,4.4291237344395995e-10,2.0594349559033276e-08,1.7890133818809772e-11,3.884506050155778e-09,3.6143129489296655e-08,1.0227835911535976e-08,1.8969108728228434e-08,1.2631189427736444e-09,4.884344873001822e-09,1.0545389561578133e-09,6.858119627750625e-11,3.901239942205592e-09,2.321688952200418e-10,4.303866901755882e-09,2.4293991263135695e-09,6.586428735744221e-08,2.841255364316453e-08,1.3030623247090034e-09,1.7063441770659438e-09,5.210859699289472e-08,4.7058252627962815e-08,1.3828934219972666e-08,6.541150954220143e-11,1.219648479433566e-09,1.741798372201231e-10,3.305100637618352e-11,3.257871195039286e-10,1.2894180445588432e-09,3.3356015727292743e-09,2.2114026165809264e-09,8.300609088962574e-10,2.2295283397255616e-09,2.2813673172805693e-09,1.2844554309054956e-09,3.1096303310107487e-10,1.1651803966117313e-09,1.7807030849859018e-10,6.573885463767581e-10,1.0520195825591827e-12,1.367613938763057e-10,1.0401846051166785e-11,1.5565408961748517e-09,1.0532240635185985e-09
2N1S,N1,0.0,0.0,0.02376074851100274,6.646085509220967e-05,0.017083460360941327,0.2639561571143729,0.04298567554595323,0.0014753438316814638,0.024665658158629533,0.0008389753879789463,0.00028552632137168743,0.004473420294243802,0.0005772108483221849,9.584519462890739e-05,0.1049369002572309,0.1574725848261611,0.10575861632435046,0.15767985207606205,0.0034338132774984764,0.005511084939904709,0.04639454576037627,0.04654214861269512,0.005391204974949382,0.041155891902771025,0.12952150140311947,0.11226328482838355,0.006873919574521992,0.0075500329155973045,0.04054268833918662,5.818036697169404e-05,0.006963939320479451,0.00021900103019767414,0.005962754926327474,8.425832530489785e-05,0.00022774406891601373,0.003125934404015318,0.0011829828814762244,0.00851108895943975,0.00030347158954313613,7.817885686822734e-06,0.00015816250953237798,0.0009973713929221084,5.1665737822670366e-05,4.6692762490030404e-05,0.0014788966638823453,9.35291771142488e-07,0.0008944038194915738,0.0002952528049346981,0.0015124436287883292,0.00030262555764482,0.00524681412400918,0.003855224784676814,0.001347022322043756,7.88975824344007e-05,3.388019838013179e-05,3.758080980587053e-05,0.0003183738627967614,0.0007159493267883121,8.160055366523977e-06,0.0002072073203787106,0.00055728124279808,0.00015232812671728269,0.0008957462919738646,1.0128823876742743e-05,3.247377752924052e-06,1.0332805644663878e-05,2.8551950425059758e-05,3.441698926698322e-05,1.2548914360310803e-05,1.805277259947502e-05,0.001673950735498586,0.0006105057592984409,0.0006551747391081442,5.929382377400927e-05,0.002319034442524792,0.0008166096259913935,0.00040713160727090525,1.0270062276163117e-06,2.45937780007921e-06,5.250055645955598e-05,9.183325001993481e-06,9.08777799639715e-05,3.010897739574858e-06,8.925495577294384e-06,0.00021303516683568446,7.618567212652749e-06,0.0001967341893327479,4.087827244614317e-05,0.00028734620687442813,7.699171763375645e-05,7.503008801768019e-05,8.886996454893215e-05,4.640741146921812e-06,9.26236923493029e-06,2.9310542812854834e-06,1.0320519518769444e-05,5.003883086418526e-05,8.259604496974049e-05,2.2939897250662256e-06,4.626324193512943e-06,9.490048018356845e-05,8.003352292007548e-08,5.030947237028016e-06,1.3318316378629902e-06,2.2846499936335363e-07,6.862008670616149e-06,1.548322199340646e-07,2.7988980124682428e-06,7.547369740512622e-06,1.0504634708308203e-05,9.429501957036734e-08,5.002167968282123e-06,1.1315682790780102e-07,1.1010136095723766e-05,2.209652711915311e-07,8.791086374415613e-07,1.5963253470641092e-05,2.417925499376139e-06,2.4992355118769183e-06,3.0655894489584057e-07,6.8528258263533814e-06,3.924285505441105e-07,2.176570162326641e-06,3.4011081084805994e-07,1.2082075822039684e-06,3.3018032752352156e-13,1.6221867604748752e-07,7.995667046234445e-07,1.1485184936432802e-07,5.633057131859687e-09,4.548966080264449e-06,1.0646831580807259e-06,2.5653386082069574e-09,5.024710603152016e-08,9.765228203839627e-07,3.1598423877454707e-08,9.788485577644224e-10,8.025858644344908e-08,1.4151540606022195e-07,1.4438839137653758e-06,6.177369726856341e-10,5.949489123580065e-08,4.950144480986296e-07,1.5721767443466206e-08,8.315467958652789e-08,3.0973456732752425e-07,7.188019468529205e-07,7.530612684547577e-07,6.793939810734173e-07,9.228399906469065e-07,2.5489081956209247e-09,2.3296031770314585e-11,3.803919734757244e-07,2.1850823239688566e-07,4.294152828876463e-07,1.0866910482576486e-08,1.228776937978182e-07,2.2752827089078664e-07,1.5963122868001278e-07,7.1835557502453184e-09,1.3803587495253566e-07,1.4206140472872164e-06,3.8818186443023706e-09,2.8129372831031674e-08,1.285369366499367e-09,3.8164715387978276e-08,1.4722471792794067e-06,4.1388363225536295e-07,4.1315992049817396e-07,2.1650237158610253e-11,4.059282492363536e-07,1.8311073368693087e-07,2.505756637738443e-07,8.096448955718927e-08,3.6988396789894296e-09,1.2933891291311284e-08,9.86233317235019e-12,2.390961872933417e-08,1.650339127579059e-07,4.3404799590085474e-06,7.889960391249673e-06,4.163214224472966e-06,1.2037325141989186e-05,1.011656419080964e-06,1.1958915897558597e-06,9.49132579197709e-07,9.701589251953635e-07,7.369823973313316e-08,5.922439871852703e-08,3.1056709204335675e-07,4.439751348783716e-07,6.473384939198468e-09,5.4869953025615814e-08,1.7414048075092836e-05,7.60954280032422e-07,5.530005631193546e-07,3.1138118528062364e-08,1.866928527327616e-07,9.454970140154728e-11,1.3261861502300576e-06,1.2015339390103463e-08,1.1004094524480479e-06,1.5247905738036138e-07,6.031508603676627e-07,2.9580792038075288e-08,5.031617269501965e-07,8.185316247022456e-08,1.6101412203539667e-07,1.0034993123131386e-06,2.7395816060149514e-07,6.112525818835479e-08,5.819420696440147e-07,1.8307050919652568e-06,2.7850293307096763e-06,2.8828042442086144e-07,2.487575874177139e-07,1.0159752510396913e-06,1.996684539484761e-06,9.480953848672868e-07,2.7901831067822513e-08,9.664003375320362e-09,3.9835368337293176e-09,3.5129055220295413e-10,1.6056428808752798e-07,6.164183830037473e-09,5.02971069238356e-08,1.4796306402331538e-09,7.194515809771929e-07,3.2597413435198064e-07,1.675016658708728e-08,5.584410533998607e-08,3.796425307456275e-07,3.937180093060988e-08,1.173776631446799e-10,1.3298921963666999e-09,3.6293190674996367e-12,3.6883691656441897e-09,2.7322191176182287e-09,7.146122360524032e-09,2.271884502746957e-08
3N1P+1,N1,0.0,0.0,0.0,0.00045932102081636117,0.03260788887351174,0.027622545132499177,0.2342915980746798,0.0007419305108240515,0.036598399001625204,0.005986763812985574,0.002184257557539482,0.007667122914834623,0.020811481990797187,0.004218019484128588,0.1099022741332929,0.03983514193574633,0.0885718252512735,0.06543655254673597,0.008413802609676502,0.0493463614519154,0.10527055885827385,0.12697377943220767,0.016280477102465607,0.014124938001349285,0.002873852145319322,0.060281503762150024,0.015620544087146637,0.01902778742596345,0.0022179995968460986,0.007625324996062721,0.01984027258895482,0.015295779640000173,0.0027641795222344,0.0001942463036685993,2.0970793599639492e-05,0.0033196340832506444,8.410509328671267e-05,0.0005677120443401407,0.0001078033025585512,0.000833259901027894,0.0012916761191430481,0.00015216683022245547,0.0001560331160788131,0.0022471504495313877,0.00048559599464770287,8.00946988832596e-05,0.00015209914093050614,0.0003307577164057829,2.0181756945625295e-05,0.0003498390000928886,0.0007573403855682947,7.740458244054338e-05,6.237930608055109e-06,0.002032849116419211,0.0005016612282364719,0.01035232993710311,0.009409009020362902,0.0004197895499733484,0.010627700339072899,0.0006430766228557872,0.004981332659476312,0.006491316096465027,0.001784285537133723,0.00479313019578731,0.005018781448816512,1.0898393174585408e-05,0.0015040552184122369,0.0018512236216956524,1.152818654626131e-05,0.0002569589090049007,0.00010276037329282062,0.0035700447731161766,0.0009241512006452623,0.00025485908205480357,0.00033096484905659196,0.0012334795596418147,0.0005282371169550437,0.00046939916413157867,0.0005258138402219892,0.00018451562477861394,0.0003334373927734724,4.001590460989135e-06,7.832855241018954e-05,0.0028527943013068047,0.004396703220575393,0.0004480538555853286,4.170743128639742e-08,0.00028095514128345656,7.561024431845809e-05,0.0014703113243439425,0.0005089254491892348,0.0015787332217953587,0.0006469606217933688,0.0018824465546987135,4.296348960886043e-05,0.000313697195083007,0.0007657803376024397,6.7430341938568e-05,1.8272644577876918e-05,0.0006083543395121183,0.0011382195861306954,0.00010606243190869336,0.0006265426556759657,5.137856093240245e-05,9.311664328492952e-08,3.717155005578121e-05,7.432087411229915e-05,0.00030627677201566783,6.631575424353997e-07,6.097117268866192e-05,1.885670186529964e-05,4.904447611342455e-05,8.96863729398234e-05,5.694147948709372e-07,2.4694879641184997e-06,7.2284314031279e-05,0.00013616281045392142,7.059853879010092e-05,3.777546170757873e-05,8.803388261480194e-06,6.823849592052511e-06,4.2167953507199485e-05,4.4138596067000435e-07,7.265153638047472e-05,3.87103249455123e-08,6.038379845740849e-05,3.27534809563268e-05,1.305866677014933e-07,1.5331415530450698e-05,8.195072220829047e-08,9.580563748157189e-05,5.622720841147455e-05,1.0568076436179297e-07,7.3643816338453405e-06,1.794144806055442e-07,2.507884637736879e-07,4.980967566403649e-06,1.7751080725325608e-06,6.560603220684413e-07,1.6113164953424075e-06,2.7603846683987854e-06,7.90473139744563e-06,2.779808186970101e-06,7.90933363248314e-09,1.5799253016979264e-09,7.269976962653857e-07,2.2967843804622134e-06,2.191932428052823e-05,1.7131223768451775e-06,6.86618060186106e-08,1.1032752489370523e-10,1.8795885781131005e-07,1.0548451001568537e-10,2.822829747728406e-08,1.8730850293025014e-07,9.830930278731387e-07,1.2961617237294831e-06,6.620063608409055e-08,3.206926928456255e-07,1.8297591020122184e-07,3.8940039193136045e-08,2.1038351571966984e-07,1.4338782450273868e-07,2.3805076132532577e-08,1.1279701173094736e-08,3.636124383810113e-07,2.9790193689649413e-07,1.9604963030772637e-07,6.837348176524927e-07,2.5674820047782987e-08,5.5021834199919795e-08,1.3006660637415735e-08,5.421578430642171e-08,3.9295871001598925e-09,1.3835819157037577e-08,9.11546729209789e-08,6.6618341065805e-08,6.621133197270979e-09,8.631106740430994e-08,3.3477481702348655e-06,1.9230733694364233e-06,1.0510922883177898e-06,1.2382398968391328e-06,1.8934101415624127e-06,1.2903333410640982e-06,1.9280079754935286e-09,3.3547158340141436e-07,1.0282267592920391e-07,5.84114578927597e-09,7.809514857015643e-07,7.609193546365134e-07,8.267876938639063e-08,1.1727906050751358e-06,3.0434091079278858e-05,5.392142452542714e-07,5.190915848274358e-07,8.40330307783077e-07,1.4436661307293264e-05,1.0614098257644144e-05,3.308499447784996e-05,8.420797675601221e-06,2.020378202072237e-06,3.425976827653443e-05,2.87732937920282e-07,6.453958985908059e-06,1.4484308295648063e-05,8.097555372610366e-05,1.145669499491575e-06,3.215299531289517e-06,3.235193463746455e-05,1.914646174938639e-08,3.0871542255894724e-07,7.448929668640858e-07,1.6285080381983619e-06,4.616717204974918e-06,1.3087772821052113e-07,6.730719822822806e-06,4.919586538143506e-07,7.548110683153197e-07,1.6343205673230443e-06,1.626308634428142e-07,2.0290426272495665e-07,4.4579352076468126e-07,2.1923872317586302e-07,6.138484951456746e-07,1.701579735247094e-05,1.0399946503980573e-07,2.390513894523494e-05,5.959422475942944e-06,2.9436700899054813e-06,2.2295658346216385e-06,2.7414644998557947e-07,1.5789604272953284e-06,1.550383081916351e-06,1.2549724349941727e-05,2.5518502200228e-08,8.278646076886886e-06,3.3739101978902397e-07,8.284967333072046e-06,1.3285063125145768e-05
4N1P-1,N1,0.0,0.0,0.0,0.0,5.1533720086371915e-05,0.0009501259114870209,0.0013719971974959222,0.2834088923305189,0.00010878403120351265,0.004323139906418527,0.053235770458190945,0.004220661665654157,0.010300735156562268,0.0027239090607162897,0.2941831585996999,0.2050763673280147,0.021943589082703774,0.005317661406067931,0.008025918856515935,0.05425110846279324,0.12216519683890548,0.11498293967557593,0.01324176858682602,0.02268627881819496,0.06305410271481637,0.013644064057275695,0.0077307881639838705,0.014557324512405101,0.017175492806420722,0.005733669826205157,0.0005713583175683823,0.0008843116179573229,6.046487948552226e-05,2.167565149147066e-05,0.00019341085279700465,0.005908836915154314,8.901958294948997e-07,0.00821312283803044,0.0007842884838908937,0.0003876725724172303,0.0004627965794403721,0.0010993467934929946,1.795566317808195e-05,0.003374654302487956,0.0026273024735445905,0.00020988800418519915,0.0039826601564632025,0.0016010793835343762,0.00213962708369575,9.067536738571746e-05,0.005890055627933766,0.0030399246003498526,0.0019366587932174717,0.00027664126143545076,7.318093765706912e-05,0.0006906430690372112,0.0020891587637708042,0.0004415642613011528,0.0008583152305590147,4.459985477112127e-05,0.0012295713269256936,0.0007526065633669532,3.796257921395707e-05,0.0017839655042934943,0.002043527615227747,3.3978853118066255e-05,0.00032190211093352517,0.000963207946109268,5.991190641818633e-06,7.693961794208448e-05,0.00035296052674205214,0.0001575243687286232,0.0005415286080108217,1.9502134629867385e-05,6.987473043906789e-05,0.00012091620271803549,0.00012942603457322122,0.00023460721008738972,4.16202291024792e-05,3.525251169955723e-05,8.703698961554096e-08,1.3437250744541274e-05,2.231989969248005e-05,0.0006157608443397855,0.0015808913910024813,0.0001379392159561732,2.7902601612339595e-05,0.0001507330580179378,4.944215621716097e-05,0.0001841762497991617,3.576745510924795e-05,0.00024495249424782983,8.029632424522148e-06,0.00028120716497004317,2.717139091501508e-08,6.698643330471654e-05,0.00020663245405838637,4.284744832716569e-06,4.4135330556915875e-06,0.00011510131193581685,0.0002775148856448695,3.3756892752201395e-05,0.0001242647836181554,1.3034778536535896e-06,6.0872313967230696e-06,5.479844440436921e-06,8.547059969110649e-06,6.577068241520045e-05,4.9000693034262355e-06,2.757095336702875e-06,3.974417109198214e-06,3.0515024509014665e-05,1.7662534784523842e-05,1.7456915801794537e-06,6.555465474900046e-07,2.1523669883283247e-05,3.478451481875311e-05,1.9801351563764058e-05,1.3380428784515175e-05,3.2739075739307566e-06,1.155220993975803e-06,1.1511724430590675e-05,1.537432892106949e-07,1.4665532085400557e-05,7.014160363638666e-10,1.4666134372065542e-05,7.0026520038179996e-06,5.205033515309765e-09,3.898092094889449e-06,1.7220639136894533e-08,2.072096230332221e-05,1.2030678466334876e-05,3.682476634736531e-08,1.8283116873796246e-06,1.4080289467699458e-06,1.0679483608555529e-07,2.889045969123316e-06,3.3717408758349166e-06,3.0963574491060797e-06,1.5179290313582783e-07,1.8448905172441243e-06,1.2963954425515567e-06,8.32610188794547e-07,4.1340558309954645e-08,8.20513621491159e-08,3.545320068631952e-07,5.630784860599647e-08,2.271592263136668e-05,4.452363899787315e-07,2.546801978198232e-07,2.1360646584867027e-10,8.774496684793576e-10,4.800192465737041e-08,4.0295899950137937e-10,4.207457244831403e-07,4.175018997187863e-09,2.4266625153757104e-08,2.508474081786005e-07,8.178635590994077e-08,1.19998678771438e-07,4.8082215764466696e-08,8.291095054957509e-08,2.986245783986874e-08,2.3208758248571826e-08,4.244558038379864e-10,2.1313536269218503e-08,1.1745438079913129e-06,1.1646549280541763e-07,1.974381008018611e-06,1.6644685629785272e-09,3.082062671744268e-07,5.0400157380892097e-08,5.576983994615148e-07,4.711858592187923e-08,6.147553577307008e-09,5.988765039433019e-09,2.882975236317975e-08,3.841750695343649e-09,2.1960883556104704e-08,7.192103610442757e-07,2.2212365791141053e-06,1.2077248072728253e-06,3.2194717993760946e-06,1.8213746155737454e-07,2.9539064039241225e-07,1.8398546108855385e-07,2.3139378502179397e-07,4.6955019872285675e-09,5.71146219208174e-09,5.925134161088863e-08,9.114975729751507e-08,1.1252149212381823e-08,1.7572759691830697e-08,6.165407367308973e-06,1.4957781901969724e-07,2.102053020536232e-08,1.8248138888843357e-07,1.9911397268757014e-06,2.310493446344708e-06,9.358734660569468e-06,9.630618822420445e-07,2.9291037968448563e-06,1.1606514713768945e-06,1.762687382722561e-07,5.685017789858193e-08,2.0659020385505045e-06,1.1006507860011894e-05,7.400232444609856e-07,6.9596204355093505e-09,6.1052504425340715e-06,3.8458386253381605e-08,9.113180761133322e-07,1.342503078038959e-06,9.823818154508501e-07,8.805118807408974e-07,2.6767650318504366e-08,5.450821256580696e-07,5.272138978718033e-07,4.220678571087433e-07,5.369858200321431e-07,1.7835337651206373e-09,6.081422099235567e-08,6.333722435414302e-08,2.2348190853449523e-07,8.710845866843897e-08,2.240314154189349e-06,2.869060367061138e-08,5.543418324371885e-06,1.5296412447796115e-06,1.63201026026627e-07,2.569762460602476e-07,1.60368448742787e-07,1.6162257532315039e-07,4.817184220407e-07,1.4169893975957137e-06,5.409062087124994e-10,1.101376576606583e-06,7.61014207206756e-08,1.1686464742588498e-06,2.0921115906347154e-06
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.01500544236738488,0.03932138825602305,0.000625643885232563,0.20946735056498644,0.006023850086796179,0.0025657951114512745,0.0018184175247444312,0.02581565863246249,0.0022075148050777482,0.0010323426907277167,3.669460434441163e-05,0.2913475340273983,0.16595220806665223,0.0003556175066217193,0.0030055877864709757,0.012829982307903887,0.009743588723034158,0.0009121739251796157,0.002986653274311468,0.01743747365229975,0.009144102627234307,0.023762984175332402,0.008047233721390601,0.009663246034133932,0.027809554402288272,0.00218548152977327,0.02161830999518477,0.007111571062676791,0.0008449202188880456,4.159356291988381e-05,0.0017769648673926497,9.420596488673993e-06,0.0029294497458844937,0.0016695671353090802,1.753586067598789e-05,0.00039447654469082494,0.00019221020644089037,0.0011822577668545442,0.00026771635446865005,0.000721125164503178,5.269085158476905e-05,0.0010585804579443803,1.2459284069565868e-05,1.1962399569576121e-05,0.00010843212298938809,0.0009623097031172811,0.0008538991313353783,0.0012907500579171227,0.000632750133746196,0.0001553584515487927,0.006872600023860809,0.005648131213419116,0.00019648644838454743,0.0047745261445362175,0.001189525712701478,0.0011424907501367265,0.0028333891088561103,0.0017462026447008228,7.733849650137792e-05,0.00040844310675169915,0.0006846602583525652,0.00014987882708483724,0.0002644590628742005,8.050176638318973e-05,0.0014539752716817844,0.004954040909327162,0.0028536062241122373,0.00034357470858514816,0.0006565577063391004,0.0002453472252126332,0.0002508377874810286,8.617427247781251e-05,0.0009087242463867717,0.0006908795171780557,3.911692928904031e-06,0.0003007816219293691,8.29117689051806e-05,8.963496611613664e-12,3.0384435517838426e-05,0.00016016790809647574,2.7525154730589918e-05,0.00013445660247413116,1.6031842964281395e-05,8.135237545392471e-05,6.115715415910827e-05,5.932250023743535e-05,0.0005298943476266249,6.0492360275166135e-05,0.0004057924634375265,0.00017806045513535373,7.287035851266666e-05,0.0001224325196482745,0.0004431902385113595,3.3891892161630466e-06,0.00012107096239866166,0.00015494880222366447,1.1341426826572132e-05,8.082010380938698e-06,8.008538273429622e-06,3.3827436802802424e-05,2.9077097316587697e-06,2.5782398071605428e-05,9.113349112066516e-05,1.6308732353476074e-05,5.15223210761917e-07,1.378186044553864e-05,1.7121174851641996e-05,5.8854476729486294e-05,2.0181441478417383e-05,7.530901080521346e-08,5.183698654764868e-06,3.64335229141588e-06,6.345209190961043e-06,1.9858755599955202e-06,2.2755487272263508e-08,1.3655578090521203e-06,5.079692532827806e-06,1.000756788549495e-07,1.2220446719446443e-05,1.073049247457547e-06,5.061875177236885e-06,3.0227851854913723e-06,2.1543703443427376e-06,4.844459873254436e-07,4.438446108423477e-07,6.520112221686247e-06,7.491227682177026e-06,4.611004911225791e-10,1.91303668461984e-07,4.3594857697115685e-06,9.447408904073029e-07,5.3780205622189214e-08,8.879191173427614e-07,5.3298494950837494e-08,1.6837522403001515e-06,2.1338984046437304e-07,2.0240345488531375e-07,1.581353765933713e-06,1.0769312552838528e-08,1.4623427135873612e-08,1.4976765783103474e-07,3.8041240935093867e-06,1.8401491037600692e-06,1.7381405421623697e-06,1.389560639886156e-07,1.7759127501904004e-12,1.3369748419478356e-08,1.4854166785482903e-09,1.8766854692486845e-07,7.966404247383707e-08,6.501741367515024e-09,3.4539157089952255e-07,7.276327935734628e-07,4.153586363742079e-09,6.835930732584927e-08,1.8050069838793092e-07,5.011032502277857e-07,3.311389829008249e-09,1.121014392424513e-10,8.654899019688855e-11,1.4125679737020391e-08,3.200034122130546e-07,4.500633790094355e-07,1.0295441166263686e-07,2.047706404439964e-08,6.76974756252946e-08,1.942059340009905e-07,6.127754259566132e-08,3.6743419418172607e-09,3.8920875411463385e-09,1.0145597695299102e-09,5.153747206776416e-09,8.860501221619188e-09,4.3951873252012774e-09,4.5500311962598516e-08,3.840809386090882e-07,4.023990750390283e-06,2.947743845460593e-06,2.4704099477190766e-07,1.610919757588647e-07,1.2918548009110964e-08,1.1315163028768893e-08,2.6777146899803483e-07,6.047390299634969e-08,5.98265470497239e-08,1.9191594091694242e-08,1.6702598082396491e-07,7.042143224111896e-07,9.412079102766313e-07,1.900093526963076e-07,1.209661557588504e-07,5.564315750383741e-07,1.709613497702378e-05,4.387012086937148e-09,2.597760239142488e-05,6.166468597967878e-06,2.6347720107899875e-06,2.3926135040763796e-05,1.8610807650532024e-07,2.0947298140505666e-06,2.2077677959142505e-06,1.8138469493944598e-05,3.9657685513283525e-07,9.895239674317935e-07,7.122387528424312e-06,3.6295845218248246e-08,3.737042262308421e-07,2.4045490931712266e-07,1.1158418247170232e-05,7.52697166817029e-07,1.3534168896711662e-08,4.983263353075529e-07,4.896140387788961e-06,1.3995022873913854e-06,1.040233454929762e-09,4.091291749830361e-09,2.4440724999408303e-09,9.149274848851974e-08,4.235490966841837e-07,1.5581681500620448e-07,4.470659380917397e-06,5.2351891710600285e-09,5.738913652297839e-06,3.985009598306277e-06,9.425827998121861e-07,5.757389018867798e-07,3.751894190884286e-07,4.564055693379032e-07,1.4821942873055605e-07,3.135787947305957e-06,1.1342971828476323e-07,2.903067645165791e-06,4.6229399308650443e-07,1.6284973716196305e-06,4.774524684059145e-06
