,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21H,22C,23O,24N,25H,26H,27C,28O,29O,30H
1N,0.0,1.020075536316445,1.0212250605549094,1.4598822242685447,2.078888622696578,2.4517421595558657,2.729250144286774,3.4129992722635913,2.6652931246286347,2.499562591450303,2.8285052973006626,3.6598445299974327,3.914035668516644,4.963234341073198,5.067230027108612,5.712118587675338,5.824720044584334,6.747733578864648,5.471470552069567,4.4897534279954625,6.215975874850563,6.157136513583304,7.380915875366829,5.564215797277251,4.587320464258001,6.291943174737612,5.984479375563804,6.030338471506474,7.138466601329503,7.798736169770719
2H,0.0,0.0,1.6205597968225287,2.040590425861103,2.3325261396061134,3.3415402588170973,3.6831151360514935,4.196172284103802,3.5795712591913045,2.743828684511224,3.0211282255298975,3.7749374545615857,4.07190299090812,5.028091477872298,5.221630099189978,5.503946615901503,5.534230811244924,6.574054946678694,5.090048367475806,4.038059518907774,5.697779414097581,5.888655337838749,7.102630490035334,5.41995851984123,4.518250885478882,6.224009844325733,6.171563271621143,6.27545593838575,7.327702228217362,8.033016428022838
3H,0.0,0.0,0.0,2.0187107575511525,2.9106176449465773,2.7263399043759615,2.5837818579969363,3.7172581604111685,3.0909249761317366,2.5939652870437344,2.4690094758049734,3.9193559937630362,4.375300784636905,5.046951099075428,4.9307409676662175,5.8303768121510435,6.122869205983332,6.808119601152328,5.448354660858686,4.490902739263551,6.260092150761794,5.8852235592665565,7.101947462237699,5.096355610583828,4.099435777777405,5.712366714486996,6.162284156105923,6.368609073983115,7.197509432351821,7.917060293841893
4C,0.0,0.0,0.0,0.0,1.0982268471202685,1.5386740162641543,2.1751286421498492,2.1932731198214275,2.1628749347467857,1.5427086308680724,2.416962262103296,2.460109648982955,2.568535184825275,3.8467115480206457,4.0781907257093355,4.807492005303874,4.8906159850368,5.804149454325922,4.9367171300882084,4.12456347703186,5.767049380479611,5.713600852483557,6.896082284595582,5.279686136666664,4.332348726278282,6.042125547184989,4.668120363494655,4.614504683417579,5.872741108904748,6.460357238622724
5H,0.0,0.0,0.0,0.0,0.0,2.158898394674278,3.0711605229352408,2.5119709479947754,2.490286958863854,2.165568172604284,3.248609443430457,2.560523527455592,2.3004641091597127,4.018089458961434,4.514326250668712,4.827467373348624,4.662026102121146,5.850414311530637,5.1045207547155185,4.321548099196172,5.805217728313074,6.119497436216939,7.265417087715886,5.90558072081168,5.032597100683696,6.750850415278484,4.679529809610387,4.418351090517427,5.981010712857962,6.484860479397569
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096441811214687,1.095935980943092,1.0936414212620629,2.504971047785739,3.212947168528316,3.242986833058129,3.187544465485449,4.462254548130748,4.541557442706457,5.727128539645879,5.89500020154309,6.599547706988003,6.067639338727288,5.386589299143364,6.994234139095339,6.661102843718569,7.794192134383023,6.10011263953986,5.141134257255551,6.7114505217477065,4.931431409407244,4.726757970587678,6.053397796221287,6.504672066524164
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7751824153662734,1.7765782207420115,2.7478916641361955,3.038328606713351,3.683977815431684,3.871849688097857,4.703076311580371,4.520623721062621,6.01876132920351,6.368086878767171,6.827919587929751,6.231098496701433,5.572953137014837,7.225955479953552,6.578118655224047,7.696452932491123,5.823058004486464,4.852808814888696,6.298742796515945,5.262345006328986,5.2492094782266125,6.230854661629627,6.738649259337915
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7840872274161816,2.7558498445857897,3.6101593915820356,3.042718550028437,2.7869362623051694,4.114627052202724,4.277449938690797,5.494536654443803,5.630815248284957,6.268417025112511,6.104043376474757,5.584099183836418,7.040733463579223,6.720823211280692,7.774520601563143,6.292545105638416,5.413103253334012,6.892689473402995,4.258618004420578,3.9030400189742376,5.361446308226919,5.692366150648931
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4582599535645606,4.168790455006079,4.18301641230097,3.982575924604338,5.47585506256736,5.619446712690992,6.6859052040885345,6.7520090141528275,7.591805682540749,7.004451995405541,6.255770660172064,7.878918968223019,7.668562159199785,8.822078973926573,7.101552402437226,6.122324132216162,7.722620348220659,5.880018739449844,5.532569981903708,7.040126124676667,7.429090611841619
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2346342308834777,1.3590806244791258,2.0486822072503,2.4944220158710735,2.6072880361693147,3.4638746175627433,3.78459029445524,4.414915454659539,3.5770654514542755,2.905289895352175,4.519634705470258,4.237761569117519,5.398532167368177,3.857635479716243,2.971201851307753,4.643023762356923,3.5964065416902464,3.9035379741072904,4.675174262207029,5.398634620008868
