,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25O,26H,27C,28H,29H,30H,31C,32O,33O,34H
1N,0.0,1.0203906829758043,1.021544989875117,1.4661436119543745,2.0831133485485567,2.4470037197580132,2.564511512502644,2.7189070854987514,3.834113784465468,4.2259813786285685,4.124102346764905,5.272157002145648,5.659920075058533,5.105940759988174,5.892264077680767,6.657351709907854,2.485500814344667,2.8810114966260354,3.593093558659462,3.87584224710145,4.879915571909227,4.979805074362425,5.57731656890477,6.588553559344977,5.948434859522043,5.242505761954468,5.19699211586619,6.057322086434991,5.315835450414256,4.281524898643073,5.941329804894089,5.978911961786174,7.126630800044443,7.792745418154393
2H,0.0,0.0,1.623493246490147,2.0461947108468372,2.3391124811969597,3.3408421412061022,3.4968883287854164,3.66502937914073,4.598369737882714,4.878351248966827,4.762589882026554,6.1614921052149505,6.580341246821505,6.056673403812201,6.725318952411767,7.603785924320504,2.725240472758488,3.1359578392516725,3.6165611103033184,3.938268046720686,4.866722956332151,5.090302149133535,5.288359306618884,6.341493451549107,5.532313143435657,4.75891686364592,4.767872449597062,5.505309637483095,5.01931051013231,3.7502763714886083,6.020516417661201,6.120268204587361,7.193290901563158,7.8949958154112645
3H,0.0,0.0,0.0,2.0215397980768515,2.9133782132307853,2.7132459534471876,2.9590663868427503,2.558040495921017,4.16294068568235,4.449516715522573,4.676641119531107,5.458796674033163,5.514415274882592,4.813728700256142,5.719802165767496,6.491237674291147,2.573959710399974,2.504014141160638,3.868066049745084,4.354663876097682,4.965096509759911,4.848800721214984,5.655893719866425,6.5966648279248306,6.246147193884716,5.642064155782292,5.114023460428335,5.9936801702779485,5.026871296879844,4.2700814533914855,6.143354495333223,6.341970311001416,7.220022681011547,7.952659405222602
4C,0.0,0.0,0.0,0.0,1.098814188034425,1.5448661354857536,2.142801232440798,2.150913013751081,2.5843998403620922,2.847724133254771,2.858713604770213,4.248412537856677,4.762510521718369,4.444947898326285,4.857643974408985,5.815240246611831,1.540072171067409,2.4148047100469694,2.4775135717592764,2.6022270100018536,3.8361588266433078,4.022166326538178,4.808973237592379,5.777367165990249,5.166453898255138,4.545827296452832,4.819657945449185,5.788502761783224,4.996207652091308,4.081995439706665,4.680420669435051,4.604679788187328,5.9144933426120865,6.500343431232324
5H,0.0,0.0,0.0,0.0,0.0,2.1685045577345217,2.5204390548048776,3.0575283729629774,2.77685033719911,3.09354686486776,2.609584229790095,4.511779683989981,5.3641909112842985,5.2132436886452735,5.455037804392866,6.39081119809292,2.174365180075252,3.2793910100453414,2.5453514275712186,2.287947172742132,3.9989142870653573,4.4518080854904385,4.878294022952756,5.884980564287456,4.928704804735589,4.206928126819666,5.066034827229778,5.95397079817677,5.455654131394533,4.304319913677469,4.6398790205356475,4.350851701759436,5.957212283196796,6.4462432034616155
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0945554848907686,1.0974648529633677,1.5326616194144427,2.1946198795388008,2.1730585009797103,2.836177925572928,3.3988824445947285,3.1125012642321077,3.7212437995459853,4.396341938608932,2.5258939279556643,3.1205595669208988,3.430808328107866,3.4151141918171724,4.603117511460472,4.585624707793958,5.855594788239899,6.700705964990434,6.3253553160389835,5.815944143544427,6.018355476669387,7.055563238060079,6.031514266676119,5.419027020841627,5.164825346696945,4.947740362418918,6.331925194063504,6.804819302633143
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764467702630276,2.1643460528386167,3.0900842372042523,2.4980376625470253,3.0241756987244153,3.8503558124558532,3.517823610833562,4.41200143186863,4.703391354267594,3.4517207406249835,4.040838266404694,4.3573180462540515,4.23942762508344,5.619020039099319,5.656092637615848,6.805632413381904,7.698840438093168,7.168820484852182,6.568831267155405,6.900595691892239,7.900470149779376,6.9557183826283335,6.199099056480147,6.159695974022134,5.83792930081614,7.364453982560161,7.799834313041156
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1715526861350183,2.568148455394344,3.081014878264824,3.0370421570389214,2.9779817996725773,2.398843092460063,3.3067336798132025,3.968567882420341,2.6952115022277336,2.8347341709490004,3.8092851089594477,4.037351822994621,4.773883972676663,4.501847384194659,6.031969345672992,6.8012914368554265,6.720656940152628,6.2995417295128275,6.053805987694058,7.114616079991761,5.868729341080721,5.524488971692862,5.460710508206404,5.439623210647046,6.493481434864531,7.037323426367629
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966465154446425,1.0969161660557347,1.836884488202552,2.8233777200085735,3.0653505091539057,2.9899624045300324,3.781586692136094,3.124632973999945,3.867197813417879,3.502411493152485,3.19525314124985,4.468520615153966,4.530206377602922,5.900598782846112,6.616763351125093,6.287714952040553,5.905767749545418,6.430156382544273,7.4796680025344635,6.498981791469248,6.0174904412706365,4.563175920710906,4.102160252885345,5.68643112758778,5.968936956854101
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760921352362007,2.417454079041178,2.906798962107976,3.250813731448018,2.65462329227828,3.909370352574991,2.80887183974888,3.4876193427382685,2.9278423007893664,2.7041734420657706,3.620700025039723,3.6334438974082985,5.128614489015951,5.737340961748301,5.613869766149604,5.377705082282445,5.797359866111125,6.852325504391206,5.8318272814954515,5.551111216097901,3.597261486647134,3.2414259799413965,4.645392483854135,4.938202987340422
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3618469535436737,3.752364865979266,4.093756416776028,3.923333750200383,4.604533783793486,3.57284103712883,4.535772961833441,3.676094249399452,3.0842452898440262,4.741479218427874,5.037380560371761,6.083584896393945,6.841164014304063,6.221253091548075,5.7681190240142355,6.725333510906771,7.716540522313924,6.961544243977169,6.267443602332245,4.667321168073512,3.9663572951014388,5.871503376836222,6.050580037712463
