 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,O25,H26,C27,H28,H29,H30,C31,O32,O33,H34
N1,0.0,1.8762014292612155,1.93815663393562,3.0104669145841125,0.08698901476067489,0.2014486973240942,0.02026817051899299,0.00642612863927583,0.03353980003089255,0.0008847655304417001,0.0009112419045170794,0.007342122428321697,0.00040454630052241813,0.0001790309387210698,9.396729617194843e-06,7.429264672476066e-05,0.23518967627403237,0.0524745553414957,0.034704063191007065,0.0025835085960844717,0.006153123212375725,0.0005947325868485009,0.0015073567157438544,0.0002502469148535358,0.00013664022634667095,9.225112522359691e-05,0.00022265256961666313,1.8091935694242167e-05,2.6836094022542056e-05,0.00017066733633508413,0.0005005824379863688,0.00010668852202093404,0.00015765697362774,3.707380353523693e-05
H2,0.0,0.0,0.02708974713986101,0.10732154520520176,0.0068130670794144255,0.032250596392699005,0.0011983753062569935,0.0005328861453088862,0.004663573992913617,9.150951947356489e-05,1.7112627977544648e-05,0.001957364456237509,6.292018229059337e-05,4.0915002499808395e-05,1.3880367195628907e-06,1.018602697366866e-05,0.008442519210522303,0.0019847869771116855,0.000716773866643039,4.264386337649029e-05,0.00019275553960806935,2.4613619700408762e-05,6.831309339339064e-05,3.007200614324468e-05,1.356491115001024e-05,4.9195279863134544e-06,0.00011600466909655882,1.3983401129236128e-05,7.621698927984255e-06,0.00020530019108955244,1.9941017268321204e-05,2.890238696484637e-06,6.851070363356193e-06,2.0936437201690694e-06
H3,0.0,0.0,0.0,0.10648678416455182,0.0362974007403738,0.008976717610715945,0.00024218796900887796,0.004540954763515792,0.0009993047244292175,4.894987020254149e-05,0.0004262370382099867,0.00023722137882875582,4.9143704526466436e-05,1.959492838787824e-05,1.7493544237634495e-06,1.1586818034814428e-05,0.018367972687338807,0.041914550295221065,0.0031987415648334627,0.0007583450696524441,0.000480095031960559,7.291466039638372e-05,2.8476182220127377e-05,1.1009876785816886e-06,1.2180417701346258e-05,9.94638410567461e-06,2.1916569514446316e-05,4.455680478354651e-06,6.005830982314109e-06,9.183350201391605e-06,6.242054728100577e-05,3.4660677600051315e-05,7.1237393428624785e-06,1.7165868748669766e-06
C4,0.0,0.0,0.0,0.0,1.977890621628398,2.686852463301768,0.09118006942450685,0.08249178754125874,0.1583825373123041,0.006093212362856093,0.007882464472664719,0.04570745993728184,0.0023053414171590736,0.0011940547508655364,4.5499440117779955e-05,0.00035597260026243305,2.484419211186446,0.27328042133376584,0.22457852948619103,0.016858323996872482,0.035593231965017985,0.005264864355183807,0.0035619639067333564,0.000807837742353934,0.0004236798302581224,0.00021131507902250046,0.0010147419765719479,0.00011949454939785831,0.00035929681754520715,0.0003885064916417935,0.0034787410279300823,0.00044580152849128807,0.0010289410809640187,0.00022242889526702392
H5,0.0,0.0,0.0,0.0,0.0,0.07660617372716283,0.00370485992948022,0.034452380027976126,0.009555111141690498,0.00010876635599266216,0.004277447768634923,0.0012132220524208037,0.0006336812478839882,0.00027313807150375347,7.4090568427109815e-06,0.00011473865623123913,0.0933458267560816,0.021836568285132918,0.012653732620979907,0.010115888956699237,0.002015748719548016,0.0003510354865319254,6.627491051247603e-05,2.0824642493755263e-05,1.5615345213104703e-05,1.034069428462736e-05,7.005450281094561e-05,1.688161716217884e-05,2.6898471520597766e-05,2.0921668136164584e-05,0.0001154377136063367,0.00012565345024517782,3.862446145763698e-05,1.0453851706282435e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8710366907143028,2.0412896584342395,2.7688383092208,0.08430192992188856,0.08460175877561915,0.19974511894791958,0.015715921076623576,0.005936922360012753,0.0008827550917787086,0.0015602128271102744,0.1815826406855513,0.03841457136731054,0.028184526433254836,0.001060254878524458,0.0037801514565330013,0.0002784252518759356,0.0006185095491728909,3.978303078577827e-05,9.840982040451585e-05,6.334685862807721e-05,0.00026423162684566237,1.5730577290540282e-05,1.6693811078161147e-05,0.00023976714798501497,0.0009631769087580233,0.00022526179107389133,0.000267093759235712,8.110383027126744e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024448530027072257,0.08647899756086885,0.033846878726204954,0.0055770171047579975,0.015857408531142814,0.0006358223134202978,0.00013348475877461574,0.000274387225661199,6.0800273202099575e-05,0.02975213251691211,0.005649904129604866,0.003289680707087572,8.691592225873457e-05,0.0008117423527882472,9.673646515140355e-05,4.977816349871489e-05,1.3313877910814398e-05,1.3407998902592588e-05,2.656727282612792e-06,1.3781008515345583e-05,1.1348914383813025e-06,1.5929687573468243e-06,4.69597780750064e-06,0.00019611143998687908,4.7250487552052967e-05,4.8094075936533365e-05,1.1124489729841258e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08256541890491453,0.004333145039558506,0.03308095135537048,0.010463216278072673,0.006991244479055858,0.008776804760160406,4.431209490829424e-05,0.0006502310981713055,0.01324082672710869,0.011190932614530968,0.0020723149185233325,0.0004286144846008533,0.00017101172525424424,3.532112418813682e-05,2.431172547456839e-05,4.8054109684780855e-06,4.607510949550253e-06,7.929979349619032e-06,1.703832649302406e-05,8.25835495876781e-06,4.7472026958317315e-06,4.910683974790331e-06,2.9993831042407493e-05,1.0988315682913807e-05,3.889499328058044e-06,7.083408952723858e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9035985433233977,2.0627886473497954,2.790839710639806,0.11435273617426017,0.006206803565871555,0.00982664910807296,0.027429582616049775,0.016383583385478045,0.0038524553328778133,0.009764618676793804,0.003278465789312124,0.0007358843568460727,8.470067931176661e-05,0.00035334254413629806,2.7573376069955913e-05,5.1106524592808844e-05,5.344023837683398e-05,7.70732527809459e-05,4.219408835659522e-06,4.399774922836386e-06,4.926525581439023e-05,0.0008663719926700064,0.001996194086761119,0.00021545054650772,1.852392983781037e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02448889814842703,0.09155266399252149,0.01108952352537007,0.0006206196573714795,0.004865813133260399,0.0004947192499533681,0.008459827578192636,0.00023687436101671455,0.008719146416859003,0.0019797139681452247,0.0005762558136945817,7.850471309311935e-05,0.0003278459496127706,9.95991535579499e-06,7.923033392920331e-05,2.5272808099607857e-05,7.412202421352987e-05,1.2902709241036092e-06,3.577671995547149e-06,3.616281130480736e-05,0.0019544376998459345,0.005298814715303468,0.000671374468791619,8.236686507734348e-06
