,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26H,27C,28O,29O,30H
1N,0.0,1.0202475523455008,1.0219279196766817,1.4616915342740253,2.083877418222473,2.4649210119281455,2.486061396626349,2.8528045905298858,3.796814870076899,4.394906070300378,4.934880325770619,5.297903288683314,5.625733189891538,6.489816522949618,5.941520910396937,6.9070274146624255,2.486931709787246,2.770237423828287,3.717814546746978,4.008560893348441,4.922598855686081,4.966982427859591,6.147858949629323,6.417186408665459,7.038516748540115,6.173028789396159,5.444740066691541,5.385041302135078,6.460151234555824,6.932901430210668
2H,0.0,0.0,1.6087442383470043,2.0304163224026643,2.3130771515046025,3.34629915876855,3.4201257178192064,3.785657198671758,4.541580883623916,5.005542754257275,5.667851021264348,6.045835898153475,6.217271225627475,7.014282791452183,6.600662717392771,7.557233751193004,2.7311105322175107,2.8790543030384343,3.9011976567908775,4.309129646415309,5.038276105204768,4.907396930685864,6.204135938219968,6.603806660191202,7.0704681612183435,6.079533530630054,5.771835265689652,5.910894989198951,6.693766519383475,7.268495926020287
3H,0.0,0.0,0.0,2.0174485151807335,2.906825737539712,2.7801254392644172,2.904799979265822,2.7636560445305407,4.220191213672792,5.050891089656988,5.193235740571621,5.3592986247436265,6.223357849472442,7.1623371855549225,6.348176052978295,7.270232740410027,2.544604498294389,2.4073134863963768,3.9006588239312703,4.3460249099736705,4.901071229694714,4.853718145218215,6.275961487783309,6.609311165998065,7.0657065539124195,6.43022033314837,5.201516731360527,5.12813657270372,6.095501640859794,6.486446844606658
4C,0.0,0.0,0.0,0.0,1.096584226356839,1.5571323469920413,2.12907653407872,2.18269144339891,2.581652352539543,3.271418083094083,3.6418666462323133,4.057009740800523,4.390319810717413,5.29815330372756,4.61206603264748,5.554754633473776,1.5431963430379374,2.4268058833840347,2.4815077609802922,2.591927041502127,3.8268597250936844,4.124387140097317,4.926275401326516,5.066010361047565,5.883402560569023,5.003396123202795,4.4100745650842885,4.312913727179042,5.574940131808782,6.080530399243459
5H,0.0,0.0,0.0,0.0,0.0,2.1564724729637126,2.5562768368627613,3.0537783560646496,2.676163220978531,2.8947418295968568,3.818248037505674,4.4431895267271795,4.012833113612806,4.7750481952752715,4.49634785639454,5.449119600482351,2.170308670368896,3.2006602350029283,2.6621770848364994,2.544494051098642,4.09573754587209,4.434605986218249,4.916506092473501,5.002549104057395,5.950635445333739,4.7873619043265485,4.945058657000347,4.935538755755206,6.139658293695296,6.733970959834784
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0950315536515827,1.0971585739522922,1.5011566866414072,2.5141849914534586,2.59948837609467,3.0629798012277347,3.583291058462037,4.585882323130135,3.6721904316413365,4.62252752205464,2.547202813717461,3.3958646752345816,3.1594342305129515,2.9125685178949223,4.405518088568613,4.969404120786238,5.430357964914816,5.2890636044168104,6.374590973583054,5.719946191537314,4.569185724364496,4.054926189729216,5.833730055365181,6.134503273099743
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7680070500776894,2.1254346035629936,2.7120171230744203,3.341429445337877,3.9070885552061583,3.9024028026619924,4.795926735246334,4.236854565237118,5.208129937158924,3.4360140549715874,4.181398235104717,4.173248242217447,3.9097346064648573,5.465878220235381,5.970914729517574,6.4809902935691825,6.328037742565407,7.445728631506582,6.701328962480284,5.645922145364098,5.097860735044318,6.889273043056294,7.161760686465551
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1416917345669995,3.395686750114121,2.760883650302769,2.8349798617391797,4.277901504126744,5.333845899161094,4.046965296452575,4.887198264386999,2.673879689388052,3.2136921336281747,3.3707896092674954,3.3022673990388656,4.361280060199216,4.895633979235603,5.536724918040521,5.430147612677698,6.363098182082731,6.001849083702752,4.17655140526673,3.5166533723675104,5.353553102240329,5.513513376953211
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3863899716389119,1.3778695502911193,2.2454593285089,2.1533276900437053,3.2085189204853117,2.196396543352984,3.176819417212798,3.259888279261116,4.32340448243959,3.236033278743109,2.5495178759299297,4.40801850796252,5.222021701839179,5.057223351020574,4.63219938744737,6.03545463020135,5.364069605720851,4.585173335034047,3.973089649772617,5.930583686535156,6.222883363024197
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263318380756954,3.323297617588226,1.3139699081183813,2.1371432479321903,2.2191727793253575,3.187034635043031,4.172499684613823,5.334079803622298,4.022418520543379,3.189823300227511,5.2703286483735114,6.0806073263652705,5.652739584907475,5.145038063297683,6.692905472023776,5.7485209442380985,5.694142696871617,5.191180356379201,7.0444903037616005,7.413849552191132
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079536695299728,2.2125969512353123,3.2464890793584154,1.381939919543077,2.1388733391098174,3.8339637251364826,4.810177342871956,3.444888916956035,2.6857840023500796,4.24479678576834,5.218943495311033,4.691779993391419,4.058120356593521,5.550183083528058,5.206506898817404,4.116208887636114,3.324256301709027,5.420061774685603,5.5894107437063285
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.243387577199087,4.2309616599953594,2.1661083754212918,2.5644907715997194,3.9174403228978387,4.694831177239767,3.5083962779655455,2.955200345171953,3.9880892285175076,4.966222711357131,4.51582529053916,3.9111075092304417,5.222387783856062,5.227792672030984,3.4898201225915306,2.5126920498501093,4.7056865085116755,4.735398873501466
