 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,H26,C27,O28,O29,H30
N1,0.0,1.9607839219222352,1.9866565657109856,3.0515730872565476,0.08618454587455626,0.20301802265512225,0.030395490527483582,0.003653359322730476,0.03081004455506678,0.0030145155272823104,0.0070031453896248624,5.595096943789013e-05,0.0008863295620607226,2.4287116667576214e-05,0.002081419604643142,0.0001491605392891504,0.22317986375681415,0.050875608895793886,0.03336911639815411,0.002278340664032985,0.007357301600062233,0.0002470974910435686,0.0015554918012533059,3.343893879104165e-05,0.00032280137211604387,4.581579612217279e-05,0.0004639112798761891,9.250659923087934e-05,7.740667032653248e-05,1.7032165399832877e-05
H2,0.0,0.0,0.026667912276159944,0.11150634837373041,0.008060105527861738,0.03268640940289902,0.001792488134451986,0.0002352674492931417,0.004083740432602068,0.0003884195633095944,0.001233915718957812,9.325681406435748e-06,0.00014459025237145706,8.610988861734725e-06,0.00028564194872027215,3.8946186697641494e-05,0.007457617334519107,0.006042395613352514,0.0007275560544106607,1.6606908669558607e-05,0.00018715054450613167,8.24009296329642e-06,1.3652365276062284e-05,5.46215316532539e-07,1.6493048267118837e-06,9.909483140724262e-07,3.217024618851205e-05,1.7291672886998732e-05,7.565129424569328e-06,1.4998949675604223e-06
H3,0.0,0.0,0.0,0.10533879332447904,0.0360906569583781,0.0064865069420794175,0.00041428534158294283,0.0022861465654380186,0.0009053457513076291,0.00033181404795934455,0.00013154244330171316,4.670470781453773e-06,0.00010661593479588394,1.1168962853469466e-05,4.3492314131921006e-05,6.617173908374241e-06,0.020812952414090313,0.05191794697036489,0.0034927370141359937,0.0003366889958615893,0.00048463625001360366,3.926366854045682e-05,9.639955685303292e-05,1.5526921907316193e-05,1.0842168541413955e-05,1.3748180152095557e-06,3.856587833761527e-05,7.66940580887443e-06,4.155213333634222e-06,1.3173141959477164e-06
C4,0.0,0.0,0.0,0.0,1.9748820810800778,2.672121502896286,0.09359811773252624,0.07774292529107751,0.17632581748727788,0.023716086433247213,0.045901483590974235,0.0002191005476812613,0.0069182129759254585,0.00012015492608807854,0.011135197341972436,0.0003258693605275864,2.4401350006264115,0.2737992506522717,0.21077646324964538,0.012304346103949038,0.03470212617090582,0.0030132540284719678,0.004335397558229717,0.000135893178150992,0.001483386488571048,0.00013663927122320452,0.003962906990800763,0.0010222996633794945,0.0007402437088733643,0.00010710155118365261
H5,0.0,0.0,0.0,0.0,0.0,0.07766028517914303,0.0027666845490268432,0.031342911610828805,0.014152558758503853,0.010777147086656558,0.0017203308023716612,5.016241045852077e-05,0.001050476266936995,5.1050378199635205e-05,0.0010739291995164324,3.4982053385812506e-05,0.0992536943400304,0.02664834578120845,0.010074048107689082,0.0025153884963913242,0.0013949005671438641,6.117188724941158e-05,4.7641099498729744e-05,6.613566814861471e-06,1.0555387193189603e-06,1.2102278161618685e-05,0.0005902898549401403,4.948258226100677e-05,9.287617718567454e-05,2.641610268261374e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8561414251878852,2.016929954207714,2.727299745061547,0.19611730589305149,0.2516224721155166,0.004233804900679705,0.04829070108268929,0.002399907075224972,0.04587180962891739,0.0025378812148501018,0.18734111298954503,0.040244087346435975,0.025196199152702145,0.0033002207025383257,0.0026829274741206333,0.0005439210216701129,0.000353534991311813,1.7327302204384054e-05,3.8775781832312006e-05,2.50083404890189e-05,0.0014347125557398477,0.0012232733194316031,0.0003117147995985031,5.401656226311502e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025499499392289238,0.10860655850145862,0.015563480418200437,0.03776507912210514,0.00018084120661998604,0.003984736063952887,0.00010429710167270123,0.006710681961036746,0.0005027308657716834,0.027518633409215898,0.004388717214258597,0.0045509952722601055,0.0007013183703026282,0.000534674027741211,0.00012529318821363766,5.685963251578219e-05,8.398341827753342e-06,8.185590045561852e-06,5.04757835906311e-06,0.00035432310495231434,6.3807869117527e-05,9.223388071755156e-05,1.4343650125203666e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10711371323984564,0.02283404439738801,0.011435268557629108,0.001486154737272427,0.003604757898482136,0.0008765688403666871,0.0015494563892959334,0.0001271848725632463,0.01567110733994781,0.0036830099945998063,0.0011458809905886547,7.059063471293037e-05,0.00013659636143170673,1.2073890086616856e-05,3.070171266494892e-05,3.179732838809457e-06,4.754259858241738e-06,2.6817427913883307e-06,0.00036081413352651026,0.0014901836235111654,0.0001404388245125343,5.646727754271552e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5795273560239145,4.01914098855044,0.11994734263994311,0.5468145305646227,0.037021145263025135,0.49698705839991775,0.029469151593465748,0.010771950067654107,0.0034749210956556142,0.019518290455552118,0.04895594434568129,0.001983999734702535,0.0005984151730090703,0.00023148195473690625,8.373994448063193e-05,1.2250992269313699e-05,9.712263808969723e-06,0.0006728028758551108,0.0026000598212455595,0.00022386231376915477,3.0888133226936176e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4149058947791937,0.02523930337130864,4.302013264585047,0.1122530849316632,0.5360475573716831,0.030958014126663325,0.0023324153985009033,0.0011465821890097455,0.0024243469428101155,0.0034790122217769337,0.00045645666899493675,0.00010536686472806256,7.14713939112821e-05,0.0001383962995116228,2.1603654613011614e-06,2.2001122110815174e-06,0.00011662782306834374,0.00034306622086374694,3.1149888105860835e-05,9.912861268279727e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9273757062928043,0.6200164075363569,0.029260727583634294,3.415874765396887,0.10885070776652594,0.004215863689540161,0.002163034491831667,0.02105201971177212,0.04312848060884389,0.0019521519646553964,0.0005039568740373701,0.00036704921187136197,0.000558238688298518,2.6223337506126043e-05,2.7191272974347314e-05,0.004197376460846419,0.02160707152664766,0.0014681367057324535,0.00010853698053836514
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030209842717398683,0.0009066070720726849,0.09970818338461784,0.004553812978504546,0.00012962259966653455,4.9397050058463954e-05,0.0007135002944822499,0.0008963527428862417,0.00012950718507886982,6.39300151041855e-05,2.863616511816769e-05,5.763993405638601e-05,3.4600146856522684e-06,1.628674362930127e-06,0.004787738329503188,0.03776890742140937,0.0016609195097164742,4.460868220279579e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159245704141366,3.49068456154918,0.11597110433417845,0.0013734255923435745,0.0007640137360671595,0.0031582984109738144,0.003904305030136168,0.0003136665817966844,9.092445912350922e-05,5.639323808585839e-05,4.987003974932236e-05,3.543941805794759e-06,2.5500996290173106e-06,0.0002783581251256939,0.0008452591869897164,7.101456393858452e-05,2.0519338475244453e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1027381347471712,0.004655028755673474,1.5840511125464474e-05,5.522525671430856e-06,1.4739849505174263e-05,7.518841202780457e-05,2.4067170310004826e-06,1.4624888411418624e-07,6.830332256457794e-07,2.646546388707094e-07,1.3523935060710812e-07,9.865567140998621e-08,1.1400818033413529e-05,4.473976043162242e-05,4.0003476409200545e-06,9.563150724645197e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8371678727252496,0.0008254131096779027,0.00034721118821495756,0.0019004136926239895,0.00202834424121634,0.00030532364830643255,4.286687954957458e-05,0.00013300779502711801,0.0002554950047954918,4.2705656051467145e-06,2.0687790220907942e-06,0.00040104194313211883,0.0019489641868405544,0.00015632278676669387,1.7562775278756604e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1055827461081691e-05,2.5966218245576655e-06,1.5670276253154647e-05,2.759946830366289e-05,3.222990854645502e-06,6.72255305200764e-07,7.093338014407813e-06,6.299660384234684e-06,5.575466406337881e-07,5.942878600340151e-07,6.109187317804299e-06,3.931283866487334e-05,2.720340123496534e-06,1.572607499777945e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.036898312679544,3.5181365262291178,0.13858713278703438,0.2707250519806935,0.01861885925817197,0.03336895863603406,0.000943461849645777,0.004465765917130993,0.000981813928113251,0.04215566740288523,0.009913860219469606,0.006904388977686998,0.00104872870507966
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295650277275855,0.028609731174541464,0.07751378309826593,0.03175219501091864,0.010051647313974482,0.0009920680418180616,0.0012252748271907032,0.0006710792812225641,0.025761331483233813,0.004815242420790317,0.003260187694863248,0.0006804965825703002
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7905716994980332,2.578597752204838,0.09675893031763749,0.18390452562466725,0.007459554863075812,0.02733601995623358,0.009542896591968164,0.19406822302713492,0.029229529004383123,0.028955554135194628,0.005268576348860687
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10038560650851336,0.027830026326318036,0.014410440326664609,0.005654632801894488,0.000577870213501086,0.0004579113337155327,0.004320710851601239,0.0024814184919454974,0.000909116599824622,0.0003232775943742272
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783799908185864,2.795226964429996,0.08591520569481625,0.09224630579693116,0.09299054931158368,2.6794887994246146,0.2707830350001218,0.2151394596473514,0.054769516094382076
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08363645746061488,0.033695811367860484,0.004358126951276242,0.005448310532445211,0.10984656711432628,0.026666419197072133,0.013088912773355,0.0007860147740852419
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8377915718115991,1.719337572243922,2.047339864182571,0.19400238030662545,0.04104667659874224,0.026384997790007775,0.0018651578727836293
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024261196349120162,0.02386591008092709,0.009825061649337385,0.0026701459369027347,0.000817319669900618,0.000120247028166931
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026517184000015126,0.008531781741168976,0.0015128660139045458,0.008029090894906,0.0001473266198299683
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03169813701369062,0.006233044133794108,0.003753241042155353,0.000521096248980113
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.209574209197983,3.335993537264714,0.16590996146430137
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5182435976374593,0.06648454795490344
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7650159932482983
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
