,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24N,25C,26H,27C,28H,29N,30H,31C,32O,33O,34H
1N,0.0,1.0200553375090213,1.0227327856713098,1.4628430639133767,2.0938928869543108,2.4486767131875116,2.5227630667336425,2.8125533537210545,3.8147480093081207,4.262096327511866,4.878752632111938,4.975790908454866,5.778824907914881,2.493257174001067,2.79118277731191,3.691463306355248,3.933655249902115,4.923901971037178,5.122556616088358,6.132237300725804,6.116603953184542,6.277179553069085,7.438354573515882,7.910547078753732,8.513025518074883,8.786903173323315,9.131081927067841,9.895329572511644,9.505367539603647,10.443782837890778,5.2971499554374155,5.211958991448128,6.226844808841837,6.63365060295327
2H,0.0,0.0,1.614288381575667,2.032041415599117,2.29079164975291,3.3217877591564697,3.4172729148990078,3.7677621537342767,4.5423538150188305,4.769213251406964,5.7121548267656275,5.903244625642296,6.5583817614868645,2.8003059104994303,3.054491017565778,3.889324149246826,4.19423217858578,5.112885622994244,5.15436777649718,6.268429231835898,6.097463759646668,6.538851026995724,7.553588267899049,7.88639574024706,8.726659621817413,9.09973228045928,9.146860306409256,9.849543848296495,9.648297367040424,10.618247704182155,5.7229680731431145,5.822205785545739,6.591436523220097,7.109165063922111
3H,0.0,0.0,0.0,2.0119094431317706,2.898094707770492,2.805084421091812,3.0183921232534305,2.768436731478187,4.249978574252931,4.820053645398475,5.201964234073267,5.142468261309781,6.124454988435475,2.4978014363623853,2.3311736200375415,3.8432073766124626,4.288027215239698,4.859997010799092,4.946964907754029,6.226633808247174,6.337308345243437,6.450388710011987,7.412788338384974,7.81226271040407,8.460959276008303,8.768664262069162,8.980186306383617,9.69891536223162,9.378491599940066,10.294430494345352,5.037960963678478,4.99627038824597,5.803556186986315,6.146055641279307
4C,0.0,0.0,0.0,0.0,1.0947546745090158,1.5440228326346446,2.1423984761181005,2.179478908950816,2.5829324558272124,2.8822236396732865,3.804482913504117,4.097427021416226,4.600338977364508,1.544434365677684,2.4201588478056832,2.464671547536841,2.530273372138613,3.8050090742249143,4.238872135571897,4.870788946089879,4.898046297019941,4.896754145357673,6.247738963916852,6.880442811016462,7.265533330721861,7.469671533113534,8.090071056215548,8.937855654768486,8.345499098134795,9.273428700240562,4.237841356581577,4.097330303392224,5.346266876274424,5.790162601522285
5H,0.0,0.0,0.0,0.0,0.0,2.1473063233867133,2.550035204750295,3.0552909300141957,2.691290174127622,2.57565210121988,4.016927599750934,4.52852377930209,4.684884161182656,2.1754998404880075,3.236798679368523,2.6104031468948823,2.3789212516961844,4.061081030961301,4.532918970340952,4.844603802568009,4.658734419529294,4.824614647335249,6.2999219109421425,6.9488878285677265,7.355210131676676,7.558285905984823,8.198546451548815,9.059945693194646,8.465778388107163,9.412428846886815,4.772601131526141,4.689744091363476,5.949711486575365,6.481311949895029
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0973962646193045,1.0982438781722534,1.5272440104182097,2.4351842655606406,2.4386457762920593,2.598458131597472,3.359080051052784,2.516042150170854,3.2809621523620107,3.180979748106242,2.9740964173274023,4.342332938884536,5.022101254392084,5.299807313780392,5.544702486775488,5.036099957556817,6.651014581518205,7.506221565836414,7.441918871440746,7.431745305558945,8.610726229031135,9.539117768284179,8.632317606895905,9.480900946555295,4.327118949909393,3.751880392734975,5.515010630797716,5.732581997478545
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7627085368430557,2.1428793681217053,3.059521391071838,2.7565815411175403,2.8091791071956513,3.7188329872328003,3.4376290182610716,4.125497941507901,4.18814162970149,3.9222715217039275,5.414298765800353,6.057007622621351,6.342741431233784,6.51599562745292,6.046910155789146,7.721527738588245,8.571830259405045,8.51167699116574,8.470927107217033,9.69318533092318,10.618573787125095,9.717062235033598,10.563740032675584,5.415175352352461,4.796148253123618,6.580242922492245,6.758969917769013
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160738266236785,3.2032162542924785,2.6526833388647715,2.4339542848590847,3.588075853590016,2.665038084418734,3.0620283971833926,3.4608311018924307,3.479433144528814,4.352785552406539,4.983974319054682,5.469411174842577,5.893825169296165,5.246864446691083,6.680752370349948,7.51317043308186,7.389070608232376,7.36615298195882,8.539046710335075,9.443634377722356,8.526194961318753,9.331672839190944,3.9862295772040293,3.3052544145102374,5.036790649850377,5.106770844027559
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231288665742569,1.3637152063519569,2.0705349727063656,2.0324605104465054,3.194889768409014,4.176205636749446,3.2136585586741426,2.597790773508992,4.239408178212065,5.15174688904885,4.784756120412562,5.061071689487586,4.237001744074226,6.144582810180722,7.199834529611787,6.76907817037578,6.593316472178879,8.233562287254921,9.24062884708354,8.066311443220224,8.863111707782029,4.231418896024904,3.5072824126124513,5.542262534834329,5.747868775416136
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2635873976664143,3.1592962803873768,2.4743294503920157,3.3073324970576223,4.4581102952540625,2.8899035871945173,1.9897871766773403,3.9310122695937704,4.874806389531664,4.144278069308598,4.238795908316825,3.546111308487046,5.565596827087099,6.63554872411165,6.237772827744244,6.0944767524163925,7.697619846644273,8.715062091697895,7.551358596971343,8.37288414682119,4.281473846596428,3.7882781927603073,5.629183242940235,5.98924035574638
