,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24N,25C,26H,27C,28H,29N,30H,31C,32O,33O,34H
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100059291847616,1.0115364155343423,4.355445195119988,5.180716888644002,4.3659263944921625,3.7741168222325023,5.157025314743035,6.12980027857174,5.608330920101241,6.038574150606345,4.8983295043400155,6.830184845723356,7.993888734917605,7.223298457258626,6.861345720630757,8.901737112440165,9.93706418308247,8.549274456362662,9.245470680628218,4.809907607088377,3.8213574299317106,6.043820300675329,6.044773995174988
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7266841204166223,4.622682223286708,5.249630801480391,4.841596426469776,4.420582691612591,5.549358231627195,6.4634432899326075,6.174603990583874,6.703284429585063,5.5295037075521725,7.318284931472673,8.445650150639535,7.6706703742381,7.304213925521113,9.313107406856046,10.325003507182533,8.951745216717006,9.617406251542368,4.970033201809162,3.886081625765108,6.091843073557056,5.957404169836139
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.006719476942317,5.879561545659585,4.765173862144648,4.065092929060967,5.402976240773826,6.445420418449692,5.589418487683561,6.042488144370232,4.731340244549065,6.729126348644396,7.982992496804008,6.96825372335492,6.48123815638039,8.807555270342464,9.870118147321207,8.32463019821163,8.958225915381108,5.050473309767636,4.049543615318173,6.271131220044516,6.253276116193774
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2292170149219757,1.3635356924597668,2.021469869693815,2.4350346207651694,2.7432159638275238,3.7318681920677093,3.892106022044499,3.995063725648767,4.970796363146421,5.492060455474751,6.0407346678671505,6.374065972244706,6.682055745791206,7.4922646415502285,7.013950227468923,7.95078532420315,2.9497527614094707,3.1601605531251318,3.9437576601267823,4.506735644861
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28072080545554,3.135922236322976,2.7781541347648346,2.7174232328309014,4.283681990849816,4.561648650899085,4.71445956493934,5.269912146488621,5.5860469309190846,6.325639932858366,6.7489508899545365,6.703802330512951,7.407826190396401,7.136373941520728,8.047679213616497,2.9863389296074736,3.361988170623965,3.6114267684835752,4.125880779612438
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019494906502744,1.452940833472088,2.0940309636235677,2.441319618415638,2.578438969527878,2.7045149731822864,3.7952135378815344,4.453778005152452,4.884173865440969,5.2212004979831335,5.6596162272642685,6.543440188185791,5.923736848766776,6.874846205428542,2.4458176541962837,2.8330545989226334,3.5708364049347283,4.263105620072751
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1267589835844647,2.960464580612681,2.562726978137291,2.599194768738684,2.450216125341731,4.042970044979763,4.90120348229187,5.0108084960540795,5.187636624532035,6.072270068143278,7.023302655342475,6.182121474471523,7.103707512244732,2.9836779206747055,3.071272563907703,4.239893793428126,4.849482745023879
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0923834770795773,1.548988035167045,2.1387048513916302,2.1675498330960683,2.5566140975577465,3.185976817745497,3.6468664703006195,4.119892051030828,4.31671235754997,5.20787928209362,4.58211394767687,5.528669943846985,1.533430004975867,2.440074735160206,2.3940991505819453,3.223980657621963
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1715808274047497,2.5113696991306265,3.0672305996606615,2.756546002977953,2.8769849037453166,3.970112541250258,4.656782211030172,4.04894264262979,4.779228669114085,4.61700912418612,5.583293503766068,2.144304145715571,3.246832207730214,2.4568583838519995,3.402923495956853
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097147273744244,1.0973666321151727,1.4979804347679302,2.5093825103449006,2.5902656048971227,3.0620266156008156,3.576847963503999,4.579887728734644,3.6645954742549627,4.6152741260393135,2.532600558456361,3.2485962740531,3.2377206723328715,4.013973036321114
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7686113669068557,2.1322109792655795,2.7664547890294786,3.3137856708891906,3.853167150993754,3.939990111807769,4.846179711873851,4.237741427622263,5.205141680594422,3.4528252063510156,4.161605450943578,4.17378467173229,5.013676744093854
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.140858905613647,3.403533736780362,2.7418822246002854,2.808190794691622,4.280899900766801,5.3404732534023385,4.038506639966608,4.878186792949786,2.7347813201297413,3.0405117678602305,3.6560569996764523,4.243197015390433
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3820780054932653,1.3749293400444937,2.2492318656175616,2.148220083794698,3.203200826718581,2.1928775577136013,3.173801968839339,3.10171374107118,3.9637011796743673,3.2142011824258376,3.9473751797700505
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260350538356782,3.3228326437160316,1.313706624501721,2.1366989062975534,2.2186690297718807,3.1863548242713473,3.866155205098633,4.926869892265633,3.629130467648264,4.44684720125168
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0800941291432453,2.209787258844269,3.243648307317435,1.3810996902618935,2.139373585598552,3.7265121805072376,4.359276348872965,3.6699718051932955,4.1360009543333405
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.238664921542365,4.224922265190297,2.159418214251662,2.55570071408294,3.965608889625599,4.306543349132859,4.060110908482862,4.33415541954568
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0822641775414712,1.366695439330953,2.129592880361938,4.689574252004083,5.681467935944015,4.199350467111721,4.843112413907195
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1499669308753186,2.5508935228261964,5.584504594245952,6.625045840547511,4.942568627132421,5.559904325770081
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0096990554228549,4.667132694097203,5.441699365083287,4.25533579851877,4.704044413376957
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4676220407704,6.153429927151628,4.965997744527779,5.27326032292259
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214132109650271,1.3479675902419705,1.8714650493349019
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2512654320020893,2.280048562687281
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765140473722987
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
