 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,N24,C25,H26,C27,H28,N29,H30,C31,O32,O33,H34
N1,0.0,1.9828438006332183,1.9270930253667515,2.9313458148353044,0.08253500819874515,0.21071962813294437,0.027227885592838508,0.003901893769217346,0.030721347912359254,0.0051597336651157955,0.005953733250694093,0.00034231937023554426,0.001453640830918479,0.21091999143138096,0.054588917204436885,0.03299077360859569,0.0024883961487438544,0.0068280863073549025,0.00023708430252744606,0.0011866550465421677,4.5447682275767676e-05,2.6403343628245146e-05,0.00034994911675599594,4.6307142971949156e-05,0.00013829308246078587,6.415161281081438e-07,1.1613003194188565e-05,3.226683080725934e-07,4.087318283196861e-05,3.7252999492976002e-06,0.0006666565887328002,0.0001498547006187484,6.214739883439457e-05,6.0803552982546805e-06
H2,0.0,0.0,0.02734705917910829,0.1104323475902842,0.009454295706950555,0.03051641361710722,0.0014582683168677946,0.00036035978213622144,0.00420681452927385,0.00047347873913572425,0.0013410216057891944,5.331883717896169e-05,0.00031472316786329557,0.005865677617460485,0.0026560953308889523,0.00044722669306140883,3.982316883521797e-05,0.00016695688582923918,2.5970655863627456e-06,1.2585751984484084e-05,1.3142284898126633e-06,6.082391847961333e-07,3.8136506533836823e-06,8.075878833446737e-07,2.5610531442232798e-06,2.520127884153567e-09,4.790113113939398e-07,4.026301736459459e-09,6.934369355393599e-07,1.4178998197778014e-08,3.4328546219541956e-05,2.2592844426405634e-05,5.551149624305474e-06,1.1022067230026522e-06
H3,0.0,0.0,0.0,0.10827449811242251,0.03368872855571081,0.005913308010454532,0.00027333792759098863,0.0021383319888998997,0.0008897654812308753,0.0007393710173119183,0.00020981089247573692,3.636108579141428e-05,1.2127803169281748e-05,0.02664576688199838,0.07018247832194335,0.004511910100107652,0.0003620167077036385,0.0005055517194935133,2.6256909697597308e-05,0.00011205109957612702,6.297681868439042e-06,1.058483851745784e-05,1.7764863562530486e-05,2.286596866407642e-06,6.861662655510692e-06,3.546733884363107e-08,1.3836544491274694e-06,4.924366603376029e-08,1.8208362545513168e-06,1.6890449505702065e-07,8.522090423079831e-05,2.7846196204217577e-05,1.5643334040693624e-05,5.478332592012691e-07
C4,0.0,0.0,0.0,0.0,1.7740841822413884,2.774911933215134,0.08983988679466548,0.07625706226532492,0.15804873466402716,0.03854582998527452,0.026206131557057505,0.002119744952243763,0.004350800584139725,2.401893922841372,0.28469936932301,0.22211394328181389,0.01544820912663869,0.035735833045380944,0.0019190735377441204,0.00409075654156979,0.000194942541682952,6.546759530445811e-05,0.0013155468800135628,0.00013322514988529932,0.0004038556962243367,1.4479875487527494e-06,3.6796697008179e-05,1.0221804556120873e-06,0.00012016459959779402,9.330805692764343e-06,0.004897255782983473,0.0018510380202757803,0.000766316054194055,7.909765771496602e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08113547269506705,0.002946971535560783,0.03319498459471548,0.014062775088916624,0.021321384275848287,0.0023451287291682554,0.0005060926167943514,5.93684777698833e-05,0.09297866557416379,0.024190407095781352,0.009915902439737279,0.004711108007239284,0.001461632590050721,3.367722468028411e-05,4.616928845657675e-05,1.3133774965146117e-05,8.979866612524035e-07,1.2707308118198313e-05,3.6392312449118336e-06,6.325006722152082e-06,4.088448468664296e-09,2.097071470474887e-06,1.8542066326787676e-08,1.761412928513728e-06,9.431750491728508e-09,0.0004808047584363706,4.8474838464707126e-05,7.546807308422832e-05,2.1152195976981147e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6591902251879116,1.78426290557382,2.5767059598693183,0.28288854137329333,0.22358758281959995,0.01547231729914711,0.042754885011415444,0.1896177996089459,0.03988533990618727,0.028637582965509473,0.001447246596880336,0.0029039832038473823,0.0004785115105606641,0.00034264770018602175,4.600659626785575e-05,6.597418879705774e-05,5.7641748410192095e-05,1.3084726761133925e-05,2.2457058744596026e-05,1.359523222888015e-07,5.3398495480083685e-06,1.7851667599710908e-07,6.2946595653784465e-06,3.5489969574253877e-07,0.0019914652823378454,0.00330905845705691,0.0005223640303239768,5.675273466743125e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02583194112152598,0.11537112657170256,0.03170555283170595,0.014824780297370665,0.0005733010032167307,0.0005776715272050037,0.027390636004691382,0.004574070455941492,0.005117546451793409,0.00037011976674961033,0.0006901768944802544,8.482045616520217e-05,6.759122699206976e-05,1.5055043587341999e-05,1.2724644597783552e-05,1.4393988211569564e-05,2.347199729246796e-06,4.51613768936987e-06,3.0123122884972986e-08,1.2228577965789356e-06,9.945210432960039e-08,7.688119999516019e-07,2.3984459085468757e-08,0.0005500363243622353,0.0005288607263407297,0.00019540248818261663,2.093448480167126e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10157133865666967,0.028722522443246246,0.011794964150148579,0.005481554709332537,0.00045557002024820825,0.015677429564683543,0.005871044395705627,0.0013817854454956091,3.6734871222243726e-05,0.0001260998290049109,4.313974808045629e-06,4.8501682659018996e-05,2.777933902686769e-06,1.5359902906464384e-05,1.1657562544176159e-05,1.6739894168615876e-06,1.6807078315750346e-06,3.3449155889542226e-08,4.0348261398648333e-07,5.691780957661763e-08,4.589158613121924e-07,3.854283514570511e-08,0.000727933376381884,0.00320989498129709,0.00026845478668890976,4.59492976623288e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864755650403974,3.704515906093426,0.13784293349909027,0.14649132309958757,0.011045334850912775,0.004774502706675177,0.021280135740153444,0.030907318576004927,0.002137823848890774,0.0006556676840276943,0.00040616018758085626,3.3431845497311485e-05,0.0003906997014277991,3.354656461193595e-05,1.3573828746199501e-05,8.22916355727732e-06,3.462367343942674e-07,5.626774823658254e-06,4.3877670830028137e-07,2.28402802662786e-06,1.1802013077932827e-07,0.0021544783314360882,0.011167545435232878,0.0008509730506145452,7.921861180182344e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5444806263649282,0.03396467777546386,0.030067275004542204,0.007389260636635142,0.002320195932466962,0.05880059770598796,0.16396206326766816,0.005474639228218975,0.0012773547523712292,0.0010107879186795204,2.5805031308112625e-05,0.0015147237407494574,8.02176213096778e-05,3.582076725200389e-05,1.761989789070273e-05,1.9274430159699207e-06,1.236044979883999e-05,1.2822973878279242e-06,3.294867594941242e-06,3.625930546924394e-07,0.0003372011734519842,0.0016196443554493123,0.00020064132023785153,4.9464567342116794e-05
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7806482638472518,1.7070505742280255,0.0022534249155002906,0.0007853274014886641,0.004111901297919385,0.00806618255691216,0.00042902136179408246,8.870289607765258e-05,0.00011724669204875304,2.3062275339436056e-06,0.00010218444676968197,8.331427005417447e-06,3.628283588907877e-06,3.5491454475899964e-06,1.35525277777937e-07,1.5271876021294428e-06,1.4365429179541422e-07,6.972968892016151e-07,1.3904774220918625e-08,0.00026281823067883514,0.0011585613678782997,9.096507782410668e-05,1.2707075305318227e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036367531198322034,0.00017523157648480225,6.370821527723614e-05,0.0006140920041899367,0.00037099401327878034,6.897486187895652e-05,2.7955181012950803e-05,7.319300300401288e-06,1.276208063671902e-07,1.6018432846820474e-06,5.723101642596262e-07,3.0223724400979535e-07,2.660109839069946e-07,1.5310113843369777e-08,2.584326147525573e-07,8.529176254157278e-09,4.701993661093695e-08,4.103685613543462e-09,3.0848343312683824e-05,0.0001605024915519726,1.242094580267139e-05,6.813897537316649e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024214577877934573,7.154767175510113e-05,0.00012663938419688048,1.5628391503152983e-05,1.9869099829983305e-05,1.1536407167556106e-05,4.808853825810644e-06,2.6774903960635754e-07,1.0282413446915939e-05,3.1519096055365736e-07,1.7814640496105483e-07,2.92585694672276e-07,1.2504577373562142e-08,1.1294409574258424e-07,2.121612441285947e-09,5.6119106361940396e-08,2.6512763096064873e-09,2.6164717530363646e-05,0.00013833177295385912,1.0578683779405296e-05,5.285068953586602e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.952445210153023,3.6270269781844435,0.14507913243745918,0.2698542765290667,0.015417237794890015,0.03077632520528245,0.0015627730975189547,0.0007541586155010993,0.005766685632738022,0.0006830975201054523,0.001672328522034805,7.861767154837551e-06,0.00028435065609086485,8.271375019575089e-06,0.0004270911024421564,3.845058496954046e-05,0.05395063321393945,0.015298784122353581,0.007651146610158532,0.0009166278886577617
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351186420372313,0.02596900186259543,0.07093077744463441,0.01763467693624521,0.00975786658456447,0.0010421023855280431,0.0006013989628197436,0.001254150508491217,0.000249601930647797,0.0003293732436544239,3.3352336019643047e-06,0.00010748384388807597,3.228782112008055e-06,6.931395304693444e-05,6.636732366227527e-06,0.04172885178092553,0.008566706378943828,0.004659830848049343,0.0006397971348192089
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8262282407359498,2.738444738386773,0.09711172571259141,0.18336270286391282,0.014729229279478173,0.007194886568959724,0.028123798672996664,0.003517264845486548,0.006227009831000219,3.1941900002330215e-05,0.0009614029577080796,3.2043087092148426e-05,0.0018662522186106006,0.00014576911356645184,0.19027844767570945,0.03290659901581411,0.027132987716844317,0.004870006177108865
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09678106653370544,0.0208013008132113,0.019000079704350914,0.0018511899682496225,0.0054273166957352625,0.0013565929217614903,0.000654080224885556,0.00040573770370988527,9.786288795776699e-06,0.0001973854497361316,3.045926488720596e-05,8.991499254928925e-05,3.3264426169132832e-06,0.004988122224359737,0.0023386422011651975,0.0011373157488442365,0.0004907582329609639
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9433787065468675,2.7371596243392293,0.09227689814256457,0.08227650730047698,0.17473567139292498,0.024716347961788954,0.04557765520695686,0.0002513393968899269,0.007053080586224669,0.00012065004094941045,0.011184234444720692,0.00041324120027574907,2.433899088639797,0.26820845357387246,0.21098587904864186,0.05537289461977557
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08091489226930837,0.004602594696052842,0.03298669886482419,0.008933496880295655,0.011354240853202358,0.0012593672357168462,5.837910483008635e-05,0.0010747541981016573,3.0202955184632785e-05,0.000835872174677843,4.795078647545914e-05,0.10646497318956283,0.022990454671752425,0.013102241956150062,0.0009279724966158032
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7409532249386594,1.9789453579149785,2.6277553949423127,0.1980134457879471,0.25358369154827176,0.004238307812566955,0.04931946658527028,0.0023213515470614787,0.04632218912107994,0.002395199833460704,0.1842054551880545,0.03934695422386304,0.022879914203113014,0.0021889496790615803
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02391249274034357,0.10672248674871776,0.013466273205054002,0.03985022020378892,0.00015513235512853996,0.004278496887940131,7.449312976093303e-05,0.00697000914181467,0.00040204127796217293,0.02993905308840117,0.005844095053431753,0.003065238656488667,0.0011229258971887646
