,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27C,28H,29C,30H,31H,32C,33H,34H,35C,36H,37H,38C,39O,40O,41H
1N,0.0,1.0205838333492483,1.021876513887993,1.468229650257767,2.082264918060146,2.4526970899008815,2.550870462770335,2.7175894506062805,3.815239851292768,4.789822410549163,4.971520763781329,4.706816844763508,5.9449670695930115,6.825325040810804,5.936852755273453,4.95876198168964,4.364404594649257,7.113873079576312,8.051864439792242,6.293210036740305,6.7658290843751,7.244631510232062,8.268762270065151,2.4760385417224877,2.8475334135063024,3.6043925846593114,4.776927705926142,4.762259942069708,5.867606253336784,6.848672769626595,6.001889348319618,5.716535164337561,6.147796002450168,6.4363126409352445,4.274590859603516,4.250083104971788,4.2236162261382155,5.493066530545572,5.746984937778423,6.315420457779208,6.911580681730768
2H,0.0,0.0,1.6220061177825786,2.0467642572460494,2.3344484087311934,3.345743518058088,3.4816670486329793,3.665181945384372,4.582084357078526,5.511873252466949,5.6760190340935965,5.377175628165542,6.610623305020994,7.466262636688324,6.574429101898436,5.544512472466999,4.927341120791534,7.693954205202799,8.623114446991933,6.80872003293134,7.216022477091331,7.774611593933063,8.762589149606969,2.723670201974729,3.1241083507476253,3.6261211770372297,4.703198363747468,4.539801665012865,5.683971560590945,6.7018267228205906,5.633205566902456,5.658279502997121,6.253812060841296,6.291659234331185,4.249848108601574,4.4320584170904445,3.9794062301643485,5.64834305061859,6.082717542611212,6.395314850622762,7.099319174317639
3H,0.0,0.0,0.0,2.0191867736684834,2.907690580887836,2.722382840317867,2.95360427432964,2.5612478323445447,4.14287367277714,4.928901398044906,4.9028753626739965,5.244872020466228,6.203725059979705,7.02038544714052,6.392485588448059,5.674656300248727,5.149902706679802,7.657927592186479,8.545784088478289,7.044527328729495,7.586167458994763,7.919351504293561,8.972850138231053,2.5404953932469714,2.4356306617439256,3.8318074812635357,4.79271407977685,4.654229752452873,6.0689663518644625,6.969154065892436,6.256478138811335,6.111266684559333,6.476695551248497,6.935465254552653,4.782269071597544,4.831499807920666,4.869776843596582,5.320244688459283,5.614058258387571,5.981882093045572,6.520446175024875
4C,0.0,0.0,0.0,0.0,1.0949465053627048,1.5503333917183726,2.138083233866159,2.150236586139061,2.570727915098895,3.482043188375014,3.762009030575344,3.4941654813823595,4.56875608662574,5.435988067936705,4.605090914177657,3.987949657439122,3.670016868164642,5.810849705618219,6.699113286479123,5.305087136942981,5.9383896588946135,6.08153541258366,7.125380688419005,1.5419186532646951,2.4067023333783246,2.514867295460713,3.8565799611339897,4.151664198141273,4.851304269941986,5.8101968181452035,5.170064851897952,4.486537839723732,4.7976381745128585,5.249730908529016,3.0509489421782177,2.8801280569595886,3.2508210839268084,4.497838615653407,4.582251859614749,5.529318649620766,6.0840714725457525
5H,0.0,0.0,0.0,0.0,0.0,2.170425303728315,2.5183506907995303,3.0541849290239584,2.770541444228962,3.7913165417060273,4.286811656788475,3.248747141527993,4.616150345445071,5.511078403110211,4.385028147836477,3.472887293133409,3.1327597879310765,5.420062332639809,6.34686543327523,4.6797965311245,5.227133040529235,5.519999804319201,6.508202515558616,2.18850377337735,3.2864281724528515,2.6294126882710755,4.077036610695822,4.472039139216228,4.74822779178691,5.771403411383022,4.968800708652448,4.1439804449720965,4.563034691609942,4.722175719677586,2.614676208226416,2.3493493669422905,2.570103123689367,4.9295646897255665,5.0065587778150755,6.0550666442419345,6.667636103180929
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0961026234702274,1.0973667230851583,1.5024528389326532,2.572593455759431,2.9864785204537014,2.6372062941943697,3.7156272062288154,4.632866960941686,3.773735846266975,3.3313393176699178,3.153917063108835,5.054605507676816,5.945640142292682,4.701546410883033,5.436542392834722,5.4091153154582985,6.488639101513466,2.526570583746149,3.098699582199194,3.4733906993171106,4.728452433598269,5.19214719244502,5.748992256466362,6.584755017364633,6.2810450313619075,5.196081537567537,5.1951206251196345,6.0008069226742515,3.902656536693784,3.360022455295922,4.3570465263057185,4.936766547493564,4.652050014944523,6.0198221811839385,6.35836043192451
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7620474283704193,2.150176989113234,3.395755003600768,3.933106816880412,2.8352771767880802,4.37040185564528,5.336496134326976,4.149887561193936,3.101365530801199,2.6402882943927315,5.284801863243472,6.261006343318326,4.474701028133121,5.049462738230188,5.393427588412494,6.434528571624931,3.44490310223447,4.000962481314053,4.408376698237862,5.7302314771205864,6.141917046600207,6.697545082844089,7.580767480167844,7.151105681168884,6.064597211587661,6.110586682877201,6.774913211760608,4.686324399972724,4.066935863105697,4.969632806126491,6.02230917966478,5.74213511177326,7.092736836777551,7.439886830426305
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145609284430841,2.7609234611712585,2.8041482203866894,3.4746880235543514,4.070920334901284,4.8712987779460555,4.421240386914846,4.307077676992501,4.1615666589837925,5.768304667972787,6.570908008664546,5.65385308285855,6.420943143752433,6.265385582176276,7.349046269773375,2.6782025424507268,2.787423515027059,3.809602512632596,4.841807105651511,5.198184329426636,6.0609963018947886,6.8080408696648504,6.646408758938024,5.724325497287826,5.654511905610142,6.636057763459915,4.553942099217244,4.147967412543038,5.101687211799994,4.803759346027698,4.515839878630776,5.726924478420391,5.966665928903903
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3739993706976985,2.2247993201026324,1.4456458523107854,2.2583135392084666,3.222649276639688,2.3117850040943995,2.626423011961045,2.964730574610967,3.652693449911713,4.481751715172106,3.8241725134157893,4.750078709082772,4.220543794172388,5.3057317111717825,3.1277615702532358,3.8561014592242078,3.5744094275967417,4.74983990618799,5.48234176662424,5.510862361459161,6.231719907442745,6.208815447433794,4.675435790994766,4.416312623147119,5.426568157420931,3.6328658495778217,2.8114358453887918,4.308829621680764,4.767420795862524,4.1802523282618855,5.9952764622501595,6.225130538971935
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080485962753944,2.256478684690871,1.3823457256229001,2.125641874820826,2.254767450396815,3.649928954503949,4.213465395502969,3.6284672249996803,4.170227860268657,4.598209126866831,5.631569945836358,4.589507396786573,5.617937271882234,3.4537409977303692,3.9755176353023187,3.6555766839076806,4.484489395705979,5.327373131883932,5.214803699233091,5.7269668951333665,6.091366960185114,4.459307819734282,3.92126070812938,5.2986053013469165,3.82351248571327,3.119384952783193,4.74233119444673,4.106095129197481,3.252022485740036,5.303757353189161,5.362891310566513
