 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,O26,H27,C28,O29,O30,H31
N1,0.0,1.7283330330011455,1.8906037258445896,2.9829051127055726,0.09163766686146146,0.1948183058130944,0.024784626990454695,0.021984094753581873,0.016915818969201732,0.010532592006327834,0.0011655801019214707,0.003083228452075981,0.0038152361551022362,0.0004708421075579339,5.95143477474247e-05,3.8642388998866295e-05,0.20993729460415814,0.04580808692076023,0.03208168806163942,0.0021508176924744937,0.007218386596566692,0.0005773732837657253,0.0010979836535099374,0.00027492132739448394,4.665743006726508e-05,9.80557079355987e-05,2.3134715552153295e-06,0.0006739819328011043,0.00030663170361432124,0.00010882010163969225,9.852238038177141e-06
H2,0.0,0.0,0.027471428174653312,0.10951841682051788,0.00854375668219265,0.0334817306112416,0.002447216847379252,0.0018426989164173069,0.0013335767034293733,0.0004310858644593907,0.0002354380037568049,9.22867506291114e-05,0.00011039148685709765,3.252537747555628e-05,6.8321768695867036e-06,1.0895796508814115e-05,0.006276259676350815,0.00443609100280451,0.0006068933105471963,3.422551032472576e-05,0.0001727048307443857,6.339057520454716e-06,7.404067445371254e-06,1.1049927644002366e-06,5.30195604753203e-07,3.719408111502176e-06,1.294403249030296e-07,3.829111459796586e-05,1.0667361645566587e-05,1.149257812704807e-05,8.325102531792083e-07
H3,0.0,0.0,0.0,0.10908600027553916,0.03425639224244548,0.00748332992059042,0.004932878410385255,7.435574780223497e-05,0.0008648731006840604,8.358907380534575e-05,6.838378999352024e-05,0.0007982097286566292,0.000623159834385878,5.095634613017097e-05,1.4284004799192118e-05,1.5953342100250012e-05,0.020413212935919356,0.04972264417128891,0.0035741396589856755,0.0003987346360536659,0.0005865891659727618,9.382041138339403e-05,7.121221937145261e-05,9.848647426258239e-06,1.7182957792183373e-06,2.5773374226267798e-05,1.641073828162476e-06,4.537882127064741e-05,2.1834349777871687e-05,6.067179396218592e-06,2.210155098936184e-07
C4,0.0,0.0,0.0,0.0,1.9783240214297622,2.614391668810219,0.08562152424576852,0.07584189011538678,0.16849467017751116,0.012803613995115315,0.027685524896263303,0.019876191858033493,0.025078017534778965,0.003852867125238482,0.0004626356960711897,0.0002483537672289815,2.5736693888509095,0.2734414791475869,0.21847079742990305,0.015150861615842337,0.0355716243037896,0.007375925898602476,0.0038586994424388565,0.001175984215880277,0.00014629713721436843,0.00044431557525521914,3.161782565974658e-05,0.004062566575020993,0.0016677772776434313,0.0007538810694620868,2.8932370350176484e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07393799528562939,0.022873985899357407,0.002064704044313137,0.021403987602919505,0.0015479871233594622,0.0026265048774294364,0.012226789572732377,0.01796340319177736,0.0022075945182152834,7.31949536327825e-05,0.00020245958161324573,0.1034589477284591,0.02713830865140876,0.011756847281144123,0.005134138896530471,0.0016206985314318745,0.00010373875684188683,0.00013681464403925148,4.544030602016136e-06,1.8762701562868855e-05,3.101653303172469e-05,9.80991153864963e-07,0.0004148365432319334,0.00012529455581111737,6.103630219878031e-05,4.57076895110653e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.15522889622445,1.9337900313594432,2.7056804014388587,0.08318923350750818,0.08483807956628087,0.17557082957509684,0.04301835395715721,0.029667375992507544,0.002155534162013306,0.004511805309750705,0.18821565465161838,0.03685568241619784,0.032527665882300966,0.0030817425086016037,0.0033494663625318333,0.0004343565489894896,0.000887121106056793,0.0001501540901513998,4.772024736943159e-05,0.00010601989960215552,3.7703383833909143e-06,0.0013686755294969044,0.0004172954004367513,0.0010350512246578986,8.101541893423825e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268427632901298,0.09763615025355432,0.0031804756873106133,0.006012656098904445,0.02695472444160618,0.004741826264904825,0.003387058705333623,0.00010114976085184857,0.001056225465347671,0.004234416204458302,0.00026585015455748984,0.0016729256876316656,8.663332632918852e-05,0.0002759615088077094,2.4820074225218036e-05,8.540936775225383e-05,1.9416223719481707e-05,4.4102353859987176e-06,1.1160233464813096e-05,1.488780585479077e-07,9.217816368889409e-05,1.924669850694727e-05,2.563479089456866e-05,5.018181004512456e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08804965587851843,0.033723649810686984,0.0026282676670590366,0.013595463639338279,0.011515040008277855,0.0016675465600998196,0.0003706779087688794,6.644367467956158e-05,0.02237329665547927,0.003762813802555498,0.01286437081032954,0.0022990239918154742,0.0007518014645357951,7.464334804185846e-05,0.0003856375426598557,6.915677093477512e-05,1.1893666367113198e-05,6.0183603710073363e-05,4.166547592943104e-06,0.0007985369260914421,0.0003722237265135764,0.0036227842268033994,8.103758930966265e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9696340423328784,1.9471006757375375,2.8183612637603805,0.2806404270418118,0.22908725451453527,0.014060234766514856,0.043015151903911475,0.025526755300658316,0.007468738615030127,0.0034724271461183537,0.0006342982070468572,0.0005845023979834385,0.0001408847131042501,6.624506277452813e-05,8.02525690146716e-06,5.535525581024103e-06,1.6723810546473428e-05,2.0213821340098193e-06,0.00020335660690318225,7.378851891851057e-05,7.922663009697628e-05,1.5896110654556317e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02444987866200976,0.10418008339942464,0.030293565392779276,0.013265525136414213,0.0020569374346650626,0.0002297113745424184,0.0016476320282745593,0.00048745855867404764,0.0003859807964343709,5.66662452883282e-05,5.5218177368532295e-05,5.826650436580039e-06,1.5260594758315094e-05,4.450115997922666e-06,1.6256658570412696e-06,7.803330299704925e-07,5.6869794429204035e-08,1.3802058640877135e-05,1.2384135325005374e-06,2.3883396203294716e-05,5.458972030636389e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10781745803574094,0.030234713051940143,0.012535803973571347,0.002572115615254722,0.0006327804422234795,0.003952607153104193,0.001418197328271309,0.000332139797487474,8.049081336225505e-05,5.318264646825277e-05,3.282067636023456e-05,1.9862905171752487e-06,1.256928361392795e-07,3.9166949417079877e-07,1.974021916373303e-06,8.273211162812544e-07,2.7176982135612704e-05,9.413068033925498e-06,8.049355970873862e-06,2.2088280982046626e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.758076289675403,3.4959232580091366,0.13139556115116102,0.14234507176527722,0.0020060307125263077,0.0007202345414033667,0.005256298676933835,0.01396442004102394,0.0007582192174769853,0.00017230194195372306,5.927759668747368e-05,1.2929991948240627e-05,2.3733483620613782e-06,8.259909960584011e-05,6.296807089412049e-06,5.95039611162862e-05,2.2233379741276593e-05,1.5354404396900057e-05,1.6135982553455719e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5504044150135022,0.032295031971200316,0.028169514455796296,0.004954838715551899,0.0010368903480050713,0.0367065597332245,0.13093719336396792,0.0038215603120177605,0.0008447795323426321,0.00021522518697100756,3.392006289282268e-05,6.386374239331083e-06,0.0003938690468605552,2.9505504310245456e-05,0.00020919980179080755,8.65105892772361e-05,4.5766933164222146e-05,1.598909473932153e-06
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7790322053886003,1.9928471892073254,0.00043630061887378613,0.00015133900271027678,0.0018062077767864518,0.004490887095804363,0.00025117103787002104,5.105688464346336e-05,1.4625431470224881e-05,1.1161843231910495e-06,4.769831106754552e-07,1.0175096868500488e-05,9.215796301642598e-07,1.826556433931481e-05,6.4006393025659025e-06,4.545690089785559e-06,1.8864960049658208e-07
