,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26O,27H,28C,29O,30O,31H
1N,0.0,1.020185543713438,1.022202476485921,1.4612653207849688,2.0782167050716533,2.4671125032406134,2.482717470423662,3.349111594962538,3.301079462410044,3.0272171683184297,4.13494582708393,4.2305816408835,4.405887689242266,5.322196325907411,5.5428818043448125,6.069514515847753,2.5099436363806378,2.8134917042498966,3.705877240666895,3.9492955829858336,4.961018229833073,4.897449437920156,5.914838667451156,6.830697343604896,5.614244433877661,6.394820187896665,6.898614582917614,5.887299465219081,6.973521180534855,5.6658510366594905,6.501097766569769
2H,0.0,0.0,1.6121860948118811,2.035175617567877,2.2856625356550135,3.344718225809054,3.489048162393871,4.162302307776936,4.065640040832646,3.687512343569914,4.988236132558997,4.775707733198661,4.829637058864513,5.813560970659166,6.075078560765754,6.4639032910789105,2.786987676425555,2.9734922603211844,3.9249518117153324,4.212430525019182,5.09788604531489,4.9776617211976175,5.847184741522276,6.751501066067016,5.3656628081575946,6.383206563829745,7.005110485343033,6.227415430734376,7.295070849417505,6.175599539243659,7.0689051522515935
3H,0.0,0.0,0.0,2.014959580595077,2.893494886683148,2.8073019178150758,2.5179388751868954,3.529397119322416,3.9237749790278773,3.790239788281243,4.618856189494139,4.961448721207149,5.07798551030704,6.121407651560341,6.342291784825124,6.895774016194053,2.5595760845335778,2.4368266844200606,3.8981827265099804,4.348169192683008,4.974827878254535,4.715317041109472,6.0773002968961105,6.8878969298726105,5.830275932004186,6.7331305149861205,7.178036473167077,5.831994319647156,6.991259519774903,5.444875139498356,6.283545620318355
4C,0.0,0.0,0.0,0.0,1.0952666935285855,1.5528920043292291,2.1583672987111164,2.193892118004446,2.5592407387424734,2.7253279633782794,3.506698708005432,3.163567509599739,3.093829124537751,4.419003009835943,4.8564788752211285,5.08081235070393,1.5416743638813823,2.428959239154904,2.440667201683422,2.538391137618803,3.8196568002026483,4.006632482619385,4.7928669539610125,5.7627212889803445,4.664185577581248,5.121810346011937,5.552889188964256,4.645851975645941,5.6594237420976405,4.543288443526686,5.351361150393054
5H,0.0,0.0,0.0,0.0,0.0,2.1644354547866107,2.996372141717575,2.752154306454911,2.566226616253041,2.5995775543024617,3.6488182861745155,2.7125865045444604,2.5641929638151746,3.854780068955279,4.371079746362652,4.391003290528877,2.1396951065240364,3.176845842749147,2.5799284171573205,2.3517962836915123,4.002317819370755,4.380135369334613,4.661807775715467,5.7163077430654345,4.431376912811232,4.765751405445508,5.299443132154887,4.93091710388412,5.803005112095296,5.087929679013065,5.873688752840384
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0957405721990991,1.0945858715371541,1.5291241300487048,2.1638694278842663,2.178013557875014,2.5360093031868054,2.8082674722024463,3.7712951690988517,4.107053661323196,4.578806442613217,2.5334208240431866,3.3886329013403538,3.087512971526874,2.9464720762354104,4.394325921649883,4.716375520812402,5.5400980141539655,6.475002481794228,5.67659980997451,5.67486621428077,5.876321502194916,4.733862422269826,5.661553070396356,4.348495431102549,4.950231887538117
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7651172051734543,2.1561036382957215,2.5524818671116543,2.431201396565118,3.469725636968358,3.880889817823693,4.576863953171552,4.729210384134098,5.465743001622911,3.057600245673077,3.5773350254324043,3.871119705429612,3.9169640905738077,5.068809231934413,5.202508741465345,6.341347780950545,7.209189062784433,6.468690267238275,6.617902191106776,6.791681891046321,5.343877334751955,6.344767454402359,4.721027952902142,5.289009128935954
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1516510605511634,3.060231070391169,2.5628765239067195,2.7046652598757603,2.6570652391103846,3.9819689439780674,4.471196227006229,4.670633123059008,2.540855367914478,3.413488225296149,2.7099877579700076,2.5573839134208294,3.8232785487923016,4.2454216652019525,5.051001908538032,5.912365800419993,5.3889273207986195,5.146345081790884,5.190055531032169,3.86819734583882,4.738139442621821,3.414855514668126,3.9287445578851456
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099095848422235,1.0989232526009385,1.5308571755518905,2.435433680198212,2.445419466475048,2.611670706163416,3.3764576632221273,3.8011118453581214,4.790482082356595,4.101788886024702,3.6094012566337788,5.466584947170605,5.971233094477666,6.389701307287736,7.4000097719599705,6.501585898438793,6.217276221316123,6.421957631567744,5.755612716864492,6.496980859228007,5.514860035804015,5.996735504374705
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7602195542396328,2.158893941527788,3.1257526396282107,2.7393939344009546,2.6455675824163816,3.6754568265272134,4.194244249679929,5.103701107355857,4.691096978074439,4.254693986460026,6.121015384540288,6.545934547002445,6.966205269135967,8.01137772738666,6.917936074194909,6.839336131745924,7.1643968200734625,6.605737024135168,7.3986268205591355,6.4070239988852125,6.96454284396304
