 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,N29,C30,H31,C32,H33,N34,H35,C36,O37,O38,H39
N1,0.0,1.8588987663846936,1.619903618596322,2.677628930800199,0.08714225066729142,0.19347988038400177,0.020953189911635972,0.03311405813256564,0.0032783111803015297,0.0006869521745753726,0.023558901888516233,0.0021889047513568016,0.011420692941518595,0.0006812976415176974,0.003296300251947895,0.00031082185539810236,0.0009072458351387924,0.00011426870300912384,0.23265305209726989,0.05735271922017243,0.03652049460757019,0.0020934549998182783,0.007239444565582037,0.00033526916230441905,0.0015983417513619064,0.000309055745721043,4.305603407417369e-05,8.374762955640214e-05,8.350763894643398e-05,3.0294305868830418e-05,1.699747627537107e-06,1.2112738556724345e-05,6.216000495440355e-07,1.2624689959828128e-05,9.95118063840117e-07,0.0005899072168984998,0.00010703920786515886,7.947631589108606e-05,1.4822495672861535e-05
H2,0.0,0.0,0.027635828046826294,0.10583983121774154,0.00922466409671241,0.029758597577203894,0.0007188215509013052,0.0035542254358292835,0.0009984133418654562,6.300699328254389e-05,0.002765615776593955,3.306377281098172e-05,0.0008280783833964911,9.258129664391213e-05,0.00020816248084531974,6.415607224785624e-05,4.437562782766413e-05,4.48460998314637e-06,0.006782113580808713,0.0021704472527536156,0.000421187631597264,3.646454806527366e-05,0.00013498081209029067,1.503548692216583e-06,1.3798150285682098e-05,2.5469342583850363e-06,9.62099827805929e-07,1.4552394472788777e-06,1.029497562421433e-06,9.484993324093693e-07,5.908135536358827e-09,2.2188395509825654e-07,1.242930980360768e-08,3.66742070601056e-07,1.4191084307668689e-08,3.101985238784799e-05,9.268778944471201e-06,6.546443186983275e-06,1.7834639629565885e-06
H3,0.0,0.0,0.0,0.10381886631829573,0.03203961730894567,0.005130807178232444,0.0001468712263810179,0.0005093889662507456,0.00022136117594828697,2.891923989323253e-05,0.009099256003131884,0.0005461656948084759,0.009321465561122677,5.2550716221455573e-05,0.00079174680540961,0.00015208696466961769,0.00041458791132065187,1.0030719391540543e-05,0.024795974388784114,0.05951037391247793,0.004223071512565957,0.0005451295534635303,0.0005744502737294876,5.613087614442236e-05,8.798943353915956e-05,1.1454271340971545e-05,1.6130752218401767e-06,2.8280655045453962e-05,3.720573686583073e-05,6.40810798480107e-06,1.4504180834151725e-07,4.186975597675335e-06,3.243462876056924e-07,3.8226767481441826e-06,7.392959859853221e-07,3.7289256560213424e-05,8.927787006007826e-06,5.471677142598885e-06,1.0064972877366074e-07
C4,0.0,0.0,0.0,0.0,1.8213882323651285,2.4428854969053195,0.09572725913465163,0.14872151019337634,0.029091157201179607,0.007288600588422067,0.14949726006105662,0.031163557247367413,0.006734577974426781,0.006920366510144271,0.019516266284877154,0.002547476773757218,0.006904749860702886,0.0006276371400977254,2.733711990371505,0.27226365215335496,0.22604342068861558,0.013135512451991849,0.035527484932846826,0.004490938411700007,0.004156465131753467,0.0012467800127702322,0.00012068379891738701,0.00033337457327059505,0.0004834945449881112,5.211377710551135e-05,4.5726739763551905e-06,7.352479515443378e-05,3.1643131532810287e-06,3.3873111677573675e-05,1.960767435971178e-06,0.003387500603631327,0.000618143877615579,0.0007888778414940484,0.00015348867134012956
H5,0.0,0.0,0.0,0.0,0.0,0.08353034794405834,0.0047913117113889125,0.007608800419536932,0.0009950683179564823,0.00012132095013339672,0.027188697256745775,0.0009863637063693975,0.0007278596912130286,0.0003329379883945105,0.01268274803698688,0.0008326072551816388,0.011455570981911523,0.00011376999480305905,0.09438998290124068,0.023407866916650755,0.011915272526183962,0.006944907251109633,0.0018438879363111838,0.00012957832579152395,5.696844046876315e-05,2.4003159608820823e-06,1.0759152765160707e-05,3.0010418159864827e-05,0.00010780820080169562,1.9440513017832117e-05,6.030281785029956e-08,2.6724504588404585e-05,1.952853207587424e-06,5.915261058531129e-06,9.119457855533142e-09,0.00039452818049756644,1.881132444692124e-05,9.110197222739203e-05,2.5219122522956994e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1096572348525795,2.579398987927757,0.09322030360705802,0.08273575705297209,2.6799175080019277,0.08926457607886551,0.0856599829337088,0.08255961807251189,0.1547924429508687,0.028096846839993805,0.00479057189184906,0.010891009855445555,0.1688089954931422,0.03341059222437813,0.02536173959563101,0.0006591488545474311,0.0031584988965032146,0.0004394217493869368,0.00027662261447736203,3.573624794683816e-05,3.5792157914826817e-05,2.07920177028309e-05,7.517503895101973e-05,6.470795531676732e-06,2.8184495004524024e-07,3.90197951609661e-05,2.4859335379545655e-05,1.1912041612271995e-05,3.604291503034318e-07,0.0014533513368782114,0.0009188316999436813,0.00030189977356259723,7.875953531100155e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08183358500325455,0.003758602651529719,0.03463446065138798,0.08253474883605982,0.004869651579516798,0.0047526174590861725,0.03473067043480471,0.010768000603657013,0.000469457356962355,0.00012484398982492984,0.0060149684891412925,0.02940904221219176,0.004219084290913666,0.0033707331960350917,5.086062582448925e-05,0.0006350565552784015,0.0001168007579577246,4.4859527479457206e-05,1.5540483515597003e-05,2.5550450206690556e-06,6.5356502969571295e-06,1.3027402630205742e-05,1.6489786831552777e-06,1.0058870159035393e-07,7.575805595516627e-06,1.2289889923522423e-06,1.673129441437382e-06,3.588582253577499e-08,0.0002613368808865868,0.00037788846360797823,4.727562266415575e-05,8.720879867363251e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744742067102062,2.138208371757611,0.17396713444887169,0.011387574707701686,0.030485769669001517,0.008480752191856844,2.616750724416096,0.08814850212942837,0.08168568784705643,0.08041736428466084,0.012957498400218675,0.0027527054746843554,0.011070865274033281,0.002346611140040089,0.000998599501138675,0.00031636284271541193,0.00016814781333256146,2.3348659657695947e-05,1.6327091025836182e-05,8.323229922854725e-05,0.0005149251930952614,4.602187131688695e-05,3.402874590330285e-06,0.000215860177716104,0.00010376306594284124,3.740154693290809e-05,1.7643075488349425e-06,0.0022830180100734954,0.011502740771661538,0.0010285526638075526,0.00017606765580535644
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023853124877144305,0.01569807539074275,0.007421225590545921,0.0010564330647917508,0.00023722601330855575,0.08617343114786569,0.006440337309126409,0.03337047842057017,0.0037718052349542397,0.0015256807323051902,0.0005582531053655027,0.0005140971333312816,8.003606699769072e-05,7.449442149765062e-05,1.6208146612628482e-05,1.5892124133332075e-05,4.8970196875330885e-06,1.4397871797022788e-06,1.4442620904331349e-05,9.25913432787695e-05,5.4567924807624735e-06,1.404001798821497e-06,2.370530985551511e-05,1.1279331733948794e-05,2.3372474060590065e-06,1.2434470717526125e-06,6.752330397818973e-05,0.00020123562913976212,6.8331888412043185e-06,6.664550118218315e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006793885758292539,0.00014771987986228474,0.0002606496839150374,0.0032579257482248103,0.08323212649549327,0.0033393784883883892,0.005730021678739039,0.033457122915255155,0.006000490161423677,0.0005496356375461753,0.0115143550845771,0.0017579818635349298,0.0009547734389629969,0.00033237638193406305,0.0001672500710809821,8.582733888706784e-06,7.524969605876564e-06,4.6490535064336314e-05,0.00022708194925447067,3.246577730786626e-05,9.86968453409176e-07,6.19652429991735e-05,3.855156695431461e-06,1.601480748925077e-05,1.7959521780852583e-07,0.005774053712472638,0.03849290921501414,0.002387786436674477,0.00011585053162277426
