,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29N,30C,31H,32C,33H,34N,35H,36C,37O,38O,39H
1N,0.0,1.0204336502537508,1.0213602544254452,1.4693058800119738,2.079481481091378,2.47557950682014,2.5635534844077634,3.862874858815202,4.613775165889672,4.2496720558850205,3.0314809370323346,3.9755577833098683,2.6893813070008896,3.5187410332178692,4.437413697458766,5.510404222429545,4.26075346293536,4.468652426523261,2.478334733958657,2.8203161857944603,3.6315862891263495,3.939450688043148,4.8637591290016395,4.8304852429615455,5.941233123356409,6.828866450571289,5.728307589993746,6.5116474162945215,5.988748662458668,7.831993637397695,8.667878037455303,7.091541420577494,7.333522265888295,8.134748804326053,9.080046925706727,5.671274450588171,5.654609431092029,6.8067777591736345,7.368043119243549
2H,0.0,0.0,1.6154670248915954,2.039661377723159,2.274770889389632,3.347373459974382,3.42409113503342,4.591470010895454,5.444431501605729,4.904989883877562,4.012787658303498,4.982173265062947,3.671364696465856,4.3939647426039015,4.950815513522975,6.020937943648375,4.564143163300635,4.985995224774285,2.7582095127857427,3.099252649800888,3.7276304083500875,4.032032690558325,4.898922056329783,4.781891961551124,5.795436094329734,6.676144748057383,5.400531524961008,6.450009644330689,5.968168638359528,7.80934212334156,8.635945135906669,7.1278998096994,7.409025175956674,8.164026160973046,9.1333270732438,5.935726865530957,6.101717040993126,7.004871411705765,7.670198349828017
3H,0.0,0.0,0.0,2.018553002343163,2.8906530286217116,2.833159111949948,3.1105304917398007,4.26840425185112,4.932530756027983,4.503105408962191,2.864422335649013,3.863947457879931,2.297353841435715,3.173102393422252,5.1041275175921985,6.1333555774184,4.993197926532846,5.238147872275265,2.501881191333487,2.369964085814151,3.8201529569635686,4.34808334499522,4.852117236806467,4.638011599755721,6.082359435554982,6.860028915586107,5.934369509659854,6.819335096091755,6.4747402363153865,8.129485234150643,8.881967917014316,7.624059139962807,7.9634188265449675,8.562630141882439,9.520102607053955,5.548809293261043,5.570588823641779,6.5751610607132704,7.103187607013459
4C,0.0,0.0,0.0,0.0,1.0965905034082328,1.559647745619617,2.110064344581502,2.6029637904347265,3.519215169044768,2.8708635676328154,2.5740656263583923,3.518536726259854,2.801017787852293,2.891790853455043,3.1926641542912724,4.215014197376259,2.9874047567030315,3.4904946925336087,1.5413750597142346,2.422485954504095,2.473066893169686,2.6342732352057943,3.8298402170355947,4.07811671503839,4.9012196764272655,5.845749235880628,4.866094952447635,5.278058806033453,4.694508688896783,6.54568205638065,7.411945743834825,5.746456615152521,5.998138786366661,6.780506977091428,7.704661297494677,4.525066071733007,4.401325070024449,5.771688358080753,6.293772864801483
5H,0.0,0.0,0.0,0.0,0.0,2.1609756611043016,2.431052870200244,2.7623694792183855,3.7727241287859026,3.117996982328296,3.4960914821686067,4.313649118163684,3.800975608227669,3.859601228702787,2.7754264141021987,3.8091365251789324,2.2925468445582893,3.002341392054267,2.162450606195244,3.25207520816306,2.5592340516198493,2.341274020090272,3.998217250327169,4.404976712533921,4.759095539089169,5.794764332423963,4.606903602092424,4.933517031735589,4.143754501694273,6.196948624416574,7.143068028564561,5.14386998292152,5.2954824877105935,6.291210631376228,7.202194630859296,4.856945813498275,4.7819558950528425,6.130338997633283,6.708324583411693
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0995253408830177,1.543974308107947,2.1435331087244087,2.1799840587132424,1.5373510938147585,2.1716135640827896,2.1896173794415366,2.192793929704053,2.600395830849547,3.5351062810883764,2.9633774468901874,2.8248063871367255,2.575964055310868,3.2788103485544213,3.370983300711604,3.376901761958701,4.622421669489019,5.018968912257396,5.787463264285444,6.700497798251488,5.982800111162206,5.923766099411362,5.237641163490522,7.03194278226256,7.903581071236486,6.059233016019598,6.160449009899188,7.093845311399984,7.919694421775175,4.852146004815703,4.331903684466153,6.149594999749599,6.453657877390011
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1546330248519747,2.506203622609412,3.069048929773968,2.1437457185802424,2.4760680522161795,2.486070095044627,3.0729285612507162,2.7669860225503915,3.743320056318058,3.2241917984019666,2.542190280224852,3.463554451613887,4.163364310592705,4.26918818162292,4.1561490469363305,5.602918123330514,5.9882978367606405,6.67591353706018,7.638544025546694,6.769183238387496,6.740738709005732,5.9076987967895,7.852746615322265,8.777572115856728,6.657340059864324,6.6110151347518284,7.794786849752726,8.592555893276803,5.9237209966925075,5.399184366576724,7.232382155811868,7.5463339643488725
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990490179765051,1.0975219263415654,2.5331108839499525,2.7504854879485268,3.496112867960691,2.8193832561861147,1.5359488995656692,2.1781516074807006,2.2063863867800775,2.1873708139586636,3.189991414097484,4.076595095705083,3.39949773877068,3.0896760962863956,4.5110378656376335,5.195337704214569,5.4890244592397295,6.396440329720267,5.8753658828742825,5.268076352065777,4.474214367939359,6.17772307283105,7.068886146928654,5.03959650598241,5.044213508286255,6.043884134583326,6.769663535484314,4.4678811388164315,3.716103145771003,5.798984356228116,5.987429363550543
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7514024518284648,2.642696523130953,2.398656733571225,3.657050026693684,2.999342607082733,2.1486029088810987,2.440404091260126,3.0833369374126613,2.5455238622833836,4.127477901670787,4.85797591750836,4.409980525130981,4.140920510258273,5.409820070623115,6.078422943096674,6.429856136953234,7.279155176456671,6.896410508042678,6.1464155098319235,5.371717164740489,6.931223942358456,7.780081260193887,5.778158620935697,5.691620893394936,6.716323818290723,7.3466640506868295,5.130890379803557,4.199048454104486,6.399440028494872,6.4374021737994305
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8248452665965815,3.163422041206227,3.8362436156042015,2.670362108055198,2.172136434166257,2.533486863836835,2.5316531761959813,3.0905781124460177,2.8837654791010436,3.6989083466793216,2.834783076652699,2.627590731239518,3.697076948020497,4.444686697796963,4.710783507281261,5.532547628391014,5.250559921854923,4.517322816910496,3.938312591302251,5.371087774788749,6.187483501637419,4.542209476755189,4.740126738226366,5.375122181739978,6.117946396275169,3.443898218770152,2.6306096349833266,4.754992600648745,4.908067781075314
