 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,H23,C24,O25,O26,H27
N1,0.0,2.0333011178880156,1.8455672967414798,3.0187751478128058,0.08614008644148685,0.20354180658259766,0.01568692624895407,0.008488279912632679,0.035655088265995546,0.0026154680375775063,0.0006678370341079987,0.003202114981934484,0.0007810765973795541,0.0005560214626725568,3.684120879032804e-05,1.7688168009954985e-05,0.23551899832554826,0.0527606253367372,0.03680371318072492,0.0023387912660459698,0.007305939682090312,0.0005787527813566617,0.0012960693794886735,0.00046447417776598887,8.262090562347058e-05,0.00016342174482807115,4.172422503623263e-05
H2,0.0,0.0,0.027193605461495185,0.1049563515967884,0.007663326808231785,0.03220350199594568,0.0007512350449856431,0.000875554794189437,0.004639450600630646,0.0007426898657627579,6.783062628423764e-05,0.0002659265489290963,0.00012124006283564803,0.00012650221129828498,1.7286108666692002e-06,1.455842261632867e-06,0.0073507702731621105,0.002180051725873655,0.0004541170056714394,3.5962127334698835e-05,0.0001469491842158721,4.35911832408209e-06,1.1364971140181979e-05,2.4709613174689338e-05,1.3517881382041352e-06,6.741980086766297e-06,2.1791560727013604e-06
H3,0.0,0.0,0.0,0.10695158917810099,0.035035791189192755,0.008466756830316835,0.00016726570299385735,0.004878865766532181,0.0005991827278916118,8.138120326073306e-05,3.414678768121071e-05,0.0010861583439549793,0.00017780894735075492,0.00018841944579350844,7.072015422160405e-07,1.240277972724968e-05,0.02066335796029506,0.0492456427406307,0.0036652238431618134,0.0006149955146630415,0.000617392297146413,0.00010293828252727621,3.1950032716387966e-05,3.835100531368596e-05,1.652057719747635e-05,6.514045465477736e-06,2.3802088300328705e-07
C4,0.0,0.0,0.0,0.0,1.7864528274295994,2.739694871516134,0.09451153969346526,0.08539822230631211,0.14936025705549225,0.027179745900628216,0.0060054133391256315,0.02015943351973093,0.00583139375949164,0.003802567388369954,9.091650237980087e-05,0.00030015550875706065,2.660386130564129,0.27578304969533757,0.2260356076022058,0.01633432609025931,0.03748702110476121,0.007658347678525024,0.0020381280000667523,0.003318582714252255,0.00032374631799422793,0.001096078180161511,0.00026486709183659585
H5,0.0,0.0,0.0,0.0,0.0,0.08325879119242718,0.005503585626766894,0.03502663690220853,0.006098755567411462,0.0005797502857658454,3.609063488863029e-05,0.01207618475679606,0.003982399308506079,0.0012813411951337894,2.3900057507741934e-05,5.861434935261478e-05,0.09526272223445575,0.02319290657616424,0.012153262677163434,0.008698267467651233,0.002041647780715805,0.00029104048578387776,2.2253148843409676e-05,0.00022487876001409113,1.901504251200503e-05,6.944054157043134e-05,1.8723691407318555e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0096196923689007,1.7861190213180849,2.792309987856783,0.09518326717380554,0.08022377628347988,0.18026225897196857,0.04448718662343561,0.030516745610345897,0.0014207818430618246,0.002703058607629094,0.1836365076326668,0.036586466447423444,0.02784613504004102,0.0007709137456693993,0.00370297181529107,0.0003082881969104223,0.0003730254992931892,0.001435569956881072,0.0006050515831496905,0.0003377742399748168,9.563517825528223e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02419800632510083,0.08791294543454331,0.005432282074221195,0.03359320310484937,0.010002189641398429,0.013680725761988977,0.001804272873526025,0.000346788238209772,4.470605668061012e-05,0.029549466440516037,0.005547933490814061,0.0029764462406786096,6.186089257398386e-05,0.0006828853813833913,0.00013253405113755612,3.13471728108361e-06,0.0002292216940653624,0.00021745798679007056,5.03557255072673e-05,1.0104741987371213e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09217116006054682,0.005018041527240502,0.004362533938360391,0.02773928260481129,0.004829279073141901,0.0031028694056954853,8.84904226703398e-05,0.000926309112095014,0.009445808518720344,0.005881964021382635,0.0012413699054396599,0.00022291323134027152,0.0001569691000056217,2.939241642208046e-05,2.5702842584962582e-05,1.440447065359507e-05,2.2211794115323258e-05,2.26230204547484e-06,5.46981111515521e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9943503301090701,1.9905014543043194,2.5641566598237806,0.2984872683082931,0.22521018685262553,0.014489594997690758,0.04375607746778476,0.018762347475848568,0.0037241732593046306,0.012279336104807331,0.0013997878834046684,0.0010547512884620108,3.764846230180918e-05,0.0004325503392430541,0.001901438618163609,0.006390241602085872,0.0006575243472367182,7.740874758910277e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02610913336900067,0.10543791212744003,0.022003709713162456,0.024232345565974978,0.00014746583279623415,0.0011400847364828604,0.0017130395838931278,0.0004762957208651608,0.001042620153880791,0.00018996068597054716,0.000125601781327922,1.0781922943348121e-06,3.790825419591748e-05,8.302801845627705e-05,0.00013811257567231117,1.0851711515824647e-05,4.622871862647315e-06
