,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23H,24C,25O,26O,27H
1N,0.0,1.0200625460227728,1.0215227958488715,1.4639261651632027,2.0821687866755156,2.443889202367406,2.6133664041702755,2.6663926307746633,3.853747318702624,4.596788767564028,4.233385205832876,4.419967579585548,4.669723196622505,5.132346153567245,5.462347319285659,5.86323652094406,2.4848993953953045,2.846980504240703,3.6309997333622395,3.8911422767475146,4.8715386428451835,4.838761224058611,5.456269711650364,5.94007923259731,6.070212419546977,7.06719593054599,7.7551832797739095
2H,0.0,0.0,1.6224992780861245,2.0431224501049434,2.317423493799978,3.33333738323231,3.5058663127878673,3.6371310939171217,4.620256123568868,5.459664751920888,4.923355594006438,4.989213057491054,5.217235302144798,5.520473604740268,5.861251347394919,6.1679879901203964,2.7497192082421624,3.1061140839385395,3.7130292440234043,3.993461689686703,4.892901268023953,4.874205815714519,5.286459467025656,6.131132888352869,6.398768384238013,7.201563150988178,7.965329575355778
3H,0.0,0.0,0.0,2.018826894930452,2.906982563045223,2.745264059175288,3.0895371131319496,2.55071004029664,4.166878556021336,4.827139419874122,4.386125181354377,5.010728966158511,5.394481262054618,5.708327237247099,5.891161109869067,6.529190587649169,2.5485666583948645,2.444369527901658,3.870320224351427,4.344072723254918,4.918609662347768,4.662316992834182,5.577498356092886,5.987279760454778,6.212202146516476,7.008916276390106,7.712337814985411
4C,0.0,0.0,0.0,0.0,1.097379939104192,1.5448618876853497,2.1366217409372052,2.1582742374038437,2.6058818845932192,3.5243745727941325,2.9066071411616323,3.12122772205138,3.6156200271551224,3.7205683033441983,4.000727649427735,4.514068163959257,1.5405768940569888,2.419245683210525,2.474124492791688,2.587061638912113,3.8257242251153616,4.012574503744254,4.512728682126105,4.703651067489385,4.694956408636438,5.924599689075792,6.534751049986892
5H,0.0,0.0,0.0,0.0,0.0,2.159819141391749,2.4504738024736095,3.0563991708064613,2.847947576282776,3.8222111491837714,3.2678800110251394,2.7789601842857516,3.095601221674031,3.251448281571381,3.738999339198876,3.8671939142132343,2.171751691415668,3.266935438011078,2.5565829518847853,2.286584175664201,3.9956035809663955,4.431049054893481,4.50237305917028,4.850937186246619,4.76368010663713,6.124129241768352,6.714526348084776
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.093782937506948,1.0974650721472254,1.5398126062021393,2.1536067237543732,2.190314143629812,2.538890995346016,3.0139495972371844,3.5477700861371124,3.8286626966254027,4.4092727977244,2.535394675529666,3.1958649801234422,3.3662071380429426,3.3388061711059773,4.589623128026852,4.7702634890172995,5.463833110403251,5.052511668602227,4.729858629195335,6.300432937448245,6.727817143356866
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7698416085418183,2.163035694443102,2.4668152737837143,3.0815477692542026,2.761431369878228,2.767107143852572,3.987589727499538,4.479707461887463,4.696490369894713,3.4597012928291058,4.138401176820861,4.268302736819543,4.1005671875720155,5.576079704586194,5.803060280247214,6.382632472498892,6.05805834553352,5.664114350182312,7.335586528152214,7.744429636129442
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1629073929572438,2.463304242273313,2.5106587807587712,3.478261956360214,4.0123709434848545,4.42966351163946,4.532928391030352,5.351812552579109,2.776018419684088,3.0033830788002684,3.828634314297862,4.043436823619558,4.8606167505348115,4.805885199563627,5.819719360752691,5.3053433180560186,5.073765732497794,6.438204658264676,6.864669904713563
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967288504774941,1.0952529339173491,1.5289476438878304,2.415560272172096,2.4570553673222713,2.618712896921157,3.3669985421224244,3.0829248568903003,3.872790262221975,3.354703201547051,3.0810932493982284,4.383438961632553,4.776727529260811,5.296221648283718,4.388418657712412,3.7424202588553515,5.656559846364804,5.892689810268303
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7650227997519499,2.1237790952478,2.716742918883027,3.157229479370073,3.2959567107136833,3.9539609574371615,4.06650704644658,4.703629384672816,4.4092935477593285,4.152761180704601,5.339250883735997,5.66742088185744,6.29405420486091,5.169621051319194,4.40046700958603,6.3651265640132415,6.480720583680987
