,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25C,26H,27C,28N,29H,30C,31C,32H,33C,34H,35C,36H,37C,38H,39C,40O,41O,42H
1N,0.0,1.0219234125640646,1.02364343147616,1.4734395871125059,2.097207842071773,2.4589265361322084,2.609861781924991,2.6649652330606286,3.8889413366969707,4.604953508886221,4.268686915528741,4.498915889434006,4.623407323688599,5.239470900532553,2.4868175420082803,2.788188908330466,3.6604524664759164,3.9349885270863028,4.882956811390847,4.975805456934909,6.081475103772276,6.1289866728809566,6.983595620099377,6.45374854854481,7.381728486482448,7.9311455156680655,6.386594297043275,7.859982936786297,8.65053420596838,7.326440378146209,5.993587713006907,5.492433822553456,7.871032504599229,8.725728564846692,6.6260616536038555,6.658897121701964,7.5339827931023935,8.184629425853391,5.485725539043428,5.516793442744459,6.4983144480838,6.994759803810936
2H,0.0,0.0,1.6049369677148309,2.030208469704101,2.2960109569453255,3.330167460940039,3.4801738346954845,3.636141157787025,4.637698151855725,5.451775355683229,4.960749942405537,5.0239879037183055,4.9242811185957835,5.782434184075057,2.72683489058213,2.952540823169988,3.7905526226072244,4.144310884521806,4.932588632219383,4.85017469916696,6.0673855864665365,6.232901238844864,6.998987133773559,6.211604356926299,7.021529479289311,7.59742716275112,6.048712485259633,7.362156496533536,8.087970970358102,6.8296386038647565,5.728941550353634,5.404659213675396,7.29221846709689,8.074878407450756,6.250180220604229,6.350469458463708,7.008758403963148,7.619527052494997,5.747079349882919,5.979344612141602,6.6600371423869476,7.262358879047392
3H,0.0,0.0,0.0,2.00479031572321,2.8917592622230406,2.794128513443245,3.146836572040999,2.601696926195466,4.214208959463552,4.879737977151298,4.40052704568896,5.079417654551732,5.203466203304619,5.911755367156169,2.488752981735581,2.3339934243583675,3.8182196638915,4.29889452668033,4.84759144612197,4.8441940450271455,6.210849542911501,6.362258696657016,7.006964722963105,6.702696557642565,7.547625466711348,7.969186700440889,6.83772804749023,8.140358313031772,8.900231537842354,7.767259999330815,6.616966798959144,6.130601266271146,8.431750285965517,9.26053888565569,7.364681870408943,7.492977486975231,8.230079516063991,8.939561790165982,5.234245762928417,5.252067725458218,6.126467614584336,6.547876584533796
4C,0.0,0.0,0.0,0.0,1.0950391455428825,1.547451036237496,2.129496169442842,2.1573977702301033,2.639695770998709,3.5400994900493745,2.954155926555008,3.168399370619149,3.214638875517723,4.079209086550027,1.5457715891620287,2.4372789385494777,2.4397657422188685,2.5306588185449304,3.796196434213768,4.152501542304633,4.867420308392103,4.774213063047664,5.790874800447777,5.382650864055101,6.4617861408540636,7.050220176814193,5.368311508577228,7.0484704473029405,7.927169753876461,6.484411167674525,4.9292190939898965,4.2844640927173,7.140711400153724,8.088783781392948,5.738893935271176,5.8011861558176845,6.7912472238320944,7.541193798362409,4.431705036855998,4.405963146274334,5.600540622111969,6.110161482055042
5H,0.0,0.0,0.0,0.0,0.0,2.150874279505301,2.437110700652536,3.048415261556726,2.8721251260728793,3.8181871297992753,3.3287399366996024,2.818919949822882,2.6771977178898996,3.6283073050700474,2.154581317682575,3.2241041629733784,2.5515471148541824,2.3278686865134732,3.9722194790830847,4.366549948620663,4.746459789566449,4.562725018526677,5.770459432508877,5.034093078628203,6.163087402186734,6.890084181066048,4.748561271774711,6.584943910297716,7.477825024924202,5.84369731458472,4.1080209395292835,3.4806528097595004,6.35491008182356,7.32261566167624,4.777157309287987,4.7581343286473805,5.867786185972111,6.563772569857351,4.879743096930496,4.954349865902251,6.072925658903907,6.674609681954194
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0970480973553207,1.101301340659425,1.5453006329282652,2.148026745230733,2.1740838584478737,2.598614206008181,3.2269544038008138,3.3408966250624883,2.570954617121903,3.368677531309312,3.226473420446612,3.0299487989190945,4.501300358318509,5.103402209671188,5.48851280299013,5.151986785165294,6.316001237904795,6.275188829711948,7.469693052903592,8.025353946392835,6.329119829928149,8.172029896950487,9.103975713065077,7.583861992228676,5.755456944686865,4.893795936887578,8.266053969674163,9.273918530804993,6.605236957601235,6.520513864853557,7.810814504188476,8.550122760558297,4.740925274397956,4.308221752982847,6.015860578097445,6.3239713852051365
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763388615634225,2.1718023196290055,2.4380698030466426,3.072516109399,2.8758783246837716,3.6988108232021286,3.233441394546533,3.4813248540078456,4.265894134099961,4.15116114252513,3.8369688479384116,5.497585044780027,6.070627127493088,6.402114156470996,6.005406643778307,7.283327106729831,7.06868754589534,8.282096401950776,8.911517539480466,6.939510010387194,8.867605734530413,9.795167558802147,8.154513668079092,6.193478867939536,5.328022166000543,8.685805915156159,9.687354878011071,6.856747625107996,6.609583322391098,8.081591241061254,8.711724510488542,5.825965514172607,5.387968724375634,7.105129337482977,7.420818054968239
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172424709633721,2.4783081071137665,2.472962102561164,3.5355658547873015,4.164408397911677,4.268426449491958,2.8278310022020694,3.2444208197055278,3.695095417078333,3.7367502709891576,4.783015639179118,5.30954151903981,5.951925787758428,5.713106499810312,6.663953686688502,6.865950134514848,7.987536344594763,8.424297455039087,7.0960811353120405,8.791980633237033,9.698368711585239,8.335779451787543,6.66686501092007,5.835275086113102,9.106459869100815,10.091809787555842,7.587343635078275,7.566901759574826,8.750433597275398,9.523648187860344,4.728164842794186,4.17613815792684,5.903537247400794,6.081949343260995
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966861251633027,1.096153560262692,1.5561412082256565,2.404247289288674,2.4068896562915443,3.15918986406136,4.115352770900346,3.1934814819285506,2.649638763796591,4.290770042697344,5.154716569056832,4.949839237212027,4.357988116026923,5.694588157498536,5.9064803032584505,7.201210075662376,7.759935137974268,6.020563845040438,7.989803594214202,8.97247264743626,7.3932552508272416,5.401466582254179,4.3975654282975185,8.141540705181404,9.202719586212577,6.362561311908729,6.2676939205381155,7.668394216257521,8.45677520063367,4.391122391692254,3.7741710494825145,5.745535483858051,5.986125329291082
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7730686641448077,2.1622551524984357,3.2638652835299493,2.522577733310697,4.156840108903061,4.999972842870031,4.257783420963421,3.7159394577673046,5.271051593563457,6.158416335305019,5.8937736896657755,5.230056509099239,6.556643807832963,6.91837332374054,8.222426577733508,8.75580252999392,7.0386341075135554,9.034519368497255,10.023545973520259,8.4262123607654,6.362902685207844,5.319907663758395,9.15073435652349,10.221506531320578,7.273416919125852,7.08462277006785,8.61681654739948,9.367172387473156,5.170716964443672,4.36461309217587,6.492507481742139,6.600860207759446
