 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,C25,H26,C27,N28,H29,C30,C31,H32,C33,H34,C35,H36,C37,H38,C39,O40,O41,H42
N1,0.0,1.6393555928602077,1.9220550114780037,3.0018155886750977,0.08269197488809332,0.20325708740454895,0.015903837859351344,0.009134951636565969,0.03511154038725035,0.002700436292895736,0.0005385850574879392,0.0026342971959366634,0.0025059566722447774,0.0011677165022102448,0.20842180076167158,0.056239985857598734,0.032739948371468444,0.0023248952404747447,0.007148778139865392,0.0002248043017299972,0.001257082110498478,8.660897466938877e-05,0.0002347554856678702,5.1501205220738644e-05,3.7116991224384055e-05,1.8783074451356185e-07,1.5318689292179166e-05,8.694717771678961e-06,1.4587261898402204e-07,7.770389085601237e-06,1.749988578352013e-05,1.3550906201142965e-05,2.458452046050219e-06,1.677906569241827e-08,5.545158692318863e-06,1.0773417358223014e-07,3.6405412977419394e-06,1.7462271406643026e-08,0.0006703303600730237,0.00011122384815795416,8.190951164299687e-05,1.5713313523679773e-05
H2,0.0,0.0,0.026273261525579628,0.10246835467379212,0.00871997518958878,0.03163119553036986,0.000690711917390896,0.001002233235141592,0.004443529243093325,0.0008138206377044099,5.768746210632614e-05,0.00016195065986979174,0.00017554827288823738,0.00011850141460079122,0.007701277468732948,0.004725538039072497,0.0005294797577909405,3.70945686318791e-05,0.00016720369723677297,4.090869601514058e-06,9.74305010981169e-06,4.65064982080321e-07,1.621833554121821e-06,2.1968506066505356e-06,1.616141103055746e-06,1.6726045659609667e-08,8.114508156520372e-07,6.273594042038866e-07,1.8083831765380864e-08,1.4188001329351607e-07,8.35839994772769e-07,2.1407540962137261e-07,3.778073409677063e-08,2.2734074622832168e-09,8.994553479801937e-08,3.836158057879402e-09,2.6342614645180618e-08,1.7520194184328375e-09,3.5687552164320735e-05,2.0361941937552253e-05,6.973598342230325e-06,1.518052374915868e-06
H3,0.0,0.0,0.0,0.1010959478609964,0.03382659190296944,0.007626168160899227,0.00018815911454739265,0.004586581312610916,0.0006384503446477119,8.036921521070717e-05,3.3138103747054615e-05,0.0007211301167593387,0.0004163616721827301,0.00013205373173341695,0.024950751048488207,0.07271623613794043,0.004221573110750332,0.00040940122623300823,0.0005681869347747837,3.724330275933774e-05,0.00010357530860438668,1.9169042568822903e-05,1.138194836758366e-05,5.045525521274463e-06,3.718108418482302e-06,2.4774259976823032e-08,2.660530599607469e-06,1.6909273740095543e-06,1.1046137116110799e-08,7.667950511214272e-07,3.0093858583990496e-06,8.844836036914216e-07,2.6774860650835564e-07,4.091145866524926e-09,6.031155163066515e-07,2.251417718923676e-08,2.9213751051582193e-07,1.701743634896502e-09,8.973365102127318e-05,3.052903289779696e-05,6.372779987051658e-06,3.238722332543631e-07
C4,0.0,0.0,0.0,0.0,2.010914712025434,2.51607707466155,0.09753071228088794,0.08154229097468035,0.14304244936935184,0.028584963566976818,0.005004964634982345,0.017922795272522524,0.022695566764036487,0.004453659619147718,2.3437425318377523,0.26627932074157945,0.23008842235551616,0.014820597371623334,0.037865469881655844,0.00240341632613128,0.003998874879838549,0.00027141785756223946,0.001284828783770342,0.00017864622066990354,8.239318936612006e-05,1.4942507176041175e-06,8.891180389869469e-05,2.3451412605846045e-05,4.835104764344678e-07,2.4798755728583366e-05,0.00011972003090554573,0.00011378899336245141,1.8284748007524332e-05,1.8443494376185754e-07,3.713252741124884e-05,1.0557544978251343e-06,1.0790545725822276e-05,2.000109544653128e-07,0.005243888619342496,0.0010380012220333745,0.0008837392891002521,0.000113364937182725
H5,0.0,0.0,0.0,0.0,0.0,0.08105790297536253,0.006022314559081865,0.035278704340346634,0.005508542832411534,0.0003497133802172758,1.4586021217954936e-05,0.010370550285436764,0.022175875372894893,0.0008796458430097021,0.0980052446398636,0.023627436984309802,0.012645990658169959,0.004674242310528376,0.0016539245853872675,6.128721134368575e-05,5.4691739682866114e-05,1.834052776139572e-05,3.8123386609800747e-06,1.8841946286651812e-05,8.065403165335994e-06,1.6991233264818106e-07,4.3485177308788536e-05,3.566640221830397e-06,1.1946673916796158e-07,7.939174769377999e-06,0.000361494353513403,0.00022624748500543745,3.834291084603425e-05,1.0376897585651079e-07,8.064793111151047e-05,1.4135645312052247e-06,7.538543843166323e-06,1.4181184671002711e-08,0.0006517985652034763,3.6539788929701444e-05,0.00010285635215756539,2.4923900732387594e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6540384199507552,2.0180040320952415,2.832332741474302,0.09952117129949789,0.0880484985497818,0.15643519941299336,0.02910411286317044,0.03714522648361325,0.18168840532254582,0.03320643994892647,0.027043695407311108,0.0007298701495812576,0.003050982322150342,0.0006114629798467108,0.0002634096296579569,1.796107733620378e-05,4.4942582900331374e-05,3.339849320010968e-05,7.908328234371154e-06,6.768351044073029e-07,5.1793210811834633e-05,4.063365547313236e-06,5.367308610892962e-07,1.1193613665416713e-05,0.0001943175614603082,0.0002931534666117397,3.901166763270458e-06,1.3460960546218814e-07,3.2615865391980026e-05,3.6015158615398946e-06,7.605912198838105e-06,9.926838993035147e-07,0.001526182202133658,0.0008329884207672611,0.00026356885112391315,5.18459562165452e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021880206801434543,0.08398211528500354,0.006438356353929864,0.03390193139962028,0.006471633150046285,0.0008591995845295131,0.004559201178321648,0.02967579424114919,0.004974740109046971,0.0033230870545561952,5.5148844698704735e-05,0.0005331939611474823,8.972538555740428e-05,4.3452794801224215e-05,6.368751282792573e-06,1.796933315123539e-05,2.8405691072652672e-06,6.564148260501668e-07,1.1487351936345647e-07,2.2903927361372922e-06,1.652579939559473e-07,1.9800601158692643e-09,2.60746840341497e-07,8.412302694216223e-06,1.0677655731594626e-05,1.943988876540459e-07,4.3158723261882415e-09,8.305048475598653e-07,8.429904019280343e-08,2.6158533239506454e-07,4.4282650435434334e-08,0.00028826090406774973,0.00022024664073105882,4.442509904833969e-05,4.922389971184771e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08115603355795131,0.00419077078092589,0.005835411771700327,0.029219597744680748,0.0032051463803779434,0.00493362522249452,0.008177885557364428,0.0028856100011682706,0.000842079128763773,2.7132675055385747e-05,0.0001388658344314564,9.35248759126317e-06,1.577113217487991e-05,4.0726797769785605e-06,4.751637070699033e-06,3.0060528082298532e-06,8.855059989709702e-07,1.6645053335651028e-08,1.5155379459175222e-05,9.360820663051328e-07,2.515702894889671e-07,3.3113071340462596e-06,9.717236446160626e-05,0.00018039156570748283,1.4886710744121956e-06,2.7330087748467236e-08,1.052714859284265e-05,1.7644338976552376e-06,2.2080421697712183e-06,4.4755649830641175e-07,3.711673613282507e-05,4.809535420247091e-05,9.925741592642368e-06,1.0311011846564355e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8726045648836955,1.6760855300443465,2.6257215437443397,0.26543824797193816,0.2943356421374819,0.01466637571986279,0.003182573508881306,0.015512161201612917,0.008879730381787465,0.0013586223517697837,0.0005122897347760169,0.00017133176844875975,0.00012240734091817362,8.425584798077423e-06,5.7787676288542644e-05,9.238880766093693e-06,6.169051147697502e-07,0.00033386070709312543,2.0650785754319778e-05,6.6827303073502264e-06,7.519369466268966e-05,0.0029282637889569835,0.006444558142177037,1.0961821161933893e-05,7.116266365070345e-07,0.0003117851560413276,4.2226383135002266e-05,6.431438254592137e-05,1.2124972871729867e-05,0.0020739236781560366,0.00941630121344307,0.0009193603767751746,0.00018869107167984733
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025229913795847603,0.08631940856588094,0.023462893689120357,0.019643825614147348,0.001999807576933854,0.0008023305451900775,0.0009586496461784222,0.0006571192174833485,0.00011484715825815783,3.390908962286332e-05,2.121927692422254e-05,1.6409156901708855e-05,3.83957444394234e-06,3.3417244980071814e-06,2.924016984096056e-07,4.515966267604199e-09,2.2397211012270546e-05,2.0538720630902674e-06,7.336164349336372e-07,6.355495425713897e-06,0.00020828722608690065,0.00027038271064605546,9.034868770907423e-07,2.636925233723275e-08,2.1915089146062883e-05,3.628243649078655e-06,5.2398389307484194e-06,1.3192162557906784e-06,9.517960519511703e-05,0.00019802405859903338,1.45898975087988e-05,1.3100274634636477e-05
