,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20O,21H,22C,23H,24H,25H,26C,27O,28O,29H
1N,0.0,1.02285933227745,1.02302438031405,1.478282580033813,2.081206480581775,2.490586973665269,2.6389906435645445,2.794703350497307,3.868698164818431,4.371911997083866,4.6660321964898905,2.487397978262376,2.877375941892046,3.576206900939547,3.8131758692223405,4.874991093865866,4.921748485314003,5.867986489695115,6.812132426480989,6.294493291455861,5.710266630907578,5.73608662792788,6.728150136752385,5.7336652706374025,5.023426498066791,5.734834169718478,5.706066962376914,6.941117057282518,7.510339330735258
2H,0.0,0.0,1.62101345218951,2.0135633479715227,2.391882515620662,3.343504779402467,3.592506553847128,3.663634052484684,4.567127502607784,4.98938311892024,5.318288403815259,2.489833512190523,2.4036862135127266,3.748151724933957,4.230820566780037,4.8580595476833786,4.6781363623188605,5.948045337798698,6.798528399632696,6.58344797278311,6.1219913054533865,5.77354232287799,6.804431258676751,5.58031985121326,5.185915219923763,5.742257143568757,5.828585515801682,6.835165953977505,7.436492199657933
3H,0.0,0.0,0.0,2.035030536218429,2.920921261519609,2.6753218329098525,2.926416603330406,2.5536705899222363,4.148355552799295,4.88233958292688,4.7292340836423294,2.7453343590985617,3.2198268568174493,3.5832602900701875,3.767810995647732,4.889647365666208,5.03085829905274,6.027551646851413,6.943600791578155,6.351030760411894,5.79295731657544,6.148010258528282,7.164923346040621,6.218270022544714,5.508331962466044,5.492313859767849,5.2623429042317795,6.747945487755347,7.201179803024021
4C,0.0,0.0,0.0,0.0,1.0984384605652084,1.5369850694536593,2.1283885597415098,2.1814028214617167,2.5581919225974534,3.0690378280602078,3.3706329685957273,1.5493371144938721,2.4068273300513514,2.486513539034747,2.612894425824965,3.8201472293460816,4.020412465012285,4.572642276065896,5.57838269492487,4.948618501597935,4.330023199180195,4.368291688928386,5.321851237675128,4.507347845152416,3.5943384077822715,4.878958967110457,5.017876348101162,6.077623604464776,6.731849754319322
5H,0.0,0.0,0.0,0.0,0.0,2.1259918998114293,2.425494252827123,3.0532554598015698,2.7103934252674,2.7445745808492434,3.7398619718693977,2.104440929599611,2.6705741631568243,3.103752756741396,3.2572289862764725,4.253854804006451,4.328439019364947,4.745919500050473,5.73987373123875,5.222372995713828,4.601134614548892,4.176358642857425,5.043340170015682,4.218124942174855,3.306471318940534,5.5170678252954195,5.834732396219997,6.605692911525218,7.354044766671115
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.095817314325259,1.0984865972123017,1.5621395160469094,2.3989574634598276,2.3992970841578516,2.6318924721089796,3.757809834047943,2.878278631558674,2.4069687591664364,4.271883935672131,4.81306646124492,4.7629669256440765,5.8430570587098964,4.686911411935167,3.860649936099324,4.702373470045656,5.500471120261997,5.166950484663421,3.814905186977388,5.153774411423278,5.095732393418984,6.44026530656864,7.001148292125099
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7792027898598954,2.187211712612109,2.640454552471334,3.2006740831771294,3.526227397563225,4.52747107452705,3.9512655347852714,3.495928594957478,5.345152990119064,5.830197891040309,5.780864623346523,6.870480210155394,5.671493367323563,4.7918310403568345,5.568315385115527,6.3010077969956235,6.002133560740418,4.593209672877671,6.245110210888645,6.149131115561303,7.533995428425371,8.090985087316692
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1994616935620104,3.2862362611524896,2.503004331808089,2.9335624413262273,4.084375006318065,2.900435268352812,2.3293645282803923,4.2865553869324176,4.938108798025285,4.951746031792963,5.983960666072283,4.734834457944598,3.957434164388395,5.215518666147591,6.039664874327549,5.730337147704544,4.464391841202126,4.85462255780863,4.550022215545117,6.203570599627664,6.629761955122024
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2417833052833713,1.2841271733941197,3.1400943818669385,4.294265152225515,2.931070477770463,2.2077793099420977,4.020283201527416,4.711753841733584,3.9779176702991443,5.067967557528875,3.6721132192059143,2.739071085412227,3.790675747780064,4.3729099151088135,4.498014247665367,2.8488205634701247,5.015054171193731,5.152884787729663,6.171752481547846,6.7935721069768435
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2713398813481653,3.7506770184676936,4.731239474791404,3.764177551904117,3.223451165780128,4.699979080973422,5.245388886491014,4.395984387096287,5.446330426290552,4.212787664973263,3.3330952850701365,3.770948813662334,4.1709816224406,4.4183535654499915,2.7044540844335065,5.88567794325651,6.1923645855916165,6.926149011920627,7.638386793159352
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.486444481466349,4.672638790848559,2.750688652921098,1.7841528928532857,3.5849841751517193,4.493832269483473,3.4118852938706006,4.438494425120185,2.7418061151496973,1.7736116400154687,3.6593612714127466,4.165592487932985,4.5408864101396915,2.986358886717229,4.307193708196412,4.369810023910848,5.427963264990451,5.955852310707776
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2377092276473556,1.357866215221893,2.063545990818541,2.4492394179014543,2.5036840358272667,3.47073513611737,4.352275690962573,4.140620606875316,3.804895884669607,3.511952065792681,4.582110794325003,3.5157578555797357,3.087641040741603,3.557427218872617,3.9045071170463284,4.6573457725069,5.361085610089857
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287589310960805,3.1913733173183974,2.8361030813211787,2.373017675973921,3.95234536145807,4.630106302740292,4.915435265857129,4.757281415708993,3.876503872788895,4.9573827218208555,3.517087438405803,3.6646937184719164,3.91023854363256,4.408528223203731,4.775170787828101,5.518044213142317
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0319530225322806,1.4434873635350658,2.061414523201895,2.481578061104838,3.388470623035429,2.9490865772853683,2.7077781030040637,3.026110928719379,4.039613456915629,3.3409164091987096,2.7983451289496055,2.4462432127790543,2.809036632803097,3.644428498236419,4.310534705403979
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0990178373503587,2.9585950829056427,2.656401422341455,3.6607462291978354,2.6073861184792473,2.0877737315321663,3.229626401974772,4.094770567279727,3.8235252526405987,2.8226177097425484,2.8594568084103993,2.991879630367195,4.107975154148316,4.680348622615912
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095972977803305,1.570380161038898,2.1522204010082997,2.463647503342489,2.741584544069297,2.5712972208469576,3.5092172971624294,2.788091212698865,2.897951531775625,1.5219847228771457,2.4547801864173984,2.383494903658368,3.202248223173992
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.191829116295594,2.492129247490479,3.390445459425415,3.70766571615314,2.772580168628355,3.7485578357279654,2.5388343665724205,3.21303270014295,2.1286289421211473,3.1320268888470895,2.6014552566749214,3.4891052345025746
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097767540329474,1.4102065647591429,1.9773165029975779,1.5340030229724422,2.1532214075496046,2.190163849518543,2.1879575643385656,2.534994200753685,3.5034788932525975,2.926326898367114,3.7732299417123216
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0104138939497176,2.8516841330735088,2.155684143010616,2.4487368374266762,2.533330803919996,3.0782076498416795,2.6787828650774577,3.773831991149344,2.513942707569897,3.3624321252975085
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996467122689136,2.4459178435456788,2.701351244252598,3.3944310663866895,2.7284608947991997,2.9481883464228105,3.5521153137020174,3.481391186019761,4.087921693483838
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5941965361008292,2.936591616840995,3.6063929968441775,2.4516221538177105,3.40666691387741,3.8182488563935997,4.2100378165751735,4.80148912315239
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962397761505305,1.0977943631715608,1.0953182499862533,3.9002902367179835,4.861145980522736,4.291833289738536,5.204398220489551
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7820956238270544,1.767326512222344,4.675143400360051,5.644777963007759,4.886811021198179,5.762716927854029
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7821963066467505,4.168513441691187,5.222410220495809,4.423232314349971,5.389752650858121
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.307798590929821,5.087159829612252,4.973504070892532,5.846310040965183
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2094582973704404,1.3674562311594636,1.8694598315576005
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2479826925899125,2.245156684514137
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9753777048779496
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
