 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,O20,H21,C22,H23,H24,H25,C26,O27,O28,H29
N1,0.0,1.7760634615031485,2.0745571878684474,2.7309448681202886,0.09631572691858814,0.17437692891639298,0.014180190660619374,0.007317928987693678,0.033757763420000475,0.008109406837482208,0.006650328408165665,0.22270512560862102,0.05560374736513937,0.03556257997653324,0.001359346587026855,0.005933195257533205,0.00045642889974506495,0.0005580148437225735,6.486461054855397e-05,0.00027950688038461124,0.00047975467422101126,0.00021124285302930035,1.0018818033419308e-05,2.061686437548893e-05,0.00023231740453077965,0.001806353563367169,0.0001323318383946448,0.00042741847526807375,0.0001326067323637048
H2,0.0,0.0,0.026805056302271923,0.10586947271316582,0.00470175596914002,0.03189940287534676,0.0010110425445704063,0.0004288771680354131,0.004897410833616611,0.000906287545486717,0.001431893694069375,0.024424439292509037,0.0599946214793069,0.004176414084631541,0.00010952482847859102,0.000613375945989203,0.00010418713545412572,5.6688243061819854e-05,1.2431930449086082e-05,0.00010129321948215697,0.00014626005122631014,3.0007945782895007e-05,2.257386420012608e-06,5.104484706253132e-06,1.807597315606202e-05,7.762950707224103e-05,3.5236816464112586e-05,1.461948421754844e-05,3.93099371209793e-06
H3,0.0,0.0,0.0,0.09896949440506275,0.036882394555338704,0.01394075303650999,0.00043311294098735686,0.006702047675927192,0.0015227778878523779,0.001320284438413144,0.00035346759163989994,0.008324781361775613,0.0019975150773395844,0.0011594249597570716,4.8915541435601284e-05,0.00019915671133552415,1.3449090490835758e-05,5.787169527282643e-05,1.2021074783818975e-05,1.0934178430344055e-05,1.2148084435281703e-05,2.100882069566712e-05,1.2434340157518875e-06,4.5960731709371316e-07,3.594178324228814e-05,3.894583088215331e-05,4.758959089246062e-06,9.205696175240696e-06,2.4171013988105727e-06
C4,0.0,0.0,0.0,0.0,2.0968397915156407,2.5701497234714195,0.10243518053335365,0.08283318656475913,0.17579700822002983,0.04887615419092213,0.031427337032447336,2.555568515882164,0.28172511281985696,0.2223660119883488,0.009639646822448777,0.03603695177747038,0.005723714851806561,0.00267978007353023,0.0008170384922623342,0.000980568254129996,0.0010093044909018634,0.0007212655104679444,3.625776335947073e-05,7.843513634564481e-05,0.0010324365137062141,0.004860075869357688,0.0003262517669742476,0.0013103305246269514,0.0002770144595699575
H5,0.0,0.0,0.0,0.0,0.0,0.08640055217398368,0.0056428969773270055,0.0369042652227487,0.013172432283841573,0.02179812447406404,0.00240994531328953,0.10992468524810017,0.020005158486995023,0.02276410809402274,0.0004276547058186253,0.0023794486898454092,2.7987056234968222e-05,0.0010878705854058257,0.0001458358740693555,0.00010165593518973726,2.396540985860618e-05,0.0001995374827639118,2.191291750519575e-05,6.446749926114492e-06,0.00019902886129274933,0.00019869640003666866,3.6202274370733534e-05,8.789724543656341e-06,1.3130258897930958e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.811460915301876,2.1483800408596054,2.3615158127888485,0.2955347563453886,0.2704223008314826,0.14780768021017826,0.033609986592916766,0.022471114245212642,0.01796670481051521,0.0033294467094553415,0.0009800802880559623,0.00069974160142941,0.0002965080273644727,0.0036778481840088334,0.011199030013050115,0.0009287012210693196,1.5143174059151221e-05,4.8143545894108186e-05,0.0019266509929218856,0.00030628000214033557,6.628481019525789e-05,9.065282152979914e-05,1.6770045967673397e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024752615717815507,0.08323392370621785,0.0157132898837814,0.02293205505732654,0.02986937980387383,0.004547320626815954,0.0023343760673129044,0.0009257975340029034,0.0002396356842191416,0.0003992075821575014,3.128086638204408e-05,1.560450792803536e-06,8.995516850096585e-05,5.6127075954037764e-05,5.693284750918348e-05,2.372625207414103e-07,4.061153210832558e-06,0.00019796064008348324,1.691192626718241e-05,1.2977900682553667e-05,5.550584238678269e-06,1.7002207264305014e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0771365641330315,0.024167460906991067,0.01746630672164784,0.006694741375516067,0.0008669322734450313,0.004504472797346448,0.0057750663890336895,0.0004407967960855519,0.0001372825000029998,0.00011579890600366127,1.9659518663450726e-05,0.00011982808898092223,0.00010918041189555971,2.9895371696841977e-05,3.3292376611093744e-07,3.9682956987086015e-06,1.2933033596063126e-05,3.929558554993662e-05,1.3858314628079071e-05,7.961427604064042e-06,5.42496226607625e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.974397147951865,4.206183164851159,0.013362755158443346,0.004320061063068689,0.03814378134593446,0.06075597595875648,0.003181285638226561,0.0004600730031736333,0.0029333111275323676,0.000736874877410143,0.01860282019180115,0.036656146998811145,0.006879537934530916,0.0003436919521524473,0.00027544021336112223,0.017444958094252172,0.000585322252226933,9.700212618357629e-05,0.00014693447182081987,3.2112017571694906e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5587895238387739,0.0026209761998362557,0.0007591068055249686,0.007797381759886868,0.01230421819907579,0.0007831268022055193,0.00011692234396587509,0.001834383582356533,0.0002898921499890905,0.005796388022061741,0.006721500625663901,0.011363988540573716,9.130917828503726e-05,0.00016984224244143142,0.031112701453780867,0.0001582282215748798,2.5707908118399736e-05,3.336495263889239e-05,7.5806674878498015e-06
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014736361070691983,0.003651684278917419,0.11554882368515866,0.2647342104863588,0.008778730981447158,0.0018256899232020896,0.009554597197389283,0.00211383219615513,0.10400131089243854,0.33307150736171554,0.0038514266456898955,6.493586971667575e-05,0.0004363587431053251,0.003613999497253717,0.00040884930724924273,0.00022830036962985523,0.0001447835004210682,5.22067887254174e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6400607475878575,3.7515288350254368,0.13562075747718738,0.2914380279121445,0.027852159434927026,0.037617970598715716,0.004681930983404081,0.003943053447485412,0.000491579735174219,0.006853244209107517,0.00046425212223355494,0.0007608823956710697,0.004040645495500872,0.03641439975309918,0.004264349471237688,0.006315258701905774,0.0012964720944687036
