 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
N1,0.0,1.646144237111873,2.8719276340897695,0.09647771686059914,0.18999670345708616,0.01490718916686351,0.0041219227075868226,0.2259905925551467,0.004609543130869365,0.029422137416344807,2.8950923593973306,0.07996899054260398,0.10164708555645974,0.18676094086821543,0.07149343880732198,0.02654983067722494,0.003228890467995016,0.005753824466632251,0.00033832459891758315,0.0009346360196699349,3.390380421564032e-05,1.5352476155472417e-05,0.0002971942774941394,3.6888994359163263e-06,1.62198777444722e-05,7.620434935998177e-05,4.630533841354367e-05,1.2716432804482647e-05,0.0006005883004290558,0.00017326685605049963,7.599399324849376e-05,1.0201003205367876e-05
H2,0.0,0.0,0.10349284859962038,0.017254822417087423,0.010737438406214883,0.00017052726471944446,0.00013757228661370746,0.006363794624314467,0.0009510334244706709,0.00018712916346563802,0.0997203326890792,0.011029477306488955,0.025348751393079016,0.05124862182385981,0.12479179307170951,0.00819787476046463,0.0006120681408090523,0.0006741740369794469,4.1465405198781724e-05,0.00016857097462785742,1.7024631391304723e-05,1.4604587893263243e-05,3.895546432053365e-05,1.6152928967727576e-06,1.8189258461642765e-06,7.921605142735544e-06,4.70595038171151e-06,1.9033880093166644e-06,0.00012134680349418225,9.115567736439623e-05,1.639631724115187e-05,2.2962898027500955e-07
C3,0.0,0.0,0.0,2.011876517024684,2.6570212917654956,0.07199958523446659,0.08179670360507307,0.19277995757846209,0.003648612772831905,0.027119399145411727,0.24632229519387727,0.027086048389244555,0.005220579509619405,2.5369585408867565,0.2849433543672159,0.23148387925734432,0.017812748197950312,0.03594982643546307,0.002045653019084881,0.0037707228314316915,0.00015511120218492103,4.973530654939218e-05,0.0014384068583639942,1.6277933244657206e-05,5.260042566646028e-05,0.0002849945012656785,0.0001816307663191491,4.54899722010238e-05,0.00458463621767391,0.0019082156640712195,0.0007693071305676924,7.728657474148637e-05
H4,0.0,0.0,0.0,0.0,0.07357011239190858,0.004213285515114684,0.012233028052943684,0.01645400052379875,0.0004752466310331549,0.0001584225499502434,0.01143749053440457,0.00021090120200017992,0.0008601173697255771,0.09644621753901239,0.02676664895605907,0.01157453868037095,0.0077472314005864185,0.0016459514484008508,6.105147518864484e-05,5.858445834183712e-05,1.1809128002804314e-05,1.6325091154456572e-06,1.954522906388867e-05,6.902826532595441e-07,7.141283799860787e-07,5.061959829966156e-06,5.3390608445447185e-06,2.24020275885195e-06,0.0005771447570903643,4.768738580251952e-05,9.663129483439281e-05,2.6463603826742954e-05
C5,0.0,0.0,0.0,0.0,0.0,2.031849003944936,1.7626441595102105,2.616216875998167,0.08438807903955126,0.07712595323902294,0.21451917412583116,0.028064231134717454,0.0071182121179957925,0.1866819735457554,0.03933668512778431,0.0338089079139528,0.0023033570287248617,0.0030159326782362716,0.0008197442148751843,0.00028268772074274695,3.47032478575926e-05,1.6422282003158983e-05,6.34185477681043e-05,7.501488473504736e-06,6.8750342812062826e-06,1.2495769937587164e-05,9.325155096384652e-06,5.638349827918887e-06,0.002606856310810507,0.0065760843002004715,0.0008217933924273141,9.38907504907105e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.026583548608437146,0.07927173210208949,0.009196952674704217,0.0012290565754775606,0.026588592143752976,0.0012576770599406206,0.0004488741490655812,0.021786172838365703,0.003467999882201367,0.007005855842693087,0.0014290294929741876,0.0007684360381701172,0.0002806944882309814,0.00011535542463481097,1.744433308736859e-05,3.142103511843963e-05,1.7760687669676756e-05,1.0171932061098232e-06,1.4269180739212572e-06,3.3808800870005484e-06,3.5626743974948027e-06,7.481838215084302e-06,0.0036910675973893525,0.02156974870829076,0.0016053808325118268,8.090251047354613e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08140194376670862,0.029818142754594712,0.008520406996169072,0.005587816950958668,0.00020910830627607346,0.0015860541132299844,0.01742045948060178,0.004880321446087743,0.0012215520975074057,8.687041820021335e-05,0.0002667302606516042,2.0724884666867283e-05,2.3887374112074866e-05,4.647456888662305e-06,9.71010013284257e-07,1.1487598040815783e-05,2.985953135858921e-07,1.0416298867887974e-07,2.1314568912078613e-06,1.31708514072848e-06,1.4282668667764398e-06,0.0001998366470343793,0.00012472860262047192,5.9731334457691077e-05,6.632087924618446e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7749244418654657,2.1650490099885777,2.5099386302417255,0.07548514874929024,0.08128685653798606,0.012979631401041941,0.004443422863407084,0.004974456694347734,0.0003763158264865618,0.000553129276387454,0.00012321100303103183,4.925771617377006e-05,4.215539708418703e-06,2.107010226071182e-06,1.4073378504078637e-05,1.3876785440736228e-06,1.3008192374375227e-06,3.4169933718908307e-06,2.8843473489775784e-06,8.811262489638594e-07,0.0002940817963366371,0.00043263779114458,6.954177647820747e-05,1.0745946778301096e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02495096893685589,0.08368062895163875,0.007907978798347148,0.03127861448512492,0.0016596888695481482,0.0037635541251967997,0.0004903748563800381,1.0641347544027013e-05,2.805422592699891e-05,7.311621408101487e-06,7.992928112043884e-06,6.864553445673494e-07,1.282721513895524e-06,1.3257021020951498e-06,1.118005061861993e-07,6.919016248829735e-08,3.754635573560705e-07,4.432435323220574e-07,4.104548328998092e-07,6.220709078452735e-05,0.00017924802082014413,1.8146191855805682e-05,1.2629274834807802e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07858723666635026,0.001227001866779709,0.006409026929373063,0.002110100245110491,0.00048392217038917273,0.0007881938700993185,5.14238804933953e-05,7.816047424502592e-05,1.999398251251172e-05,4.842102308888485e-06,6.521193378627999e-07,6.869776858486887e-07,7.46403142182217e-07,3.8728461637660416e-07,2.2418541067992237e-07,5.303338435069804e-08,9.79173331305816e-08,3.2614480893755626e-08,5.5002529516734455e-05,1.1977484284386719e-05,8.530661187444721e-06,1.5412166030071006e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1398124233945475,1.7105665901912905,0.025750906394409107,0.006436307943887817,0.0056664062908743235,0.000801044965949127,0.0012913441821028326,2.7582630199973757e-05,0.00018086965734738503,6.841524306189228e-06,2.948756290255261e-06,6.7955012641438e-05,4.873521628478983e-07,2.419673499565178e-06,1.9384034978697784e-05,1.2546369147062308e-05,2.8800415616259123e-06,0.0001236538643446805,0.00014274657193710794,2.8192307569951947e-05,5.155672709533654e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023849309318490164,0.0013071270233393495,0.00033114304641235215,0.0008993668686085865,0.0001923570866269042,0.00020787132605692982,1.0845198752829077e-05,2.0658779121163207e-05,1.20821770632773e-06,1.0568510477870774e-06,1.231346602303951e-05,1.7838442833983947e-07,5.785204919561693e-07,3.0488825322194657e-06,2.452308037970141e-06,5.148737718396745e-07,1.3776992992653447e-05,2.734187503250496e-05,3.2644388026081828e-06,6.148555735663308e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017044488930659796,0.0013626577197358714,0.00014278998434802403,9.162054787203999e-05,5.782291182199195e-05,6.264467476979618e-06,1.5186391396415644e-05,6.186299961186137e-08,1.8082534181118604e-07,2.0070780333281135e-06,1.8535871282310268e-08,2.0931867950046978e-07,8.918319875927949e-07,5.302908527848871e-07,1.976067383058222e-07,1.8220136233315642e-05,1.7649198801539256e-05,1.7618722911727502e-06,1.2563873630355715e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.980500605645522,3.5013946132134457,0.14685942211724212,0.261502681601188,0.0161710884672015,0.029454356886229827,0.001279955379423825,0.0008880774092219212,0.0062548471599945255,0.00029543872597548315,0.00030828164405294345,0.0011926390318640068,0.0007323845671726448,0.0001761906201842578,0.049549757264574584,0.014176944220764348,0.006949679721446361,0.0007501027097926993
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5365625768649901,0.028334202348723414,0.05854978430212873,0.01589245820737606,0.008283437851220113,0.0007978829028231216,0.0007335543165338798,0.0009716560447343425,0.0001277524689931031,0.0001301675144267378,0.0001570331958572202,6.575817868295641e-05,0.00010097054649348125,0.034641447486540744,0.006804999511440979,0.0036412586098816258,0.00048616983374361045
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8532511659667374,2.805776500110989,0.0984741989364123,0.1895549443487865,0.012783369701182434,0.008704043014664542,0.03350561432554204,0.0008043973126126147,0.0011891512680730632,0.005430076315636578,0.002979428884980026,0.0014973535643816732,0.19324068164039082,0.03288282795936959,0.027218700834579723,0.004582904244024855
