,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
1N,0.0,1.0221975060386084,1.4728022542582588,2.128354688144564,2.4510255128163583,3.3207761856693687,3.037267501725488,2.4051323991332323,2.806558756951329,3.3722854609286226,1.4723098220116084,2.1164199933815016,2.1137238483181893,2.46405303292497,2.739431012121059,3.6696361379641766,3.9445451692135594,4.932137264231884,5.131563801358919,6.115900116046542,6.138824236624791,6.222120879083326,7.4925874043718625,7.910704431498527,7.576664884906657,8.622637039831979,9.764581566538359,8.382994443418939,5.309924871784871,5.215494236974121,6.2683668548255875,6.701132993059959
2H,0.0,0.0,1.9990195066106873,2.8073588979249795,3.0111277948255077,3.6640689051017383,3.8111450182091664,2.8020374884211092,2.8053155352861543,3.842011141710936,2.043560237007487,2.272621562220359,2.924103701360299,2.3163102957937434,2.114275253270328,3.645512233035205,4.165818461870153,4.700890036058844,4.730531110254581,6.039712369312467,6.1388158855667925,6.282525359677708,7.301259692613951,7.690296100914949,7.25781421732221,8.536189683521394,9.64018897290957,8.401371270946436,4.992899341209557,5.029066344048418,5.777557003884777,6.211995231054533
3C,0.0,0.0,0.0,1.0993537144308765,1.5698638197548078,2.225491853094935,2.1976825265998534,2.438501780434589,2.871641572191767,3.4018425453940675,2.3740953084215515,3.2888793482395213,2.8836955926532526,1.53727591833293,2.4212007254148586,2.4445811358462763,2.5447973928710077,3.819159207202844,4.252221226413802,4.845531475849527,4.898363350956461,4.833511933822337,6.288041264123503,6.696970945459779,6.51819930342832,7.358352407003612,8.497082686718702,7.117211357875771,4.276053833179982,4.139956628302714,5.409277586122277,5.875666921985438
4H,0.0,0.0,0.0,0.0,2.2027626537897858,2.8294528014310236,2.343247633304816,3.300761383051279,3.8986566266324054,4.121529726882399,3.0843142190806616,4.057054661505147,3.2609745447290432,2.1607293538841965,3.2198612434468443,2.590781280352164,2.3572840725684747,4.050073541325526,4.505223804826548,4.792567504918396,4.621921343478233,4.750600086428821,6.292661899390384,6.828366238123547,6.58130258637875,7.162063254592538,8.353043437419569,6.741191861278856,4.796523102213348,4.743676515767843,5.983401960141065,6.538739393226406
5C,0.0,0.0,0.0,0.0,0.0,1.0946005908538339,1.097441813721744,1.5373441948594224,2.1728072684122886,2.2096034294543387,2.3873441403592714,3.3709768517257137,2.7926434582132593,2.544006056259269,3.3192061174776857,3.1892614227948073,3.0800823129851382,4.390535769294636,5.075257564456336,5.30087180423261,5.564618020785851,4.989919795382748,6.717283255683244,6.915490354440435,7.125782741387866,7.804502988124706,8.853160629584597,7.673234739268711,4.408236518821971,3.835450991428207,5.624073322065313,5.862016421433607
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7735328459138762,2.2113160225902644,2.434643353760031,2.747443655513203,3.349754895299439,4.228193844869642,3.856352355353437,2.576300319421818,3.33304478706196,2.8915168830071725,2.785254026809984,3.8386630082696525,4.660134802364061,4.672567390714146,5.11072856627814,4.2559685574924835,6.007076744727596,6.079517305619164,6.493486852529093,7.132668644499845,8.104601783174218,7.131696191784114,3.621603292562646,2.883598517790225,4.867163099156031,5.0249846617905085
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1780061712719028,3.0602506113274313,2.43869568527695,2.8347731437719514,3.8936271081217995,2.81068909879274,3.3934718791947023,4.311053326855099,3.819104452602545,3.4319061939328015,5.087354856679137,5.84335098037119,5.764818345123482,5.915650513826946,5.320337524580498,7.229199679806941,7.464556470290182,7.7395098681189145,8.15386179844401,9.217166969741418,7.902258669423727,5.226218494254443,4.610351850384386,6.5075060323192675,6.754313521138132
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969890425336812,1.0968568100767067,1.5380298436865936,2.2213007683125037,2.1756173480913272,3.3521571727968853,3.6503982882574357,4.345422925487024,4.4659163511829165,5.42948069220029,5.961433012785778,6.550387358115662,6.8872918079240035,6.323646405687632,7.885876790137082,8.005278562198466,8.184238177234636,9.100274990363356,10.114862784659088,9.053844242461834,5.208306268201432,4.5825567191772985,6.239337860046466,6.344385996895162
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7770364093103832,2.1719505035853417,2.4679361009960865,3.066738007710509,3.2952434092565746,3.263420033429863,4.34053803285095,4.667134455769696,5.1931710711807195,5.647462088954846,6.447241223889767,6.914654257264494,6.301438418722654,7.657521326149374,7.684433451892956,7.876467294650414,8.992306753649713,9.943317571242394,9.085832518965821,4.7393304138803245,4.121787592134784,5.608885163901962,5.623258732566287
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220542581285452,2.7411113320826797,2.4634461246239865,4.385132544930744,4.718870413674299,5.268029779567534,5.271095829336757,6.326410836065667,6.939266609769161,7.352132350652433,7.720960377377178,7.000355617972962,8.68067635136506,8.728445083090264,9.058749095644567,9.857904328077128,10.837672577620484,9.818553028111843,5.994431291883523,5.210711242125457,7.035821830164962,7.037018137282832
