,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18C,19H,20H,21H,22C,23H,24H,25H,26C,27O,28O,29H
1N,0.0,1.0205022106540533,1.0219983905411858,1.4624033210581022,2.0824642006647287,2.450477516807244,3.4129579649897277,2.6619630280191195,2.7293957275293925,2.4952467410019157,2.8302440839619605,3.6677235276105664,3.9567298708403253,4.92749362313225,5.064103728572769,5.459804152082329,4.7901745025461775,5.954075602945323,6.475060255369959,5.2989223379489765,6.800713841117733,6.7688763184777105,6.762950750150755,7.241676922544076,7.5470625491250125,6.040422408498329,6.150757917907103,7.1884973693696566,7.872940106502792
2H,0.0,0.0,1.6168516395473476,2.038471532306609,2.3237805933294857,3.3371394406121433,4.192158251246587,3.5701900818027745,3.685104058579704,2.74256719537151,3.0264645155813,3.7860153558860015,4.104327748653993,4.978794639719715,5.236937715895013,5.224032629750398,4.465495154826212,5.566379299367781,5.944374873362137,4.883635410711736,6.490821166956614,6.556214460979928,6.654971519367543,6.893231075525789,7.3853640336095685,6.164767356571671,6.3013406441956965,7.3233464391165635,8.032624016047464
3H,0.0,0.0,0.0,2.0134500667746167,2.905740994237852,2.736074211228932,3.7238399322503963,3.1068030755059777,2.5980006525727095,2.5620903395079795,2.4426722298236765,3.8962199047055153,4.391016789614409,4.968350832446913,4.893351721119237,5.484100372657588,4.729772218461304,6.209394227900237,6.70020462550297,5.70895803070025,7.089691931182403,6.640025433904794,6.4794271383425,7.104541700007046,7.480070546868613,6.200788881277909,6.486029120028983,7.227406661762823,7.9831904777190035
4C,0.0,0.0,0.0,0.0,1.0984564647539836,1.5380875008244046,2.193087576862863,2.1646554567044025,2.173658342130453,1.5430287805405185,2.4237155493035023,2.466831115906861,2.6123712824972016,3.8393507104628983,4.072465116237099,4.658915570727438,4.245559020512416,5.140925694642248,5.857818719143127,4.485037601829105,5.83718440081458,6.020558085926736,6.0718568372829465,6.654373879733046,6.649758846424748,4.758309598923028,4.77230834287729,5.952744331612214,6.563352473615862
5H,0.0,0.0,0.0,0.0,0.0,2.158615932632276,2.509667936504838,2.495514920258592,3.070298933871448,2.1686553691589254,3.25080050961507,2.5756305628358804,2.3505817772486166,4.026472624638842,4.519043243207353,4.758633928827367,4.466179905358335,4.907962000990594,5.628450243801234,4.07714177431204,5.536349459535473,6.23102560293951,6.46454899856756,6.831452336902419,6.775775910640294,4.741535232031313,4.522471107154879,6.038794691536505,6.548253097788059
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0961758180836745,1.093884619504757,1.096511914644068,2.510192405703307,3.2311831006274288,3.2467732606528195,3.2357446851446405,4.491597347438589,4.520829793797531,5.64419199099961,5.381137317680438,6.252255245332413,7.090468220091207,5.661448375493227,6.793843312898115,6.883983940270541,6.798801548388879,7.66103436740392,7.396680949708006,5.135886453994882,5.052725277594615,6.236819309450202,6.74598189411249
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7842629683784421,1.7748381671627707,2.7691453821721423,3.634611667924542,3.0501016357649515,2.8334753070820304,4.1815056203405705,4.261376034770028,5.513327303195407,5.4658879309409265,6.074139541607771,7.016717653643963,5.52341398291744,6.450220893529029,6.710339147929449,6.664905852266914,7.582262422254502,7.070627067789574,4.5187168387494,4.303668436132717,5.593230319660345,5.988123285131093
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7765016148488795,3.4635794968444187,4.183831604161159,4.193582686180982,4.041719510636249,5.510634474166583,5.601825497650719,6.612580022373605,6.316680604306909,7.094128707012939,7.902791377354438,6.397824099414789,7.6384240735663385,7.909075932792839,7.862132512579162,8.652968398560603,8.42426113708134,6.091042418727543,5.871718247265138,7.233525377855954,7.685864242284573
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7455240806406622,3.056070516099768,3.675035311740397,3.9052763578329186,4.711265449450439,4.4818868261407525,5.871984189331736,5.536350391235803,6.708496331289347,7.519013345570985,6.254827106671953,7.286860691635648,6.954452441052053,6.6968794986510405,7.7402165723039635,7.51799906598819,5.472648891290118,5.588900374261743,6.422135101891141,7.002450495025857
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229575675303827,1.3636836646852137,2.0740045890786925,2.465304080177364,2.6099407776729264,3.270836621451489,2.8787037527309733,4.048630358342291,4.791232612740511,3.6620503872305323,4.767497913600889,4.536291196141219,4.532538133595221,5.213795755626033,5.200314817352513,3.644345063715463,3.995354065470226,4.717755947772892,5.453479087547435
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.274620678262982,3.1774993960369247,2.8046485989016907,2.545635628787932,3.3456596058034305,2.712997288317151,4.437506712978202,5.0265031486873415,4.287357479682903,5.242379871384633,4.32574493464309,4.082967237695581,4.921279706105069,5.14127437407326,4.196661613013138,4.818608881299013,5.02579661309825,5.879326474115399
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0130264345938549,1.4549991944870737,2.08030159871373,2.5027100948478185,2.5771203322774316,3.09357932269776,4.022910763809362,2.7485444653121243,3.6127864568562464,3.849746981877172,4.065603536436405,4.637601040531711,4.299319665963794,2.389440117037998,2.6825653206292817,3.5887668576065437,4.25131903846187
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1078325394931055,2.8755930543764174,3.1500660355311436,3.389802188304292,3.334451744331141,4.3281671802799755,2.7756736852881354,3.660248447412415,4.522598311280048,4.865571603027037,5.3129545094590425,4.803139133717754,2.4259805293365297,2.2246248922814913,3.7575614337679455,4.216774222015473
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959347365364684,1.564981426810004,2.1041584307773538,2.5737451944724175,3.520145911411125,2.7772391195410084,2.913077557122673,2.581482420211569,2.791582611213644,3.522276568958547,2.919187000842024,1.5214412919187597,2.4264027339362406,2.3916372463489037,3.2201573258567455
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1637782364541804,2.4568519742059065,3.491852558157302,4.3173280449179385,3.799973339195099,3.8462390308510597,2.692270716028565,2.4489390755711105,3.6832591263069485,3.106105573876075,2.1453477662698264,3.1790677792277955,2.5718227331673167,3.486145821158081
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967120982357967,1.5346586180867712,2.173672560214927,2.1877912938571864,2.1915942698557553,1.5348659165320966,2.186816634073464,2.1679033743102165,2.1939017355839843,2.575417515744948,3.445191090896117,3.1012381411951786,3.9340838364060575
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1515531435735635,2.4795580072722876,2.514186808491348,3.0790019657372323,2.1397155988387455,2.4912709543420717,2.462169055205804,3.0708248671099967,3.4429417400266593,4.255252843140947,4.06403407909057,4.939812949075654
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959322170199495,1.0955193451552159,1.097873364099916,2.544582683402405,3.5023511204427558,2.7902926052295234,2.8192320496686776,3.0241087171044128,3.4534597748014075,3.6933004238365976,4.265311150327946
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708777003104976,1.768322991569455,2.797860916083854,3.801005091090721,2.595886467118914,3.1680984191339214,4.0737167106903005,4.534126241506646,4.595159579458703,5.17100881464258
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7742708581364917,3.5027089761099495,4.349034049864737,3.795211841095197,3.8277810458159274,3.2437600138888882,3.3603264097268513,4.217358744731539,4.7221823989190606
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.810702371273677,3.8225836576429524,3.153473660895638,2.6417166367365432,2.790198304186542,3.0880499872701552,3.261343725795187,3.6290417676612745
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965332759540933,1.0962713123942094,1.0948515809732482,3.234938270301954,4.305147014225223,3.0936582770132355,3.936966762013715
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770900764875262,1.7715241623482594,3.5806558088474962,4.7583028971782655,3.299707089588242,4.215898290456048
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771752822559473,4.233972611359537,5.22372466343617,4.117687625573104,4.897985724747193
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0258441844782458,4.0490312195172375,2.5338458369059538,3.2228676019618216
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2146172223029819,1.3486692445337294,1.874744426012403
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250186117346471,2.2808402985146983
