,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20H,21C,22O,23O,24H
1N,0.0,1.0171223934288862,1.017802008338665,1.4622068675110955,2.068359733758528,2.4494661453965514,2.4256230231894187,2.9678060402527326,3.790840800218228,4.619159894947245,4.369075212924924,4.172855234917772,5.352714557615754,2.5604722362772963,3.698083697488961,2.82297167225727,2.416188956315843,4.258238948196385,4.769212690613675,4.84298018165927,4.857659303647355,4.5125233847036075,6.184992317378449,6.656082621747828
2H,0.0,0.0,1.6573879718528346,2.0798984925591455,2.4100168729461315,3.3675302615285467,3.4243844152006684,3.8672237136842083,4.620508465752269,5.515305538140306,5.004854895528779,4.675935414844223,5.9827222736662025,2.7936138162039357,3.9350101761606937,2.7852198050332686,2.261921446110078,4.11712746930969,4.5049371479936156,4.89486104194313,4.557689211684934,4.1381477706680245,5.871852751891355,6.2849030518577855
3H,0.0,0.0,0.0,2.078487358650121,2.9444663356268053,2.6567625765997693,2.5276461998480553,2.8270284246880983,4.160945278434492,4.9088547028412925,4.88294330774198,4.687797043554249,5.872940190684345,2.8910074107851456,4.081435494657403,2.8386939792850656,2.2366192843286337,4.205608506459895,4.917922895564625,4.699215948813053,4.609783268288213,4.138148342814334,5.943070718947989,6.335944719312236
4C,0.0,0.0,0.0,0.0,1.0970626852211243,1.554161049456892,2.149160564258234,2.1925769240921134,2.6603424556606736,3.7106094445082944,2.992284122616404,2.7139322222884736,3.9946355490712024,1.545031301409684,2.438251785203835,2.4707627801895327,2.6268519229901828,3.8337020752075284,4.213997787140018,4.2280242978879405,4.847329143427832,4.865527980597391,6.071887258016574,6.7238780127589886
5H,0.0,0.0,0.0,0.0,0.0,2.1651859674285974,2.6732178878973567,3.042370915066789,2.7160360948732016,3.7424369563136364,2.7655129844625055,2.5505726451551833,3.679507436097784,2.1158078744457,2.6543770873108454,3.1835502409913152,3.4200156804906805,4.442651049868073,4.577971199436354,4.906256764879716,5.530236664330579,5.603899883446705,6.707011286421295,7.390580823166729
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.092659889209071,1.0993657427712826,1.53837093402469,2.3977292141559245,2.466894757617466,2.624943881420128,3.3808753714548905,2.5509168413996934,3.080519800244869,3.5170996993951267,3.703512539677465,4.761836259763011,5.27696164255993,4.838765401507944,5.814967648159483,5.860055706928194,6.988631076245509,7.65693337615373
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7622424738745746,2.107374384323926,2.48211519314137,3.2892823707070047,3.620456238644333,4.104488917236473,3.432779255398334,4.117644775970518,4.223755572801283,4.172448520940205,5.558460889728248,6.13921191249051,5.709141696185175,6.444095065054373,6.300877195762717,7.684018410897029,8.266572393250234
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1461320838297886,2.8844321025774367,2.9695332447466516,2.9834362008353046,3.8221188210063306,2.640808091240915,3.1256351780879177,3.3661459587797093,3.587923318812824,4.443733529321008,5.111151630111616,4.322142574521681,5.443208751924469,5.539824481471736,6.546594294079131,7.205852014499403
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2248553640523936,1.3609101532029453,2.074063749638035,2.025762393652237,3.4290567127059113,3.4345148257262146,4.640684878555793,5.030088010396662,5.724787245586484,6.0556850003688965,5.670616151095011,6.967085041821786,7.178179628118613,8.039416572150646,8.799003991741083
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279293586406939,3.1766641704220455,2.4948690147523824,4.61675290788379,4.645891771591622,5.774590767968586,6.079898956397157,6.881411946760073,7.260821379588448,6.779204996963374,8.076390907744896,8.223581688023776,9.16200453300165,9.897639105279444
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020015607546249,1.0112176360812108,3.2931383223420094,2.847473198929837,4.622231563979495,5.230615529966267,5.496562432393909,5.598528817200625,5.415924106722352,6.8919072988805254,7.297437803100979,7.841156614277598,8.684247034386898
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757128221341335,2.5672556252729506,1.8947264647713844,3.881226540124488,4.609550630238675,4.618743564867585,4.637138715420607,4.550589673975417,6.062016656305898,6.565952055286979,6.949379452198103,7.819225255670383
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245893512656847,3.642852032337296,5.570745771311334,6.220284947270612,6.348000033440069,6.3780379820784106,6.189836184431816,7.78331994091593,8.250093438734664,8.665033469261303,9.537825654836146
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.236560383329825,1.35337126247556,2.0683510557948095,2.4451589143978847,2.7629386688791717,2.793414801185274,3.6969817945763017,4.041777473380537,4.787672337346265,5.548756853794598
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256243699798377,3.168400656714933,2.7592471476750666,2.755078209789148,2.8118151413916315,4.232305420414855,4.851461010625291,5.0794799339227845,5.9570025609218265
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0119406219960285,1.444202067983593,2.109190709271037,2.1115679086830417,2.405017382931928,2.692685579148431,3.6012116370518408,4.2801457259569755
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104868626388672,2.849047073412749,2.847109860242609,2.4461836677594464,2.243005110673197,3.7786174105972345,4.258607861256574
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097759929807811,1.0979505660920703,1.5145714626035283,2.419220777065644,2.3660794118294475,3.2036512234860024
