 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,H20,C21,O22,O23,H24
N1,0.0,1.709885253318896,1.8607087676022769,3.028566081381779,0.09932672353849092,0.1987894950973748,0.033609545018194575,0.003902116780171494,0.026221052402384704,0.0065755885840625555,0.005251044158760015,0.0007224565652546033,0.00038951775919993104,0.21258589505867692,0.0411786840928913,0.053679848885009054,0.07299761032527319,0.0067387402330067875,0.0005550502630903287,0.0007966047393075382,0.001205634530526939,0.0006735025661837868,0.00023169616234110235,1.6078934360064245e-05
H2,0.0,0.0,0.027557666245369816,0.1030870502855521,0.004631052182545892,0.03306982605222197,0.002791079218226189,8.835349395508452e-05,0.004373710261077801,0.0016874462748437402,0.0005379428517772178,4.3171299266786534e-05,5.174673916918948e-05,0.006580761940343627,0.001366283093924503,0.011101843549239487,0.007910293305111837,0.0010088071672041954,5.067430173344434e-05,0.0005768315354726106,6.27259752878917e-05,5.3325870685183574e-05,1.8575093589601188e-05,2.7933484303410694e-07
H3,0.0,0.0,0.0,0.09937294196215152,0.0356957710794521,0.012980642756901584,0.0030529397555321136,0.001810439644385431,0.0010998388114858981,0.00042304958629313383,0.0007744705657268813,0.0002126136397810896,0.00011466490110523253,0.005488325818959416,0.0011176003724385764,0.007911489682617567,0.010160437708363501,0.0009649961387064865,0.0004154559579916395,3.062472565873442e-05,8.332382961551144e-05,4.462292606133289e-05,2.4431794032886422e-05,6.672727939083245e-07
C4,0.0,0.0,0.0,0.0,1.9403263355001517,2.412593366596295,0.09186492716019323,0.0788530922933337,0.14679854448484247,0.040050985723513025,0.027557105751532376,0.005973527082979158,0.0020535327601739484,2.643780505389208,0.2749447915247187,0.2235158981508521,0.012628507655982446,0.0386883357941919,0.0018560720041802536,0.0016002212348511513,0.004927117952830545,0.00032104083892532664,0.0014270722693770777,0.0002968141678447722
H5,0.0,0.0,0.0,0.0,0.0,0.07743184847652929,0.0013135723050463621,0.026659245949993915,0.015968827445034695,0.003053608003472208,0.013674801800727332,0.002355325907991812,0.00012803696828944666,0.10989220068993455,0.01664326922683179,0.024225595558581725,0.0018654352785503203,0.0024581516722474994,0.00045119701752249775,0.00046478102591485104,0.0005113708300135134,2.7140153164517677e-05,0.00014519358645381786,3.972973103194555e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0598369313099494,1.9768982350101778,2.623849353009337,0.3152566880005563,0.2152655850825839,0.010125779003695823,0.04606875285494105,0.19308201011817763,0.03498255893028891,0.029781438698255946,0.0011572821216287998,0.0037271789435228686,0.000570008304370706,0.0004950794707061501,0.0005302468714445119,3.5855107290233557e-05,0.00018325263385997326,3.7816110560973115e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02813111756682085,0.11265619377596092,0.02325447169886974,0.022254148677501195,0.0011062752992776481,0.0011334376895952847,0.024179036606496895,0.005878366974053528,0.002536267486372701,8.018303000700833e-05,0.0006280064200278046,3.6352145699192207e-05,2.242299645871526e-05,0.00010741022952265311,3.6071718306773803e-06,3.46702356269768e-05,9.867721848744182e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10054060124033626,0.02884414542659386,0.014962029460254933,0.0005279783786114045,2.674507714739427e-05,0.019162344273316867,0.0019611686106308923,0.002240369906175488,3.999605468529843e-05,0.00039299181857899157,4.709656799306572e-05,2.3650163263555513e-05,6.471746937397604e-05,1.8893619726512156e-06,2.2047774685729493e-05,6.750563501300988e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.707613369136817,3.747096457135924,0.13739716781006595,0.14507890431630488,0.007875790329054999,0.006629156733414826,0.0022409958635467297,0.00024242315118494506,0.00030859047766726433,4.067663885742867e-05,4.299664002926917e-05,4.488079948197776e-05,1.0470221462749452e-05,1.3678052374899163e-05,3.960398468172421e-06
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5723089468526261,0.027338862787769314,0.029507458119017782,0.004395343989784764,0.002946659707266791,0.0012970994963185795,3.415416799401605e-05,0.00019441423985894213,4.865153100042097e-05,3.247421533403294e-05,2.4386484165417333e-05,5.084822247265752e-06,7.425190729777598e-06,1.6179984894115762e-06
