 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.9576353141605227,1.877147115226978,3.019578524881677,0.0967820583667679,0.19315157428212598,0.03139584788185057,0.00412550385897581,0.029111332869291337,0.003321425864381139,0.006257184224597187,4.584041135924366e-05,0.0007923645794157969,1.8514868578956012e-05,0.001868346058867057,0.00017284409516959975,0.2263175584535264,0.050537125837651284,0.034201373778381575,0.0018907844559762355,0.007446300309400897,0.0005003480498141366,0.0007155348193170485,0.00019014978870424137,0.00011275107767221015,1.8126410908925195e-05,2.2417591715950813e-05,1.1297231733098378e-05,6.214568493768946e-05,6.291266289815134e-06,9.679515804439376e-07,4.084420034633496e-06,0.001024780230744371,0.00010323424620926891,0.00030760883692865226,9.481790712662086e-05
H2,0.0,0.0,0.026663094764219464,0.11101894862334682,0.00471300048743295,0.03473293906694308,0.0021773994618365933,0.00016009636488156787,0.004577420010316691,0.0002847506665986099,0.0013019441758281847,1.0607794394879022e-05,8.481522912506811e-05,3.6277938399997822e-06,0.00030049431267320514,5.311855065270876e-05,0.016722569651496988,0.040936699816038535,0.002791127695571549,6.017182968376389e-05,0.0005006983012701971,5.3448186371873874e-05,3.3816258784069575e-05,1.4892508606312305e-06,1.1802544655825642e-05,1.6329235483780735e-06,1.4696531973612537e-06,9.165914938158437e-07,1.723766840777685e-05,3.6751514786992345e-06,1.7960775577918753e-07,3.493635403195583e-06,7.60802160405527e-05,2.38354850418121e-05,1.2240340519609205e-05,2.655039165633255e-06
H3,0.0,0.0,0.0,0.10484599609501133,0.03756030903245833,0.01233803437273362,0.0013210075137186639,0.0030526649419033713,0.0011338387852716236,0.0005519616785472081,0.0001790401085306481,9.182705709598338e-06,0.00017943314965218615,1.800141495578167e-05,4.904574244413151e-05,8.16516607859974e-06,0.010001987235946697,0.012302475366281929,0.0013272650613515014,0.00011741384572516722,0.00023049512695294538,1.6989899960018207e-05,5.5117356883571667e-05,9.352699565923217e-06,1.1638451546946982e-05,4.549336472203791e-06,5.0180163011503964e-06,3.792365512289564e-06,6.320947300020308e-06,1.2302292498045375e-06,1.9755511204699872e-07,1.5644896800282027e-07,1.2395016032562545e-05,7.202191661392909e-06,1.7912098309036395e-06,2.2740042737723343e-08
C4,0.0,0.0,0.0,0.0,1.9479699147044136,2.721739284293246,0.09383869673373302,0.0760521022159315,0.1754476062284776,0.026496597391010207,0.042783366961822444,0.00028687271958549587,0.0067385629795975455,0.0001230621610193161,0.010510253341144582,0.0005219885214859943,2.4753896172170857,0.2764626593237608,0.20850801778848926,0.010158357742910962,0.03468378619569118,0.006462316372333077,0.00342424191829116,0.0008728044470815988,0.0006791032197528968,0.0003028684843893181,0.00014016124438942512,5.537616836637227e-05,0.0003603301889698457,5.148262369369938e-05,6.375446141904106e-06,3.41009304962725e-05,0.003514419801370461,0.00040296464761332973,0.0010347491934545455,0.00022445175334195877
H5,0.0,0.0,0.0,0.0,0.0,0.07978472937796344,0.0024859472825402573,0.030226299912975207,0.015921707118807804,0.01852933894519715,0.0021731305341725626,7.456764129432081e-05,0.0016648572492434788,6.0430944249789675e-05,0.0013083083766605164,7.459885998106763e-05,0.10396176794234546,0.028275651889214992,0.01149227282149079,0.0004273560631844475,0.0013334554105550733,0.00012319497155610648,0.0005408933819103234,3.0082172408407715e-05,0.00015725251395659612,3.241277602428205e-05,7.9605557742779e-05,2.267686015100523e-05,3.7983132515795326e-05,1.2396760493249559e-05,2.3426252004909998e-06,2.2222744131550343e-06,0.0002880916180585391,3.0024218690027915e-05,4.932604636254112e-05,1.302696841665174e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.018131047299897,2.0856174011065156,2.872568405400032,0.19204610125775493,0.24911253853339682,0.004188970942501813,0.047379473664492994,0.0023282966056845655,0.04457289832436169,0.002437513789362522,0.16671236258359512,0.03782195341505218,0.024566795917148443,0.007886547707816716,0.0027438176131123204,0.00041166077007004365,0.0009105968346825172,0.00010862468569738937,0.0001430446459774054,1.6966081162417268e-05,4.9212550662813825e-05,3.39261468695895e-06,7.000248395745701e-05,3.673318504193723e-05,3.0012304281790136e-06,1.651604976782295e-05,0.0005087003064608853,0.0003562541970840577,0.00013218364460416965,3.0206609262561912e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025010112616663083,0.10688635037405514,0.014062608547379507,0.041623392586225716,0.00014438130873339894,0.004260661748015648,6.808566121341286e-05,0.007656176826343564,0.0003273294409631422,0.02637459479624993,0.0036689046810522985,0.003976861459318193,0.00120319917046241,0.0003967092284566931,0.00013195290150069816,0.00013535371159301146,9.322891575624936e-06,1.3287212963231099e-05,3.0820234220296783e-06,3.4662091603632206e-06,3.648710675818734e-07,1.0719822125193623e-05,4.366686125800712e-06,1.1669970094718707e-06,7.1882192718142335e-06,0.00014996913665377143,9.075379243439485e-05,3.4455917712228334e-05,1.014201438320761e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10830209808529001,0.022960476066138824,0.010933573165044619,0.0017917768608706197,0.0035054587274085947,0.0009235389056925225,0.0014170634365764379,0.0001315741867184972,0.013280929178461909,0.0017557653653845762,0.0029013601282126267,0.0002651158713584678,0.00023605414620919696,4.463203763460655e-05,0.00012543531912156958,6.913076402659257e-06,1.9604752803159542e-05,3.398970535251067e-06,1.9026264073573884e-05,3.633545522241377e-07,6.522516322049476e-06,2.404691574753315e-06,3.293214798638644e-07,6.61917983313387e-07,0.00011214108890733598,0.00023307669802730135,3.171285495562337e-05,5.09556494043828e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4624722257636256,3.996052896718622,0.11879539974252662,0.5394693229821472,0.03701059033760923,0.4952785305758592,0.02917389931484693,0.009324774912443434,0.002786318846930716,0.024949020083289086,0.0716368763006886,0.0031375571097953248,0.0006584980317070332,0.0002183221699097737,5.164002701185666e-05,2.3341664497564252e-05,4.844264085646088e-06,3.4508740041072627e-06,1.062365715842617e-06,0.00010547931310742054,3.546438092794091e-05,6.242397056377413e-06,9.016873904865719e-06,0.0009223894598112681,0.003670728114900712,0.0003716958316785507,3.991822848037341e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41640581652789715,0.026336100284177877,4.32095518603954,0.11214166001427928,0.5326404045408021,0.03019995279453125,0.002358814428621625,0.0010184507758194683,0.003116927034591613,0.0034678576879447753,0.0006004280318019084,0.00012051953999769882,4.687269638459224e-05,5.086903790196828e-06,8.686863954512902e-06,1.333728916641519e-06,5.124521375021729e-06,6.450057576934398e-07,4.622754175699628e-05,7.920832514174414e-05,5.612074967853431e-06,1.8995930877174771e-06,0.00015008621335357852,0.0004409724282460198,4.3006122469602115e-05,1.1706894092022857e-05
