,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0204150036598914,1.02194490245913,1.4626163376109407,2.0773355844844033,2.457722084359163,2.452706177375632,2.886965615817106,3.779355855726065,4.297270622795623,4.97524055490136,5.40192117467105,5.557605597078071,6.395202423534588,5.940915352247962,6.917665532228562,2.4920526737518927,2.7445214300885787,3.7380976689731433,4.022263738123602,4.945152666498022,4.837032785963399,5.95032743502475,6.832212667361128,5.6851807643219665,5.558883737178884,4.972670767348383,6.666087639741911,6.576871011787816,5.987933211860809,7.089649112382901,7.429046855696604,5.870034097927366,5.963712141204811,6.952984680330891,7.581462987022316
2H,0.0,0.0,1.6042266432426766,2.0206935726135584,2.4012258767808943,3.3369967889219176,3.4445071283623707,3.7430426409569053,4.552880484728301,4.973421085173092,5.724042840882525,6.143095610913831,6.211979023874524,6.993693379499448,6.640787332873919,7.6043514623021276,2.5707153199301405,2.444151080689424,3.903540215141619,4.388316130928932,4.956717093190806,4.712265297793131,5.807159342614325,6.654164059953505,5.304961865310148,5.053957947540425,4.600684107468848,6.238205665371833,6.573161386949496,6.050201359715715,7.2072339138472685,7.337229924410637,6.070745263325267,6.355081481046171,7.053062912202197,7.775341182136929
3H,0.0,0.0,0.0,2.0278721255903003,2.9211160121023236,2.6542987185346534,2.6646728682045824,2.682425923861398,4.122919727812749,4.889937711959408,5.168279188526034,5.407696031903988,6.098884560097404,7.01836272791388,6.290791712061919,7.231175938728029,2.7034180118061606,2.7572158899890473,3.9484684082613075,4.28043955162207,5.014063793698617,4.770280502237806,6.201049943043207,6.981238454011162,6.07047823922898,5.831685137912809,5.504016198456502,7.107325337995318,6.950587117349457,6.473963293811988,7.369374227991907,7.864459138240255,5.782589570228311,5.86485897616164,6.781047205893921,7.356712283007489
4C,0.0,0.0,0.0,0.0,1.0984488331491062,1.551772533882737,2.123916500986332,2.18903672299259,2.5792210560621918,3.1745382375565687,3.7152596599080594,4.197488398659878,4.33773628184758,5.219697593191678,4.639261202811932,5.593360684561561,1.550329963237231,2.4242357194090167,2.4887066149718193,2.613473296995873,3.8517349551981885,4.017975411333522,4.827762037742701,5.776537197169418,4.779437961269106,4.883423331177877,4.062949437866302,5.766560742727466,5.267616999884405,4.6292587207356855,5.72399287602211,6.161639526990861,4.729184781607249,4.746417055782753,5.92453259696562,6.5286183110312175
5H,0.0,0.0,0.0,0.0,0.0,2.1477129582683148,2.565284690022444,3.0513920329346043,2.6502712267794695,2.7382600731330817,3.8738910862156186,4.569265463893011,3.913495137680463,4.640386838062446,4.497289636075178,5.461767163041928,2.1497158957942917,3.0377423419887304,2.807785046933542,2.815545809741456,4.194128941631245,4.5098586157289136,4.855494149066586,5.894475530241372,4.639241725052123,4.905709425446284,3.7453153808437163,5.5052003054292165,5.0836397964956515,4.289886722718971,5.652009608074114,5.862999024746117,5.19169767759671,5.218818361502184,6.417734967696026,7.0553291604345025
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096280626111208,1.0980432163550047,1.5022620314559127,2.5140345623931024,2.6002438219548587,3.0714540675319206,3.5831369853281667,4.5854192312037885,3.6726622512861247,4.622968042829154,2.6001601569015107,3.6135757144490013,3.0114019497592577,2.655475674732877,4.366568864395327,4.714885163083409,5.505651073503746,6.414730131824698,5.821858902997621,6.046637310180284,5.190329354376724,6.808301864678101,5.696631025461544,5.023374096635254,5.886570768448583,6.68392194702366,4.77837323437343,4.404984870627659,6.057165962308766,6.453753992521848
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7656652345950232,2.1248667687793494,2.7775150201899206,3.2882007480637334,3.8265786613075092,3.932796438697274,4.841952930373487,4.213838261306402,5.1776954196711245,3.470417730609581,4.345556749364508,4.063006398306692,3.728029787835769,5.433310671031322,5.7165162108906244,6.549033389193227,7.476763858914159,6.752745762014498,6.9399854342999845,6.040524478381107,7.723597454558781,6.722344795639189,5.98539866848313,6.937238223119502,7.6782052105849905,5.8612217121546495,5.45101568164565,7.126312241001919,7.503165684891507
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1397283067603396,3.406999922434017,2.7429503979257177,2.8093490549144478,4.283368612965717,5.343209476680298,4.03965935745154,4.878129995678527,2.7466867051271215,3.6038252614806434,3.088469830823425,2.8150763004331103,4.227198662591408,4.466787294881745,5.5718573724631035,6.352269545958735,6.062842885504749,6.185767070160855,5.602955176816669,7.1025746771897476,5.901491260947622,5.397423588587047,5.960390550419045,6.953107305768935,4.388734269996209,3.958378463833465,5.582183691375685,5.892248965604981
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3848941061606472,1.3778794724448387,2.2498301464243085,2.151800814291724,3.2067573146580326,2.1959328909204787,3.1763139771047393,3.3401080548177715,4.533950965616312,3.1546554366408865,2.3707169645982047,4.452160144466661,5.109130675644001,5.362415621723199,6.3025516194905045,5.87052644781963,6.34720419701353,5.2373387137254594,6.740355448466515,5.144356266705919,4.356485107446153,5.20180957010761,6.09401495188754,4.66997232785687,4.076791049706391,6.016223319432193,6.315188627160101
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2622033835275452,3.323415244736701,1.3138719245296582,2.136595853129278,2.2188034115148096,3.1872449969457683,4.100458318475587,5.289014701890826,3.925235130778963,3.1600361322752537,5.2429018560829554,5.974327867182826,5.839921608965516,6.860916004443872,6.157892942478689,6.763791116552849,5.370092393200341,6.888101159845923,5.384123327978937,4.4138867926136545,5.559558016910247,6.174567497963874,5.634106639778303,5.110243003642788,6.98175904729474,7.3284403646191745
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0793073077719064,2.210855345470184,3.244831381675917,1.3812337337534355,2.1376016469139874,4.064194571955178,5.243172402719861,3.4615265455315445,2.503457776004373,4.448730336936768,5.2433214979575835,5.344286818853635,6.155988872961087,6.176500838861249,6.734445416613142,5.730993239475021,6.998177109466117,4.933866603353518,4.2857730036564465,4.7015600167095615,5.907035868776348,4.232463957288702,3.360339011630673,5.524990011905358,5.6354208994759585
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2389460594765174,4.225487525897915,2.159796270291741,2.553782411626629,4.279068284424345,5.353216409505762,3.5803263006269304,2.716679242422459,4.306214404704434,5.049190784288616,5.347435042756134,6.011240334667186,6.36634993525669,6.850211726484322,6.089130131801702,7.220132554787648,5.051734967659886,4.616771740486491,4.6473844774361925,6.0753603290381415,3.7531438298682693,2.711741067161288,4.94664804368555,4.916271306090736
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823998725493822,1.366559515198252,2.1309075299328595,5.012968172646321,6.234292055602353,4.5117884166388995,3.596757784873876,5.633422274740014,6.5161363987410175,6.069709636245535,7.028479732053554,6.583075247213351,7.327667312330191,5.893316105420161,7.2029560034360465,5.30843533914235,4.353358142099151,5.301874096579886,6.0250581101915,5.792009157499036,5.123525466656857,7.096735977250065,7.326305993915889
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150276779234171,2.5535252128963775,5.9085010030571326,7.111136433821858,5.386364405938988,4.503673551804864,6.453367968589307,7.374324639487965,6.692485959472657,7.651622868529941,7.129793417234173,7.953496816000392,6.404455439346111,7.62539034777972,5.763809242113645,4.76886252313392,5.78228466531743,6.327625737258492,6.650299661289852,6.011808511220295,7.919213287465832,8.147055183974363
