 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,N20,C21,H22,C23,H24,N25,H26,C27,O28,O29,H30
N1,0.0,1.8454737502077094,1.8200282649909914,3.1252180356138255,0.09082691257935194,0.1934128339790275,0.01399821717737093,0.007709888979225754,0.030831593222879317,0.22025293785356626,0.049181497675116675,0.035027354573999595,0.0023738050195568627,0.007068929809745023,0.0004935546528475054,0.0009785543001603336,6.208740150082104e-05,1.4598958057332467e-05,0.00030221146273944066,7.02122218006751e-05,3.526209294030247e-05,8.889894450581082e-07,2.2245958856581538e-05,4.030718735004157e-06,7.054084054297638e-06,3.632587508572982e-07,0.0008565999509957678,0.000179404331956734,0.00020537256284781924,3.278584228616488e-05
H2,0.0,0.0,0.02714386983943262,0.10349893750203265,0.007408675096878037,0.033678194574523035,0.0007626222627046264,0.000800211358245706,0.0028479368144604944,0.007692307487307981,0.0034378208417320533,0.0004951558215851026,3.701749907647489e-05,0.00017270549491477105,7.703183440455064e-06,1.2654269571865662e-05,7.141050670345095e-06,1.0585841345722713e-06,2.110385487696931e-06,4.0779538890145517e-07,1.3737452162487784e-06,1.3036777746222583e-07,3.510594464017913e-07,1.691974405026997e-08,2.613105436477525e-07,9.473132278614571e-09,2.403768354142244e-05,6.104003042239903e-06,6.253029188552084e-06,1.7157724174765576e-06
H3,0.0,0.0,0.0,0.10433648232774761,0.03663816070521708,0.00891074626101529,0.0001631669042063688,0.004463227941895465,0.00026550511280221123,0.019423177417967508,0.05130385869841925,0.0035495999718396787,0.0008070039118333039,0.0004828368503647651,7.484967608517579e-05,2.903168945145307e-05,8.813146459729637e-06,1.9443120566897676e-06,4.518335389502859e-06,1.0684641987834809e-06,1.654417020713339e-06,1.9526873185071736e-07,3.965497792357553e-07,5.9578776356872254e-08,3.1481758577811547e-07,2.3884975552945775e-08,6.078622978089587e-05,3.669720525090181e-05,5.637699585392397e-06,8.858296940417176e-07
C4,0.0,0.0,0.0,0.0,1.8384464736705086,2.6830634624332177,0.09264620884167862,0.08411785426131702,0.08662802440790984,2.324511085645674,0.27119908907917,0.22621082888363347,0.015221123630147937,0.03666818788549997,0.004951788612942654,0.003491563646591117,0.0003800819492942864,8.600141736092581e-05,0.0009514836566576479,0.00018141481987077324,0.00012786586329244232,1.1946089061742882e-05,6.702727577342915e-05,9.902425023966543e-06,2.0037400611988554e-05,1.1877204098009742e-06,0.004059043450058225,0.0006196566631012368,0.0010873969792441762,0.00020290959545099518
H5,0.0,0.0,0.0,0.0,0.0,0.08124617613475538,0.004963354736092551,0.03512624319331059,0.004297515990951073,0.09287507996388467,0.024167524219537606,0.011715215211874463,0.00824184320750021,0.0016946100522674534,0.00032668258097467984,0.00011942188704883172,4.644576594015071e-05,1.1908295335594232e-05,6.466897468859756e-06,1.8001491661756575e-06,8.083520486312779e-06,2.2748833501395893e-06,9.500638495918423e-07,9.456475047464608e-08,1.5374059478823199e-06,1.7558441367526711e-09,0.00013640099241185588,8.35861076371458e-05,4.3468794587275816e-05,1.674772523618806e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7072402775583333,1.900492697660261,2.140937691446779,0.19626250797043182,0.039200248285184314,0.029998668871515394,0.0013402161014868241,0.0035107240100941406,0.00022660575182364973,0.0011414816395659833,0.0001642357597047006,1.9976257977671885e-05,0.00012553267758061426,3.579263301754787e-05,1.8215240140104227e-05,1.7810274244300928e-06,1.0940549014570866e-05,1.3250585515489632e-06,4.3622622999950345e-06,1.1451517789584642e-07,0.0008046399174757024,0.0001272910062205812,0.00022008740815072925,7.26839281977032e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02458840800195583,0.025369579190468672,0.030595385176288792,0.006006522264315084,0.004295397243254229,0.00021911984316269617,0.000704898972234691,6.0523465069906024e-05,0.00012479231160900106,1.0274372787666408e-05,2.0851114812536764e-06,6.1303311800209315e-06,3.0578306808859423e-06,2.8604921618047285e-06,2.534710463741874e-07,1.3712530908538412e-06,5.6363604006293144e-08,5.753505911698653e-07,4.124456332021964e-11,0.00020312325803129028,1.7886856280124874e-05,5.825175059870347e-05,1.727215678393179e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023690557964187287,0.011022001619386712,0.005104730900369336,0.0010719629745159498,5.686877083888042e-05,0.00011987957651049541,1.2329766441832035e-05,2.4358457882955875e-05,1.7132891960702779e-06,9.668570375431784e-07,4.366088048213257e-06,1.004667672832582e-06,1.3473912798822596e-06,6.396542495679114e-08,3.920200983831279e-07,3.549732263685712e-08,3.372971772996891e-07,7.182588523946265e-09,9.39899075502737e-06,3.744641495107004e-06,2.0442674044662823e-06,2.7391174550750463e-07
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007758382453658008,0.0016234214760977306,0.004977441412585604,0.0007961251612327302,0.00031836843788468627,3.364175962028426e-06,0.0002482854948302471,7.579831046600205e-06,9.648448706656154e-07,4.2714070029425955e-05,1.1069158354581887e-05,2.0525200399301724e-06,9.403480127900821e-08,3.2443907924673e-06,6.479602803199924e-07,6.530116911651618e-07,4.036007861252244e-08,8.521570057951067e-05,3.437779211723502e-05,1.3999499003380933e-05,4.572276339098735e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001288286700629,3.5479327904113593,0.1323795830007929,0.26670244906002516,0.023543533511261705,0.035941822731988066,0.0041769661498480826,0.0006367211750519797,0.005151439699325577,0.001244948552731967,0.000993718119482484,4.607518044807968e-05,0.0004122430231788543,4.391404073933458e-05,0.00023068944045642747,6.8583563263002745e-06,0.030265960314070722,0.00709187969008146,0.004898554910034908,0.0012975812258553265
