 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,H9,H9,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,N12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,H15,H15,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,H17,H17,H18,H18,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,N20,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,H24,H24,N25,N25,N25,N25,N25,N25,N25,N25,N25,N25,N25,N25,N25,N25,H26,H26,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,H30,H30
1N1S,N1,0.0,0.02349041801873053,5.6071748708586e-06,0.002027375169375345,0.00016449333261170374,4.970914194712961e-05,3.9602480518929895e-05,0.003831929363106834,0.0004416587913336212,2.085542496843562e-05,6.921314260749378e-07,1.912933639705572e-05,9.390740017145571e-05,5.3384140439455274e-05,0.007903668059334068,0.001367929219354247,0.007839765749404703,0.0013273713852833824,0.0011517131690365057,0.002083593261175798,0.004618298440476343,0.001661183192764426,0.003435775589275103,0.0006186081977934688,0.00028154825088777535,0.00024390753009195798,0.0003170068950104632,4.470378104914907e-07,0.0003805914147581302,0.0003871148745469011,1.1775692416171601e-06,0.00027368516192280423,0.00018313953698290142,1.7965995250390776e-05,3.618869039509476e-05,0.00022674807386446894,0.00027140757922183845,8.99871522630491e-06,2.476675701412745e-06,4.1314227816613425e-06,0.00020963581231980832,1.2255129565375e-05,4.051562359919103e-05,8.562791558058835e-05,2.3400791062264115e-05,3.9175774737026936e-05,5.727322187065731e-07,1.6651318903299073e-06,7.384172635616082e-05,3.716253067342912e-05,6.841930730772106e-05,8.234773201110102e-07,0.00016324704120207478,0.00011335398982903477,9.054718711487553e-07,3.0665148531561215e-06,5.16300597741548e-06,5.287319280400382e-06,3.4178322048106224e-06,4.0296546848561654e-05,1.9765685790873455e-05,0.00014718672460900528,3.931945682544846e-05,4.490793117373215e-07,1.780030505157959e-05,8.371457416167516e-09,3.383619062768961e-06,1.0542950830583209e-05,2.1616660295931123e-06,4.018494654367544e-06,4.2954157613017685e-06,9.933803332251578e-05,2.6417800262912294e-06,2.3999135079222356e-07,2.614839052839102e-06,8.86321538917656e-06,1.100486294447478e-05,4.900738581614661e-08,5.281850254390541e-08,5.825827076866297e-07,2.0551334384277808e-07,2.7896743062805207e-07,8.525284794780319e-08,3.3626419315702094e-06,1.1359212463979418e-06,7.338146394308964e-06,3.5010612675634434e-07,1.431143874741636e-06,6.489455030234126e-06,1.3744393667636245e-07,1.7178872824263891e-06,3.0535546730048324e-09,2.529627984304561e-07,5.5205145399472855e-08,8.649012815109547e-07,7.840872881526018e-08,9.164580030418534e-07,2.3600100207410435e-08,7.675265645268325e-09,2.774876948219429e-07,5.249132728479822e-08,3.546187961056546e-07,6.866753139433968e-07,4.6789995078455604e-07,3.1357139707033355e-07,1.943972032125707e-06,4.5712182483725883e-07,2.57740592757294e-09,8.053965522281104e-09,1.5588553781142878e-09,6.967107035737996e-08,3.23849005945398e-09,1.091524892693485e-08,1.0128239045226195e-06,2.8860792200546825e-08,1.0809064754369047e-09,1.2241914992827674e-07,2.028262224840205e-08,2.1190517118796492e-08,4.756394145211118e-08,1.3332701764845467e-07,1.0436739916741544e-07,3.6866286912129453e-08,5.5426961353965964e-09,2.3767834644861097e-09,1.4792944647012973e-11,2.90045487627566e-11,1.560257478772087e-11,7.049505201806028e-09,1.7156364884307607e-08,5.145507131487648e-09,3.805900039566268e-11,1.1916594100380706e-09,5.497113875208015e-11,5.569547489869819e-09,6.595559431943343e-09,8.059264366977459e-11,1.928694093322747e-09,1.5555634558239717e-09,4.1278880313910804e-10,9.986567128805746e-11,2.0463344907462044e-10,8.254974204202625e-10,1.2166362362009409e-10,1.0530080141180065e-09,1.0035833275523487e-10,1.4283406818416111e-09,1.128191096100295e-09,4.3823322748437477e-10,5.013651049878831e-09,3.369073908743303e-10,3.225233413672868e-10,1.5158985178231887e-12,4.642213724537214e-09,1.2128009707623733e-10,5.79666592503969e-11,6.986355938209954e-13,4.806280373692573e-11,5.245084644389664e-10,4.0371678222683727e-11,1.3792891828678933e-10,1.2063461340972026e-11,2.996813908140439e-10,1.6209256159527285e-14,3.4789948699653905e-12,4.0249759081234515e-10,6.984879341587202e-11,1.3267303922148699e-09,8.038170129509581e-11,5.757019860830326e-11,4.747355841772105e-10,1.3820988797874634e-10,1.8713641747325482e-12,2.606775906244252e-12,4.9220849618336615e-11,9.15401088263934e-12,4.0345515817108435e-10,5.2544857354064334e-11,1.808775351719305e-12,1.9588948241278104e-09,5.524292134850839e-11,8.510836480013495e-11,8.553113772791221e-11,2.360955875246873e-11,2.0005308520865128e-10,1.0084655333031378e-11,1.6393719715068755e-11,1.985064890241972e-11,2.0555779300934773e-13,1.9768520154173075e-11,2.2529578203034362e-10,1.878941446875615e-12,4.595629432557757e-13,1.199040866595169e-14,3.200664178137913e-10,1.175595176761135e-10,2.545696986544499e-10,3.1854652249307946e-10,2.792843734056305e-10,1.397770788003072e-12,2.994893222307837e-11,1.1249334797014399e-12,3.1672831024565085e-11,1.6711604322594553e-11,1.753519551783711e-11,6.614417347172719e-11,1.0363043756456136e-11,1.4086509736443986e-12,3.1172978642857174e-09,3.7525760276935216e-11,6.447553602129119e-11,9.20572729157243e-10,8.294476216974545e-12,4.2725400883902864e-08,1.9467903955572297e-08,1.0167650721371047e-08,9.395042521731511e-09,5.716658368903893e-09,1.387074566316926e-09,2.9150170610670045e-09,2.2689916057139214e-09,2.156447242995796e-11,9.832815395238725e-10,1.1161842561335789e-09,1.3385355490669326e-08,3.485010124926191e-08,2.9506486143304755e-08,1.3365311080093534e-09,2.8560329656812655e-09,5.455397311671106e-08,4.152662880230196e-09,5.173945993863782e-11,1.22575935512792e-10,7.433986898286449e-10,8.299996523408737e-10,1.5093093441720384e-11,1.058472781645392e-09,2.5968873718085206e-09,8.499896342328839e-10,1.283284589703726e-11,8.333511658520365e-11,1.7672459051709666e-09,2.4339952275909127e-10,1.863054155393229e-10,4.005684672847565e-13,3.0898074376839446e-10,6.731081664268501e-10,1.4291573480207376e-10,1.221776013693443e-10,7.849994265729521e-11,1.2705856367034585e-09,3.8172087712950997e-10
2N1S,N1,0.0,0.0,0.0009637037425500594,0.03667416208832641,0.0024211032554153356,0.2633374270758124,0.00013298051538379596,0.06084671564612254,0.005976857703432703,0.0008052640832201252,0.0003408079543090192,0.0001632661885764275,0.0037801660980674168,0.0010815576570135654,0.10375980779565586,0.15681047770260959,0.10463600767014825,0.1572353164995488,0.0033894519225412534,0.005345327915097453,0.046054656484042056,0.014415978996171308,0.0367101541427437,0.040928759670757486,0.10686184009087585,0.05716432493908563,0.09295937498750018,0.00010357580140074596,0.021025635212189364,0.023198490416862505,4.6821304765742866e-05,0.016850106882317473,0.005737526996696829,9.212897569454981e-05,0.00023181536582872475,0.003278629204310768,0.008635521494747778,0.0006555134626968773,0.000786881210341317,1.1151356618110952e-05,0.0011264850198573484,4.24794169120446e-05,5.356212900098356e-05,0.0008601759881770032,0.0005785317199520357,0.0011431126040890582,1.0070006266849063e-05,0.0002616318188572997,0.001392457235149358,8.66393916152397e-05,0.0014882339228510233,0.0002723052045108254,0.0052521491586463576,0.003932810760239658,3.5204074644967775e-05,2.3029597720825024e-05,0.0006574925650268959,0.0002169187594880384,0.00020416270011214266,0.00018386872937981025,0.00036788347388183595,0.0011804195563569486,1.098335216997981e-06,8.700778553860644e-06,1.6585122887047277e-05,5.0051820055241336e-05,2.7907564546181263e-05,2.0626238708132405e-06,1.2699226815682252e-05,1.5778260973320357e-05,0.0003059815254702336,0.0027982606248069253,0.0002505774151284612,6.101031943250845e-05,0.0005056912284580051,0.002819525515813215,0.0006138008368266057,5.259601108886791e-05,2.1763000568109092e-05,2.1527201706561527e-05,8.506224666460227e-05,1.3160632430508912e-06,2.8284501776276727e-06,6.199337185375242e-06,2.8080814156616896e-05,0.0003278839585609816,6.928271906403438e-06,3.9197132379875654e-05,0.00011033043300123779,0.00025072699690120714,6.792839898395187e-05,3.456904665011251e-05,8.70501425964676e-06,1.338535644990202e-06,3.1491139403705404e-05,4.6641740731878656e-05,4.066281554138129e-05,6.87919137636328e-05,2.761775231396868e-06,7.071360806243376e-06,1.26294726143783e-06,4.8447123175421325e-05,4.7555571939916774e-05,1.5750077557719067e-06,7.636680074973867e-06,2.6601586160523993e-06,2.3526542891616486e-07,6.819809826197343e-06,8.483462812236553e-07,1.0925033921971306e-07,1.757947200609067e-05,3.1442644159440647e-06,3.0102829740030757e-07,2.0795567471587617e-05,1.9870797673959828e-07,7.141549480671472e-07,7.23726686979731e-06,4.278180016470401e-06,3.2091720134630464e-06,5.218602368017855e-07,3.681560316604049e-06,2.4245637271214093e-06,2.4933587012831993e-06,1.0616341596936252e-06,2.699461325583741e-07,1.0482341661344208e-09,2.6411198117415324e-08,1.2085292766528255e-09,9.790090516048622e-08,1.9197117082647708e-06,2.3820506811489395e-07,1.517822756369469e-08,6.530893159606421e-08,2.846533191380729e-07,5.686631334711478e-07,1.7237734377673064e-06,1.2344132382935413e-08,8.364256443016416e-08,1.718489115454247e-07,1.5059237901127176e-07,2.249629460493452e-08,2.7658001666708287e-08,7.101335475212522e-08,3.483137844817463e-08,2.431573495886852e-07,3.447226171182649e-08,1.0037181974453802e-08,1.4100210377065991e-07,4.7274219205917234e-08,4.379472464677292e-07,7.470332263892487e-08,2.5274182746670704e-08,6.444316191789312e-10,7.87636618149179e-08,8.48644710060853e-10,6.636495797351927e-10,1.3726224157295519e-08,6.9734553687084144e-09,1.1657118625940655e-07,3.7415404108287476e-10,4.207323378579986e-11,8.168736798097598e-10,5.4657375514466366e-08,1.6885155496026982e-09,2.411055355366898e-09,9.662044497815714e-10,6.266343888228221e-08,1.674513105953679e-08,6.053881396184124e-08,9.025997060874147e-09,5.216439191713107e-08,2.1775231173748466e-08,2.7376143352242366e-08,2.2107959907202712e-10,4.317657342767234e-11,4.147289178746405e-09,3.792200331531603e-09,3.8297199633774426e-08,8.03174371455384e-09,1.7852699185638699e-07,4.741997461366054e-09,2.4940858267541444e-09,3.64897623228444e-09,9.769132169878958e-09,7.903370846662483e-09,3.011657589979677e-11,4.513839524378227e-09,1.3215237792962853e-09,2.640498930617241e-09,1.5459246993643205e-08,2.6658429241877002e-08,6.831086807324027e-09,1.892275225401363e-10,3.823603655916941e-09,1.8276236968262083e-08,5.810238068448825e-09,1.5149935084224353e-08,2.7611100072988393e-09,1.3472135407255337e-08,2.2229569296428053e-09,1.8802377876880882e-08,3.1656006704849915e-09,1.988126774321586e-09,4.137683529137348e-10,1.0814735773578832e-09,1.183796660697567e-08,2.484310535066925e-10,5.47313749876821e-10,7.100943899551737e-08,5.711052786239179e-07,1.7579885560614628e-06,4.43236500391464e-07,8.127535533475339e-07,1.961168913044986e-06,6.264402165889749e-07,5.735826533737054e-07,1.4116441882094932e-07,1.5952330205681875e-06,2.748753979986418e-08,1.2202823196361123e-09,1.1878135808274237e-08,1.996961214167925e-07,2.5600300768147122e-08,3.441835580986208e-07,2.1508481808929503e-06,8.017418964278988e-07,2.7471349595131755e-07,7.670685864269444e-09,4.857581927808496e-07,1.0871899940312346e-06,4.531957298326006e-08,3.956016025874476e-08,3.542405702106066e-09,3.1493414187622193e-07,1.8793594436239403e-07,4.2023273749691725e-09,2.5800164227263167e-09,2.6998295155067353e-08,2.9520165867324977e-07,3.284904437350633e-08,9.526920408120532e-08,1.1522605092295635e-10,1.8622019437586346e-07,2.8008365404730284e-08,7.041338667690411e-08,1.5412506826351091e-09,2.0566799374677203e-09,5.6036286721905526e-11,2.347832106508463e-08,5.948155634705188e-08,7.847808625172092e-09,5.8178406092679325e-08
3N1P+1,N1,0.0,0.0,0.0,0.006446271917485369,0.0007827544819205556,6.429041621025533e-05,0.2822338194650391,0.008946722937866358,0.0019245453782361643,0.014377189062299012,0.024883254835199597,0.03759728652943828,3.855229691041018e-09,0.0015964878085326095,0.29463142559191935,0.20250483697456323,0.00017957705519755507,0.0008689915373021329,0.007617797298614892,0.05188660987043603,0.10980583232562147,0.04825203507950038,0.09259513173824274,0.023428663256312543,0.014008555299458436,0.02610831835890748,0.052422703808994164,0.009670240937414532,0.008670369768855934,0.012722114908101823,0.0006566572168149598,0.013501302709688412,0.0005473520378567187,2.4691491811168476e-06,0.00023329850440512168,0.007695052132372648,0.010573917440379166,2.5577270914123318e-05,2.5005701260738533e-06,0.00046972954325585903,0.0013688807897764832,0.00020539694536347852,0.0006855424317935288,0.007474964119893457,0.0015009099204148502,0.002900146178510088,8.167445386675354e-09,6.680280631110591e-06,0.0027001583979564536,6.994516633351822e-05,0.0018944809949070773,0.00010546770460395649,0.006498082524521109,0.003675433729106725,2.2594368382700125e-05,7.187148628684525e-06,0.0007010879863069697,0.0002263118324017377,0.00025326668332414926,8.040326819891419e-06,7.24362966852965e-05,0.00042630858595726906,0.00019296746519792407,0.00030596737875265845,0.0020261259367042594,3.5525834037430926e-05,4.3500026025711236e-08,0.001310879802739695,2.9155182268425506e-08,2.329930047562101e-06,4.852928954646174e-05,0.00020825580640693175,7.423688637153703e-05,7.27489256791003e-06,1.0651405312867013e-05,0.00011227983277350972,2.362714601300553e-06,6.220781814669785e-05,7.92083488354578e-07,3.8948362313107054e-09,3.608386509101891e-05,2.347618439424437e-06,2.043565917864143e-05,0.00046658482822214964,0.00011144587543254758,0.0005684126876808193,0.0004702594646666114,0.0001801489179560356,7.151493469947923e-05,1.409457897949551e-06,9.056998691292506e-05,9.30118007438363e-05,2.1325121886128784e-06,1.7756974697968886e-05,6.230213234714732e-05,4.0988591136326136e-05,6.782972513397212e-05,4.6274215508290695e-06,2.665584762917561e-06,5.423482434974147e-05,7.210952901459677e-08,0.0002595562691629638,1.1418177700228682e-05,6.252257822580987e-09,8.08731122514672e-07,8.02533132837624e-07,4.045675577657448e-06,2.2163813910847097e-06,9.913939184702514e-06,7.545691835808555e-07,2.1547097446283914e-06,2.457775905839732e-05,3.938885097642952e-06,4.6524214614152015e-07,5.566014462665692e-07,1.1215877819825693e-05,1.538974241199753e-05,1.1041679981005359e-05,6.202531449339688e-06,3.050241512703167e-06,2.7893400695866433e-06,8.208435380296919e-07,7.446171146341385e-07,5.136232988256495e-06,6.641860750722373e-06,1.596902279299428e-07,6.191666141353025e-06,2.6629967069258242e-06,3.6599003894188797e-06,1.1708305880375747e-08,1.1716369745506938e-06,3.4362765966022835e-09,2.51031629483478e-07,5.217849059491186e-06,1.0733310977784072e-06,1.2247304337353881e-05,1.0122503413256823e-07,9.234278057768108e-07,4.6119039120995353e-07,5.198194141797785e-08,4.967542950318204e-07,1.8815165869767725e-08,1.1202991005987428e-06,6.797809328773496e-07,1.0286782292645569e-07,3.507218950815627e-07,3.9090590764345734e-08,9.941549654612913e-07,9.381583421230744e-08,1.4170975202176805e-06,5.458428504745427e-07,2.1743241518379364e-07,1.4027677464056865e-07,6.544803810015765e-09,1.7090675541453493e-09,7.566839888006882e-08,3.0041113285861343e-07,1.018173989564275e-09,6.424600655918766e-07,1.3971109935617676e-07,7.007334712483271e-10,1.5409744591465824e-09,5.966192211381838e-07,3.911674539835985e-09,1.837683161198811e-08,4.824325738894686e-08,6.53599041555708e-08,1.1486540607563711e-09,2.9856074590384196e-07,5.177335471451272e-08,3.8958799519761556e-08,1.4463994224556131e-07,2.8008067909368606e-07,8.936562601036258e-11,4.354383520421834e-11,4.390923180608297e-09,1.3135436516265031e-08,2.8787104433547483e-07,6.179059175437374e-08,5.293180782572904e-07,1.1826837287287617e-09,1.3553334898830371e-08,7.332249607472363e-08,3.353571820241541e-08,3.4168832208081312e-09,1.1871355898307456e-08,3.824246230799133e-08,6.242983019433268e-09,9.715718540803664e-08,1.6183735418451306e-07,1.4755240718145046e-07,1.1975700786592824e-07,1.6380985456976305e-09,4.52335031653206e-08,5.0334286516573457e-08,2.846299107517325e-08,2.9448489868855177e-08,3.5288838517999466e-09,5.9891558379376875e-09,1.3371970197795235e-11,2.7489065246300015e-08,7.389798195589492e-08,2.830358170058389e-11,2.965494516615763e-11,2.6235095429427702e-08,4.0284469315921e-08,8.628448178171766e-09,2.014477962219985e-08,1.0214689627474627e-07,6.701372945450146e-07,4.730134866903768e-06,3.3832404611189304e-07,2.5344348841827014e-10,3.1100937580852417e-06,1.3663707498778876e-07,3.914371582425247e-08,3.9421330066957694e-07,1.6523912058641343e-06,5.674574711678204e-06,6.946739095070598e-08,3.0053990074385695e-07,2.0922383847654658e-07,2.7854967221685456e-09,5.8020802828906426e-08,6.519531581261617e-10,4.032000644471623e-08,6.979528244244193e-08,8.308077781293832e-09,8.218984781649397e-08,6.446014122474253e-08,3.24442327226393e-07,7.932380530206729e-09,2.8694857245881167e-07,6.8726138113817115e-09,6.394539786569453e-09,4.738474657095537e-08,2.652614816689436e-08,5.952460471192467e-07,2.2156479659862782e-06,1.8834022608160694e-07,2.075014968738742e-07,4.2466422378595325e-08,1.944721734759014e-07,7.53528217600774e-09,6.520526163455997e-08,4.3745312328091757e-07,2.897361695008982e-07,1.237399915865467e-08,1.3647720287224274e-08,3.3572962188088695e-09,4.080507505221931e-07,3.135681492238973e-07
4N1P-1,N1,0.0,0.0,0.0,0.0,0.001551596836555813,0.03917788501218178,0.006100565380350975,0.08830339502522433,0.002349753785031883,0.002764938112884252,1.9399561057564796e-06,0.0017733280744873792,0.0006734055172661346,0.0006389374174355922,0.007502198493342327,0.00025578746219334647,0.13762577852477298,0.043866494798616706,0.0039563400755804334,0.019196697388244477,0.053141359876195615,0.005417268929646113,0.03966849404990391,0.0033334863095744183,0.021080295245473835,0.02147694458236682,0.010137709909895154,0.023383908018644872,0.007355155663448132,0.012656775974497103,0.029663063224705688,0.009001077672848856,0.0008098983138871141,0.00014726593709957214,2.6919430319294335e-05,0.0028199536097841538,0.0008066703428126765,0.001256309468943062,0.0012011060872350043,0.000294311112341461,0.0003340595692451487,6.875444989340451e-06,0.00194597991461265,0.00013220924336487805,5.367249730015011e-05,0.00018595536208865227,5.9565646799430993e-05,0.0005428707387598042,0.00041843345397030163,0.0024696841650424517,0.00017535078813235572,3.6601237870748093e-05,5.139704576739845e-05,5.748337556044092e-05,0.0006396374850248243,0.016012786339418383,0.00016786445685079698,0.02742815052177594,0.00042977064356986006,0.0016890686423396417,0.009703113472943059,0.0004205637372605153,0.007096278552998658,0.0013659144037809767,0.004924089944612131,0.0001239301648319202,0.0006194191671264893,0.0031215622915545804,0.00010348326216713666,0.0017289223805536658,0.004566143269239653,0.00612580430812848,0.00014653744158765747,0.0009478112686474027,0.0008864528103216252,0.0008177114293257404,0.00020247578822418788,1.545462162244604e-05,0.0010091863452963423,0.00015775279969987288,0.00017432538900474803,0.0013347560281689042,4.960320685509778e-05,0.0018375600292648286,0.00024032787243699616,0.0006348932667363805,0.002410972648952292,0.00013859927425174945,0.0005459658008852841,0.0008989321623791291,3.977844432245803e-05,0.00045554568641037463,0.00024267537499755854,3.8412452182168266e-05,0.0013966967577849765,0.002223506107408957,0.0005781299515739136,0.00012152315993896323,2.402030765003005e-05,0.000673738837141169,2.728201219603932e-06,0.0013981625626864336,0.00017234475585059528,3.963354963953947e-05,1.6765141626073898e-06,2.635864146904865e-05,8.092018870931028e-05,1.952375397573647e-06,7.719927479499233e-07,5.1497653907883745e-06,8.426150950313627e-07,0.0004621569353733257,0.0001486510585717582,2.6017211380402472e-05,1.923520499991227e-06,3.285837939825953e-05,8.696852456147042e-05,2.1893238084214062e-05,1.651735738406046e-05,5.8774571014552635e-06,1.78065029268204e-05,1.251153038595021e-05,1.2019043804656349e-07,3.9287284066436e-05,5.1436472603638705e-05,7.610032808580414e-06,2.066641517783907e-05,1.339405495581758e-05,1.8985378862357294e-05,5.94487862981552e-06,2.512566847467923e-06,4.910646933531382e-07,1.4623168689276156e-06,2.6624709779987654e-05,5.955728356266121e-06,5.2645531763317877e-05,3.517620772441887e-08,4.509800063612346e-06,5.238129823226245e-06,5.354061949347511e-07,2.58657448615196e-06,5.05401469119704e-07,9.712286738627895e-06,2.9719633594105233e-06,2.9415350955019903e-07,1.6827934865570882e-06,2.5071363718431883e-07,5.907714107689088e-06,2.1780381054270492e-08,7.098673843852765e-06,4.143380666121743e-06,1.094803093071306e-06,2.0622632157518694e-06,1.1760449947217921e-08,2.0023783653400073e-07,2.0788611543309798e-07,2.083032796029727e-06,2.7251432221930827e-08,3.039663642345758e-06,6.422515426152131e-07,4.223292826566194e-10,4.740328130026228e-10,6.223943155081457e-06,6.44599187360484e-08,1.7188934973155767e-06,4.3884442080255326e-07,1.7228555813098012e-06,2.642115854989413e-07,2.3869777088236788e-06,2.4989275049236426e-07,1.624866556859672e-07,5.672667937606235e-07,9.495591200003872e-07,4.49716952566348e-09,1.903722557372589e-08,7.171054017263145e-08,7.344767571915156e-08,1.5121032492793063e-06,1.3636232387703728e-06,2.600224089377434e-06,9.462025385431616e-08,1.8167696991255866e-07,9.827145435181706e-07,2.3773980872832112e-07,7.700768023255478e-09,5.467588359842068e-08,4.0909285514700855e-08,3.0710516130127985e-08,6.344352132536812e-07,1.0111571662196894e-06,6.996093966371575e-07,6.86109745906549e-07,7.714199501407393e-09,2.2494466112021883e-07,6.924966151622414e-07,9.841474657434901e-08,4.0907653398036814e-07,1.230273882768529e-07,8.906892645654807e-08,1.7019282871899577e-08,2.347732830365601e-07,6.907276994816414e-07,4.990910440483276e-08,1.1915306519227897e-09,1.491464174385726e-08,3.8107184296976016e-07,1.6988275231000216e-08,8.125039885342744e-08,1.9480223183432344e-06,4.241492191514595e-05,0.00012207449996903819,1.7855893888363283e-05,9.302357684148888e-08,8.215337655048671e-06,4.525987317371971e-06,5.8609528814645984e-05,1.7887526799320597e-05,3.3802881956424e-05,8.954415962736384e-05,2.7148716288394326e-06,1.91267411242535e-06,5.266656451174967e-06,5.2748492906928846e-08,5.47202138267977e-07,1.7265567505919677e-05,6.479257019798013e-06,1.4844200570962585e-05,1.1588377812898898e-08,1.1469081330428565e-05,4.180943891096689e-06,1.327939247897092e-05,1.397484892695644e-06,5.1789479622588175e-06,1.4990348962129474e-07,5.352304370820349e-07,9.749108631496028e-08,5.141547751996711e-07,1.2657764368650959e-05,2.948658668255888e-05,6.135657844019704e-07,1.6429817843999217e-05,2.283340003739198e-06,3.918688401327586e-06,1.2578445698352425e-06,6.022676599659604e-06,1.0782396371533665e-05,1.0962592371432933e-05,1.4231535505615511e-08,4.7333777786207065e-07,1.8407017465804643e-08,5.278489162652278e-06,1.0046090047399758e-05
