,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27C,28H,29H,30H,31C,32H,33H,34H,35C,36O,37O,38H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962354760882551,1.0967229086460546,1.098182683569443,2.5229270828054107,3.48789883614246,2.7547471415972224,2.800588020995064,3.963805105617339,4.982835852040073,3.9472450494092204,3.275832914288086,5.034870361069604,5.4557950491694704,6.31383251228527,7.078882789534128,6.982733863300649,6.528905854505367,7.972357250398358,7.2336326538258495,6.37609938007677,6.259117381998496,7.428903954513189,5.81888033720381,4.860533384513518,4.070627193993504,6.069749986661759,6.177845926529257
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7636578165780454,1.7736950901895834,2.7501829664250104,3.7558156831112264,2.526363774544759,3.1275477928306197,4.732735742728486,5.725984414203318,4.497709975686021,3.754140868059696,5.3671335977379595,5.820475685981055,6.66871723747858,7.3238985452010725,7.529275602809611,7.192637656756246,8.500113670104625,7.801759621986352,6.665268519919441,6.3692989402183375,7.730403568476583,6.2141654973521545,4.8734726923557306,3.913974794258481,5.97258808890187,5.906343528389548
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7698906387925117,3.497079051699883,4.357978028989093,3.764282965942524,3.8243456979648665,3.619621989074107,4.77559451631686,3.386003767110312,2.569317199352835,4.550427616986427,5.148126780004453,5.654671357137416,6.492764683128983,6.3241827526844325,5.819007179839121,7.251271932514169,6.713969497628761,5.534609159989278,5.447193646302139,6.551073203533025,4.886330003493564,4.468200796619451,3.6810747874185106,5.76316376958597,5.927821266221891
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7985494562997144,3.8154309081867197,3.1281654352230435,2.6285123646041324,4.650944955957153,5.639058351499771,4.816743770361717,4.170671478837116,6.011052622439769,6.408680866395435,7.242599941531203,8.063334000685112,7.792493054574786,7.232258050593723,8.771663044621977,8.041716351588123,7.25968227833265,7.196132831757129,8.280823648339755,6.602913906786073,5.935265026022354,5.152076236571981,7.159701954618702,7.275406886458826
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966930931859724,1.0967045656973011,1.0982157409753468,4.455877354494678,4.959230414354435,4.895123953329751,4.675709740852049,5.703622834099583,5.643119071948899,7.214710594346487,7.7977260467552965,7.757564453844979,7.454491548233245,8.842361236590012,7.6499348257654045,7.757737683578595,7.7070885041657595,8.836296280135048,7.419552174932352,5.571714872677441,5.094422687383882,6.490678049824884,6.624351219115022
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737577256781547,1.7722458236803995,4.479673809222156,4.709013296215525,5.076630607433809,5.06884817422525,5.738413300033784,5.467668557410244,7.266507669370794,7.771666424250573,7.709764294797881,7.479045616600135,8.805428093732559,7.448624641346468,8.009900696035217,8.02738582741878,9.067650563919125,7.764041194373617,5.714426322555159,5.447649172869872,6.497365545143715,6.702203111055469
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7719611724060866,5.156418166438526,5.709556509194155,5.354184834008868,5.0278334553883255,6.004418875079887,6.001533565423918,7.532686221029926,8.026262994708985,8.258032419786192,8.04708743478668,9.326110343654967,8.194046634963431,8.002666103964021,7.802497300744019,9.096772396700215,7.738857258411602,5.588705446945899,4.975936574015349,6.4053664501066505,6.377267249243944
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.093849923139053,5.61717078084442,5.6510145682062,5.384570349624272,6.604192048471406,6.575504468012409,8.071674447350032,8.726858941025503,8.521654801973192,8.110871098292906,9.600961741440951,8.43329096854286,8.546811042853799,8.535516734988837,9.61354917998913,8.104041553439107,6.554411695787977,6.026991968811045,7.5347889090464335,7.674119555034317
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2283019159249697,1.3711798671277238,2.055244944963086,2.466376720027694,2.5101093124161764,3.5000472291883495,4.358997864835656,3.5097933828614476,3.047336321380762,4.575187431661566,3.4978679126393217,4.257645351809142,4.760389071260193,5.159449389766291,3.8888865425379753,3.5466219116478386,3.8564491230394764,4.6322689359087335,5.341310416687445
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2816649200949897,3.159167971049392,2.8121683101433055,2.374605950927139,3.7127726230990383,4.4023024865476925,3.4050862698404907,3.104386846243141,4.454495866845083,3.0174024573763205,4.799229153588858,5.400255369810408,5.588936656668673,4.615433397038186,4.0461791515867676,4.617052585440251,4.871388248580727,5.67882795916434
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0132127138612936,1.4541086445585412,2.063584727997225,2.526851762346068,3.417173477110843,3.054100760452517,2.791867924311902,4.074769280485075,3.355254863865216,3.0745905053609968,3.4379906161031144,4.077340960389863,2.789618097541516,2.4104640292057065,2.7116110022773228,3.610419138932396,4.281217018440556
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.099896407080442,2.894158620339835,3.0919164319444885,3.969777850663814,3.8305617319833183,3.5093656687753736,4.762957053894814,4.281743086339395,3.1949623488189856,3.325145669162613,4.249787235542394,2.744500151738125,2.480546424189144,2.3104783821119046,3.8153321302042813,4.295714338159461
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095714560032647,1.5603138759587483,2.136873768050667,2.544004457248747,2.8412553649956336,3.4989663444102805,2.7618475758017116,2.569989464455549,2.8384093761028013,3.5203122708091588,2.843810694389995,1.5226720620802492,2.4332432213446245,2.383168843259923,3.215507878064874
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1640910603747434,2.440340234662286,2.719647170245281,3.134337050390871,3.7088864359180524,2.481884746327644,3.4942123590139262,3.82562642694075,4.319482079819893,3.8275336618218208,2.1404977418552993,3.1495833333325436,2.6013062473441138,3.5013734628673907
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097905579726668,1.5345961748065367,2.181938541579782,2.1715468982335384,2.189715800183681,1.5359307216308231,2.1998674463258436,2.174767725680565,2.1828782366402173,2.5413749517644293,3.4692894706089716,2.9683757199915277,3.823193917580032
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1498350794256837,3.070947656782689,2.481806886745787,2.5120509893432454,2.1522265958259825,2.5034979793435816,2.5053702423231052,3.072991487876085,2.7022474617035055,3.780939934300061,2.587300777346558,3.44472686226816
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956873345374032,1.0964316434505756,1.0949228186264919,2.535358053340654,3.5027563227485348,2.7586225243996694,2.813302216503516,3.892430496666605,4.806373511815859,4.330613675654451,5.249409905633457
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771892436078393,1.767590049472177,2.7932814164313218,3.819439569297427,3.1022660009034566,2.625906962966508,4.2638192065213865,4.982207297720077,4.9734024234107155,5.853491184852656
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7778770448756032,2.7778880471590783,3.776319905418236,2.5491084983276466,3.166665176013482,4.698180625387592,5.616968571852064,4.975024617534941,5.860422918947947
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.497326768380071,4.3585488679393585,3.7738973813009293,3.816557208006508,4.15864390161059,5.179389509159672,4.455403089775413,5.424786034464126
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096789371709554,1.0958358301183417,1.0967810403307283,3.0448908055235475,3.554822897999087,3.620696726582396,4.224221388622553
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7691427766456522,1.7742690687564528,2.7199438910560367,3.024463154206294,3.200186233348711,3.583424997554864
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769103047212128,4.031454770243159,4.5911260588401115,4.391745293058033,4.983148439139508
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4507983211639246,3.709588973424868,4.3249168614660976,4.89725339423873
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2141389713821236,1.3497387949051376,1.876729821963293
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252622560630889,2.286517608235527
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767159344361358
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
