,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27C,28H,29H,30H,31C,32H,33H,34H,35C,36O,37O,38H
1N,0.0,1.0206623684579572,1.0218302963412305,1.4671892941289877,2.079672686802262,2.446328083214727,2.553297499526632,2.7002694592383634,3.867191560789102,4.200651493884401,4.44515238493689,5.501941125375717,4.185682649404469,4.561426901180545,4.9604530388810035,5.067520993396438,5.928948467160896,5.084687834497237,2.4847940114278555,2.8608166267733806,3.609358966171273,3.883033372997109,4.886408773677284,4.937423495761557,5.6358166318056755,6.604010741341013,5.217582842956102,4.363162571872728,6.111638144181831,5.21845714842902,6.121294640019376,6.744415586871815,6.876955482153699,5.428991018370099,5.943410452415269,6.0251496127596464,7.09902602101114,7.765816289260795
2H,0.0,0.0,1.620407215656805,2.0442997523560726,2.3331607548721576,3.339233590808864,3.4878194393913424,3.644623536918802,4.640340929385636,4.8550917448558275,5.058079076868023,6.093673538030641,4.598708753630857,5.219198048795141,5.856218824924048,5.996271291951489,6.7740771156266,6.025985611556992,2.716285072242911,3.089516048576978,3.6452644943804997,3.9567887391490766,4.872012627114072,5.021666173741352,5.344375566476285,6.358384375081048,4.75903163933606,3.790445171871861,5.539185968402702,4.875196536144306,5.718635991716501,6.450341017562104,6.3560163805078504,4.968667052166218,6.052933219912414,6.208201336698087,7.198575606279563,7.914915203466364
3H,0.0,0.0,0.0,2.0194272290294295,2.9078962121323975,2.708600295832286,2.947822025313006,2.532599282354709,4.178001436676185,4.411201364689989,5.040077227226346,6.055627257960912,4.905360649392204,5.219840546277985,5.095464521659592,4.979718918838758,6.104479182210393,5.275283431238915,2.5681181189104714,2.4792108587334787,3.8750771584409933,4.354053215386901,4.963838051405995,4.790426347581289,5.733224618411983,6.611567883401115,5.182789487323989,4.431155566991487,6.089949373207079,4.971894917348682,6.449292609387588,7.117732678532228,7.182177108834436,5.890567360442795,6.107538792329414,6.343867051449057,7.1440986231699135,7.866784944575853
4C,0.0,0.0,0.0,0.0,1.097095285252455,1.5443367205800786,2.136298562176773,2.1438429554696827,2.6300367211030933,2.827868915088909,3.2128418901327938,4.204367876314054,2.9327688603363002,3.5908033120841205,3.9437068369243473,4.179560990301003,4.789889066214204,4.282908029030625,1.540448320308827,2.416190690070726,2.473747755406787,2.5943216609788458,3.837175576414023,4.01031676553059,4.835821671003735,5.77583999288016,4.810283917832151,4.115803563624236,5.80756617499135,4.898037042518579,5.285653891183567,5.731305082995238,6.187298289593798,4.657736399175793,4.67328319071549,4.633358771769959,5.887378386232657,6.470104784050786
5H,0.0,0.0,0.0,0.0,0.0,2.1743627223276025,2.520329582460507,3.057127973241898,2.8491732317195724,3.096779555071405,2.8656430326848774,3.8496291372353326,2.274574315713173,3.204476243724397,4.297690712630638,4.769176408480463,5.011752774649934,4.577887178673284,2.1718393839741394,3.2717987558953645,2.5488040603476856,2.2890390727571415,4.0024451872456765,4.447524033252124,4.871099006034913,5.876418914351388,4.992991319876908,4.235415027708276,5.915638152707134,5.307679891368624,4.992956492643752,5.364513001645751,5.888929442782378,4.213709402514447,4.684716186446354,4.447337894461068,5.992176639209978,6.4957271395896905
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0978371995453284,1.0992119486382845,1.5425253237374725,2.1634138750133487,2.560849279293495,3.51272112845302,2.8502820451882127,2.82185335066537,2.5206231075907173,2.765620098337979,3.4864692013357796,2.784190703531135,2.5254928459558608,3.1461120407252374,3.396786872266512,3.381581489885435,4.59232045628167,4.604401035470829,5.870940914798369,6.684229122983297,6.031109174576674,5.483119389183942,7.086502911425446,5.980587931199369,6.40952712026256,6.67870444674849,7.3970730753962055,5.882088945655463,5.095956387449516,4.889832700210596,6.241110892064717,6.68719094922336
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7628916737257474,2.1742759716249567,3.0715427272814164,2.771382403283363,3.7821058250119055,3.1371605634054824,2.584312051299219,2.8197171156458403,3.1931313537270816,3.819365126454411,2.638583086969774,3.448561420284548,4.056585988504123,4.329941267882215,4.209841572713265,5.6108069887102525,5.671007993379019,6.818392116636504,7.684529104292257,6.90159004877654,6.244711632746618,7.923112523575759,6.888902906473346,7.244825682015676,7.527581417544715,8.20576784416556,6.607737629357066,6.109371924450752,5.805384960065596,7.291822017286287,7.705447096511504
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168548668454665,2.542982252106947,3.497096737969953,4.328699031808694,3.875648286456923,3.7805149846297392,2.661848694412437,2.4478794794618195,3.689281723157706,2.9889429104073773,2.6930354874047993,2.8643323869880617,3.7761591518690794,4.009589436787207,4.765929827428307,4.519323116287402,6.0726337042839695,6.792305356857297,6.110917672865936,5.65203484447624,7.182382741575443,5.861638036767332,6.842921228630041,7.1690587959782475,7.805984969592011,6.433915887272268,5.363340659668111,5.348477144296296,6.361059784669403,6.8659330007927295
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0998476334010037,1.5380301918624395,2.183174521902935,2.2058161114848898,2.183910718644539,1.5372615721476024,2.1895743992194645,2.187072751765418,2.184347314048603,3.168530251202428,3.9294304889373777,3.5046249477609397,3.21009639023315,4.496729687194736,4.62031501260592,5.93071421126081,6.6274642858952495,6.463265320498103,6.087938663467499,7.527647780319035,6.489845121286031,6.3625199442523845,6.375237775048448,7.430518290983256,5.9435422369492965,4.517599454468838,4.043461774187065,5.625070891082343,5.867519460579951
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1465676327552132,2.4915138041206366,2.5134685864219324,3.069859741799449,2.14350196908194,2.4933189533561815,2.494460869822591,3.0683207633307386,2.7919513625161,3.50323990744837,2.8649679533987564,2.6629900474873076,3.604673543257261,3.703912320037523,5.10729947033065,5.703682647862381,5.7806058895547405,5.56586358351848,6.845114481137649,5.788069582024336,5.636060276055014,5.593843203684611,6.717605685306966,5.375780274780513,3.5027610873781847,3.122780667423787,4.550634966466541,4.804482440533043
