 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,C27,H28,H29,H30,C31,H32,H33,H34,C35,O36,O37,H38
N1,0.0,1.8339777857261164,1.8547270571525576,3.055004784054105,0.08767723963459018,0.2039066031863132,0.021228445870205448,0.007105796933210895,0.032811247844628244,0.0008499534930848096,0.0034673778828665236,0.00034137927349564556,0.0010941330060092458,9.99336495814962e-05,0.005203829325204912,0.00011831314626031819,0.0011682315862586723,0.00011577829582387622,0.22842145509591968,0.051660622257018285,0.03463213605192424,0.002351036116768901,0.0064809864983147725,0.0005658849356338091,0.0015364002565306512,0.00026686427103450594,0.00020257058405455386,0.00014350838011112366,1.5140808509173098e-05,3.2993624882182715e-05,0.0001078317158687142,1.9812405052110904e-06,8.009191500901736e-06,2.691596263471041e-05,0.0005497424021783937,0.00011022782537196962,0.00015946187305877768,3.293365225587319e-05
H2,0.0,0.0,0.027034118931454243,0.10623803621094408,0.0069342362725468565,0.032413348387438035,0.0012277801708757696,0.0006047711818355506,0.0047542121260291115,8.299514536336261e-05,0.00023486683012285958,6.311472348730085e-05,2.801264107676893e-05,6.807881815396044e-06,0.0011962039765025523,3.016604681582713e-05,0.00026868399217616634,3.97268261074224e-05,0.008623368149150101,0.0024221866384549484,0.0006082899014777654,3.769537356501651e-05,0.00018318701607444865,1.4177182321661874e-05,5.8914044667179866e-05,2.655347855329282e-05,0.00011926158673536413,0.0001756843195492852,1.3458019102241536e-05,4.629045474935367e-06,4.320823334125201e-06,5.723586071759712e-08,1.581046096932326e-06,2.6789432143736747e-06,2.2161565752409906e-05,2.440203489606496e-06,7.165583612356308e-06,2.1806587753303575e-06
H3,0.0,0.0,0.0,0.10278205520680195,0.03575679272824073,0.009541689667114439,0.00025412169196403767,0.005136563863397781,0.0007748984398516789,5.3521311101256686e-05,0.0009585042684869816,0.0001117233943972451,0.0005101167756427216,7.669047026759301e-06,8.688713663851377e-05,1.2794816891092964e-05,1.1281104181692925e-05,1.865552285584826e-05,0.018360659793644762,0.04384701450775941,0.003309802855997468,0.0006219438704440083,0.0005176557081548738,8.305920870999017e-05,3.61635500738533e-05,1.2608124422275324e-06,2.346850820844626e-05,7.382622876361822e-06,2.9593301902330893e-06,7.645309395343247e-06,1.4985939500777867e-05,1.7964734277953198e-07,2.95087640322933e-06,2.973033450315299e-06,5.9215035463355825e-05,3.442415924914677e-05,6.8030630270277115e-06,1.351177709940643e-06
C4,0.0,0.0,0.0,0.0,2.0277894239899954,2.697607096549955,0.09219338156948975,0.08628617062704036,0.148902311052065,0.007660710179038466,0.019403873025229446,0.0019546323880001992,0.008370605842441536,0.0004898688739654045,0.03188831259478922,0.0009587254241185672,0.004511372355382015,0.0007932305950253404,2.624453390104353,0.2695899821795581,0.22520080533785325,0.01612648051635912,0.03563286181061995,0.005765935445788295,0.0036272800783566372,0.0008602378480093709,0.0008744031837584765,0.00025705147217758295,9.144664242288769e-05,0.00043128345482323915,0.00038999608416619147,7.4220571117944445e-06,4.7860280722122894e-05,7.046104257857344e-05,0.003577468064624084,0.0004226162245822146,0.001044585378930693,0.00022063671551586506
H5,0.0,0.0,0.0,0.0,0.0,0.07836871681489477,0.0037441488068425954,0.03474347647781162,0.0063810983850132175,6.764466524700197e-05,0.011057312080250625,0.0007624626910169852,0.013168953009673467,2.7603649214391623e-05,0.001092306217060024,0.00019785990579146429,8.349305413624108e-05,3.0855776913307764e-05,0.09178806326372979,0.02216330404542044,0.012573726374270344,0.009160161600947792,0.0019828438233961965,0.0003451743190481249,5.5860641121618926e-05,1.215970141354994e-05,6.700335539611135e-05,1.6704281706303448e-05,1.4057905765252343e-05,3.2852374900693704e-05,2.045076483270236e-05,1.260790472024098e-07,1.7374542748971322e-06,6.809542136387847e-06,0.00014233740300517717,0.00015420452696546239,4.980318000946671e-05,1.3241228629778945e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0351533043007644,2.021485396682563,2.845832471417982,0.08388334532771724,0.15891308693240547,0.030442342837777137,0.005865927391078829,0.009472216180471449,0.18379274418824337,0.010338296166587657,0.030540120311558727,0.009926824829582737,0.1852467800277557,0.037424910834319536,0.027542924853993817,0.0008772769235313449,0.0036157404511074492,0.00024787288344585434,0.0006543537620721379,4.0142433751721995e-05,0.00024166753545508401,0.0001726428003065994,1.1546313549493092e-05,2.36729443021666e-05,6.954352260005181e-05,3.87795303069538e-06,7.08859760445435e-06,1.890549523242413e-05,0.001096920701908921,0.00028780771165883706,0.00028544645105094135,8.43716117763238e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023264364577586072,0.08433167073237535,0.03565641246427198,0.010905612497133843,0.000620462216831541,0.00013683283072407626,0.005164397747537075,0.007593331757568267,0.00016638055532935958,0.00032021058780062894,0.0038841963764186804,0.03025589210521762,0.0056258538033643335,0.0033568397843906084,9.239735410138117e-05,0.0007812647129941119,0.00010347186371184591,4.600982806812759e-05,1.3406139895755231e-05,1.0741838743055787e-05,3.863569860262928e-06,7.447751797506896e-07,8.826871924494384e-07,1.0131002979640868e-05,7.315818872921653e-07,2.473249839596292e-06,2.776810810178887e-07,0.00023705234795068364,8.59943400349783e-05,4.984922153428162e-05,1.1153187728485392e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841847136296956,0.0029308924826447758,0.029649240712920077,0.0016523686678140415,0.0005210801012531796,0.00046442065716911785,0.014930900644973377,0.00623128029723663,0.0011051785319011742,0.00025618911175429027,0.013229720218829177,0.009975570186599891,0.0018899794033921946,0.00024249756864058725,0.00016604652711382784,3.1784942934542926e-05,2.707927826328671e-05,5.510238522798971e-06,1.339495241781119e-05,3.911831378378139e-06,5.819857680000595e-06,5.232305254843084e-06,5.268717270578982e-06,7.01061007024606e-08,4.5260907866051525e-07,1.8764731561926595e-06,2.2629395711737388e-05,1.0221767522522462e-05,2.9773707936886495e-06,6.970953712048811e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9754843257083599,2.729871627383505,0.08528836731741962,0.08309159582633296,0.08107039829400908,2.739965737415579,0.08351838067127781,0.08458522729233131,0.08183301749092298,0.01633751531651967,0.0035214664476582863,0.010291191114985318,0.0020861615719937054,0.0007457141817314994,6.329535080928927e-05,0.00038005827240258916,3.471515131470149e-05,7.779524889997558e-05,5.099562876553776e-05,3.737196764275197e-06,3.1086816281167273e-06,4.2623532006971776e-05,8.165031729623351e-06,4.05365562139437e-06,1.8933391030540037e-05,0.0011882983165707184,0.002646250583652407,0.000290005253847897,2.9395785472563496e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08299491843589668,0.004299796123547361,0.004608572732720084,0.03486046734057857,0.08315651342205688,0.0045569475729241304,0.004507202953637268,0.03446672451244037,0.009812455226895,0.00023311712875162538,0.011323586688771647,0.0016484168592905135,0.0007351369810364439,9.064522457569169e-05,0.0004929504674187069,9.312024995766777e-06,7.976796706377076e-05,3.377854202279984e-05,1.110605111431795e-06,1.565289863281194e-06,3.816655398802826e-05,4.180079883342458e-06,1.8664981233929012e-06,9.340449758310498e-06,0.0028589468670217055,0.007659672697408415,0.0009638843499314431,1.2884760691056485e-05
