 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,C27,H28,H29,H30,C31,H32,H33,H34,C35,O36,O37,H38
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1569259001260077,1.9976159383622147,2.063331958722981,0.1737585296300899,0.031640567790534035,0.010011452177272506,0.00914494260792198,0.002442002536233945,0.0009803759121368855,0.0027485591938554987,0.005762765498857458,0.0003801020714046255,4.8486315368023725e-05,8.164324791397337e-05,1.4272452839136918e-05,1.1645425057993375e-05,5.785757286824733e-06,1.4811710695727953e-06,1.0778338954686717e-06,1.0062997112925132e-05,8.050066935272326e-07,7.436934317262001e-07,3.8209237012143404e-06,0.00032526875377042463,0.0011520413934448595,0.00010521751650667543,7.994618606788073e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024027663755861628,0.02302901971688409,0.010694715085401985,0.0007681271165145276,0.004669856440466136,0.00017128344282069108,0.00015632980874857871,0.00015003139458347192,8.21630680687413e-05,0.0003227280137261257,9.969049592051249e-06,1.3808028493933477e-06,1.1319294566103366e-06,1.4238799361798726e-07,1.3785986571202002e-06,5.109513765422236e-07,3.527014154069974e-07,4.308191694502028e-07,3.457214899915684e-07,4.812326181991011e-08,1.0310966080950834e-08,1.1467414262611442e-07,2.3806831689121566e-05,0.00014049028629592453,8.631140047343777e-06,2.581511633348299e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023204752807365114,0.03166742195550798,0.0029278217176587074,0.0006952633492980365,0.00047487531438661357,0.0010038660887208284,0.0002877641827738753,0.001972312255744235,0.005573373029130302,0.00037302063446253975,3.5451222525795245e-05,6.952685328731611e-05,1.9755622002959328e-05,6.002682338968057e-06,9.555172693076486e-07,1.5013231546845418e-07,3.3932462062402635e-07,8.923813549444048e-06,9.46634697296389e-08,4.156188269099914e-07,5.020942411615437e-06,0.00012220543919738702,0.0005520280892755691,5.585114080930431e-05,6.408473502972356e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009159648862525849,0.0005525814053159994,0.00017452941308171432,0.004278792090001371,0.0004808269779883467,0.0001233296707587872,0.0001864716524544452,0.0003562641323286986,4.25259455498761e-05,1.0834909682566618e-05,3.7707163969002977e-06,1.349451619336861e-07,2.195554990036541e-06,2.174203148852527e-06,8.072730146579943e-07,2.949699831056307e-07,1.5704300149188555e-06,2.2442590186244615e-07,5.506412978917297e-07,8.689228312430686e-07,7.454157212638535e-05,0.00011520290201583183,1.299965005752135e-05,3.405805766298897e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9537489358492903,2.1620726662640513,2.022559905201474,0.002659812131311612,0.0005442899728636819,0.0011053715696347638,0.0003395563457051498,0.00015157550312436263,8.005041152947534e-06,4.072928345294491e-05,7.2470441543348585e-06,1.1268391924959542e-05,7.84286569333048e-06,3.6533379010883493e-07,5.638609779090586e-07,5.510653559123724e-06,1.1203771146384156e-06,1.6689272608338968e-07,2.6479892250019788e-06,0.00015075073340131695,0.00021980204362378325,2.4166657011256976e-05,4.36098024736431e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024087771070783637,0.023013863349378827,7.433316717708749e-05,1.1552059619890365e-05,6.314307864263569e-05,2.351670384403981e-05,4.687916983492357e-06,1.1709163705297954e-07,1.7702845889200347e-06,3.424938579410508e-07,2.889272739947657e-07,2.2119566578382432e-07,6.299855082048111e-09,1.9002939666279417e-08,2.4415303012670364e-07,5.497580635172028e-08,1.9085075741998025e-09,1.5765556482527643e-07,4.668306347488382e-06,6.892866288632504e-06,1.006708471917861e-06,2.5452271823489525e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02283291285238409,0.0002109819224089815,3.3204354654814416e-05,9.761580258826896e-05,5.380646561636837e-07,1.3112102766887901e-05,2.957387785773591e-07,2.8886966336738595e-06,6.642938998879799e-08,8.596527575344126e-07,4.3599892163292964e-07,3.060705044966028e-08,3.5511107165930866e-08,4.1480947743366414e-07,7.367875065611429e-08,7.796982393060148e-09,1.6006931136125502e-07,7.1835648882689895e-06,4.836264021923498e-06,1.9150497304609715e-06,8.146663383890029e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006883998179378903,7.396862944131222e-05,0.00043395366704346294,0.00027379963882068203,4.0334592311452866e-05,3.2093151560719235e-06,1.453863556477586e-05,2.6313006333822386e-06,5.368350230794405e-06,6.36803368547767e-06,2.592646441978985e-07,3.552433081033257e-08,2.370212276003869e-06,6.226884117221942e-07,1.35935402045817e-07,8.208902055883982e-07,5.660801679496785e-05,7.387526932878252e-05,8.548550157083668e-06,2.159003614332633e-06
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.508798482142054,3.2726221348490157,0.1326709587391932,0.2703899786928383,0.029067989576765818,0.031138259229859744,0.0029622405908305005,0.00870229324688665,0.0062721367127975824,0.000564359999723596,0.0013678965624437378,0.0036595065410549993,0.0001392661286807595,0.0001658559261898951,0.0012124583446253556,0.030848042645347268,0.005965208151802653,0.005873451874694888,0.0012714718394928326
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240414762484186,0.026232677169273133,0.06851986333896823,0.05137872756195372,0.010201966865871326,0.001139780023900805,0.009225997038827968,0.0011753890735295425,0.0014631699764304784,0.006970080604415063,0.0027484256905379242,9.654242889367559e-05,0.0002308600958703666,0.0013725859553238573,0.011251157078200374,0.004148663858831638,0.0016561056027091722,0.0003409809126192487
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.624511143632029,2.8911515120450915,0.09469123043663152,0.17475394774852138,0.025490833236880506,0.0202989473865771,0.007905976076444832,0.0015122459056662318,0.0005880393576798149,0.023285237789888835,0.0004329516334535821,0.0016776993178623245,0.012650008658344536,0.20127016473224454,0.0513125108603871,0.028101842963900198,0.005198634602377683
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09854355605686393,0.024882044844742435,0.004948651540252369,0.00028703803149920937,0.0004379270254848411,7.010939889418033e-05,3.440756198624939e-05,0.00011115773961312136,0.0022843318950448444,3.7756196807237075e-05,0.0002211237188027848,0.0018889422674637224,0.02818373593652357,0.06437897258422598,0.004420107740122137,0.00015237005197943354
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9952485127387474,2.707073503394798,0.0969912181227981,0.16967296679049157,0.006917703680800136,0.03019627843720807,0.01002423972972144,0.15574089566666116,0.0074355669463652685,0.031806166209371156,0.007965180058312704,2.8021670098439073,0.2718541656105996,0.21845183333106474,0.053482453781871664
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08159916305927395,0.004440465209239797,0.01162531797576205,0.000199781053486614,0.0009307965491001102,0.004828980133375849,0.02571974976401037,0.0007352492041250436,0.0011713656442080556,0.0006790002309453591,0.11531643327685082,0.029117622713345725,0.010800834741869658,0.0006613941768667253
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0929210284533464,2.902067284654043,0.08560753006124466,0.0922082507012334,0.08765658766955364,2.878977481641432,0.08569118703537781,0.09057495913234237,0.08446801230612855,0.18657510171759636,0.04261751333307433,0.031330830605329804,0.002132903248741491
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08355424332154715,0.03439935121993121,0.005161159813771743,0.003991057760430294,0.08380542993081952,0.004541587228537702,0.004417465875365956,0.03480348524317267,0.009713295580555448,0.001572186318572033,0.015734709860267815,0.0003468297839501755
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1663081318136967,2.152756783562809,2.1432060283259387,0.17440220949359544,0.03182359836116633,0.009972552938073642,0.008805214143706164,0.031156244943060463,0.007196281841765226,0.005119341208884846,0.0004972723659376621
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023017266718389884,0.024241460691235783,0.009638596433481084,0.0005865079762001901,0.00018733646385737934,0.004365751885291536,0.0008204143337784409,0.00016549944521826454,0.0005001611561353814,0.00017033200958649353
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02488262949291742,0.008855904402965908,0.0005601389180520666,0.004170895368705629,0.00015429938507294239,0.004856432214181972,0.0017465596513879245,0.0003750007459079052,8.537538965791569e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030916214182575175,0.0028416185573778563,0.0008230332690699615,0.00045645127818616515,0.0008628564056967214,0.00034253784674986854,0.00013946758033178686,4.952916225153814e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180595995084847,2.1410933931660363,2.161626055462406,0.0271694222531646,0.007471093587112204,0.004225292969164324,0.0003304161911441561
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024378052228722913,0.02399494057927498,0.014384457145054874,0.00388497889664452,0.0008589608443763108,8.700827607643902e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023356231934470673,0.0023520045362288577,0.0002504232998205014,0.00033064805520788276,1.61655649977277e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009462263165909146,0.00012069268158054758,0.00038591648791697075,3.458506644893333e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714331761317361,3.5847412982477214,0.1793253107445112
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5141070870939334,0.06772017833694766
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.845149128968655
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
