,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
1N,0.0,1.0216565851232953,1.0224384021230077,1.4819125389951244,2.079396713848302,2.4671620566922012,2.614253878610883,2.748893401442168,3.8613011125496226,4.206242424374074,4.146108699367334,4.999648987261894,5.5404034956601445,5.71162942723406,5.530210025424074,6.50948912905025,2.470179235078758,3.091447649124316,3.278915207266561,3.569392349920977,4.585715052593758,5.1168552555499,5.613666335672483,5.530087122578188,6.582712260622924,5.954438808974761,7.156384830625667,5.151273622170583,4.840718077352601,4.5419826362144295,5.99486502059375,6.330779485324887
2H,0.0,0.0,1.6194879539682798,2.0317312920244293,2.3458015793060283,3.3393636521299728,3.5576530475069674,3.662048170905583,4.595454902767614,4.805816825938869,4.772612605738335,5.8594544558606465,6.435077922877655,6.561027747842391,6.31107955705026,7.405808675530488,2.555136266366628,2.7556699788229184,3.53588746498049,4.074000543131007,4.64804182491861,5.121411922791869,5.845336193358675,5.78298462213787,6.721535586419209,6.405446801770508,7.602777166857335,5.761155274276362,4.624452083469538,4.256932618635494,5.664065508376481,5.888994012135005
3H,0.0,0.0,0.0,2.0404110102699407,2.9199805076891505,2.6994126471882987,2.9647065107472277,2.553561609373849,4.157700641274093,4.404448967541219,4.669756365529672,5.148574350906258,5.7828778686583995,5.64939466517767,5.3543490686810795,6.395551038635776,2.655633131251008,3.4231296986988187,3.0555314971234133,3.2549653862165866,4.314300793123095,5.035630771919054,5.15221928050316,4.893060909098009,6.144856096530014,5.558606342970998,6.787475903623717,4.7784992706940415,4.499236313953783,4.049338983371238,5.761678242185276,6.056951501523237
4C,0.0,0.0,0.0,0.0,1.0970940618650136,1.53482028396094,2.1404690874750503,2.170758168072488,2.578748211989671,2.81329997942601,2.8416876336506935,3.9241543600047093,4.610716691484393,4.659214041559302,4.475777511546051,5.556992449477912,1.5432739556633197,2.41197312096741,2.470793236909235,2.7055682965128445,3.8285750090780533,4.145506266010065,4.8948908058919685,5.076178106075322,5.847106266484063,5.029009166950551,6.158023877260903,4.230247580002239,4.471498083816599,4.554869709672169,5.532076142926573,6.069894371929099
5H,0.0,0.0,0.0,0.0,0.0,2.156820639208607,2.4880300601177336,3.069098246644531,2.7895171898527034,3.1048482175000607,2.6094273277085263,4.210354903554152,4.737889337897906,5.141071865981908,5.088517384635106,6.049290586430109,2.1137463581778233,2.5310896606430355,3.2813243128289282,3.5976710086342214,4.4963199266295115,4.5831883773780575,5.6887204119776404,5.99671283881708,6.566229564048289,5.790283683904247,6.843096905049838,5.037155474486097,5.1116918236292,5.288107940946784,6.005530849649212,6.5462094043279535
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0960223278488195,1.0989719886282465,1.542167161263521,2.1762586934796535,2.1691972062059706,2.536107259047926,3.2077061931557536,3.32158500691897,3.3308357529984973,4.140497761543899,2.618395855109856,3.719011349183644,2.9225737966225998,2.5691767912996464,4.326362279187311,4.6801800770055815,4.985230894596294,5.145957731092965,6.014583046181587,4.6631211003459025,5.718464490708021,3.5850383066806795,5.297805429708836,5.447724861155338,6.422291652469227,7.061331913805281
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7579560058735777,2.166967594861907,3.07400301018752,2.4828854213904634,2.770861600035015,3.013111249420627,3.772957154378133,4.0224512983520775,4.428498844378761,3.524160847361769,4.522723204284482,3.963179835063695,3.6178337977589563,5.390111165720098,5.7562848758656,6.03856881355626,6.122039996593811,7.083602881864579,5.6763655330614755,6.708898967646172,4.529390236810748,6.2747438858181654,6.3105813653815375,7.423303406443127,8.012693480543957
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1698757022319866,2.545338141838398,3.071645141463089,2.740491561464189,3.533242089668065,3.1140092983310175,2.939914814047766,3.84476539108681,2.889314145850975,4.105680401419544,2.726873410015019,2.120861873155675,4.089884172385946,4.652445358498794,4.470448851439511,4.453627050955029,5.548744437939199,4.12094382168442,5.2189596307449175,2.972757230948127,5.055469657060858,5.1100981505995255,6.279191631926498,6.894496295160924
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938903999464085,1.0962344309627368,1.5313898160171915,2.419267495623673,2.4311049743490605,2.6032156268521964,3.350083206982012,3.1913342511464102,4.167512474756496,3.344941152290281,2.871721821433064,4.487973946671074,4.541443184199088,5.024197216171657,5.455251532797066,5.9433502437260985,4.359935624282062,5.187065181661736,3.3458565989779663,5.7389512024945795,6.182225100883383,6.676199336938467,7.457078580718217
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7791075502015454,2.1647456164950354,3.260417757256359,2.5262386147878826,2.321571322134389,3.5334047578177596,2.8486997430688024,3.7628021504594464,2.759587811075402,2.3249694294805243,3.6613222211058365,3.5940120148042585,4.164734545604719,4.748691317097343,5.003550618939864,3.5022798342605364,4.283826869444082,2.6945335539815893,5.022834845759025,5.632009786922276,5.852982733495329,6.694848559053522
