 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
N1,0.0,1.9831122436855448,1.9176104976311779,2.5969321589431735,0.09246717428149354,0.1886573287248239,0.015720933635648415,0.007094420259340817,0.034299306191341195,0.001096409704526069,0.0009055768525092489,0.00590801885063727,0.0015228474400791614,0.001306162238657399,1.1419831348780107e-05,0.00020148757127724792,0.2531507829721872,0.05742680709665125,0.03761501410967201,0.000730781808438663,0.004568668779465851,0.001060446796893988,0.000586479916160898,2.7072970985031475e-05,0.0001525851468191508,0.00010263253624456792,3.539874694916123e-05,0.00033844855880400815,0.0016649025116727,0.00047182311425409545,0.0002649611801779639,2.0668310528493272e-05
H2,0.0,0.0,0.025958525163591872,0.1057002605138524,0.005805537053945153,0.03236188214194513,0.0009435358706559871,0.0004487445376823995,0.004546570389442062,7.545097640848653e-05,2.314285008520045e-05,0.0012064472649775393,0.00035991258301826257,0.00028768517854127484,1.754008836840626e-06,4.3299039759858715e-05,0.017723090228143557,0.021076866827392404,0.0020279977782400316,2.0243068254766072e-05,0.0001789158308698191,1.5789537654242736e-05,1.9811988613560594e-05,6.263958142405102e-06,3.0188562976096733e-06,2.914918740937189e-06,8.087949727730859e-07,1.1574006783199309e-05,4.3563937415891374e-05,0.0001035694156318323,7.881081173111149e-06,4.710282959230483e-07
H3,0.0,0.0,0.0,0.10048547196901092,0.03670164009886179,0.010833393620866438,0.0002950110454205124,0.005334834883354178,0.001214316873319632,5.685717551018321e-05,0.00047388319503949283,0.00011885919952159263,4.574975571169926e-05,2.719136415374468e-05,3.1927251207264362e-06,4.749447172214261e-06,0.011272837500257538,0.0006992228099336195,0.009152781359864082,0.00011654067192901074,0.0008082444221815255,0.000530177234611573,5.105608516309257e-05,1.95275157981456e-05,1.0780124086950948e-05,1.3709642165182778e-05,5.897693760914535e-06,5.019005810968924e-05,0.00030563241193148905,0.0003817819769089681,8.389311143996991e-05,6.219587653788494e-06
C4,0.0,0.0,0.0,0.0,1.9317282706331316,2.7990381926554195,0.09742474562279946,0.0840519205539374,0.16736288469404884,0.008085794775187116,0.008283785808258948,0.031133105303782077,0.007225639104017065,0.005150882603553952,0.00011124235140302918,0.000909583089168442,2.5306991543225994,0.2819907264724065,0.21790010827288162,0.007378558362218457,0.038111959952593366,0.0020961876335814367,0.004020222654351369,0.00012268669814408106,0.0015209586247897366,0.0004601616459007085,0.0001159775892738274,0.001486336351082973,0.006041019425320565,0.0014009342764161603,0.0009174502960874464,4.768030955037972e-05
H5,0.0,0.0,0.0,0.0,0.0,0.0814789079054754,0.004455395280964725,0.036033323121472005,0.009375197865272966,0.00013737183120299257,0.004478726501361718,0.0010181458309743707,0.0001723238605292332,0.00033282196602180125,5.244592358377709e-05,6.5211662055642e-05,0.10147683209028124,0.018342720518843558,0.022566879923106464,0.0011821264533182774,0.0029837164742274602,0.0003275255284711509,0.000559188043641079,1.920718111003694e-05,0.0001165642490792429,5.628585954053911e-05,2.7747557950985602e-05,0.00018171241950937222,0.0003097470112862766,6.317056601901072e-05,1.740244915382494e-05,6.4663605046089145e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.919842438689288,1.947152967034867,2.488791297900445,0.08225166433919795,0.08418310779668015,0.1944737669851922,0.04056572429743242,0.032268204841118725,0.000564852444395747,0.002177727497076787,0.15051891198700934,0.03403193793131529,0.025595012809161766,0.017970959905137085,0.003864550548449197,0.0003628629778289483,0.000449487898221107,1.893047964340866e-05,5.546838594683301e-05,0.0010814924302766649,0.0005362703985757472,0.005254606146674931,0.0009843735376094676,9.068303193700278e-05,0.00020262558222257365,6.239424467247012e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023707422113606658,0.08243553614768362,0.03443418364577866,0.005916090064628232,0.009244923525275617,0.007178576279092241,0.001220434728987585,2.3564970593525914e-05,1.2857882468297888e-05,0.029113360927520482,0.004670805740463524,0.00324769212414866,0.0005954570452291197,0.0003082121852509001,6.297969282686999e-05,6.355533205071318e-05,3.3078934944530403e-06,1.8044096116831554e-05,0.00010814378172563366,2.6907443738233283e-05,0.0002258427379687733,0.0002202729376130641,1.6562126010533085e-05,3.950264702679007e-05,1.3992329400691617e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0805249484373809,0.0038534222867634416,0.03436051884701996,0.009859058427313938,0.0008861684348285825,0.0040082102761760385,0.0002792687771571156,0.00020641085681760707,0.007639337660133805,0.0007167984166123187,0.008425935058702594,0.016447364088365557,0.0011755692341897106,0.00024109751200329654,0.00014059872054206224,7.357735085200545e-06,1.6329683725668787e-05,0.0008785027573592341,0.0007003165923591403,0.006148963327457735,0.00010870887607938862,1.7525926986339257e-05,4.199961460771284e-05,1.5918104707468572e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9208309720371093,1.9792701036957987,2.7402721401149153,0.2841707892794514,0.23336206706058477,0.012584373164247875,0.04701109059264197,0.013798325682218282,0.002275266645961199,0.012216862088771901,0.005554067876441193,0.0009982898198184764,0.0002374011198269521,0.000176419339807804,3.114122442826606e-05,2.1063811137311816e-05,0.0024930900373125453,0.0014537959088528757,0.012869634228230661,0.0005183765249326955,7.593407406605857e-05,6.600432853957894e-05,1.45903842992956e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025861099778555774,0.0932733380845141,0.02401303209822514,0.011971241452393255,0.005701703162013683,0.0016409825461261018,0.007143901240482364,0.0008503036436440237,0.01397682429473468,0.004881885634019367,0.0007596284093984718,0.00012678960649314952,0.00023596909456324866,4.338059862041277e-05,1.4396368672286997e-05,0.0032310494494114383,0.0017241521027543394,0.020820075943897343,0.0004554401379512907,0.0001409339958295952,4.0385663640729597e-05,9.191291198806795e-06
