 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,H10,H10,H11,H11,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,H15,H15,H16,H16,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,H20,H20,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,H24,H24,H25,H25,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,O31,H32,H32
1N1S,N1,0.0,0.023349267823805864,7.597822977212232e-06,0.0005908564102705682,0.0015458382791959657,3.167700722395139e-05,1.7963489769678986e-05,0.0018772650487768328,0.002482229872388775,0.00010974072382011202,3.877358095746852e-06,1.6399119208421187e-06,8.610547979348571e-07,6.431041822137218e-05,0.007834513984139369,0.0013579685223775728,0.007793262362093989,0.0012921241412794382,0.0011058072537595554,0.001824738990787944,0.00015148563367484158,0.008583034759880093,2.31690414711494e-05,0.0006068327821580066,2.3049749952708254e-05,0.0008611391028472415,6.027575434330856e-06,0.00032677788360305215,3.827904411740635e-05,1.5915710116498616e-07,0.0007934968474696269,5.252600447844258e-05,0.00021523206461737665,1.1767122352512871e-05,3.7352502082838024e-05,0.00017851859504669498,4.84138416487756e-05,0.00019614991985639207,1.1893793609996095e-05,2.291596692849396e-06,1.0750565274442181e-05,0.00032397467022993176,3.161794730455192e-05,3.255086791845163e-05,2.033319971281311e-05,2.317356188885622e-07,6.162126044861882e-05,2.0172573385657255e-05,8.274627105220311e-05,4.3449594751665543e-05,5.016557805914701e-05,1.059387466639805e-09,1.2752063547172288e-05,5.103414310170251e-05,2.2560666068649482e-07,0.00014787760219769908,4.2138357609911026e-06,1.6061972519354484e-05,2.5034519604005823e-06,1.716921885952516e-05,3.586506318598026e-06,1.518083797558134e-09,2.8631894367914246e-06,7.754387157665743e-07,5.253334788846153e-07,5.495281246714612e-08,5.265089253470023e-08,5.940334770748734e-07,2.331003376099261e-06,6.48903850652971e-08,8.554094650670141e-07,2.9267886307859925e-06,7.5578984213287015e-06,4.982148915644302e-09,2.0819516100001323e-06,3.7208329484172964e-07,1.003571031832351e-07,7.070066285419507e-06,1.8239549259835286e-07,6.871598416946512e-07,2.0837616039326434e-06,6.338145756568103e-07,2.689301835112623e-07,5.665004838006915e-07,1.1796910850958575e-08,1.8303858428936337e-09,3.469650152299053e-06,2.018698555650289e-06,6.463865642736266e-08,3.2892160106712254e-09,1.7708797928062125e-06,1.3747658844653898e-06,7.989731098945185e-10,4.670289474595357e-09,5.493532154871028e-08,1.7620856926359174e-07,8.791413513842272e-09,2.13498464185502e-08,3.5882894618144423e-07,7.496915115368097e-07,1.759801606215916e-06,1.389008139174308e-06,2.7265845781165865e-07,2.9019409386599193e-07,2.68974234440833e-07,8.852938973014091e-07,2.0552153157105124e-07,4.7018729182335406e-07,5.424262268516333e-08,2.854745678737558e-08,3.3175618086023206e-08,4.83490331104619e-10,6.318272793848223e-09,8.224426029102005e-09,3.978615483735126e-07,3.661456912107397e-07,6.313768345922455e-07,3.3101218668285526e-06,1.2076082613887706e-06,2.8025164866329888e-05,6.197804469643131e-08,4.562800280816237e-05,7.2422170067643066e-06,0.00012013755672457549,9.972479872089046e-05,1.38367803931283e-06,2.1960164332535115e-06,1.586082475024675e-06,1.6494399463301557e-05,2.358704674543244e-05,1.8207016212745675e-07,3.2153553419789205e-07,3.1429122282489175e-07,3.812706405725841e-05,5.955438655558254e-07,3.1839228231689276e-07,4.236891752995575e-07,4.596024759329076e-05,4.210401467474867e-06,1.1974047031682034e-08,3.7102060585630925e-06,1.2303136481817134e-07,2.398743405018777e-07,1.715780246658305e-06,8.812789769052642e-07,4.034545875164497e-08,3.1752465856627055e-07,1.6811130760796544e-05,6.215922059293888e-07,2.2002924371378185e-08,6.870887871546216e-06,2.2625622467797868e-05,2.2111765751731127e-09,7.183880987027269e-07,1.1484812188350402e-06,3.1567024189049775e-07,5.676792951686549e-07,1.4104200368181274e-06,1.2414437833285774e-07,3.0379832904881e-07,1.3381471095086361e-07,1.097170376773704e-08,2.456775665127253e-07,1.1600458422744708e-06,7.689298309188075e-08,3.776354340345733e-09,5.5689638678302344e-08,1.7803864005294656e-07,2.5229490141498445e-07,3.2971680941074055e-12,4.170246198365035e-08,2.2518895081979906e-09,1.68217180129826e-07,4.375548939838936e-08,7.235125496496408e-07,3.531267500633817e-10,7.768213572401095e-10,4.188964286555574e-09,5.53148638005041e-11,1.3159988654365407e-09,2.001300680731788e-09,3.4287150896261664e-10,6.857430179252333e-09,8.588481703597495e-09,3.0281841478796423e-09,1.2524108417011348e-08,8.406444568231919e-09,2.5449323204362884e-10,3.701384199139568e-10,1.2789512948696569e-08,1.7905440685694884e-08,1.971101948328169e-09,4.2764306540377106e-08,3.621238686690731e-08,2.624674616535927e-09,6.277822706124425e-11,2.201993698491833e-09,1.7636736515669327e-10,2.4329649406240605e-11,2.2414472500287275e-09,8.454007716096612e-09,1.7253727335742042e-09,3.279402305267354e-10,7.467157170371053e-10,8.133522189091025e-10,3.1482270679283886e-09,4.240213735684506e-11,2.011391053713396e-12,6.609476854713137e-12,1.7508661187548569e-10,1.4197709452545837e-08,8.73751959673541e-10,1.5894356941714705e-09,9.811753631794318e-10,1.4100898004798523e-08,2.740674354129169e-11,1.3888790117988492e-09,6.458390766628241e-11,1.725886100700791e-11,5.012362747081056e-11,1.0643125269993448e-11,6.656525330939189e-11,1.927731668738275e-09,4.2628462981753046e-09,6.641204985946558e-08,1.9825894259639654e-09,8.267155848784569e-10,5.090832200238538e-10,3.2213494316479796e-08,6.12182100567793e-08,1.4550547433600514e-09,9.381634913374626e-10,1.1577130643036782e-09,2.7133102709075985e-10,2.8041513555621123e-11,1.3318696145958597e-10,9.59342912887351e-08,6.655423212542644e-08,1.4545054050074668e-10,2.8133699592203243e-08,3.5142448773228807e-07,5.972796268682856e-08,9.229987774084236e-09,2.6591199353553918e-08,6.758063264555858e-08,2.6870661529176942e-09,9.34093291604654e-09,1.6157697957375206e-09,4.22110468800696e-09,6.247769190892427e-09,1.1799243526677827e-10,9.185742833039967e-09,1.1444742042954203e-08,1.582090169982564e-08,8.747503832395864e-09,1.6691768855991995e-08,1.152027806483602e-09,3.4890523581410093e-08,3.4796483205923323e-07,5.639045619343364e-10,9.79165665215831e-10,3.144234456131656e-10,1.3765068973548011e-08,2.067629290003481e-08,1.5158908850398944e-10,9.719509641570312e-10,9.741651929573436e-11,9.45487466097461e-09,2.5618703825003308e-08,3.6269569569924442e-09,3.977884688310951e-10,3.5473846082823e-11,6.568116051042239e-09,1.8804293816510054e-09,1.4458396285776942e-09,3.3297670176679617e-12,5.8181354178898914e-09,1.3407046861590999e-09,2.3797763759603185e-10,1.04240194254146e-09
2N1S,N1,0.0,0.0,0.00012128584181159141,0.00820886679495958,0.03256547216471306,0.2614086081420255,0.00035676704492138,0.023043726317559354,0.04870713048511721,0.0028724063246818865,7.416967883711045e-05,3.8324653937493736e-05,0.000608642822451877,0.0020621764324397773,0.10337796945514954,0.15743348860997397,0.10183019611415522,0.1553259943775691,0.0030200637336070812,0.003827417379810072,0.0019922639524532215,0.08779974326554418,0.00045854795930555525,0.03771776241586666,0.0048310114424579,0.2061531711032809,4.3435820557213844e-05,0.01582112320721052,0.0019873919082780134,6.422897874225342e-06,0.034860258396297805,0.002647413857141512,0.0067997800544721265,3.591700605420911e-05,0.0002317864220000576,0.002618557521261611,0.0006853329501286254,0.008187793193774606,0.000255526580354104,5.8982535840357286e-05,0.0005263811823965625,0.0009140740513333689,0.00051902365155998,0.0007903105756807971,3.677731185991462e-05,7.790946421337708e-07,0.00138011363016588,0.00018236779431091144,0.0017150299681376602,6.657090137629496e-05,0.0009745804363157085,0.00038267239658873464,7.940122717586817e-05,0.0010624095681786017,3.1445144796915514e-05,0.004668385044182433,0.00017064899265406552,0.0005210049404280603,9.355778357367228e-06,0.001264514513539261,0.0002443585565443662,5.985004756015044e-06,9.012080185244464e-05,2.2145073896862044e-05,4.4179665703580895e-08,4.672216582068955e-06,1.1550516270997235e-05,2.894146516485563e-05,3.115188914737388e-05,9.076525767870436e-06,7.524706042705276e-06,6.855732774901924e-05,0.0002682167267265001,7.188837085614352e-06,7.141762301943189e-05,5.522179336026056e-08,1.3912071210597787e-06,0.0001121520064062409,2.581161142600763e-07,4.3407028533781755e-05,0.00010204565926508202,5.5676625196010576e-05,8.542373585607166e-06,1.1172422874183852e-05,1.0547906104108051e-07,9.710439861088105e-07,0.0001104357197143635,3.1450104298613724e-05,3.742518442706455e-06,1.56300410836252e-07,6.735651251021935e-05,2.3885166680504e-05,2.298091050789708e-09,5.292416627167285e-07,3.181772778582115e-06,1.2143390654362207e-05,2.513610697363333e-07,2.453843135796774e-06,1.3973846593184902e-06,3.161940102325289e-05,7.120397618054497e-05,2.253340861679831e-05,7.76262004009709e-06,9.646184742528874e-06,1.2597984934803463e-05,2.3465883067785853e-05,3.397623497214397e-06,2.825872587219891e-05,4.913787256644042e-06,2.4690117896852826e-06,2.450986430924118e-06,5.909661648928477e-10,8.397428024053966e-07,2.697039511723176e-07,1.845514217313493e-05,2.083381125173034e-05,5.1621309606675325e-05,3.1163231239972333e-07,6.736708118326717e-05,0.0028173797378912013,2.310200404753715e-06,0.00012482467944519016,4.219208570788169e-05,0.00012343033459805142,0.0024047436103051822,1.0069336440432508e-05,2.502412548044397e-05,3.204332529005427e-05,0.0001049350795823134,3.11261250867112e-05,4.978340515382484e-07,1.8241593255030608e-05,2.0337086223953804e-06,0.001518728001924874,3.1565510023590093e-06,2.959655168943698e-06,1.0864022375045579e-06,0.002243152340856369,9.026327024486136e-05,9.889429111176185e-07,0.00024361118891236266,4.289211874564103e-09,7.634092857866648e-07,0.00017705898170516932,1.476780806752842e-06,8.210473856351541e-08,2.612763057152634e-05,0.00047891096762864294,7.930951727219693e-05,4.851622622314977e-06,0.00013185975257545834,0.001061082452886275,1.0702968865405893e-05,2.4462121341883858e-05,3.619757807804547e-05,3.711906528813813e-05,9.070050407600228e-05,5.287870548409401e-05,1.0646999500707466e-05,5.757682584928148e-06,1.5132801456374523e-08,5.523142823093963e-07,1.3195553500544577e-05,5.4630177324099805e-05,2.348265022433793e-07,2.5657420170688283e-06,3.872846772168259e-07,1.4669814982326557e-05,1.1381022790857287e-08,8.876929413759171e-08,7.750316789234546e-06,9.581471616115778e-09,1.1498022894906867e-05,8.68018786892577e-06,5.1111284584681727e-05,1.6096683289390512e-05,1.2284711026211426e-09,1.32380636674867e-07,1.520984556080407e-07,1.8814961322277668e-07,2.615330174648989e-10,2.396838283402758e-11,9.375806353517646e-08,1.2010081817948048e-10,1.81283321687431e-08,1.0071447009707413e-06,1.5459578543985941e-06,8.515528859831534e-08,1.4370739265245902e-08,6.132440919515147e-07,1.7341901359380074e-06,1.6014489165883106e-06,1.1007556950382025e-06,4.5566395012741623e-07,2.7871975838422713e-09,1.2327472376227888e-11,1.3286178068838694e-07,3.281756200124164e-09,1.5150697407761982e-07,2.7996924778506127e-09,4.457057518614249e-07,1.0670371253240774e-09,6.505654681632222e-08,1.3267567045005535e-09,1.1274621258827722e-07,6.007051818190945e-07,1.3165435408524218e-09,2.0901496755598714e-08,5.217182241779028e-11,7.78843256554751e-09,5.671823872788195e-07,1.1322376680666935e-07,2.1492762236619e-08,1.5841870038002526e-09,4.5855737074163017e-07,3.202043563632628e-08,1.9701411613226583e-08,4.037780998444873e-09,1.8283459191081874e-09,1.0215189805151681e-08,3.741165155446424e-09,5.158096172408477e-13,9.08769726137848e-10,3.843096951783309e-09,5.385428269111259e-06,8.231274328807103e-09,5.423093085710207e-10,1.1894041307414227e-11,3.1916232297035663e-06,3.937427153211104e-07,2.625707695713686e-08,2.0840991599158087e-08,1.3025607725758448e-07,1.164387386509702e-08,1.5650822859925029e-09,5.616071163672132e-09,9.950959336535448e-07,6.778300250864788e-06,3.285588410228968e-07,4.023624994076158e-06,1.9897203065166735e-05,3.153540530931309e-06,6.424297183116323e-07,1.2538169835707436e-06,1.2610539927848663e-06,1.329597847377073e-07,1.6964723761336842e-06,2.07449883937727e-08,2.4260459441372006e-07,9.177223001533008e-07,2.5384629953606463e-09,4.4085446404551476e-10,2.3859486000255004e-06,1.0123416984697542e-06,7.952233445074341e-07,1.73401135228346e-07,1.5344572519282451e-06,8.042816328490687e-07,6.343011443199487e-06,1.4782013391112514e-09,9.949431056810454e-09,1.733829080308169e-08,6.950266477900868e-07,2.1375728489481105e-06,8.425424802283032e-10,7.915550481740752e-08,3.8913455302491684e-07,7.33545430176008e-07,1.2856971007835227e-06,7.82950992928022e-08,7.830328252467211e-08,8.368609671904892e-08,1.821504302945698e-07,1.1028132118617862e-07,1.5805209585550983e-07,7.788431921618155e-08,9.54735146496688e-07,2.2151954937044138e-08,8.177976074108528e-08,3.803207855312962e-07
3N1P+1,N1,0.0,0.0,0.0,1.3640218545774019e-06,0.0004520945143644539,0.00020445800060509,0.26904889246369423,5.427177649508508e-07,0.0003375111552958998,0.0009744562483855468,0.012443459772776722,0.05986235842075627,0.0012207216881505722,0.0004861771028816797,0.2608689237181694,0.1503437751702874,0.275111364815972,0.17359942913371196,0.00014663559547489768,0.0012923434673233203,0.00012557705836391264,0.007054009938570971,8.380196812662888e-05,0.00032156065865507344,0.018159407342051015,0.004732116125870878,0.00018346838170524293,0.0011829121540796184,0.02769149997485343,0.0016693311035989034,0.0013645381137632473,0.00021817224327014273,0.0043407344397330405,0.000598443728335063,6.345144485098153e-05,0.0033983963242589788,6.332279809040386e-05,0.0011057601877548784,0.0013313912948538231,0.0007556897489329195,6.14316046743113e-06,0.0014263014103423899,2.41215701253239e-05,6.088101718315642e-07,4.9062986118286744e-08,5.762109153528705e-05,0.0002708756176605931,6.915141412422443e-05,0.0001787054430524293,1.858554972367088e-05,0.0008822989072236886,0.00010657332102992356,1.1592522008996298e-06,6.97224414660802e-05,0.00010947694799900987,0.00029479902671170066,1.1176789392663977e-05,7.974755833473068e-07,4.239901483238384e-07,1.2790925506767081e-05,2.7495545555922263e-06,2.116485781078481e-05,1.3806757437340167e-06,2.808337511872594e-06,8.063883768949509e-06,7.085635902392973e-05,3.196996969379029e-06,9.721064504475407e-07,4.195758281611006e-05,2.0098008479685348e-06,5.885112397407966e-10,2.258284284017975e-07,1.2407625105126385e-06,1.6559012619765667e-05,4.145270944277968e-07,1.0022986725033434e-06,7.425128788707269e-06,3.5887439004511634e-05,3.7351324180256995e-06,1.5408124837801296e-05,1.9146797834324047e-05,4.722258246658839e-07,2.3671458264651335e-06,1.8052826013859047e-05,1.8717449812299947e-10,1.4349055277307343e-10,8.015278880613153e-07,2.3466115393055986e-05,3.167213686872117e-07,1.5377705420149823e-07,5.317809805838181e-07,1.1208248440919277e-05,2.5319045970917387e-08,5.102442464099965e-07,1.1338544005923268e-06,1.5247911488991406e-07,4.451379072012429e-07,2.411187316475605e-07,2.490949668754183e-10,1.2526250126043692e-07,2.0230988972969044e-07,1.0719415028059842e-05,1.2506791158273245e-09,1.6802102420498954e-07,2.418464219999805e-06,2.3661230814653322e-06,1.0110468018353913e-09,5.267671787656525e-07,6.321812986431752e-07,3.3210225680591066e-09,4.1736897715694e-08,4.2164980551540054e-07,1.7090996484725451e-07,3.691144963013926e-07,1.7944913999201617e-08,1.6971275496047156e-08,4.300447528082785e-06,0.0001349365999638863,0.00017088135300635798,7.981841013515734e-05,0.00027745092718189923,4.348286908317789e-07,0.00016957920869664633,0.0005604659110884924,8.167621609267428e-06,5.656520849717239e-06,0.00012648625194655594,4.254752191945599e-05,4.511381910532464e-05,0.0003658873836214216,7.718829890590584e-06,9.487120919393632e-05,7.013106049669204e-06,0.003181292943512659,0.0002053688192646952,5.720529875619107e-05,2.0977682657630226e-07,0.0010941880705490625,0.00016374550615827488,9.311515440924012e-07,1.0198893853896607e-05,2.423120631389608e-05,0.0001299760154667151,2.7635619579635673e-05,2.8307537334182342e-06,3.814514976774319e-05,4.713279563706152e-05,0.0004928251206677281,5.093089027852216e-06,1.3283665086127883e-05,2.5850845100539033e-05,2.1391914573065662e-05,4.626267200436018e-06,3.753867860267768e-05,3.8634444132767953e-07,1.0509901393618293e-07,1.7946540610491724e-05,7.016623285505119e-06,2.1042786997327312e-05,2.130269774003324e-05,7.911890993472781e-07,1.556659044510411e-05,1.9517406353308786e-06,4.870175460247594e-06,3.91279168301395e-05,1.9583263100031445e-07,6.710463017256529e-06,1.0061381388482005e-05,8.934369550850363e-07,1.0722355503700598e-05,3.198253738290191e-06,3.171205773533359e-07,2.3306653188504e-05,1.1091897895498803e-05,8.826961286345636e-06,4.1350004907680926e-05,3.019213323796066e-08,1.0719267775627372e-06,4.280655135247002e-06,8.778130089481806e-08,2.8287479127975246e-06,6.567201178420135e-07,1.54263091367568e-06,2.412681068264533e-07,1.7849384583712435e-06,6.298407884131052e-08,4.650204532552493e-08,3.895034312861867e-07,7.095319012329071e-07,6.137396590943922e-09,1.1290811219311081e-07,2.6363878324886514e-07,6.251137474322377e-07,1.2155990747331202e-07,9.31703247886162e-09,9.350977991928744e-08,1.8329907947034485e-07,8.691415143147196e-09,1.0833621555406125e-07,2.3752554323408503e-07,2.6231328309478386e-07,7.258118688291404e-07,5.645359371087011e-07,2.358750017528166e-08,5.775956379849845e-09,2.2624706774720948e-07,1.5764024263731358e-07,5.898586397101724e-08,5.20470777587434e-10,2.0389024690814495e-08,3.715447460805876e-08,5.1786122057251305e-09,3.689026604192236e-07,3.939144033182629e-08,9.575051862498185e-11,8.117555516662378e-10,7.177140393110903e-08,1.6385763856874291e-09,1.4438429785101903e-08,1.1464851290554634e-10,1.6512686773495489e-09,1.754191414349293e-08,3.147701654881985e-08,1.6034901406669633e-07,2.8939251306425717e-07,3.768907455459214e-06,7.763394371806953e-10,6.509181327274405e-07,2.381361064784926e-06,2.56585932900677e-06,2.1025015595199648e-07,4.851155197549417e-07,3.3080382877415104e-09,9.01514345397203e-08,6.850870537533638e-09,4.1528380734234815e-10,2.084522152667745e-07,5.178538844408109e-06,6.926202971158091e-07,2.9593499988322947e-06,2.7372921556079177e-06,4.336485916578425e-06,8.695944408998457e-09,3.5380346874447355e-07,1.6216216369713266e-07,2.5327922648088474e-08,7.16226034480627e-07,8.374958684331801e-07,5.0918945282418804e-08,7.422355519093315e-07,2.4050542224429705e-08,5.674681267109349e-07,1.4081056214365617e-06,1.2775426938560486e-08,4.219443114461541e-06,5.7076398274347184e-08,1.5906472028426322e-06,1.928347703739064e-09,1.1154368246835134e-06,4.1904478109699994e-08,3.631281497717964e-09,3.4090034795042357e-07,2.3636366619506077e-07,7.335926066609488e-08,9.138687584453464e-10,6.284748055307432e-08,1.1084642412839685e-06,8.915254361419045e-07,1.7985206657300523e-08,7.49041006997686e-09,5.4211032551876315e-08,1.095503634473971e-07,3.767608447446946e-11,6.090867366026487e-08,1.6939915248315174e-08,6.283417870456276e-07,3.929215068865233e-07,7.908400867506771e-08,6.465540991484886e-09,4.858973365884367e-07
4N1P-1,N1,0.0,0.0,0.0,0.0,0.017355784227257587,0.014766015624228856,2.1453472179633337e-05,0.2901367498442031,0.019390630130895037,0.020876767137404606,0.0038708985489745995,0.0005608541061505878,0.02766324127935693,0.00760427167616573,0.0812536858980395,0.06540532078836936,0.02447939911795949,0.028162175101694942,0.014365668766769257,0.08720529184173786,0.00859477687198007,0.3096724684911396,0.0015724389052000909,0.03399763041989612,0.004685287849534259,0.13266687873283045,0.004598284426288846,0.006197109684005664,0.002259374972021222,0.000725985444470556,0.02729164917751037,0.007192768051407672,0.0011706942337963433,2.2956310585797723e-05,0.00012579965154402295,0.0010319388056352352,0.001007376500459678,0.0025351870987311287,0.0015997001357792584,1.8992429851039105e-08,0.0002277885340049579,0.0008661683137463072,0.00012072125389828159,0.002656827042576859,0.002678495163989103,0.00023848486507271893,0.0038504500075411396,0.0035513800527307016,0.0014650109692744273,0.001984125313864382,0.001118505874878828,0.00024511118615633265,0.00010737429514384722,0.0022614711158581713,0.00011547397274025428,0.005296561571430214,0.0005574143209590154,0.00028570023982510406,0.00039266834520601535,0.00029587738904490735,6.422907652714471e-05,1.855902122938069e-05,0.00042089749715223945,0.00021938459974779612,2.796580274022631e-07,0.0003187063547367419,0.0002955908679989072,8.874462482255652e-05,0.0001319491678777318,1.529318985671324e-06,1.5158920523283825e-05,0.0003192595123189257,0.0008042642419865409,1.4552032448378327e-05,0.00022557215279084275,7.565375276108455e-05,2.7600573466735057e-05,0.00019663923879642553,3.578806050619221e-06,8.037172180208607e-05,0.00018521411800254128,7.778220662335578e-05,2.017536238962947e-06,9.971038882561345e-06,2.498779561044273e-07,6.175752373493992e-06,0.00024699112461412653,2.1013389001733884e-05,1.810336479923791e-05,1.7732093406941374e-06,0.00010525402366035053,2.1514903254526985e-05,2.1934529743639075e-06,5.007362671172189e-07,3.5310253134746006e-06,5.4527049378583214e-05,2.671792498798453e-06,4.5251661131562315e-06,1.8367338467939476e-06,4.883428667890044e-05,8.86244447579898e-05,2.2127921727399524e-05,3.0315773206446295e-05,3.958003877535532e-06,8.990131322494932e-06,3.9227402579111725e-05,3.0546292686395304e-06,7.196256224761832e-05,1.887089104779527e-05,2.373435838975979e-07,8.991222949727984e-06,6.523888096410246e-08,3.8567863613891973e-07,2.374477078959103e-06,2.5333595362830863e-05,5.0806295641692145e-05,0.00030494291774307847,0.005284355436200983,7.569281991104404e-05,3.411349434045974e-07,0.014009621225985036,0.0003680313678948721,0.0002539166328525688,0.011103644871969909,1.832035496907025e-05,0.00011085661300591632,0.00029611585857991507,2.1641345077094698e-05,0.005462301809572523,0.012195280500541639,3.406653450443997e-07,4.1543223634032955e-05,0.0005632184794781558,0.006780483771887447,0.002166675758522363,2.254325964212711e-05,0.0009147487280669608,0.0048607084605856166,0.000604013009844806,0.00011566226586756656,0.000153829004197803,0.0004486380967514414,0.0004175207992436203,1.8406422969352576e-05,2.5913478554073777e-06,0.00021363177659106114,0.0015444762288292502,0.004585054916878661,0.0013993005308732265,8.457237000492057e-06,0.00037667444734701405,0.003531088464187704,8.569567406713219e-05,0.00040391504454451166,1.1345366536019696e-05,0.00034038830340565873,0.0004359529114645877,0.0002647689902399719,0.00021451027327801242,1.0835144919063566e-06,2.270985499430722e-06,7.085522925986965e-05,5.197723397021292e-06,2.6419947278810696e-06,0.00021809377555292997,1.3200933054235975e-05,2.1088315891315546e-05,4.374083120239902e-05,1.2367030488569242e-05,2.996481052508493e-05,0.00014929044720268791,7.745130893033192e-05,0.00045035406886562157,0.00010183307443423217,0.0003683238138258993,7.872168610045804e-05,2.0800173716750692e-07,2.2401892816326097e-05,1.218645310130384e-05,1.3253182684191955e-05,8.222485332609608e-07,4.519371814559747e-07,2.100734648458058e-07,8.866921268335659e-07,1.988765123517311e-05,2.4127475741764215e-06,4.139149144766208e-06,1.67761020892776e-05,8.269709352859422e-07,2.21770199957394e-05,3.15724709487597e-07,9.463171903423273e-06,1.2912835881007112e-05,2.1294451067799258e-05,3.545331339616098e-08,1.9815888787633185e-06,2.1722423886316733e-06,3.608986450132079e-06,3.528179906009399e-06,5.359257300163733e-06,1.5974489930847824e-06,1.7460183618922542e-06,8.483959708094346e-07,1.5322011093221732e-06,2.670725195885737e-06,5.308231463718727e-06,3.512121486970443e-07,1.1023577386470862e-06,2.5266915226751507e-09,2.3918611979922844e-08,6.951549036404714e-06,2.842145499837301e-06,6.235228351414435e-07,5.074203413002465e-08,3.963650961669174e-06,6.892319244222733e-07,1.6680923309309037e-10,1.0552109652728348e-07,1.4317319108059223e-08,3.7148931042452205e-08,5.309931794261757e-07,8.602007994795713e-13,3.3139975719187476e-07,7.4741897169161575e-06,8.218119531733237e-05,4.537912959623469e-06,6.394641403062451e-07,1.1776346298120188e-07,1.019192535789415e-05,7.939809090196093e-07,4.2062106242468644e-08,2.4712217310263185e-06,3.1546993066733364e-06,1.3599655859231063e-06,5.435879415482958e-07,3.579145402277106e-08,3.24310304589126e-06,0.00011483196753125924,6.747277373753136e-05,8.973215249952204e-05,5.7078029756851834e-05,2.6824278798187606e-08,5.590217768736139e-05,8.256394822447888e-05,0.00010134679303019922,2.010747029768112e-06,2.790556866916205e-05,2.4639882645338673e-07,3.358446112833313e-05,5.231141966266506e-07,1.723774147865953e-07,7.5116771287575546e-06,4.7021677338943135e-05,1.3686023922154789e-05,7.872690100718671e-05,2.3053833753117203e-06,3.088955041219421e-05,1.7736963413561568e-06,1.024318967290938e-05,5.717023923157427e-07,4.444686824811583e-06,9.800469433773884e-07,7.684941793373312e-06,2.1748619367656374e-06,1.1396658483597832e-07,3.7776870391859063e-06,3.410429868333509e-05,3.1740362871346406e-07,2.0270180467463206e-07,1.1949135272359968e-06,8.974191892718864e-06,1.5703498190688947e-06,5.025119440560388e-07,2.656026228509134e-06,2.52344026030471e-06,1.4647038625970055e-05,7.199655516432202e-06,8.288513742016335e-07,4.647314429284677e-06,2.154195156034433e-06
