 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,O32,O33,C34,O35,O36,H37
N1,0.0,1.9031126815131212,1.951753349871069,2.993059605279124,0.08628160151681574,0.1983994738947394,0.0265205056488671,0.00396548511419581,0.03215500709138669,0.0018505544374124439,0.0005964352867184886,0.005507193098939059,9.330646579008839e-05,0.00021548841684970732,0.00137711833507434,2.977044956442576e-05,0.00024401477754754097,0.00010260563313564675,2.8105918114529338e-05,8.799390621483383e-06,5.4023436704131456e-06,0.22623899100077846,0.05297370873651053,0.03434235515233784,0.0021785107330493103,0.0067369790204076935,0.0003031962278917666,0.0011972697511639652,0.00026790052180913904,4.40213038325199e-05,7.414157203683436e-05,0.0002490238281030663,2.7113044813537046e-05,0.000969607637598166,0.00017261641056035004,8.978458863240224e-05,6.510913485135994e-06
H2,0.0,0.0,0.027008604553484084,0.10837837862285105,0.007577222606794498,0.03256620915831432,0.0015675986620593552,0.00028048923100332246,0.004237177656671753,8.504811060650042e-05,3.428290544693624e-05,0.0010782693618965888,8.163391805426912e-06,5.303926187716357e-05,0.00033238867576224074,7.778612889142167e-06,6.845328341031909e-05,1.2942794156201032e-05,2.1063286714806395e-07,1.2002903322372305e-06,6.290622107663069e-07,0.0076431406049140005,0.0028761277318085643,0.0004840806457003799,2.9163637917051233e-05,0.00016276589060904012,1.6462370431291617e-06,1.2542259098968778e-05,3.9207024320475625e-06,1.048245090728983e-06,1.6145061388916915e-06,2.797087539585519e-06,7.842461473561713e-07,4.051297085405636e-05,3.806983001086728e-05,6.648885560900375e-06,1.4743513323534074e-06
H3,0.0,0.0,0.0,0.10400941351132587,0.036138767384149784,0.007296146354100919,0.00035123903414069346,0.002942138701179875,0.0012195138591792887,0.00018764196289500212,0.0001864333212557856,0.00019535006316118153,5.411582049585917e-06,1.1150061194786787e-05,1.8116353530106544e-05,2.164215940014813e-06,6.822926261307316e-06,1.4313311660352213e-06,2.7221609490979404e-06,1.254475110457065e-07,1.2596400011943842e-06,0.021475005457460394,0.05776736503826363,0.0037586470129087335,0.0005717615955522781,0.000457879126780969,1.873207495894924e-05,8.95740000812495e-05,9.05217835822647e-06,6.066450834119053e-06,1.3684632112487272e-05,2.893195219300093e-05,5.4871498266217955e-06,0.0001328988216654503,5.362553145205062e-05,1.8892959799954312e-05,6.051911409787891e-07
C4,0.0,0.0,0.0,0.0,1.9955190527353253,2.710705357162946,0.08957966024130615,0.08253454068654253,0.1675961873884319,0.01882846683610495,0.0034445885034251056,0.027549084729811713,0.0007329316171988953,0.0009761220768980117,0.004261707020816713,0.00011086909142354884,0.0007548124284573188,0.0003027933110421044,7.813818882962398e-05,7.727973808957511e-05,3.715747314791962e-05,2.5747902151514035,0.2770339233288699,0.2210208391301008,0.01168733657922072,0.035947554398268605,0.0017702595742334903,0.003915891270703242,0.0013820736838343617,0.0001850510586121068,0.0003229804640950684,0.0010460950714743789,0.00011660504081016654,0.005869495138399072,0.00170822466139825,0.0009296843238558866,7.46891800759153e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07668960885490805,0.002465783363595264,0.03315798653394508,0.013481676343283455,0.0013204271756810382,0.0016352364855898305,0.001478063256523221,8.545692019201745e-05,0.0003825718790053667,0.00013788492910982164,2.204071447597933e-05,4.575706525988821e-05,8.925261776759896e-06,1.5587367794278606e-06,1.998217112442191e-06,1.4645749317754309e-06,0.0934651124271999,0.022693948805582287,0.009730510830222139,0.005309946445222646,0.0014459429540858437,5.2686011158487034e-05,8.020712743195269e-05,6.729664163485083e-06,9.46075357344256e-06,3.298714060750996e-05,9.556310707925508e-05,2.6799937137944596e-05,0.0004197995143917499,2.5355866668297367e-05,7.983755687113181e-05,2.4731162812985374e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9083694791185128,2.0226319283846657,2.5661261666491844,0.08461510466322619,0.08138250876232589,0.16608153049407204,0.003672065989270168,0.014879932132821017,0.03268997258330891,0.0008504830829869636,0.0031576566065956158,0.0027248013638491025,0.0009762844668168569,0.0002572525949889881,0.0002498918941630235,0.19492291020132968,0.041028809169521424,0.028115214791341228,0.0011129595222012512,0.003036222485231499,0.0004759248567827168,0.0003920780596646939,5.747400034183947e-05,4.329699294092215e-05,0.0005044219025964747,0.0019790954003870986,0.00023937943974385034,0.0014451196717650827,0.0012112542071134047,0.000299874528694441,3.682145741457088e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02498399364486792,0.08523555206054034,0.024224963734443827,0.010664935038434908,0.002856246533686324,0.0006906191362310299,0.00018347200189716695,0.000672203462738663,8.942909546227895e-06,0.00011790535924349754,0.0006291588171321028,0.00035750185653538047,0.00013733787787639784,7.914708156042671e-05,0.029553792344687357,0.005654422805437265,0.004218641785690869,0.00016868095396627147,0.0007294318918700249,2.9589837678312136e-05,5.87161992660068e-05,2.1323223635683064e-05,1.3316614908776003e-05,0.00012810193608281395,0.00047850989615783046,8.525803327075199e-05,0.0003407553704504185,7.188097448651565e-05,9.16796478961368e-05,5.688041848639358e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768356082732391,0.0013330554331745237,0.026461704627959826,0.020017612968884713,0.00016984373714801215,0.009653278233669127,0.0017610155341634126,0.00047132495155444154,4.1623024153558674e-05,9.120266026041435e-05,5.217910394539338e-05,4.534569074010619e-06,3.5863938891100844e-05,0.018849906930739735,0.010141991659184058,0.002271174919621588,0.0001891824872541914,0.00015674249559594067,1.11499215591504e-05,3.373990686750261e-05,7.118777477277405e-06,1.896659689304414e-06,1.2587601334157483e-05,2.9618351186200265e-05,2.432945240604667e-06,0.00023180535806632818,0.0009095778351986272,7.262708006117169e-05,1.110378252455746e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7762971890982249,2.1692960942359836,2.616205504766232,0.0818525576052318,0.07882499850820701,0.16507203247816712,0.008973022871896275,0.027650099157431107,0.019658921950062302,0.007126549813532779,0.002448745875410885,0.0013303363317204164,0.014389704265389353,0.0032478668572674674,0.0195537651802217,0.010787264961855225,0.0018794972853705683,0.0009502834205171728,0.0003630413897424689,1.6033998671005634e-05,1.3008362663713413e-05,0.004133803495146499,0.019620424091513752,0.002450024792909858,0.0010969028029912953,0.004430105578826102,0.0004368486804410404,5.0576916048705733e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026390119908254128,0.09057536881655004,0.030562529005331518,0.0028016141326785426,0.012355747993092692,0.0002573294706260665,0.0013175115017640682,0.009630597777528171,0.01321134369094179,0.00045787893928639356,0.0009294120799017147,0.005991359559817555,0.0013938901631429523,0.029504109728819783,0.023029531862080788,0.0019458127674145675,0.0014029113777878077,0.00027953800014812735,3.0421717156503547e-06,2.8278900613409874e-05,0.004637681152272588,0.04123207553145536,0.0031121884438950476,0.001205821916675287,0.004416743180834182,0.0004056871721018762,3.7355176308873084e-05
