 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,C24,H25,H26,C27,H28,H29,N30,H31,H32,H33,C34,O35,O36,H37
N1,0.0,2.018901620177819,1.9709776379509232,3.0911763305173525,0.08512685305860179,0.20944962420191143,0.029857318324351345,0.0033579434081408843,0.031010822700046514,0.0063841983822264525,0.0048554934298872116,0.22203379094522255,0.05606723449914157,0.034164936519981814,0.00255165823584258,0.007174122704827132,0.0003461458110934901,0.0015798157888902153,0.00033312087626735654,5.668957172388911e-05,8.002711848313637e-05,1.93255189915309e-05,1.6074964116485901e-06,2.991845475344701e-05,8.384929895521864e-06,1.943622793820765e-07,5.70148162716555e-06,6.545505630839443e-07,1.227810444426325e-07,4.7506042086253863e-07,0.001638289006040461,3.470109377623487e-08,3.369163081856641e-08,0.0004324645263088789,0.00013977419964170124,6.654218624552177e-05,1.2772393104043545e-05
H2,0.0,0.0,0.027337942853176145,0.11103267814047146,0.009184769817827787,0.031397237245466725,0.0015895855874510367,0.0002752095359241924,0.00441287823233838,0.0013939967622997873,0.00027067628715016223,0.006155718758847906,0.0032492821834949615,0.0004801730738104304,4.488643983036056e-05,0.00017098989760655492,3.874034185225028e-06,1.3598220068522515e-05,2.7439051124567015e-06,9.587623159834635e-07,1.8718257116523418e-06,7.242889286107612e-07,1.0009826323376103e-07,7.780500569376514e-07,3.467871279028145e-08,5.529973590157056e-09,1.571304457659295e-07,4.22980968028952e-08,5.338747000038779e-09,1.8061088624676813e-08,0.00036410297722366813,2.8589508538345854e-10,1.1989300663373115e-09,3.0191650654209923e-05,1.973064301086236e-05,8.309314736609785e-06,1.6383736773928348e-06
H3,0.0,0.0,0.0,0.1079798929203909,0.034325011373990355,0.006099802001696686,0.00033722910694988784,0.0018917833930049976,0.0009235478999550795,0.00018801687345770812,0.0006711535949338598,0.02556632392019753,0.0669984494458119,0.004308140216968237,0.0003772822324987768,0.0005652533027381557,6.174508461453954e-05,9.887378477435593e-05,1.2918765631253493e-05,1.7194738344272764e-06,3.705459577041381e-05,1.4379703955347267e-05,2.3855738406908245e-07,8.742757056423578e-06,3.235723065042606e-07,1.5059478597478915e-07,1.5690706950399758e-06,4.273813765109935e-07,1.8037969118367414e-07,7.945172642020992e-08,2.4908206510909636e-05,1.3474747984076885e-09,4.697302102840695e-09,2.643386695877492e-05,5.465252779224272e-06,1.805758529815904e-06,5.034809131831963e-07
C4,0.0,0.0,0.0,0.0,1.9003040288888928,2.6974769411734933,0.08749406806475912,0.0785410550775445,0.17072575411827356,0.02764423628557096,0.033372412407047705,2.6103722349506913,0.28552145538468,0.22111703696085538,0.015421932152619777,0.03532995464682154,0.003809676540635687,0.004560895577152335,0.0014270435306680262,0.00017491388500689986,0.00034339019999224396,0.00014211759576787664,7.149433826958429e-06,5.444119864278507e-05,1.922953698985097e-05,1.2729170280056934e-06,1.1523189127227162e-05,5.601138362010261e-07,7.876500862646907e-07,1.2192126210841536e-06,0.004540691569400068,9.930735123120371e-08,8.561580389088164e-08,0.0029899809865047977,0.0012980618389970278,0.0006515234685092047,0.00012337901947667707
H5,0.0,0.0,0.0,0.0,0.0,0.08422499885045054,0.0023172447064585544,0.032224539904573524,0.0152643906994534,0.0020860730457937793,0.016251166410415685,0.09301488640448663,0.025297943012647206,0.010055539665863034,0.0045639172487674795,0.001605138777690751,6.87145069044881e-05,4.617963452346885e-05,3.0695640766964516e-06,1.228758952787068e-05,2.008443903456225e-05,1.4553023918395525e-05,1.1960230792418258e-06,2.014627725532847e-06,4.832953344191537e-07,1.8662791090306996e-08,4.684504049112803e-07,1.1539184141540204e-07,4.163764955045224e-08,5.8904065847187326e-08,5.458405474301209e-05,3.4767257961476616e-09,3.351820820896023e-09,0.0004303961119465072,4.90828213967065e-05,8.274147347719918e-05,2.349201623652597e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.923346171264356,2.0023287418396385,2.899569521051209,0.23210911703339104,0.2729200992976497,0.18666232419811551,0.03917054060094659,0.027413592626644834,0.0012979758518416595,0.002824624211301474,0.0003953523317570262,0.0003893959480436582,4.223658376489858e-05,3.058397357458276e-05,8.60243114856607e-05,0.00022303401679013568,1.391449613974416e-06,1.4748610228099146e-05,2.6577390404014523e-06,6.521084150445944e-07,1.760009064349921e-06,2.1249081605390074e-07,3.2128397808861564e-07,2.202422663827308e-07,0.05455865464804921,2.9598718254142398e-08,1.3526854747425432e-08,0.0022200207113580173,0.005138832587352052,0.0006739592450749066,0.00010286312411356135
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028024607088478426,0.13053745116425453,0.01246950055950169,0.03527268543931683,0.026929599679619498,0.004302399228434228,0.005057591939622519,0.00035173364616913894,0.0006670500542323987,9.860329252275868e-05,5.790787897430594e-05,1.594633529888867e-06,8.331421498697367e-06,2.2557533906120142e-05,9.016130393835198e-06,5.113299117454062e-08,5.748854747356091e-06,8.994409823603888e-07,3.649818749451583e-07,3.1905514175090133e-07,6.664943241752042e-08,1.5397223696034246e-07,3.720422936392964e-08,0.0005821535302044101,5.4713005237516654e-09,2.601114879041688e-10,0.0005735485194220402,0.0008514069806112579,0.00021441379701270247,3.9735846264932206e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11973124525768086,0.011984577925537643,0.033023380408374825,0.016184136789320513,0.005103331114001408,0.0012744196836306232,4.529145938447776e-05,0.00014797979995018196,1.7608709115268795e-05,3.698110959327039e-05,1.6926267976113962e-06,2.12833305313076e-06,3.7978432534169215e-05,4.0339434654645956e-05,4.0218164421013114e-07,6.319820937461529e-06,1.7917112127285861e-06,2.063135360330648e-07,4.6953000010230284e-07,7.428211734605839e-08,1.5773644501670958e-07,6.45545384925228e-08,0.0005797633944546465,1.0995368171506925e-08,6.962726173398437e-09,0.0008619252411332656,0.004929911051532954,0.00035024893619139963,1.2199954537939206e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5543505916109663,4.6580268418098685,0.010460316142941767,0.004573160569499191,0.016521154586464054,0.0268413650645688,0.001706594608592349,0.00047420896200445206,0.0002593534512922713,6.137303014130957e-05,8.31359756769956e-06,0.0008410149055496363,0.0010729009577041815,1.0974086605886058e-05,0.000119864862710789,4.023150056209346e-05,2.9248200608122943e-06,7.103579493433765e-06,1.2029780260824907e-06,3.0602255276512835e-06,1.1316012921425145e-06,0.17737502883979506,1.604070241079114e-07,7.332072027299574e-08,0.002859677474910144,0.01543354710451672,0.001100786371583784,7.835988398074978e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5036993558175211,0.0023132514213765887,0.0008025632200296257,0.0034284504193144716,0.006177684562216568,0.000349315336527406,8.786466422461281e-05,4.5933679317849974e-05,1.3007688273836138e-05,5.670353193654165e-07,0.00020964837383136148,0.0002468676293314598,1.312128559582959e-06,2.83195628491828e-05,8.887219006936675e-06,5.874220230239757e-07,1.7805938995613113e-06,1.671387375168365e-07,7.863811763986206e-07,2.051627381038923e-07,1.8308871743902533,3.410883864241043e-08,1.6355336196482995e-08,0.00020088573271245802,0.000817003616926909,6.544151314952229e-05,3.1799095224771534e-06
