,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22H,23H,24C,25H,26H,27C,28H,29H,30N,31H,32H,33H,34C,35O,36O,37H
1N,0.0,1.0200023569310785,1.0225398387450166,1.462250996786412,2.090078331962628,2.445428818048238,2.5094914236336314,2.856068605833039,3.791641796445438,4.789946829730903,4.290895783375446,2.4949998092365324,2.781205386371824,3.698655483208133,3.9371951489352446,4.92740302024093,4.975229684246215,6.1506409007817044,6.998601604557729,6.104271857274405,6.725368638087647,6.13339781365374,7.060154137653669,8.057177726191238,8.708665621635648,8.00362032910145,8.943614619755232,9.827638177550195,8.506772006423473,9.433985264491136,5.593415737358969,10.08139508470594,10.059673345848632,5.434082282593731,5.173690714824122,6.619180001336165,7.0479279400238894
2H,0.0,0.0,1.6126332508459902,2.031073324382727,2.292807716118142,3.321953169928683,3.4217096593494642,3.803038260669027,4.525110511470982,5.63318801113534,4.8125030055767475,2.786020427506174,3.0066046204377836,3.8909439774460792,4.201878136757925,5.109510514684918,5.039413494790229,6.216744111385697,7.059249882670888,5.9946465043578,6.9064519241361175,6.3364962292890725,7.378246752220105,8.137020916654325,8.770709555676241,7.954753921523866,9.111082715884804,9.9226464597006,8.699880230843108,9.733127535872171,6.370464727973012,10.35301283757269,10.398080322560784,5.861013425994255,5.7847958774246315,6.997895799478483,7.534736256916485
3H,0.0,0.0,0.0,2.011729165609118,2.8982787423010987,2.790673364120168,2.9725327941847595,2.8033300387420947,4.231714191852441,5.12490769437467,4.840562997040228,2.509946144028001,2.340308651161164,3.85931460843025,4.294269520063792,4.873335908995924,4.765008102707749,6.239099831176402,6.971418145760809,6.2792059461305065,6.9545505035603385,6.496422740482285,7.204398542158797,8.347183730072938,8.897754530349166,8.369807900086006,9.307855372117926,10.225324467796963,8.965102666691749,9.698629986265566,5.979377489360752,10.278200344137552,10.370567502778423,5.235020158573435,4.999641705344114,6.3077201254772985,6.688587858459861
4C,0.0,0.0,0.0,0.0,1.0955710972820283,1.5449345026949173,2.151911452430295,2.194296908267792,2.574873482277809,3.755293500738951,2.914534058158761,1.5466229125672775,2.4186070813230365,2.468240696593872,2.5308870044238945,3.8035588310693065,4.1105373104174765,4.943314323807344,5.859498776975957,4.995546513769794,5.35146333320147,4.716431009963819,5.664330026823776,6.70291186086015,7.3980181140006245,6.71773727353945,7.52387011896462,8.433609443840483,7.07919863722914,7.988455725325947,4.443143964207233,8.6594869076911,8.600172526855939,4.304368351661534,4.020910072059079,5.58411329946644,6.029987036715864
5H,0.0,0.0,0.0,0.0,0.0,2.1527453779551995,2.5854282147873784,3.0640109954804116,2.6772074397784817,3.960934842982807,2.6272546304915187,2.1749667898544187,3.224277641877752,2.6170373596594616,2.3918265902698224,4.064413619641015,4.482415956192535,4.914964356886798,5.927926350146576,4.806091574478228,5.172811837880638,4.397019315037784,5.6363253126601585,6.378462410337524,7.173420026878836,6.25981808889306,7.133884888130566,7.969418329649989,6.597115342938737,7.760522806510388,4.4864283952354045,8.485711176145466,8.331508404674972,4.787338730133543,4.587037756722204,6.089570053112043,6.609511379995411
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0968984682514074,1.0968875341838666,1.5113412544758367,2.366912865643767,2.4411910495425078,2.5256513129520006,3.30624199781195,3.1811838025983463,2.9641080656360983,4.334663362926326,4.851167463714705,5.486304531328691,6.374368019399994,5.793056017273549,5.581250708047948,4.896379366087767,5.630120140321286,7.002328234019445,7.735114236943524,7.210769320956654,7.583451348431948,8.576729540857556,7.063766195000554,7.8184981345521285,3.1993737076299036,8.552524825339288,8.309775327314227,4.330042265007651,3.6316176152312427,5.635379624179429,5.849783045409817
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7568623253862559,2.12307382716831,2.622022270523991,3.101335940545574,3.4441951060287797,4.1294216075151695,4.200178760743363,3.9373080391195194,5.4114726005716935,5.887848830274819,6.5399013522273926,7.451729259875777,6.785671918921648,6.585541090444209,5.826167162679979,6.647331463890651,7.962879337698191,8.744591286320054,8.124696919524798,8.464719439355687,9.43672403339705,7.858954213753339,8.720254125879464,3.5043107744567417,9.500151035285096,9.143036103645851,5.415507947651425,4.664634041819219,6.708293067524427,6.880476019861815
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127441138846298,2.581879963795985,3.1540266434624504,2.6697773068906443,3.1082858592896634,3.429323954063478,3.42587085458199,4.304198912979719,4.72749367362888,5.613946602441498,6.369381851169626,6.0648758168437436,5.809714069707729,5.29121743309606,5.699952770080753,7.306054396030183,7.926726731806713,7.63417794333002,7.92851248392832,8.96895249466275,7.516592987450077,7.997142206660912,3.4723962094030627,8.65737264715534,8.519107174413076,3.985989228266749,3.1694511411101005,5.185396842238555,5.271461079991033
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3465222351323787,1.2194334529887756,3.230436413803914,4.233081038369883,3.250996452352983,2.6205130441961706,4.283796995313365,5.0832524414552305,5.116397188787859,6.0446403883666635,5.522509845076126,4.803259019021781,4.003515166109414,4.764816872314595,6.137220893327654,6.959739263257601,6.4305112340513,6.4725108080935785,7.4742967431142695,5.859025295286937,6.6493642674882585,1.8729964089165323,7.4642465014634745,7.031883126874098,4.1745184100628245,3.3855277261486942,5.488098058029067,5.657730260011706
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2434616683806508,4.392571812623088,5.250934345212747,4.432081239107849,3.823528937238834,5.26170769914516,6.089117781954531,6.073434642555817,6.912686946413746,6.618428381478453,5.586351201495913,4.847332400062893,5.318155949356905,6.884019301451868,7.682238140130409,7.316042448580604,6.999898907186024,8.028069548724613,6.361556872685585,6.939532997495942,0.9765123326233882,7.772171030688965,7.180564780824846,4.808871051809096,3.7875706744319175,6.0085413445744456,5.965538006801693
