,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21N,22C,23H,24C,25H,26N,27H,28C,29O,30O,31H
1N,0.0,1.019416073581992,1.0203329494387765,1.4553250855329467,2.0777574950758915,2.4626943364576195,3.407801895939096,2.6779731792919965,3.22179476032663,3.487772773241341,2.5138361543876186,2.890362324653674,3.6550532478475164,3.9018256213394062,4.930806709627131,5.169073448016341,5.372844306345016,4.758876004905939,5.510588628483357,6.765166850136466,7.214676601549197,7.935122442743498,8.264362128070557,8.505279221820864,9.277537175896601,8.938224030194434,9.914917862267904,6.036723593353591,6.124978867663352,7.192201681235635,7.87283290023991
2H,0.0,0.0,1.6273488205286224,2.035247029595525,2.3927218499300262,3.352382884824609,4.186429038294024,3.6161148828781893,4.146777898239525,4.2057830632828015,2.687066608406984,2.977939394756345,3.7143981344616046,3.993075801854092,4.883258982305166,5.227348505482146,5.0282969268166395,4.330556281679163,5.0654137932909125,6.415986741664509,6.963390054861774,7.508835455044222,7.7743589359771565,8.21286356557061,9.026290164138015,8.552194164203295,9.501061421253647,6.056713619242211,6.1701319510199255,7.222648128388552,7.924012208393892
3H,0.0,0.0,0.0,2.0185070247962558,2.9187493847973207,2.675553314224069,3.674198373768431,3.0240289447319135,2.78938126721033,2.9621285884709128,2.6961719994393394,2.651145714163023,4.010673585108486,4.4537084617659355,5.135762211457683,5.165236402868527,5.583193123290619,4.865154490817992,5.897904387584012,6.866382507246316,7.127239065117272,8.11176635775798,8.556342111238202,8.42329067714633,9.105466297388928,8.996002570327313,9.987037303538465,6.361614344431909,6.6143094229672545,7.404664182389332,8.156060387314216
4C,0.0,0.0,0.0,0.0,1.100438410898499,1.5449341143013327,2.1804212994692516,2.1542772005432043,2.8759323695314145,2.967233152951679,1.5449788227302093,2.429659285820978,2.45944616985926,2.605913467782083,3.8432688950792744,4.139112515666285,4.600407644207466,4.240589642855253,4.758494530139358,6.01246013770221,6.498854472622992,7.184555529694389,7.519162653230834,7.791788666826249,8.589602485334531,8.201721194575915,9.182299052691976,4.774155807949774,4.802320832908441,5.950065233716474,6.57032056622371
5H,0.0,0.0,0.0,0.0,0.0,2.1292363784200945,2.458723299010472,2.417310674017593,3.7950449824632293,3.972825338925044,2.1627022828177016,3.2627769838239464,2.533944239715381,2.265247406064239,3.9814677496718147,4.525682675395883,4.688173414796164,4.492347851570016,4.601954528250154,6.160888277829683,6.847032349911791,7.200717411264318,7.384391750057835,8.09305775572729,8.971031603616014,8.332846063630692,9.276202139522523,4.664169079233343,4.432603932067527,5.94653433988923,6.447914137900624
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.094461973151355,1.0936724228542667,1.8440014258244666,2.414944742240945,2.53045654001093,3.240318886585481,3.272764056776388,3.321289966234222,4.552896733796664,4.631275704578588,5.643056225079917,5.401559204933167,5.919630156575486,6.949947286929805,7.265196946516591,8.168533625132392,8.577902476753113,8.556077624861954,9.262790720686516,9.086919272687718,10.075691533684974,5.255889384091372,5.238191231621253,6.313872582100354,6.858684538557449
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.774998903741717,2.438589910344328,2.7488200169158006,2.7471966921175714,3.5902475835261938,3.0467743248430907,2.9406694978825367,4.212273764035768,4.306087297194802,5.502032563450213,5.469783000930675,5.774481657616755,6.73982827917413,7.064749940417311,7.908453261933294,8.306194122753876,8.310196762897274,9.015551812487496,8.808355221885735,9.77478690195199,4.635562885929482,4.534071795520531,5.642212103764537,6.089972183779205
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3633442985944244,3.3065139683918385,3.4678217208845235,4.20830399834587,4.172044116042977,4.0463234983808976,5.525887303727741,5.68789612099933,6.5649862821678555,6.312655168173809,6.729383894919495,7.925554861765416,8.310349376880986,9.105941595086204,9.44579017054286,9.600881593255078,10.331055094517094,10.080832705110858,11.06235474575616,6.140616529261619,5.966017714101418,7.251175897213129,7.728723143739139
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3506033825278663,3.3659900987469302,3.426670186877679,4.3681837764565135,4.738805908441648,5.353036929334884,5.05527868216957,6.419266492501021,6.02042403939151,6.947704050098698,7.537109575843446,7.526317140544511,8.864488999251726,9.452347326569246,8.809065532654072,9.342918464289426,9.578258987997405,10.58357374044997,6.2376896988517645,6.4996599953369305,7.06300037110643,7.71499749364949
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7790870063782984,2.518173859926648,3.739618275009527,4.345662646009548,4.4429167357212265,3.9603768084172066,5.47539162457991,5.074196002145011,6.155355763166402,6.448713854189968,6.3011054353308396,7.803153728173728,8.481014098329545,7.56457617912249,8.047511989978306,8.411478568296118,9.413312244416678,5.4453348872580705,5.931228135739785,6.131993969488534,6.872196120628324
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2296407026637837,1.3621473329952554,2.0769538076757192,2.47574124070011,2.676501971837287,3.2259897673349194,2.8734212869324147,3.617898085292115,4.557260293456364,4.962018745423681,5.796764524109832,6.249555947337994,6.260723476571952,7.0455245662546355,6.732265094658865,7.725964155545731,3.670072902884308,4.031339054335339,4.72836137563927,5.4731240731335244
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2756614082886775,3.1822714162776635,2.8256194373951957,2.635576805168688,3.3054921857086903,2.6723706752022904,3.957572466353204,4.409089445144813,4.529937743672661,5.737513611477136,6.346191669869675,5.838281406745847,6.511586393570173,6.495664795499682,7.501692645799826,4.241506872814671,4.868641119567391,5.066185629757669,5.92965707675613
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0131452295826373,1.4544908853723306,2.094447281396862,2.4916842172428924,2.6273290509388714,2.750905130419006,3.8350416236840905,4.452686665382809,4.952425430653032,5.315526953891337,5.6743444150079885,6.544030014874933,5.97276176812136,6.932515653230314,2.3851077556918074,2.6869679702038844,3.566276879966048,4.233158352395856
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102915630311288,2.904652813850515,3.0923178622125747,3.3975899038825803,3.0322336237835557,4.432862421128209,5.206037360026218,5.381403196634009,5.576580984023051,6.352718417267,7.265212997636865,6.495099765946534,7.405206166806846,2.4239572490248693,2.230791606885313,3.7403935048353842,4.20372637286188
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935473422716284,1.5601504575655207,2.12647280844145,2.1789957791791563,2.569249560406094,3.1376866402113075,3.7092173951372773,4.218387689496055,4.301162083492475,5.175954030069071,4.618091213827538,5.578262971671256,1.5206472104621938,2.4205953978454726,2.390470094747673,3.218205367984417
