 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,N21,C22,H23,C24,H25,N26,H27,C28,O29,O30,H31
N1,0.0,1.7834339994842299,1.6245295830521518,2.856216179373881,0.09497019086393532,0.18445641587977388,0.026267150824663354,0.01229119878825602,0.04404097290125355,0.000859680801535756,0.22884403001634582,0.04162228759529424,0.03750968931465948,0.002440395699110809,0.00679218468156105,0.00040203863625376535,0.0008790749247724328,7.680350058192342e-05,1.431917572181085e-05,0.00025538920922166253,3.531124334034408e-05,9.762495516722758e-05,4.6025689570683426e-07,1.3206857233466485e-05,2.9011583679849906e-07,2.635255403929393e-05,2.044918225085901e-06,0.0010690441204084244,0.00011921632654954273,0.0002870204978265012,6.312008517872503e-05
H2,0.0,0.0,0.027988037308749547,0.10795143521614181,0.004890957756618297,0.035472462330116694,0.002107098194746193,0.0006451637699875779,0.002459340675374344,5.258509909111808e-05,0.010432573114282362,0.004709595754268769,0.0007448478884696241,4.25278221711789e-05,0.00021127500702444735,9.026723221339239e-06,1.566496196669931e-05,1.1148410862471536e-05,1.4375978543146317e-06,3.954329774402687e-06,6.81743176245142e-07,2.2415636199424327e-06,1.7034935906323767e-08,6.823360013674673e-07,1.2017396189278884e-08,6.53733148503477e-07,2.4949289523235052e-08,2.8234560624174065e-05,5.189321310328232e-06,8.455071222934762e-06,2.4851944895321054e-06
H3,0.0,0.0,0.0,0.11048281441743135,0.03654096358269365,0.011900835976727309,0.0007683631781769673,0.00026887743010450826,0.050590889505252146,0.00013921397998717389,0.010147801380404275,0.021962650621057955,0.0019759339809708454,0.0009138104452026674,0.00030767784365770545,2.7101605293067266e-05,2.308370813108862e-05,1.1482013574148908e-05,2.0514135594673633e-06,2.1633928134479063e-06,1.2862733109741953e-06,1.5816075519259343e-06,4.138509757112274e-09,4.174576513360506e-07,6.538369845543457e-09,4.1614647072751865e-07,2.101110707641851e-08,3.8068654071299335e-05,2.2290692725523975e-05,4.677328574897999e-06,1.4634250549150352e-06
C4,0.0,0.0,0.0,0.0,1.6594536579428634,2.5675511922951597,0.08830610721313659,0.08915762595294408,0.17786263096054278,0.006941930228226978,2.7179037654106137,0.2782184414416047,0.23652155661517868,0.017040947493781378,0.03606447527127771,0.002922317598186286,0.0036495014114982793,0.0010772023860752267,8.395610035338841e-05,0.000861066536422983,0.00011154260608031707,0.00023199016340641476,1.5820049341641607e-06,3.304901183034947e-05,7.443238134730024e-07,7.059935020752028e-05,5.4198403171001885e-06,0.004506508559746575,0.0005001586652419315,0.0012197103461641379,0.00024107195783729107
H5,0.0,0.0,0.0,0.0,0.0,0.09030834348920558,0.0040711293823942896,0.0061331086192333295,0.04159181845977156,0.00020120694149472484,0.09457043137359444,0.023786070188204445,0.013104378696817465,0.010623091539261553,0.0017483405087166393,0.00036680064278793445,0.00016741836652367503,9.546143231853321e-05,1.706998993422637e-05,1.959077401325615e-05,8.49076696463058e-06,6.861633807808687e-06,8.976794418913414e-08,2.018433303163647e-06,2.1075770684220174e-08,2.8312719458911673e-06,3.218873800836519e-07,8.574355550017287e-05,0.00013437294211515738,2.943238512875812e-05,1.1095973420083283e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.838099412148447,2.139488650720665,2.563717124071897,0.05135916547355013,0.18210630070410863,0.0363638424271418,0.030721671608414408,0.0010805785159442305,0.003240858523236745,0.00031862611940269847,0.0012084998331487462,0.00022347307419656737,2.855888317232491e-05,0.00013394398998300971,2.5560245914268975e-05,4.4097171409240854e-05,3.745200973792606e-07,1.0139798001462808e-05,1.0076817313908748e-07,1.087881641502475e-05,8.83068535295628e-07,0.0005288057329148332,5.644568631386904e-05,0.0001746780758786759,5.7006975331952425e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02587997862282032,0.09254557869311197,0.0023991336710698086,0.008602467090663701,0.0016048577283408472,0.005582752164912774,0.0005759772183420164,0.0003265989420089266,2.3523115892265523e-05,0.00028554088057108906,1.1904603372192568e-05,2.059134132315066e-06,5.1326677090068884e-05,6.672649152217325e-06,1.6176239280740745e-05,4.7120856994098403e-08,2.4478865405797023e-06,7.86385196960282e-08,4.082297713203786e-06,4.7618259957360465e-07,3.255368201227071e-05,1.5435991634116242e-05,5.889304267370221e-06,2.210934441082557e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08829402231650807,0.02566043873507895,0.02889878272205837,0.004731538198657903,0.003954968680592086,0.00018082101853211796,0.0006295385490575622,3.765590650073314e-05,0.0001221822802829342,1.647967229123637e-06,1.9674138322933743e-06,7.19614336830432e-06,1.7297070775690315e-06,2.6135325366105633e-06,2.557602063468778e-08,9.17447523951509e-07,3.4459579634216198e-09,6.55818474748493e-07,5.908308375879301e-08,0.00015405944875079847,7.809558513427461e-06,4.543460518036113e-05,1.3114686213011595e-05
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079683327081086,0.027877346994601912,0.029475513610688474,0.003993261048319763,0.0006285586188660153,0.00047350244289166843,8.679883941697941e-05,0.00022744029799119658,8.19203520338041e-05,4.907105737750328e-06,2.182573791166542e-05,8.377762829032964e-06,1.934014557880559e-05,5.275107373137189e-08,4.442831956483206e-06,1.803675653277992e-08,4.1056719189414e-06,7.355946196607732e-08,4.821398309851066e-05,2.27402029842165e-05,1.6338321253701882e-05,4.428998199967893e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01256340799816047,0.02757464665578513,0.001879666892022902,7.615387471515689e-06,0.000139796496198219,9.320357622333297e-05,9.870988272497883e-05,1.9946485767752264e-05,2.2217574209282276e-06,9.81315904091673e-06,3.4149387941884157e-06,1.3732714510217292e-05,1.1791919218850921e-08,2.7834522260405947e-06,9.093550579208909e-09,3.2952639121841543e-06,1.6616112930023519e-09,1.2976529387920266e-05,4.9683955780643885e-06,3.345665456899738e-06,7.014725020848545e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.834425378915073,3.5714063073990685,0.13564157813379962,0.264003034801371,0.019917938390474177,0.03711920207068173,0.008982092989455515,0.0006673108911734449,0.0050961753564176815,0.0008073649268661165,0.001919780274178412,1.0736986738146825e-05,0.00035687301556214246,5.255939101722618e-06,0.0005141033050567456,2.8770329507099568e-05,0.029506419293755914,0.007513062099771012,0.005441852030828642,0.0012807985658075394
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5546065743348053,0.02595916620139549,0.06101793738846584,0.02409877036225716,0.022894831114505312,0.02122093601926056,0.0006038987073854196,0.0028912294620312556,0.0005508269517511544,0.0013716250659015217,5.162626072752197e-06,0.0002456296531036517,2.912316795278258e-06,0.00028313579148916274,1.108789682457978e-05,0.007917054871804219,0.004014589004622843,0.0011495469028116878,0.000325019914327207
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753247445455902,2.865232999265484,0.09650663443450724,0.18341848123537907,0.008949663399165475,0.0075565180397121345,0.02979798864477981,0.003720544274004922,0.00601264084620165,3.216388063909115e-05,0.0009881051324123202,2.503301420953008e-05,0.001929177832724699,0.0001526472181370142,0.20099216903191938,0.062186198492199835,0.02779131862221379,0.005527401666246989
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09744839485550238,0.02092545094199516,0.006876948011149686,0.00014483961373645826,0.0009550673513620822,0.0010710059004209738,0.0002662508774811112,0.0002690368205680027,4.22516108078419e-06,4.829522821370169e-05,4.703057852051273e-06,8.839892028589258e-05,1.9726409178799642e-05,0.034577051257300706,0.07779550238276511,0.005658796713754133,0.0001716160823830304
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6847466605899282,2.4231877357518465,0.0964229256747402,0.08155136244886663,0.17296536624023204,0.026597494591050347,0.04491833879014323,0.0002780887684261657,0.007141471417399764,0.00012371058762861153,0.011259114684108437,0.0005343982572301176,2.727343361299827,0.27995810637710405,0.22033486050878368,0.05497485403140723
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808781198987234,0.00605339962666851,0.03116730581760141,0.00806120836812696,0.015907934840499016,0.0012698639283397206,7.261267913438729e-05,0.0013825252559611645,3.0065648687349622e-05,0.0009630440585560729,7.138679291207595e-05,0.10669236077031696,0.02637569305163434,0.010743235128380824,0.0010303172261059146
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8933207466199207,1.7148222982057553,2.910244531151998,0.1951222942101677,0.24878922954381283,0.004272823174639839,0.048050306400320236,0.0023874434080144447,0.04460824102575625,0.002402997321406364,0.19369132271686823,0.04319529513036911,0.024150316250820272,0.0018365065812311343
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025094379639590603,0.10458152188303638,0.012766913236552657,0.04134865901806695,0.00014577169764096176,0.004371622319165436,5.966870540485836e-05,0.007666903869415598,0.00033845203111448896,0.02662922908324261,0.0055698220015654165,0.003212508173676798,0.0008611936059028658
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10598251241629897,0.022841696018744084,0.01110261951932534,0.0019077014251829283,0.0034332768205056485,0.0009117846500674709,0.0014410706035518084,0.00013231678970981875,0.010591655401961386,0.0029832127983769885,0.0008163473554985146,7.943378873664919e-05
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.278923146817875,4.031498871997722,0.1171101255625111,0.5370355237143696,0.036830582484123076,0.5024622347091382,0.029552194423703604,0.017033362754742654,0.0039068154550794265,0.016894172529254403,0.001076419999169076
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4207068379216176,0.026233951425825852,4.156610943749611,0.11282167752928918,0.5370990420853915,0.03132228940652004,0.0027743600275887403,0.0010269904253818463,0.0032910222500699693,0.0005060999293051704
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8579457890527957,0.6222236305439112,0.029421189793682467,3.4573376269985445,0.108775511687914,0.005123956794596124,0.0014047068814867503,0.0052530542802958075,0.0011353771994516704
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030368879413485983,0.0008603290130344554,0.09511352941731632,0.004571120704213394,2.7224314717244624e-05,4.0888852148590615e-06,5.406283661457678e-05,4.113219264301193e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0078994682725075,3.5475539557753755,0.11702618966276601,0.0014051901750035678,0.00027909129039783986,0.001067066375149528,0.00016465663468923086
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10144504163589962,0.004692239847227553,9.548097607670059e-06,4.217595043543021e-06,2.1250246184489896e-05,5.623245238339791e-07
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8889099954475266,0.0010672965328359652,0.00030841198840446393,0.0010289074779264301,0.0003000269574392478
