,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28H,29C,30O,31O,32H
1N,0.0,1.0190255844164107,1.017370119476342,1.4711450479848118,2.0654717602413637,2.5790145525482897,3.4507176018913315,3.119068102380506,2.890429385700557,3.266634965928846,3.14643722167652,4.170077066373823,3.449130355702129,2.9017870234587875,4.611648309795494,4.948017753038023,5.223417563719126,5.144289472450581,2.479408106314887,3.624721565616069,2.6587553936292494,2.1849174819393107,4.095019253777539,4.653529576997674,4.890228021770153,4.7900055185736194,5.936275467476756,4.8933616933329365,4.682355795568995,4.360165611907386,6.014677754375729,6.475391723083057
2H,0.0,0.0,1.634620348358403,2.0611158267172143,2.9204360617306424,2.727198396561415,3.694490063258655,2.7241504072178158,2.2334364082186737,2.8269752133668953,3.373326504319408,4.258647175644557,3.947943572776709,2.99514140168591,4.204328378804754,4.587968268471881,4.639356018502192,4.885804477421399,2.8614256905355413,3.932481674115181,2.9691459557334703,2.543246125077936,4.326576846331716,5.024599301100167,4.818342262571612,4.532357469697461,5.897715497556699,4.774102877994043,4.963168909244333,4.66409898613425,6.284166849731313,6.757044912186646
3H,0.0,0.0,0.0,2.0604456697782068,2.286366273162121,2.8925237558423142,3.827201814233347,3.5880689342037164,3.230566272619426,3.9858033676745217,2.930247253944885,3.9729339116801827,3.101382003402491,2.4472842107012354,4.960646677887492,5.080811594135151,5.635282668666997,5.55596404020549,3.350043627033634,4.4345163809004395,3.6055813085314172,3.053667560798123,5.03562552388964,5.5392452661153015,5.898864617695471,5.7873000732853885,6.935686869661844,5.901110931063675,5.514739248900041,5.064465728093707,6.851599937889953,7.244752938827412
4C,0.0,0.0,0.0,0.0,1.1001571798246967,1.5527237391678306,2.124296533093089,2.567978467956996,2.88512109976916,2.697097809924599,2.5383986809576533,3.5028275203125085,2.7539222777784795,2.844608428783967,3.9461547277255207,4.369561137399256,4.733452347553805,4.201274686998073,1.5448394561455538,2.4316990409585415,2.44650893044395,2.5348663073982447,3.816261081208977,4.073270258148669,4.614797392807612,4.808719269181211,5.629550908361464,4.370985610969908,4.771464728826491,4.791249154283575,5.99127300169495,6.616947078760739
5H,0.0,0.0,0.0,0.0,0.0,2.1508557334312894,2.444148478858629,3.491670506200466,3.8416108430074294,3.717264140797423,2.674663583840762,3.673912092473585,2.4273038004047978,3.082583308861242,4.7224839436137565,5.0097313559163394,5.6166648969574124,4.857965339687603,2.107332104134265,2.820014029689873,2.9501342621090054,2.9872774076137047,4.221201283310173,4.2767911833605465,5.262378509861091,5.582336516816456,6.196725474446122,5.080866765868275,5.043237693263729,5.020184225577159,6.2137214354363195,6.793901488381878
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0970227250021507,1.5433035439279046,2.1781648419904527,2.1621535858678,1.5362171271848877,2.190853089015568,2.186877057372243,2.1922869352395047,2.5843878716421003,2.8944882415655244,3.52851367811407,2.831103538903642,2.550054792261267,2.8727176767181675,3.7066076219679243,3.9455357429983495,4.954055882056138,5.134991843752834,5.428074183619396,5.608406663354863,6.446129279426064,4.901348323187876,6.106102774574311,6.233094103487289,7.266779977793403,7.969880133523033
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144149078305905,3.060738904302295,2.5094837696423182,2.154955238710494,2.5091228692659393,2.5077103931787863,3.081843728651704,2.7487554960136507,3.1474335704602354,3.7456570801830575,2.5471553566590925,2.62460550129922,2.4664732518116708,3.9527550932005275,4.41469301203651,5.003310424271061,4.962541042904485,5.451495412199352,5.821597380061449,6.378857885725026,4.797242619941513,6.285403391002548,6.590415301095075,7.323675245429492,8.1008109894211
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1011527571914745,1.0978491260896888,2.5604739763867665,2.8265393667462004,3.5163858485928756,2.8376550203646898,1.5344655480932632,2.1957172436322905,2.1799596190581143,2.1803846729731844,3.128426068961829,3.387173943276893,4.054809195491919,4.316133702232376,5.176783220810819,5.547699357871977,5.227351499578464,5.200364977275445,6.261548432729191,4.602546755237164,6.3813973546541884,6.550290764579618,7.514777165251933,8.238984988649479
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7646206417836008,2.7790903178677384,3.1244997258716487,3.795961132307767,2.6086294642842716,2.1582857552225794,2.521086201380536,2.5035734480012417,3.0776178680285424,3.6558017771585325,4.190015441837338,4.3240447361974885,4.345854744295018,5.5323510836403385,6.0710256568980885,5.590828088369489,5.362057745578704,6.661661204181161,5.120219605456033,6.559588186449544,6.548566192747486,7.767751599192416,8.403065552614853
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.491549166145022,3.8478752741630937,4.327301671225195,3.794381739140665,2.148649111727592,3.078601515292226,2.4646568689739126,2.5190304212590324,2.685006096110073,2.8462036292791724,3.4629370570919833,3.8785778062522995,4.390325885703047,4.8022782565162725,4.238211227946044,4.216615065785837,5.248770806565823,3.5671292840880673,5.660874041592294,5.961346834282974,6.712469698069323,7.475389486008149
