 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,H28,C29,O30,O31,H32
N1,0.0,1.7364505222649143,1.7973162938838243,3.040745667386135,0.09425632392707672,0.18147983111576277,0.02676230556026782,0.02775658682131081,0.012948560288857935,0.0008722233388185341,0.024021661143964035,0.0019364499815459624,0.0006137356351143541,0.013011496364948583,0.00493200156005183,4.398364382973696e-05,0.00045357846546423275,0.0008325926364185499,0.1889618660233418,0.03772575792345062,0.08083608665498528,0.1219449895690905,0.010408709136738428,0.0016356703271496187,0.001010462926015837,8.448074245670512e-05,0.0001506340036043774,0.0001454053415597123,0.0014404247080219423,0.0009639691759344565,0.00025489601985220767,2.0220712103613536e-05
H2,0.0,0.0,0.02927917711821304,0.09814476681553852,0.033075640557126196,0.009642203391797666,0.0007053546127169241,0.018066632481256617,0.016152175850606465,0.0005013983852282244,0.0006299739887296596,3.8572041524798095e-05,0.0001050897854371069,0.00023239074331238285,0.0031992396053226457,4.6936177985346106e-05,6.71393937290432e-05,0.0010765269719414938,0.005729611841773119,0.00112015009701949,0.004053751672538297,0.002206506311108969,0.00036176680696964336,0.0002273894535622656,8.879318332877251e-05,2.1921382387546373e-05,8.821954786686348e-07,1.1078646814821624e-05,2.923681767508235e-05,9.770923251162245e-06,1.3159786820815533e-05,1.9813208014252126e-06
H3,0.0,0.0,0.0,0.10702048053759872,0.009127628911046237,0.003847900811790095,6.71354414414349e-05,0.0004145907804949944,7.427404136439719e-05,4.5522855445456756e-05,0.00833223744788103,0.0007821499520570541,7.539788129884428e-05,0.007268247117380833,8.122719235825748e-05,4.207085768426211e-06,2.7582710018236867e-06,9.803151089338158e-06,0.028167196380791015,0.005381603203837515,0.004659662132023734,0.000890582489212477,0.0004932044742015362,0.0004459790137549824,4.605155763059976e-05,9.534784204179303e-06,2.2487249793368136e-06,3.602768578536697e-05,3.959675866960222e-05,3.5738248605809986e-05,6.545361460719157e-06,1.5075085058047222e-06
C4,0.0,0.0,0.0,0.0,1.942725427696404,2.694020210285435,0.09892669841912749,0.15817227695419644,0.005512362385576397,0.01173536197788172,0.17276479526799002,0.029513843973283382,0.012102659139478389,0.007290940791239597,0.03287016108895097,0.0006880799611468369,0.003139665048525364,0.0006518199370575406,2.6527178835788554,0.2848105827226382,0.22655580119430663,0.01919895359891277,0.03669553749074622,0.00293283292141,0.0034516919142355273,9.099281043356555e-05,0.0007785751985245337,0.0010237358463174306,0.004738953211797403,0.00032524627252372706,0.0013681058642437127,0.0002617720208213381
H5,0.0,0.0,0.0,0.0,0.0,0.08680011240550067,0.0038895822741344954,0.02638078282504197,0.0003053511463095848,0.0015857549513673685,0.01430088279830044,0.000941758559658723,0.007128836942410288,0.00019024531174371972,0.003073461013276768,0.00013233600562623238,0.0008342871902660143,8.269586491849168e-05,0.10921829412680384,0.024065412359849936,0.01943878885057493,0.0003454362929640187,0.001697067275737485,0.0002987760530941408,0.0007971222958402802,3.3431279062634545e-05,9.45751364729297e-05,0.00016271702556736045,0.0002637797003044451,2.0583845368626896e-05,8.497579291089075e-05,2.9093056860940436e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0636958557214866,2.6863511530841055,0.08005485161611725,0.0867816147032685,2.7820668671697613,0.08735906271559246,0.08410824659818283,0.08400605187381394,0.16181565658799152,0.005771183438285421,0.028756952478400377,0.009755716972815076,0.1724166460520815,0.04815871770295206,0.02636709341331435,0.004824089360392025,0.004496910920161856,0.0004935554712370838,0.000805378085204117,2.0092019608730638e-05,0.0001783782755415686,9.186654173531927e-05,0.0006991644794804852,9.144826108241355e-05,0.00020348770513897718,3.865808439229568e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08271783656305609,0.034892942689664475,0.0030957475364024045,0.08501287501409815,0.005081137757920295,0.004062729861090908,0.03492076768812069,0.011481576578333597,0.00011680645823641811,0.000653257155415643,0.005273712618133697,0.01549472940379526,0.03320626287432815,0.002917126775882739,3.023792455314478e-05,0.0002586326016194018,1.9248755014134034e-05,3.527632550703874e-05,5.796683204550845e-07,6.635935855703323e-06,1.3040933235730634e-05,4.7308276831303786e-05,2.5225940250672707e-05,7.452133697682939e-06,2.158778258820604e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.106720296527687,2.0314380448777634,0.1575535631136924,0.00575385980148635,0.031031547507786028,0.009413896660506405,2.9147439623523774,0.08256744694748108,0.09165225394907339,0.08126328726575238,0.022044797305169783,0.011481451102436036,0.0025166092530455736,0.00017301144472492425,0.000356229104314848,5.149614804111913e-05,0.0002034068100378872,1.0574279657227237e-05,2.0411806129772003e-05,0.00010007315592375221,5.0835975826418744e-05,8.837462959626619e-06,1.4705684244803452e-05,1.974117486591709e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02270871282462461,0.010608549041389193,0.00015342662920847516,0.0005188624010059595,0.005307216014417415,0.08008258378766953,0.005122296415259298,0.004041725578336486,0.03356358330819087,0.0007519389914272256,0.0008132089593688718,0.00013018079455839882,6.323993631363045e-05,1.3559356186521043e-05,2.057731238958027e-06,8.21968970510234e-06,2.6590275914450956e-07,6.618027292848438e-07,4.589899855300672e-06,3.0445486867147764e-06,5.904834402548076e-07,3.627267946004764e-07,1.950410588591467e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029723046891347416,0.0007303179518838299,0.001825209586134191,0.0003860283756622618,0.08711149254749095,0.03276243032101056,0.005433037030368126,0.004459439649249219,0.016583411774785395,0.008612124460699921,0.00047456115238475594,7.754904409518204e-06,0.00014937126656300315,1.8578527541279755e-05,0.00022424001759979717,1.657062645921137e-05,2.2626048253426845e-05,0.00028134172861671303,1.8274942690021945e-05,8.469947078149076e-06,6.6992476170923965e-06,3.6274465831098723e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022968262263123,1.9297784758364385,2.129210349629107,0.021298669672192044,0.008965499556937928,0.002247588344964413,0.00046030085407777754,0.029765259587446108,0.0059532814518148125,0.005973583556523707,0.000554039380223248,0.001431800048571158,5.802307323032885e-05,0.00013937396683511016,4.224989022860726e-06,4.676924874891242e-05,2.8956332086771397e-05,0.00024281778412291177,1.2036628944334105e-05,7.721646991092068e-05,2.049667627712637e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024496817877121213,0.023437598667551462,0.010006728831796874,0.011448369626007926,0.0006415684732008486,2.3347404059403942e-05,0.0038274878060844397,0.00041919743472118576,0.0012521373421288118,5.236234790029215e-05,0.00028974531211112264,5.301879000496612e-06,3.484737610359723e-05,6.616811183413063e-07,1.3805569089031522e-05,2.45071103144312e-06,4.25441545039984e-05,1.1319138901733083e-06,1.4559631743571444e-05,4.712644089410745e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022711877859687535,0.002042072630091152,0.0005675608709427848,2.1956065749284548e-05,6.280029186722658e-05,0.0009390992857716274,0.0002797829427076959,0.0002678805873874701,1.7695548164553543e-05,5.779295676378027e-05,4.25516133395476e-06,5.354565464577021e-06,3.718946579578386e-07,1.3432982548522432e-07,4.509170259181516e-06,1.1173654708818148e-05,5.796627902121543e-07,3.714925514541889e-06,1.1067004588305451e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047318416910613337,2.2719034661333737e-05,5.98001138916171e-05,0.0002071648792079106,0.0010241674717954563,0.0009967764810403512,0.0003080589130040057,9.041999663295108e-05,5.984771779443676e-05,2.0743252921118227e-05,1.2055584937442632e-05,7.060286650872882e-07,2.89063613978513e-06,6.121233594447162e-06,3.900135247203451e-06,1.4424126260070835e-06,4.065412320120032e-07,6.906163596553938e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0940941571745455,2.0203088611584477,2.146965061475372,0.0024367356609234503,0.0009420321588011066,0.00034594084459994845,2.498092318659051e-05,5.531530346986058e-05,8.628165158897083e-06,2.5724036254115568e-05,2.326179948219931e-06,4.53160486868498e-06,1.5349788390128793e-05,5.033166343565432e-06,1.0063502610888064e-06,1.3337295452081621e-06,2.1647636472277298e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02340278455268785,0.02335219455072579,0.0007637765341625968,0.00027141886057679976,9.575304832143416e-05,1.6843690513468346e-06,1.0066998105129343e-05,1.8094065648011082e-06,8.588782476559587e-06,3.3788070341600474e-07,5.732918229028883e-08,4.601576797824691e-06,1.1077179984386731e-06,1.926958503872811e-07,2.8776031690824766e-07,1.92198965631718e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02350113181402458,0.0001749245120767906,8.0364518031395e-05,7.957824052917672e-05,4.735071878814168e-06,9.47485647362356e-06,3.6338041216055217e-06,4.626226318027449e-06,1.0680257345185851e-07,5.38193793975239e-07,3.3312723979328496e-07,4.749813946602899e-07,1.415944014260262e-07,2.407175589969057e-07,1.796641835305479e-08
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.096704936349063e-05,8.505579349615822e-05,1.5815558350507075e-05,6.151951308819292e-06,2.0168513628071594e-06,8.842163152777971e-07,4.175426888686218e-07,4.8281507680769664e-08,4.1560551444774774e-08,3.3090746631714296e-07,8.21066679090876e-08,1.7988253464551462e-07,4.6783142693129776e-08,1.49311041308664e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7950456739646,3.2785196348431365,0.13680479744462692,0.273462167009233,0.02572629129029158,0.034851711412879044,0.0008208391258877068,0.003828815326437196,0.006581127653507712,0.02913251105516329,0.005765802311524917,0.005912047740368215,0.0012495540210448741
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5391897932587283,0.023241295058595735,0.06864757353607985,0.03138588080851057,0.022168889004516912,0.0006332114313967185,0.0012853139661910262,0.01885480117794669,0.008435573713139494,0.0036604081319673715,0.001292389789145143,0.0002568017993339611
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7106226438688075,2.9055571098069004,0.10087267297747249,0.18622237462760943,0.0083843943708386,0.028866830380746333,0.007133367440469107,0.19522660091790822,0.04962668540383708,0.02757210281656511,0.005176307214619702
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09749780492293769,0.01637806629285321,0.008857686997850056,0.0006532162848142953,0.000497251627443962,0.00016801261634546982,0.029076031539706393,0.06351306059355666,0.004761427195888124,0.00014943598264438585
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034897918965993,2.783411229232743,0.08407861614864043,0.09282513476979415,0.09523523134352874,2.7369800068296,0.2707529861135001,0.22289230053172704,0.05379603297573188
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08313285259180303,0.0324474984308023,0.004239778560790164,0.00650432639342724,0.11623458761718042,0.031123824497610753,0.011031011182687456,0.0006374771746124885
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.116730369766633,2.130332188763102,2.0010523817512977,0.19868383321708802,0.04406126357080627,0.03075649452094603,0.001961224420729102
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024850448028406635,0.025119332531944982,0.00996908119549178,0.0015510239020382066,0.0007386057449318972,0.0001494306001723622
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02638788555568805,0.007580912369589354,0.0011590151509298652,0.010899977279856587,0.0002531473209219648
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028734169450114644,0.00522092082827208,0.004471607213816786,0.00026055469317864954
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.854627176193051,3.593109226587115,0.17811951498464773
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152942404131747,0.06770624596305053
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743916003484382
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
