,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30O,31O,32C,33O,34O,35H
1N,0.0,1.0290584502223727,1.0221245922348967,1.477975528892107,2.0793092791221333,2.4670993015305815,2.522078087653894,2.8041371896774097,3.827318135761131,4.615036742437209,4.439617928856913,4.718579904739027,4.612538557822433,5.9393285507254285,6.6695728493601845,6.017378864579216,6.795410916759048,6.544112319685006,7.611897632601338,2.4694536416291433,3.2793775079160956,3.0494749975192184,2.77488315874621,4.111925658716307,4.5102041564130095,4.107258418192673,5.176459097421021,3.679180309284024,3.9593800745097596,3.13819587433316,5.0156643593731145,5.373552532955597,5.699219337461332,6.461861255586685,7.202633637191581
2H,0.0,0.0,1.6350675111676358,2.0546506097970982,2.34248910531569,3.3597770295113083,3.485701788812191,3.7245149114187965,4.591117460467931,5.347291481321287,5.175964005283149,5.384637406625123,5.2256319632334955,6.6107645592401125,7.318881032343735,6.638460436406082,7.36528236895092,7.179283228205815,8.218194144362485,2.6550565748450157,3.6226828575080763,2.748385010310786,2.196244702976521,3.6700555092159064,4.2726070514363546,3.449035048592304,4.511315779123195,3.184291763434978,3.0305373411709113,2.147607062511059,4.054702430680013,4.840034763497963,5.1523316683327165,5.915685279692423,6.619261190324948
3H,0.0,0.0,0.0,2.0414501200074073,2.9206617756325945,2.7194468616611993,2.850443615161007,2.639207349934478,4.183320909032839,5.1419178747260785,5.049645091290799,4.9311130680788215,4.645090674453838,6.470419380660714,7.269269521633643,6.301128108866879,7.001402518472205,6.971021990320251,8.051912636967275,2.6010030674277793,3.0600750273211594,3.3423822760057815,3.274214183546312,4.148365916350828,4.354451193852895,3.9974365701427548,4.994707429976078,3.3205015278070333,4.103428126475625,3.5672633277889734,5.099574881809947,5.561358246360265,6.080711063661553,6.500230159321604,7.326734726920025
4C,0.0,0.0,0.0,0.0,1.0968717562016876,1.5402105084239583,2.130726664099809,2.143449333756027,2.5773144246591473,3.5073672680655665,3.6150686023933645,3.342476144261641,3.3057880758971727,4.726512716712057,5.554941401478867,4.601839319866145,5.366555198080611,5.18170099489977,6.236430035994093,1.545556713975259,2.444318690469276,2.4215381154348994,2.491281165325863,3.7381205591667714,4.022088736408601,4.290839319885888,5.357209303509883,4.044376383200551,4.438674751571928,3.618634973439744,5.636063280201293,4.860566889699618,5.057232091510636,6.039631635769609,6.722737417763649
5H,0.0,0.0,0.0,0.0,0.0,2.1679506691665695,2.562153685068562,3.0470570110112583,2.732697448677486,3.305421406190374,3.3294607870179473,3.5704068220581893,3.7656335040016296,4.421718584536198,5.135106467529625,4.62011430520702,5.43884044859041,4.983227756813637,5.981806560054476,2.1668707482340097,3.2463846430972856,2.5579544381950567,2.3700249980381556,3.99813467016857,4.478024086545351,4.639968637809826,5.706461766868036,4.6255945609197955,4.538621890242372,3.526526061176825,5.719600676325618,4.845627329624918,4.779463183895284,6.139358679377407,6.696591388476348
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0956013743965798,1.0969044100425784,1.5156197609153428,2.5339072377018343,2.723997987901096,2.547483304854686,2.734090416182356,3.8260050894279276,4.689013462591332,3.830835684908494,4.698308682482584,4.338989193814989,5.42706915658436,2.56322612562726,2.865141342517655,3.746922023823599,3.996129750501849,4.988369607982832,5.020633277620436,5.6325436987148505,6.659514570329027,5.235242224968305,5.924403645590812,5.139283051834254,7.1101819510406585,6.120543819737471,6.319144531987562,7.243641202123383,7.941430667018956
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7730859597008881,2.1491873277506572,2.631064824710744,2.3852541810759726,3.4179629020102356,3.7550591666019306,4.0172646594579575,4.69367146399859,4.56854884811146,5.523045122043523,4.814989923096363,5.8819680947770125,3.460720148574443,3.8627203627840245,4.536864718197269,4.582487576069522,5.811568431019975,5.939916426827609,6.271003696985054,7.329027701109249,5.825271174302009,6.352229821725408,5.4590865870895655,7.477787534410825,6.966055956537157,7.124448109853634,8.121808921702993,8.81777040314797
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1496218349888516,3.336669743970282,3.628389573152854,2.7410866632196695,2.583107823726703,4.518497738935499,5.442530878670149,4.093767530877104,4.808407123730152,4.825935528580885,5.893890431196644,2.6752397130856083,2.5184314576396525,4.007325124347647,4.420588861441792,5.026348284237678,4.850847269275013,5.604160851216949,6.56106097681704,5.0422694735072255,6.116716851715446,5.522700535259646,7.274071168892123,6.286956455586787,6.670531348482974,7.268752802725145,8.045089988476743
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4028454103142243,2.1538465157528153,1.4047228796451146,2.146831752722656,2.4396476697600873,3.420540579438261,2.434678789312449,3.4156828963301,2.823424254160951,3.911505955673566,3.2532351879562227,3.441805865264314,4.3137693403627955,4.684775198985708,5.581516594272254,5.551343355340773,6.532701362912107,7.518517834406789,6.294667915567956,6.899503338073253,6.088500407189974,8.125932047387963,6.458427940726368,6.470542684913037,7.606527340247576,8.19422061429603
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0886832343885358,2.4081648128017656,3.3884632906129006,1.396830900893089,2.155641597347906,2.780244104706594,3.868430948665629,2.4193293000050065,3.407334192963489,4.43946376235003,4.798007999467134,5.330787205347543,5.52466853066371,6.6906599051102145,6.784571096173823,7.625826389055519,8.644301547371574,7.458261833932243,7.791093503811542,6.830075736863201,8.995508301120937,7.4384530751408215,7.267352210012855,8.663624649675839,9.168758951657153
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395362277879993,4.286580398342301,2.154272461747461,2.4763134013950934,3.868921087681074,4.9571127913578215,3.4033648716592877,4.3036183859998784,4.832953851350017,5.341082083114026,5.674831647628222,5.6858906611443825,7.090128072052919,7.297371274141199,7.854908401801675,8.915767045361655,7.658358009171184,7.827906736791247,6.770265336339617,8.984828947924289,7.894519145862988,7.708644007052847,9.165392557711472,9.6828551278931
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0860889855894487,2.7899567980146376,3.878257851884511,1.3959632117459917,2.152058078880314,2.4251455071268717,3.411739142278064,3.3807585707226755,3.2109496327367113,4.392341460523623,5.01856997867502,5.447496801245786,5.208953800373769,6.617104045394703,7.490201297277923,6.435771377890732,7.248355111152831,6.613913892328571,8.485435438871237,6.1886702374196085,6.237483292646543,7.209376987416198,7.764496114646293
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8759206945451594,4.964187757183481,2.162851596749254,2.487777000422773,3.412591499969038,4.313639334841306,2.9113730661229025,2.4062693023678072,3.970573051198377,4.754797743257672,4.8150730283788885,4.406793984584131,5.988814314816852,6.78674792775934,5.7560522074518365,6.815415531183606,6.355143283120452,8.032021456155757,5.634495423326273,5.864763432265196,6.529511912216309,7.150267015256602
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088333913360179,2.411331486157754,3.399433028287614,1.3962128359359773,2.160203856757867,5.437361578994738,5.706986380088492,6.227764605285533,6.492716910626173,7.532893061729678,7.578716805208332,8.627889208829417,9.600750661324165,8.548831713875508,8.852523269341052,7.910332633443577,10.066073844059316,8.090576060307699,7.796164340426348,9.28874418511747,9.69958845384938
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4010698997349738,4.303588847145826,2.158847446621208,2.4919950192282805,6.388763297771184,6.7409921979084295,7.11086282587431,7.275627983117166,8.45469316554935,8.570152195812335,9.515680261093086,10.50698798382284,9.464472701010942,9.621377841554075,8.605042629732798,10.810985668027062,8.957946186874576,8.57398985154121,10.191281645774382,10.55807866339961
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882115681004667,1.397482210536792,2.161886258945422,4.609029778678472,4.450870240447713,5.442214636176377,6.064763819601477,6.450089287958273,6.203495564923227,7.747299444868264,8.572924871557385,7.669548645937624,8.376154568922225,7.722066525947293,9.610542817698654,6.955217874475267,6.842992249489046,7.945928060533142,8.381176174590996
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1577828862755695,2.490787443850367,5.096998586807319,4.763172823581053,5.849099760681164,6.584296778377362,6.6685623939839545,6.295494733384018,8.05191388449233,8.779521121963441,8.009656524037558,8.8285512401437,8.29525299349205,10.045067285696483,7.053730617631013,6.97122665041918,7.909274796257844,8.301749664158145
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880823967911455,5.513235000374117,5.569451113942376,6.281243373033192,6.7354472708784705,7.431990945635737,7.3296990897256,8.687213789982072,9.573674533600178,8.647398248676726,9.121774321851696,8.316906411254028,10.35241111841311,7.876682277687741,7.605501327896435,8.965589391020929,9.339579846785883
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.502479037698998,6.5311603799467335,7.192935923382896,7.657986234442248,8.292301599961204,8.172968671352477,9.61003028658418,10.461254918884306,9.621494984236394,10.058793147051272,9.262656916479498,11.281792499718238,8.609507112572873,8.261279800875782,9.65941658599378,9.96040401462008
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2384714265432433,1.3594037289887948,2.0409297617700304,2.436978546414007,2.5264495389025936,3.3015975085039515,4.266967158649143,3.141281509660856,3.9304855442283917,3.4953686048740886,5.1536577764271465,3.6316799269199156,4.047633450585039,4.695578168217338,5.435430332488581
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.300847969837072,3.160811254160812,2.8388013109954664,2.409065941148663,3.732540764536697,4.529922932522965,3.374569347203345,4.712139968405224,4.5169236118891725,5.87122073949011,4.069509325884838,4.677007283658504,4.8797337262562825,5.6884313780529006
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0398807267802403,1.4527368002568688,2.073617912600745,2.470591767532196,3.4100005960512942,2.764822581730077,2.984336193943038,2.644771252924583,4.197906126895381,2.443532784798922,2.807099826497888,3.6396660119675355,4.306564800269826
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028348890500337,2.9107713306348013,2.5077291275516096,3.5110364271165833,2.9012992092033643,2.418108968675584,1.7470236148384215,3.6284967715626415,2.810715078821444,2.969271389896701,4.052550207647776,4.63426625664902
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953074134925385,1.559470567892198,2.1914965556353305,2.143464978586757,2.664399477851767,2.9771511530070565,3.6830568494833966,1.5207542326577297,2.45654426461063,2.3791613995656937,3.1988218178215893
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1826577828436493,2.5752368397834946,2.3818903517402497,3.5744484934634535,3.952228888341289,4.526231349534871,2.1217085452480937,3.1472634487479625,2.563231857609118,3.4626068180965235
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929968256334006,1.0995489291112477,1.5744630426032913,2.432107508354477,2.3900722649111086,2.5434987254856503,3.4846959629739116,2.9790572910929294,3.8116826770319663
