 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,O30,O31,C32,O33,O34,H35
N1,0.0,1.7654747331109308,1.8062706427131698,2.658518585312947,0.09508187837437432,0.19226645266163245,0.02738571780352661,0.005427897842193885,0.03235657050906854,0.004847772776506817,0.00021843769792095902,0.006231052810882126,0.0003419826040641505,0.000952387063986676,8.361385513555586e-05,0.0011336841419220811,8.665544974706396e-05,0.0017498277846556276,4.521512175781339e-06,0.2574065389914336,0.05686899697072852,0.04234437650211935,0.00846345478989774,0.005391671910493279,0.0005575025558653968,0.002839288789961633,0.00021185513652766108,0.001606042736938651,0.008329701892608732,0.047136035334949034,0.005368322205808532,0.0008118360576322703,9.851862132598255e-05,0.00012874779513666335,2.1041020656364928e-05
H2,0.0,0.0,0.02930047563106597,0.10396183915751323,0.006420618326898664,0.028997226170079382,0.0014940979534225907,0.0002748583437546248,0.0040534592500065525,0.0008048074835772523,3.951676170776963e-05,0.0006930810076314353,5.0846135432935924e-05,0.0001291082734625748,2.423942683171809e-05,0.00015225753372061224,2.5743403018196886e-05,0.0002682524673371933,2.392414155671929e-07,0.00802056756722147,0.0004878071823364305,0.007898774641303952,0.008648236965191458,0.0007463023707184879,2.239803710613053e-05,0.0013106122684246602,5.5860828058751366e-05,0.000125240351790179,0.020939758519991636,0.15151408920192122,0.01235518760894605,0.0002851758401843929,1.7786703910394053e-05,5.576436997856149e-05,7.708188532795646e-06
H3,0.0,0.0,0.0,0.09978157511725372,0.03718727281283041,0.008804010207073665,0.0006068623463137968,0.0037557579987714806,0.0010837784665276295,0.00029924890351784583,1.9552712480663814e-05,0.00017465313421738404,2.1193625422855078e-05,7.351724572712826e-05,1.302514439105451e-05,3.322783617842884e-05,3.984662243716741e-06,2.3655101118569277e-05,7.735053346724641e-07,0.014812524058205212,0.007471977189845602,0.0008511851543377968,4.8121677664880735e-05,0.00015711240625781997,2.783796254934856e-05,0.00047637505044495487,3.138440646632823e-05,0.0005161727001539163,0.00021462477501166255,0.0009015399976521898,0.00018612612320278998,6.721324693714781e-05,9.76302302890808e-06,1.1060680389696209e-05,2.205718195202877e-06
C4,0.0,0.0,0.0,0.0,1.8957697942851233,2.602930103242316,0.09380513880311092,0.08481268201600822,0.17508851360607994,0.03410561260980907,0.0005065233462326901,0.03340221487876155,0.0005883977433018828,0.004481281365903866,0.0002306458494598651,0.003861904226947571,9.667677617475334e-05,0.012804704802711148,2.9828743456583595e-05,2.6653860855313134,0.26955565458658326,0.23789585900218826,0.018233286538294036,0.03799135219253727,0.005596572162753777,0.0025574406819334206,0.0006622262258393352,0.0003204034751307372,0.001067932417041284,0.0037306729226044694,0.00042926095143971943,0.005307282412257308,0.0003473538142823307,0.001503381017185293,0.0003306278816549435
H5,0.0,0.0,0.0,0.0,0.0,0.07951117631203841,0.002487689603877019,0.03454564128303672,0.012526965934732348,0.002784992111090956,0.00017501884381365684,0.0011485204544517957,6.11184960583877e-05,0.00028710818530253146,4.515158277684783e-05,0.0002704327939586637,8.477569226394976e-06,0.0005155563298901988,3.0187186086383377e-06,0.09118366487566942,0.023015545201960474,0.012484615811909294,0.004939205375810163,0.0020648766269801833,0.000275636489850406,0.00024495553264114456,7.098257926174689e-05,3.8566143874430026e-05,0.00013215141633327043,0.00030373524596472024,7.340411663125934e-05,5.0133105853555904e-05,1.4257949290108485e-05,1.0980157958973003e-05,1.859442338103534e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1390868853054457,1.8043303935153951,2.614704326041797,0.24030925873197717,0.016004978759492916,0.22573139401535186,0.012677372720578228,0.03438525508322214,0.0026099179359646563,0.0354503395469625,0.002524644667664333,0.020376282990929903,0.0004962717665248917,0.16000097454568304,0.04449749498858241,0.026253353796744414,0.002511896597638952,0.005842166489304024,0.00040748004667312543,0.00033243153922166147,5.1644320615107375e-05,9.245378572164675e-05,0.0003323323171428305,0.0013037750148571364,0.00015500812340342451,0.0010824388244537186,8.409617030664951e-05,0.00032950861954333943,9.635819257725053e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023763456404533256,0.10139760731847591,0.020147819551642243,0.008481588688538544,0.024390821140281127,0.00077140087623917,0.001745781658469836,6.369869354627689e-05,0.0027569323307115035,0.0007778488493619395,0.0018319104798911745,3.8331889872678104e-05,0.02743476572741188,0.003358075495196733,0.0035819905655827267,0.0001807192235196986,0.001014765774496551,3.627932980854176e-05,5.358519239107018e-05,2.069699524342994e-05,3.1020932136360813e-06,2.557535852698578e-05,0.00010780082120287471,2.0208188962422824e-05,0.00018357203481511597,1.083443270477602e-05,5.524959167335641e-05,1.4453008054582384e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09465939688802871,0.02776262055449663,0.0005708272317186402,0.01573055944128343,0.003009592268609529,0.002983454779576289,0.0005175736547324838,0.001734039650322483,4.957117026926916e-05,0.004990561510999747,9.610100568879787e-06,0.017945833760102836,0.030628546696056524,0.0028722660622957363,0.0005226504435014157,0.0003153241573807808,4.689685862069304e-05,2.055924492516681e-05,1.3944546817246106e-06,3.099049507016005e-06,2.534273521259678e-05,8.749639084093541e-05,1.262764749510037e-05,6.725618241731901e-05,1.021117374022662e-05,1.120668522736068e-05,2.664470166724442e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6117687318201,0.12105600748414891,3.7784956561076037,0.12572175878324787,0.3256563147363142,0.026214221088881384,0.3346049505539164,0.02650771370615046,0.30253819135671955,0.003952651685961817,0.009781431738176194,0.0057170020512198605,0.0017335782280605838,0.00012157022206171764,0.0003329730812665632,1.710569829338482e-05,4.2851670955232346e-05,5.684078836498685e-06,1.2723652278223696e-05,7.62116915561939e-05,0.000292535118267781,4.687605199382716e-05,6.140827506020963e-05,7.297004884082581e-06,2.189124602006154e-05,4.629463157601599e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064649369055743,0.33241368259530546,0.027246357079588668,3.6191656635208838,0.12534883561275123,0.31175685079782356,0.0035160886077347797,0.3353062190163836,0.02716712228384144,0.001856326432429195,0.0009507902859206829,0.00038507517722713436,2.8676893616630394e-05,8.735957038230602e-05,6.113056378098669e-06,5.284732720364782e-06,1.0185069809764968e-06,2.5857822691932597e-06,1.3146397742191951e-05,4.631320481952861e-05,7.753577554170388e-06,2.075514922955657e-05,2.477519457894095e-06,5.715489813526431e-06,1.7629377790928658e-06
