 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,H17,H18,C19,H20,H21,C22,H23,H24,N25,H26,H27,H28,C29,O30,O31,H32
N1,0.0,1.702089599342849,1.872032495890353,3.1397291396373364,0.10242319165982494,0.0964400283690916,0.23574516212564744,0.04406754725050642,0.037425787050367254,0.002676557496196885,0.007989289597006982,0.00029325066379171094,0.0005761366440746735,7.76295064985888e-05,0.00016687173128993038,7.497204897363718e-05,2.111973942886536e-05,6.0118056385283225e-06,9.750757212406702e-06,1.3664471318897142e-06,4.3140170935540567e-07,2.0396566949854034e-06,1.7411577435400005e-07,3.514654161040909e-07,1.227392056352139e-06,4.306453860736248e-06,9.01002993325406e-08,1.0128373084672404e-07,0.0013558706303057888,9.666272779888796e-05,0.0004476227866688706,0.00014497314950356888
H2,0.0,0.0,0.027158093953847606,0.10800180951556271,0.003395098291647747,0.0351936417014338,0.018670095792081454,0.03976804123190447,0.002982410165679905,0.0008032993812263634,0.00037132005648943256,9.937929868808482e-06,7.946552378113036e-05,3.837935973471929e-06,2.8550273261096493e-05,8.941385212790642e-06,1.9567036444456676e-06,3.1253885257598313e-06,9.837103228660382e-07,5.6308737894639194e-08,2.9336317575179294e-07,2.296236174537114e-07,4.88588172142812e-08,2.12187045711687e-08,4.4916447450304986e-08,2.238393270737049e-08,7.499592280524325e-09,3.781228663513048e-09,7.481521413332803e-05,3.057184382360134e-05,1.3927790384893335e-05,4.2405119387023404e-06
H3,0.0,0.0,0.0,0.10713527700864445,0.034481717558571434,0.00886317643525314,0.0061761804694626665,0.003836796016250643,0.000913238501970004,8.940583970740157e-05,0.00019986440490848967,2.3565250345969346e-05,5.300051785739335e-05,3.904065255078137e-06,7.764211390925979e-06,5.670807252999843e-06,1.455170850261922e-06,4.2252197385295176e-07,7.894258002849597e-07,1.0267879813063985e-07,2.8498336135385216e-08,2.1565845154114527e-07,1.0955180096416939e-08,4.7069492747908726e-09,3.025109212018151e-07,1.6223815353377802e-06,1.7582588718312309e-09,1.825086171081125e-08,5.132164693111285e-06,2.1364965739900654e-06,3.0537552749843044e-06,5.547365304892082e-07
C4,0.0,0.0,0.0,0.0,1.961405371688139,1.9121109126665214,2.7168502187793244,0.281982715530923,0.2220260865798842,0.014414634580172336,0.03534451898124008,0.0024271027977068593,0.00383322626232091,0.0007976707944101769,0.0023313905212649644,0.00041081551102153946,0.00014557000229475925,3.302989026288117e-05,5.832086211762788e-05,1.507108828013859e-05,2.896562397269875e-06,1.0681608368312556e-05,4.563195464823977e-07,5.414634914879812e-07,5.309758168453582e-06,1.5567223518919704e-05,4.4354263750712164e-07,4.154249936272336e-07,0.0044772451469099195,0.00045962976894252383,0.0012554753210169134,0.0002444169328459367
H5,0.0,0.0,0.0,0.0,0.0,0.025723172178452325,0.10981602289369019,0.03199697410934477,0.013300709132344934,0.0005842739992012458,0.0014603371750714356,0.0005138619950915135,0.0004162560497802392,4.967976591752077e-05,8.279682391321153e-05,0.00010791181082225876,6.58986320176691e-05,2.6958088119588552e-06,1.9807684714101548e-05,6.5651245277909e-06,4.5714773966309963e-07,4.106899292422028e-06,3.227390865667701e-08,1.6683934922490096e-07,3.024571282761457e-06,1.671811667458556e-05,1.0591096089029861e-07,6.621634085490768e-08,7.268993629905296e-05,9.095517687573995e-06,2.4652081946019422e-05,1.712602593517687e-06
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10072615341300395,0.029032922342520973,0.010562296026326967,0.005726711800751794,0.0011018695564404268,0.00011882922108052973,0.0005560225570486743,8.030254283020177e-05,1.4178023335364998e-05,3.628575110203869e-05,1.3676229135839435e-05,2.963374870157409e-06,8.227800646909422e-06,2.3257600545445456e-06,2.1604004474262695e-07,2.395507895158744e-06,6.682794206902543e-08,1.3246423269386298e-07,5.906306345115908e-07,1.9783279339158355e-06,2.4751921845478364e-08,1.658284531913523e-08,6.545212531161582e-05,3.5274150006592286e-05,1.3505541759828432e-05,3.740760334824955e-07
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.829547915044872,3.471651164560754,0.13500450817175136,0.2656719754198089,0.02390787677211148,0.027213815421393006,0.0024370066587495742,0.008567006778836594,0.00479707248701805,0.00435428567100371,0.00020412991924279034,0.0006515448007051172,0.00017967251744410717,2.4531722075948892e-05,0.00012742426824499664,2.7539493974160223e-06,1.0304456477649993e-05,3.561360790968471e-05,5.401689390671649e-05,1.7346257111805485e-06,1.834664088540272e-06,0.028761411172127105,0.007302971683572523,0.005787671029805458,0.0011929511356717493
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5283058853655012,0.027276621575708315,0.060478001559292185,0.020401550919701972,0.03517069751422243,0.0012676552282833153,0.045159186716016264,0.0034060415748244643,0.0009756927634476664,0.0003872360587412471,0.00048552745803304154,9.542366638304323e-05,4.874057706938384e-05,0.0001203411108714747,1.3860475772675684e-05,3.6534735351478886e-06,2.2098980559381864e-05,2.3933494367245345e-05,1.5715339163335784e-06,1.826918624714402e-06,0.0059478156827390966,0.0039187974472042544,0.00111909584595761,0.0002174197080122564
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678972474799806,2.8284466508717028,0.09892463169973509,0.1711030429042739,0.02445092355306755,0.005707218138339409,0.030376183806095247,0.0279374203221594,0.00047057480059886636,0.004124817924605992,0.0007554371904016088,7.256857601412037e-05,0.0006556324181050954,1.2514491690596152e-05,6.885143674029148e-05,0.000184238579417198,0.0003090721642470262,9.949906533690545e-06,4.786066853612603e-06,0.1883382827353522,0.06269613223695596,0.026689481215722094,0.00508770805672043
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09704908347172014,0.009445121532370981,0.01591914415800255,0.0008288237020495082,0.00027832152785500774,0.0006962199656392887,0.00031325037902152353,1.2302685849396866e-05,0.0001635210168247081,3.572903362902835e-05,6.495814895979279e-06,1.8180323148708766e-05,9.594788457079062e-07,2.0268734828299273e-06,5.7630153712517895e-06,6.357851153770966e-06,1.0787570243753208e-06,3.3414699340816867e-07,0.03801589674407424,0.08854662160560445,0.006250126628659647,0.00019078989311571704
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8606134365574745,2.6638129693512402,0.09372168415660109,0.09663875384946552,0.15606513635716748,0.010503919810512352,0.00571134981657484,0.03369533053606316,0.0007658720168255417,0.0007946213689882242,0.006423814342821327,0.00011975033462707785,0.0010607022502071572,0.00042170248422343515,0.0003133326818666182,4.698612656239831e-05,8.22649929954622e-06,2.7915424372380686,0.28189694702454626,0.22324923920871007,0.0534938373800824
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09520049897212024,0.004185196753007325,0.007339818095445372,0.02466065333819012,0.0017556273076404505,0.0004979282864336909,0.0029062010509747216,6.825315028757828e-05,1.121810327564532e-05,0.0011386654976717203,4.89734674578024e-05,0.000191963725307831,0.00010239309665638352,0.00014090545139744393,2.5164296799662367e-06,1.0849654550337817e-06,0.1155295764133395,0.033058772695355954,0.010980024746579775,0.0003501799678038431
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9537214643111,2.1250960774667123,2.698417738874993,0.08202021085679467,0.0828013042825515,0.18075109659950844,0.008781411067777078,0.01119288637864857,0.034625931003038485,0.0010337261438753131,0.00293961926162134,0.004563596070297882,0.005640459596354508,0.0002104584434360346,0.00014374903962877106,0.1775665476826413,0.042758933441301675,0.031852138471301195,0.002277739625339281
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02692637661252606,0.08516959611992558,0.032845466713945504,0.005836402083739589,0.007031062799695786,0.0030821227589519218,0.0001796684226500478,0.0005187383152673863,2.08509149901559e-05,2.826641664754881e-05,0.0010395560955576144,0.0021132938077683683,0.00012124720233930297,3.644721460549505e-05,0.008532216913743174,0.0013465582827340006,0.015119051273459694,0.00037309754078429513
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0883834458970385,0.003948518994093986,0.03308333623012172,0.012352410498527089,0.000231382905992783,0.005647137898563415,0.001257683242698704,0.0004278873641583303,3.074172476313919e-05,7.774296658613622e-05,1.30070634229984e-05,9.100409930962172e-06,1.3754873190219286e-05,0.02659430430861054,0.004390865378466113,0.0036897348689693965,0.00025597122655440785
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.989194787839602,2.1392663395521474,2.7255760887730833,0.0839462406645608,0.07754286719175507,0.16858082887064488,0.010453602661461114,0.02710840880780263,0.024828928304949552,0.03309630110732398,0.0014819337172173874,0.0005275699651710042,0.018575275977662814,0.004113962325725015,0.003993371777553031,0.0002859947253988082
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02330017189754896,0.08267637366811575,0.0339381143670483,0.003956151964191301,0.007406971141218355,0.0001203343642950383,0.0004156247857054485,0.009319985149635501,0.028280497420331008,0.0003943074743990582,5.1228710190809323e-05,0.0008479040983897512,0.00013061638325517766,0.00030339335889739694,1.3291457774178284e-05
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08326591142918571,0.005429047357281558,0.03387131068200078,0.008597961711750868,0.0043057139712094905,0.00037632610407678513,0.0005873584434865631,0.0001726688587555536,6.843763063435482e-05,0.00022411778187358955,0.007902122035024828,0.0013838411956911267,0.0017993541291072557,4.623492562871867e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721198354692049,2.1399383630935906,2.7851061639348726,0.08383381606705032,0.08609879724288472,0.16481137418075784,0.008273504229308282,0.023524337373156734,0.011461561073018434,0.0030938436284562165,0.0007281830232714892,0.00040164815613512317,2.8226954417509553e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025790772122974426,0.12648917368310642,0.003151583293917959,0.004808584379149439,0.03548606944523891,0.000983889541910532,0.0018968753650256964,0.0006335691247045805,5.4092670719985136e-05,1.1950339503630225e-05,2.307679798951856e-05,2.9703779931278262e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09712709185331159,0.034729051005632616,0.004153096820080027,0.008894441694724975,0.0001718149601459551,0.0006581801494540684,0.006193468042477779,0.0008270895601580897,0.0002502758710888342,9.863567235302018e-05,1.0166325560501122e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1607580532150092,1.9213626026189972,2.6095981787238838,0.0746424629976098,0.07431680694481224,0.07538788005035724,0.00042831674065202385,0.00022402502134191704,8.210445013097367e-05,3.6866594785855966e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027577494835122618,0.09036878066124765,0.004577088097289739,0.005107905352200515,0.02710302441614032,3.0501035671370857e-05,1.4519569562221335e-05,1.0154031871434377e-05,6.226118332008923e-07
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09478672985434988,0.02580624034671053,0.004241837133731385,0.005222191249170116,5.600420632401182e-05,1.4572248432709323e-05,9.453952217519657e-06,1.3362474595712825e-06
N25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7424251916957458,1.7936891420597108,2.009219827468483,3.609382720992649e-05,1.2819619857704079e-05,1.521638196304298e-05,1.8156882440889532e-06
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030227812111941033,0.02992593711633873,2.143418970668165e-05,6.465801113297864e-06,2.3689666727833014e-05,4.308046530399068e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030017214946035375,2.3317661286270663e-06,1.2665733138961244e-06,1.7166273025281953e-06,1.5026866551082207e-07
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0542601323624297e-06,1.795487728606382e-06,1.2717844276588508e-06,3.586150176815295e-08
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.994088384478288,3.493174935279188,0.17097845272024292
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5117657442496865,0.05896414357084012
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8398816618622622
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
