,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37H,38H,39C,40H,41H,42N,43H,44H,45H,46C,47O,48O,49H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1308376646426304,2.512914448187152,2.402288622325942,3.4129259729080266,3.722722944743264,4.4316941669499474,4.622036142848672,4.0163518925977195,5.596587927987925,5.6482272239424764,5.92967131244284,6.431031601050329,4.185323073785362,5.220659600655654,4.38553775533148,3.8224476194276744,5.7050102943571535,6.019751944534594,6.854892712966212,6.759161923875135,6.969716629087273,8.236976523344731,8.52545566333658,8.323428022535,9.365563677970934,9.244239569444328,9.52551697985268,10.730441993945037,10.798506211245838,11.514125485362875,11.313640113486676,10.775480863540388,12.247410466689491,11.488715752041111,5.904629943206454,5.263451253908181,7.178933536582367,7.419765792744906
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941630496435109,1.095060331009165,1.466546526852223,2.074093462578517,2.5075473554652343,2.9521539049511576,2.6919287446085995,3.9128014627631513,3.705148771100955,3.986949893747765,4.553491769518169,4.642726382647918,5.375713379414859,5.369165829615632,5.117845534616762,6.774066588055227,6.975824324727793,7.705816466004244,7.311028240907092,7.917539728220501,9.090832352763652,9.597527121802646,9.071250333290761,10.05020666926225,9.701624520747638,10.29080897036922,11.403350655153728,11.392831940022058,12.08665444391727,12.22158216868852,11.796812471433247,13.13232635065718,12.46319538232857,7.366850741311617,6.949855719202864,8.652016603500853,9.05963466389159
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.748930426320999,2.107045491438249,2.965054825260724,2.67297507390191,2.6400527705066428,2.1649628451476493,3.496254018160836,3.967525760188235,4.431099906057111,4.695569827492949,5.690462330398159,6.45653908352355,6.328019051632126,5.976081219868236,7.730932944754894,7.95103312603649,8.706219891689637,8.353887496965584,8.86992196805441,10.10589009273439,10.56841360098151,10.105884675947049,11.085815835692932,10.760027087543392,11.293369872426817,12.451979053058645,12.455981151128196,13.142524113341713,13.23432173384843,12.787493945648285,14.15348273684653,13.453292768362726,8.205467998355996,7.681120746611915,9.493102194466603,9.828487150858672
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0566304641315467,2.29832959653682,3.220283080595586,3.833351312057134,3.663674464857191,4.727693841008172,4.2406238681820625,4.306531944788772,5.17686060496067,4.484756906796944,5.281999292609708,5.157439235160163,4.87709077532098,6.607452685128935,6.954959692301556,7.374539498363773,6.939627939482369,7.467797024634647,8.825016039129077,9.364208650607116,8.914875997331992,9.670350299341312,9.288032604711391,9.819903402821971,11.07920049746029,11.156695237392112,11.699342158662835,11.92751548022493,11.56870445206859,12.866909323126494,12.099142655476335,7.23339029366375,6.803585480505519,8.55737324030471,8.980968499365275
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.040367025406381,1.3255004769731162,2.3401238700760514,2.5992848907666217,3.235009887715008,2.311018895594923,2.5460458977710108,3.218608446485727,4.7992846206851585,5.214899632069232,5.81234607752479,5.807444070546214,7.144872524292151,7.1851974895018955,7.9786236465451585,7.430244981245632,8.333380703195461,9.267373619557084,9.891799494636334,9.113264327267824,10.154709981023137,9.688286776000577,10.510767287526773,11.428157392980165,11.311036188906732,12.071431973786456,12.37346510497718,11.998080653438784,13.2340529296629,12.704760675971277,7.9692017932970085,7.751275458119847,9.1959229539156,9.717687414490308
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0704765283194266,3.2762323033267147,3.605395960024128,4.1131189311503435,2.569291450702612,2.412668322726094,3.531492395274482,4.089305759435409,4.372379193161927,5.2252662671703405,5.367642741402394,6.516932030306027,6.5435564512381,7.225263737318204,6.593834622623575,7.619591253594656,8.482143552745152,9.175303808317832,8.313502312444957,9.29510654994035,8.77407098030406,9.677954366258781,10.549513328316525,10.423584692633572,11.157489929776808,11.556856787386263,11.231370849117823,12.405149611818201,11.903711317346124,7.4886030092221665,7.401082210529966,8.690211429352795,9.290164387061228
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34596018739645,2.0603700477293065,2.056792522780029,1.3474908396024374,2.056892160497176,2.0623368863882665,5.955589912005509,6.235547909223072,7.014417013364541,7.042891438182288,8.292729394932907,8.22759147756615,9.155795908997353,8.584302318963081,9.573812848222968,10.380095070102907,11.016962884979028,10.139150572080492,11.275492491437898,10.779572906585217,11.69162781976812,12.490989853846795,12.299151300899517,13.134322391105906,13.462931530872545,13.077876811486034,14.28925752164724,13.846680935519327,9.12450703103265,8.926558101714225,10.310512991515257,10.831247111355179
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008949120944091,1.0107280621004906,2.3089049318372075,3.2271904691395745,2.5461455896857283,6.89114541995283,7.274369106046831,7.825866424597105,7.733591219529033,9.10473662221805,9.03330359768171,10.09963949710388,9.621616372724574,10.496374470970695,11.334123246375547,11.889749662829603,11.094993845468844,12.32165832894236,11.894762528633965,12.724291083040502,13.54392489154942,13.350238422789856,14.237232718936168,14.436808511435803,13.987780368322694,15.26868856014951,14.81446544573378,9.777582112189599,9.465326451413063,10.958829513164591,11.391402605458786
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7230074182419794,3.232205253931842,4.090090417755325,3.529397420860378,6.820292661855676,7.344086459085281,7.612173696098952,7.4052111921275445,8.89733716096207,8.87047064223237,9.986019610150567,9.606943799302385,10.335909985585118,11.24894489748358,11.72372971173069,11.055877950252077,12.30996024528219,11.963519143076029,12.67170313454787,13.560650804532786,13.405078667619572,14.297400902994658,14.365335793597103,13.866683103608452,15.217130364758585,14.7100214230675,9.423977864228148,9.010133278713843,10.611337863801772,10.967871936275486
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.541122603663805,3.5169933768696255,2.423324671172911,7.851174052547653,8.175280386726254,8.817315130016496,8.741450660269818,10.085395608108769,9.984851246381659,11.063737540670331,10.55663737869725,11.474674562588168,12.279758866857943,12.854014206446498,12.011557462625033,13.246939226859796,12.78951716374032,13.667386534660805,14.449093856655969,14.227918872297995,15.127287671870835,15.370005074198707,14.930152627132202,16.188071775707474,15.765535685699861,10.775787811337795,10.471061678070024,11.945858538737728,12.38160816132062
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098880438535038,1.0103446956470012,6.46990581227645,6.511879295366387,7.664038018893654,7.842941180676565,8.8660733528792,8.71802251245079,9.59692262985269,8.912654209881977,10.086859999379813,10.733298962585305,11.46054895676099,10.414021241371165,11.523688188807917,10.92939667432038,12.005983100129777,12.663795500770657,12.404157151177898,13.245865269880225,13.738440490145083,13.416693057877819,14.518923370886592,14.1755244869917,9.85315752979468,9.790799094130408,10.989476351809511,11.591828908719956
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7277359500497564,6.171444885302043,6.103492232410758,7.430370953107135,7.698327965130641,8.603206887213156,8.4738335198403,9.1874928666804,8.421295685795776,9.676821035868684,10.300536196576367,11.09427468257131,9.990554074943816,10.982268081801898,10.319895986619484,11.464255866874938,12.107673240678269,11.856586716037663,12.629181537309579,13.251716427112033,12.996164663753785,14.022795474181414,13.685165034797613,9.700495776214057,9.721061077153673,10.825458468470767,11.48655615166495
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.304581438005402,7.276944320996388,8.50539860930246,8.70389787195846,9.65796385260081,9.432688797635349,10.423179394598977,9.743976593199621,10.963344623654852,11.501191409058988,12.223802179668464,11.116561562263406,12.311027224772456,11.71461238192355,12.841513369233914,13.396842677942564,13.077891671068304,13.987917326646933,14.473347521508156,14.136366475432874,15.222163458029685,14.953199608459435,10.638229504650457,10.595977897432824,11.735257998963473,12.334963066829802
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229575123197036,1.3578699415903956,2.0767170134516295,2.4604563950721583,2.6394292018624315,3.213306920949844,2.8177795859221297,3.7395027991749563,4.487829412804521,5.1011688332107905,4.446401965626812,5.49511399265143,5.237057905524763,5.885195763197792,6.790514247795844,6.772117407221305,7.536728770729567,7.614268519420329,7.221681056240102,8.5040045380383,7.932773551916404,3.6534748302758375,3.9496979792881333,4.769973363291054,5.497754975420621
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2728066532028097,3.181471292363209,2.805586753253828,2.6200593187214065,3.2438092742745543,2.6138301467927385,4.013069912596555,4.226454587674716,5.002118866011823,3.9511674389134512,5.122331184478956,4.727451194129171,5.700102975819897,6.274173780290089,6.105093924533549,6.988454458137064,7.24549133209516,6.918040147509857,8.059645986330016,7.687464461295876,4.228919220324834,4.794927810512814,5.114991349997311,5.960174691364748
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.015093433970409,1.4565534692637614,2.087406680518958,2.4907848364971397,2.5624163888669917,2.840546173313488,3.857344911717699,4.245411348334983,4.04316085191551,5.008881860717751,5.003147376869726,5.256983611447145,6.352585576144964,6.472752077795252,7.165769298695882,6.953320480891063,6.480494058587686,7.890921767650562,7.1699088389567445,2.386214449837789,2.6426861565994857,3.603012445045141,4.263195266319015
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1017018780688654,2.8459687689111886,3.1740864129893347,3.397353478565332,3.2387420944055973,4.561213254332534,4.781606980734925,4.86669763399851,5.712750080529283,5.790870865678419,5.816301445256928,7.0865576868640625,7.289737662281687,7.898250967454371,7.559927886583348,7.047672532577832,8.522225363636602,7.680214281898968,2.388900302874429,2.1487691047382818,3.7306118832600133,4.186056460981309
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098052532445467,1.5541243385205243,2.129445518218195,2.180906580792513,2.60446930124904,2.853608308888164,2.8059619674359855,3.956573832374722,4.18829058137983,4.294277907802202,5.179816730682684,5.2895850239349045,6.088407101692428,5.631140703117831,5.082786628408428,6.547899439160746,5.898180041485829,1.5280710840864247,2.4223163838013324,2.3955598257034705,3.2296202973802015
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.165103195883707,2.5474388437571434,3.065044131221616,2.7150954615894856,3.0006380471543204,2.4708860559020316,4.156315997539813,4.358487087757699,4.732478472302008,5.1621456975801365,5.044655133900816,6.132735216217207,5.64036890670839,5.028910973403043,6.458911493789881,6.085336366506635,2.1462078078760607,3.122762858154531,2.6386175707565136,3.522442240490269
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947342090111625,1.0976491445399261,1.538597021647904,2.1628882345455884,2.161147768222688,2.5439957140492475,2.7392883383792013,2.8180686180077075,3.9299443682987887,4.224360018019752,4.72554013318193,4.566609413782317,4.250848535595277,5.533086471937945,4.759208983597027,2.5771003298336055,3.5060560595533556,3.014571987071589,3.8949283545654922
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7662384055847218,2.15269638895993,3.0577151527048696,2.488770752806403,2.747195758784261,2.486661649828833,3.1295724248437877,4.143528537692266,4.344035487433243,4.801433810063645,5.086320661943696,4.920953384228459,6.006908548732639,5.338670866097088,3.4568725065746664,4.283754731830656,4.037373405178163,4.934501791247462
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1837987023601726,2.530950958178832,3.079672904107535,2.798034324594547,3.0726870869162384,2.6252947713906902,4.263764242624696,4.793603117467283,4.936166534832676,4.763561138287625,4.526948100523698,5.781605689769975,4.717332657619626,2.7353908558687987,3.4117957651751696,3.2312612582885687,3.9402528115653994
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09851647166146,1.099369832561295,1.53956200467419,2.1695567156566113,2.188119444379232,2.5850818347905564,2.8266618070825773,3.535586557520413,3.132984569132118,2.801319045498804,4.054282281498985,3.507149492120103,3.3061636377437384,4.430995257296798,3.0854086936546063,3.982871847986344
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7654294230277587,2.1907914962349198,3.08906325882695,2.5458132681473673,2.9029777606936022,3.2235776485912164,3.9075488732251693,2.873154746072199,2.266250986001902,3.7948005376220157,3.1531534987330274,3.0170128294682885,4.132818154353166,2.3995833485755442,3.1839775092673372
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1663885099178652,2.5333908443489705,3.086427392187917,2.7797628186832006,2.575093661278753,3.78025883343263,3.4373240853484504,3.0370399196682474,4.186736938401973,4.067777201423681,3.6782773512491596,4.864517972619954,3.419251869840371,4.362490658366895
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974192779951208,1.0996020180206822,1.5267896997346415,2.189818200107051,2.189423802021605,2.530130974878344,2.748475865827693,3.4304679389300827,2.7788776841318215,4.691500128620147,5.727380921455588,4.4675855737380115,5.2799104739354705
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.750955103614906,2.1043261220137284,2.514752270123819,2.4345781330938654,3.4391646826361524,3.752101524200414,4.220297961827228,3.7248024276618272,5.196906670334383,6.1934730885063285,5.198839145099521,6.070206542651849
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162156094429082,3.08878225339587,2.5160816152977232,2.7775161648120656,3.088875677721366,3.727364313947556,2.6036404719904036,4.825184842926015,5.721622742489264,4.641039462553851,5.335526207849437
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0932555321217363,1.0925543764951877,1.5330810392419383,2.130211268230011,2.1396460051182475,2.132781338740902,5.805290315768346,6.91138513871842,5.295928885973712,6.049761810125704
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7795754702894138,2.108195355022466,2.444444971163193,2.4021073706324083,2.9792516782857077,6.024443548205876,7.194453455904275,5.494675224383779,6.300686584909842
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108121759264007,2.9778521587463658,2.4235521085461373,2.4237458387095336,6.759117806845649,7.823706542388667,6.306041678689552,7.038418496624806
42N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0279082733644263,1.0283298659686149,1.0284051565171233,5.8691187197363215,6.936736563771066,5.0602500777432615,5.627925400230446
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6610028201809548,1.6568080668567748,5.168241425336401,6.2476761124260385,4.230413563941907,4.763410404895182
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6585526519359197,6.777959591601045,7.861956822352278,5.887748802840614,6.414651437850269
