,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37H,38H,39C,40H,41H,42N,43H,44H,45H,46C,47O,48O,49H
1N,0.0,1.0208298082095666,1.0260318403615578,1.4806157539889233,2.1094193852253578,2.48809498614825,2.5729139920593393,3.399274000127921,3.2872946843550097,4.135577105222255,3.9097226765627693,3.1449654029047904,4.220660711598251,2.9167148161384335,2.814448212016092,1.8927035136587684,3.9519346263312034,5.106027262923186,5.286930325836807,5.984965612545763,4.310468882166269,3.8925039919901825,5.236663734621448,2.4689170297089045,2.729474107162069,3.6805387146953836,4.015361756102723,4.917990260421595,5.040770872524011,5.431210525574118,4.739078939196439,5.8215506188706065,6.702529974230833,7.449082514610147,6.609302464882845,7.4397583833319985,6.910221690004515,7.800437346467867,8.726344533680088,8.665736183574436,9.31202100153762,9.754620373531646,9.482540493680677,10.620115282368022,10.071190210728656,6.048367211937334,6.12384490798127,7.223512954662486,7.907401943627622
2H,0.0,0.0,1.6224681997225425,2.0605001822489735,2.2657635169522927,3.3432620498408867,3.5711595159897205,4.191223000844552,4.003541660470243,4.949061069999946,4.459521220520101,3.6627243586788283,4.678541916112458,3.140412648210148,3.413838022760589,2.510058370269264,4.552008315986064,5.743434537417848,5.95715616144715,6.581258115689193,4.823825662658755,4.272512820033034,5.784885074468639,2.8556490142870254,3.1006447416527285,3.9418164511570675,4.266077810073364,5.156494554211925,5.426495748460669,5.410835423975822,4.6297630887590415,5.669195670469688,6.720593955649336,7.52147863711758,6.743255560217181,7.275971646038808,6.669270478974785,7.541407338436848,8.607046192920611,8.63683017943829,9.096034341954216,9.695209850594047,9.51664313593369,10.579276096237818,9.942083798057515,6.320528796487474,6.4007005868907,7.501265987649174,8.200090736825166
3H,0.0,0.0,0.0,2.0132438715887924,2.873466524663065,2.898819556594023,2.667553036011097,3.67982052991677,3.971844803965314,4.678591947086284,4.678254235687848,3.9830674775572863,5.05629996117057,3.8955445610455306,3.4295486239098647,2.4453574970256438,4.380452579073178,5.577090387664295,5.84101835609734,6.409083529716506,4.512417949031909,4.009035926084417,5.342640990227961,2.39104312008375,2.1688149039307434,3.736050028826985,4.296172187735369,4.756085785504198,4.694450606415226,5.193399114772239,4.423930400758585,5.747745523268141,6.3042894973574,7.116086142124747,6.0726223920762985,7.0174024844580565,6.438812492116654,7.503055241327089,8.200424195654406,8.036470896355027,8.785376188839694,9.288724175951993,9.034086619963604,10.100462287495464,9.691729552853806,6.033883767543251,6.300688173925855,7.0922028899122695,7.854730365181636
4C,0.0,0.0,0.0,0.0,1.0974845292165256,1.550679376687375,2.1512480596466017,2.177782468515513,2.6287977688792177,3.531662109273409,2.9934443441803156,3.124466323167857,4.182020292739498,2.9498596651924327,3.3834759235473686,2.7803870922433034,4.623321084782748,5.533144971167778,5.447118199489212,6.506235689245749,5.287461635645937,5.0783134290049405,6.183312053610068,1.546950866874163,2.4180157223104364,2.4717657656642866,2.6302223214595397,3.841834319233827,4.081681604045528,4.636235826295315,4.204539549079036,4.970452187629113,5.995357521276238,6.578801809241112,5.992705310883134,6.938622817573746,6.613543591903624,7.23873951027024,8.279107179558375,8.284739707663867,8.97593554925716,9.12147290361964,8.73797902863175,10.027389696061098,9.390828390349604,4.766587641557098,4.71838788468692,6.006827579326338,6.607821907338767
5H,0.0,0.0,0.0,0.0,0.0,2.179421946551211,3.046793169014672,2.6618952001600413,2.742863999665291,3.7867419894232666,2.7345760247457545,3.1042753524353977,4.0566322066602645,2.6215575862370173,3.7173299033685585,3.2573155262986857,5.033317032498066,5.864038466187116,5.68633514981156,6.841751666911738,5.813250177910321,5.617920374340604,6.7605615914530075,2.1710956919096804,3.2183565339228184,2.6266873616823756,2.452877367735123,4.076030679225151,4.570991326244935,4.770849627047151,4.418800660977971,4.859558045308509,6.246603150833964,6.768879270889758,6.428885378577295,7.119113090565132,6.833564830749048,7.254165200166931,8.547546316189138,8.68798686288672,9.20429364750768,9.33469213279997,8.977168466156527,10.28866764097573,9.4869044208082,4.805071173583612,4.555166215300441,6.120374375160455,6.633703100986423
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0974707607690684,1.096394602865988,1.5450454030304328,2.1488714105648135,2.175755306151306,2.62377850250962,3.5510473955537143,2.981164408863725,3.0175774136937346,2.807464345591045,4.083470445857528,4.709988509839878,4.458092470408645,5.705850294104925,4.959424778061227,5.040070511800489,5.735216850014922,2.5309488996166594,3.30399726380037,3.196640083462456,3.146381584674199,4.439666338208023,4.471713522996551,5.581859606646089,5.334997730595106,5.99674840923854,6.830793466172521,7.2686258180052565,6.706338658902503,7.971917616000414,7.7625000399673665,8.338916395214657,9.231292834373773,9.144305303180623,10.028334402672332,9.9464122095423,9.433174735987494,10.818709341896962,10.273709770731582,5.0786258932271195,4.88309727590429,6.272512255427996,6.752768050835579
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7507873881167757,2.1830980756821954,2.413883350962641,3.0719031508991113,3.0095183844446054,3.916194525508013,3.558639105675543,2.9001340029017273,2.625566596889111,3.72633416755309,4.410318847891478,4.312984531555249,5.348666739671878,4.41894901897505,4.514829148319963,5.09308016643328,2.8821295221570757,3.263516203304208,3.7827696470797134,3.958258805496052,4.8539298293691795,4.6481176164285944,5.96825056041797,5.635074069953183,6.540210388094992,7.074693393898066,7.573544008999942,6.783333374206799,8.211207400526757,7.94300437582251,8.703857425392606,9.367882787884534,9.15584749134889,10.167792096937875,10.1465262623158,9.635613892276071,10.960468015344492,10.571941001308588,5.635834269883152,5.612737587513708,6.716416914998094,7.263385293309972
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1407066260617587,2.4769702124593143,2.396605116086691,3.5164919807893535,4.316032771466745,3.86463285508882,4.063679066334977,3.9008977615875793,5.063034363753799,5.545910551240316,5.170993415516907,6.5340884871528155,5.966928201087823,6.087993045273885,6.685546962285236,2.5925149028917267,3.4481869692388543,2.8315394051360157,2.6668526759349316,3.9008863173561727,3.9076726011524587,5.236849670890277,5.200657301010524,5.659060364668623,6.413739792569404,6.7062923107630015,6.300276890630094,7.685600551974515,7.624834435718313,8.047359600061608,8.906500198596408,8.827760503871584,9.776418416652652,9.473110406510314,8.874249861022347,10.338542044574865,9.795532472782584,4.296940646287671,4.050006183225261,5.44405057166032,5.847705803083841
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976639186786747,1.097855748376696,1.5391121301517918,2.183005313538439,2.1746157855018824,2.5156066939192403,2.8339503399210186,3.5014557847069367,3.803900129321335,3.3288679539021047,4.8069536656374305,4.672891119497967,4.973265057460268,5.4346891783484015,3.921676300683977,4.777498524562975,4.432249639101365,4.103959897662541,5.750984771915998,5.901148361699542,6.892341203012291,6.6741202664936905,7.156800824980088,8.220146583275382,8.604399971134043,8.177452686075501,9.340713774346986,9.135293087672983,9.612441569289103,10.655750826566333,10.626026694683823,11.434683415900587,11.336631432639185,10.815331590859074,12.236597666312075,11.598517906779566,6.174487217622156,5.7219269954820895,7.417897472859537,7.766138684450458
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7546395432869037,2.172235917106157,2.4495341506849324,3.0681748824117676,2.906060593881369,3.4140959990992,3.5316947026130343,3.5092815011644425,2.8845515352055044,4.460256392109906,4.739758266716011,5.223739814113729,5.339904636310822,4.6682834842389,5.42570106895569,5.148599971521535,4.832324605463161,6.3489954990994315,6.364770796962382,7.609163140712639,7.448858996510472,7.947036605664518,8.848941049594327,9.17531473356696,8.71931262011115,10.055383349991162,9.893830121148353,10.386717800008835,11.306515639817981,11.20743089541715,12.134890257299237,11.93331261753107,11.3494663868974,12.800188578457258,12.24461029760732,6.673002057103715,6.211667674138312,7.835458648151022,8.129280579237752
