 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,H37,H38,C39,H40,H41,N42,H43,H44,H45,C46,O47,O48,H49
N1,0.0,1.6559353925413012,1.8373177291024105,2.855037120541907,0.08003619459251843,0.18151067245833372,0.016011935448372205,0.026915773481079985,0.010311073236173557,0.001175174741263385,0.0006291030564332667,0.015272987189046447,0.0007263437803611827,0.004416843333623355,0.13720670119469344,0.3431729446716756,0.019394130428540657,0.005490344789048557,0.00016520514964024624,0.0007249721207418514,0.0011838811928287646,0.00028839975924643824,1.2595216975608281e-05,0.1976638501839092,0.06712977845982263,0.030242731312492027,0.002422461671506726,0.00656231067109786,0.00036205241531228616,0.0006906624095107394,0.00012494606603707936,1.1979184135535448e-05,0.00018729540816520007,3.8623675390203616e-06,3.620922654268277e-06,4.486746644605244e-05,1.5794027015125778e-06,6.444820656037464e-07,1.4805680374915808e-05,2.9685476310437053e-07,2.922639440239294e-06,1.4163425514288064e-06,1.5256784337003282e-06,6.35659347381079e-08,6.158316512294704e-08,0.0008791508591393937,0.00012843678346168008,0.0002804279840595003,8.088887735091532e-05
H2,0.0,0.0,0.030043749239950346,0.10019156932862339,0.010347785889827765,0.02705258923802234,0.0017850078796823876,0.00192325851937869,0.0009054786107275392,0.00019815192490191258,4.957864750942953e-05,0.0004761480630200987,9.543405108614067e-06,0.00018600197454210488,0.0013959955496719578,0.0028963841434010984,0.0003574287683435484,0.0001492141749835918,2.0305914605334152e-06,9.503732137483567e-06,7.759888643010804e-05,6.501150692006519e-06,1.8918047524074666e-06,0.005253122982222691,0.0018734820966122001,0.00037009943368448983,2.921838548708422e-05,0.0001420283595050531,1.5915340133121347e-05,1.2490330474457245e-05,7.860460160546978e-07,2.5129414638058734e-07,1.3833327944245966e-06,1.8717052174821447e-07,9.899303821114813e-08,3.2284156359363436e-07,5.746420006502717e-09,2.2141585676038744e-08,1.0974610031855292e-07,5.157830607060987e-09,1.1803661603693172e-08,6.288820575406362e-09,1.1091354501502337e-09,6.832916454868609e-10,3.1915581288899375e-10,1.2791421764246635e-05,2.6904746437406146e-06,3.5978058281482816e-06,9.106885057175163e-07
H3,0.0,0.0,0.0,0.10013719993472425,0.027674570679222743,0.006116840428313175,0.0029691873141433067,5.354257695011633e-05,0.0005921208519881205,0.0001442178680630679,0.0001972134552468141,0.0007355087687922479,0.00017543055852842215,0.00020231549116211944,0.0008868417876994883,0.004701115263071376,0.00017449672382485737,5.7217911988871606e-05,4.274756045807848e-06,1.562911790542465e-05,1.6257744465231205e-05,8.64151750645803e-06,2.4157034212990425e-06,0.03711344659387339,0.10490791862382176,0.006463809369264828,0.0005865063102477031,0.0006385144185100389,4.843637831308811e-05,0.00011128986911590477,3.6567073959936636e-05,7.563578719116393e-06,1.7015971846889855e-05,1.7938207335088663e-06,2.640756362470853e-06,1.9874799548347255e-06,4.6137422526904004e-07,8.63411195872743e-08,7.484949476888048e-07,1.9274476681374608e-08,1.5881224690872386e-07,2.0036166847869907e-07,4.3332179400223936e-07,2.13477060473366e-08,1.7365710647254673e-08,0.0001222508732326988,7.127614157742546e-05,1.8383679348366044e-05,4.9533965578163475e-06
C4,0.0,0.0,0.0,0.0,2.1030343973728396,2.431937943606916,0.0850349976113216,0.08566665380605509,0.15310231341079011,0.026617025318232068,0.004552590962910719,0.01731188389924082,0.001122368564734133,0.0051230998473899,0.009941269990970503,0.017115861393727116,0.002063072624008705,0.0005811167700674469,0.00016735903195896906,6.584129540676553e-05,0.00019043422260216214,0.00010552754567727529,4.415711891136986e-06,2.359860252889021,0.27913249522558314,0.21667419760254503,0.0120072602272423,0.03585404994497213,0.002921160391526234,0.0036455795532948643,0.001171431047415572,0.0001071159263281718,0.0007884857759304364,1.514442021877116e-05,3.128405141517021e-05,0.00013811691618145772,8.070550921446262e-06,3.410324101116302e-06,4.782340675793528e-05,6.925330711116118e-07,8.858634306441182e-06,6.1577504142096284e-06,8.330079040996807e-06,2.51479064794502e-07,2.828204409555113e-07,0.004013034029549306,0.00045233701954541794,0.0011712710686951344,0.00023896527453959315
H5,0.0,0.0,0.0,0.0,0.0,0.07812095881504444,0.031111250753115938,0.0013831925369627296,0.01352340283648723,0.0010064820940822727,0.0024425758126738195,0.002751889750082004,0.00022339638800472628,0.002891945663894502,0.0004737537762266042,0.0003890168234068625,0.00011890291062921499,3.521446875809353e-05,8.721964676938754e-06,3.599786799757254e-07,2.3452163364190426e-05,9.790536349640888e-06,3.5298796330351934e-07,0.09531978559559584,0.02477654093051862,0.010122431195968784,0.004572154599356004,0.0014837224802748405,0.0003355844251151652,0.00019932359795693522,9.51497598673523e-05,1.4718734040464199e-05,1.983723665754944e-05,3.943521888594148e-06,9.10835345346861e-06,2.2956066049184543e-06,2.7061391016935943e-07,2.402655239208684e-07,4.5588581909505876e-07,6.188657075689719e-08,6.986396239305748e-08,2.035351791551676e-07,4.56892421452082e-07,1.4534809356092637e-08,2.6609139780475743e-08,6.276169976837664e-05,6.333034964978168e-05,3.033848886790924e-05,8.384598285227085e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9389397074663126,2.121259505678924,2.6024529435384185,0.09470351921337361,0.0818098731558432,0.1455398076051258,0.02699593158347824,0.0052972128543387065,0.02049385977690492,0.005998553664301465,0.002877973892026403,0.0011479062239817261,0.00014182736327883472,4.1867746666590655e-05,0.00086855706054699,2.437129138210814e-05,5.799387599914052e-05,0.19332498423245825,0.03682415220925521,0.030924738293060555,0.0025368808229975226,0.0031294740358987216,0.00035368009814429335,0.0012920424592839375,0.0002514334945133978,2.6335956473388933e-05,0.00016948351254028604,5.369523404796794e-06,3.716217449323267e-06,3.1489944541523984e-05,2.1125684432909964e-06,1.1062634002190208e-06,1.437346399665862e-05,2.227338448124172e-07,1.9396042326702556e-06,1.319059614229845e-06,1.4764211915263559e-06,2.2584463854613546e-08,5.973119876490074e-08,0.00038282740105716195,9.327620154846172e-05,0.00013060971300848934,2.821802994068534e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025384740800408423,0.08170960655064174,0.007318182742345414,0.030041082600016367,0.004903112239052376,9.842173584129199e-05,0.00017871317904960549,0.005991432797315288,0.0020876908821072515,0.000845633823690628,0.0002571852380497397,2.756434175910094e-05,7.742025911694483e-06,0.0002704454063010564,2.5803093794962706e-07,1.1267787516144878e-05,0.004935873115388567,0.0014373943801009315,0.0008167177675553194,5.583548333820687e-05,0.00011931171196266632,9.566345316125435e-06,6.949778760234615e-05,5.409210909634865e-06,1.6174962313986185e-06,1.238203905074009e-05,5.456503875400642e-07,7.630802951741344e-07,2.546463185648662e-06,1.6175331674084248e-07,8.269683693384877e-08,1.1790961336188843e-06,2.8580231958841296e-08,1.7112113837036702e-07,1.1392227694528856e-07,1.2490505629791926e-07,2.7439632788173185e-09,6.223017656736829e-09,2.5966599856985795e-06,9.873594041254208e-07,8.40183236539005e-07,1.611815325652799e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09796857290232397,0.0029306932920758477,0.008140818918196402,0.027112173778623294,0.0006807872375256263,0.00016173976935962564,0.0015985571266425858,0.00024339138129048088,0.00010746292462937568,5.6895320580951925e-05,3.5106201323742425e-06,2.263553632309012e-06,2.8453353770774292e-05,1.5894173690522706e-06,3.916632858258495e-06,0.018714412859984764,0.003566308242056393,0.009985297772726165,0.0021289456547384233,0.0005644022698525486,6.270889865933604e-05,0.0004306586424380754,3.51484857203932e-05,1.5639717401150222e-06,7.921621138606838e-05,1.0926337561389943e-06,4.446593719897862e-07,1.7472327092371565e-05,6.399419905100956e-07,3.030132693648824e-07,6.598541686830828e-06,1.042397301809217e-07,1.1628619496217851e-06,5.385893814269238e-07,5.447730251351146e-07,9.280018531399037e-09,1.6303213890012103e-08,7.99072324033645e-05,0.0001420425696145866,2.0267625226666475e-05,1.6183375246558995e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7206170940461298,1.7389336231442636,2.9104775698206984,0.0847352178235804,0.08225814174456358,0.17662002088196682,0.004282207322874099,0.0369130268572605,0.007675606508645433,0.0018386210490463073,0.00019108802722811458,0.010833849628663711,0.00025624981098137933,0.0012164121762995306,0.029521794950991637,0.008232119243509403,0.003872832377534538,0.0003162680465572665,0.0006453345310841047,4.0144464095059895e-05,0.00012526190629444378,1.5831546573141786e-05,1.380854235177864e-06,1.3946302839934477e-05,9.379653302943325e-07,2.2779000097283841e-07,2.962638987510924e-06,2.4266851483822904e-07,8.160848885552241e-08,1.1907528299076597e-06,1.50625355521683e-08,1.311462882735981e-07,1.4345955719197168e-07,9.1303502758322e-08,3.8757084208640435e-09,3.7269533015305e-09,0.0001087624490304917,9.934625550114817e-06,3.711473202248905e-05,8.304728574826115e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024303598455575726,0.08718829436907605,0.007749240184930395,0.031651756713211965,0.004347571350189483,9.185102181774596e-05,0.000903945135377171,0.0005977462303976555,0.0008977501434770385,5.234204400395015e-05,0.00042781904897593037,8.947244991563963e-07,3.824858546774834e-06,0.003576233383958627,0.0011347724120174263,0.00045084371535353274,1.2216286005006793e-06,7.580931269357549e-05,6.1466448668667795e-06,1.529054286586451e-05,2.8223040224872875e-06,1.0391612725868526e-07,8.015475019274021e-07,2.2463645832360157e-08,1.6340486963528633e-08,1.398817472963998e-07,1.8881811669757553e-08,1.9501915859976293e-08,7.020851344741175e-08,3.1413582846084864e-10,1.7994066237037032e-09,6.099180493990275e-09,2.2274406763500565e-09,4.998270686229489e-10,1.3385004216104335e-10,1.583271943061959e-05,2.172528334787316e-06,5.208439657899966e-06,1.6553892159265615e-06
