,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32H,33S,34C,35H,36H,37H,38C,39O,40O,41H
1N,0.0,1.0203015035255856,1.0217393883873533,1.4643918177210442,2.085468863925492,2.451756647586654,2.617108642925141,2.6532137535752485,3.8246733745738988,4.618277614776467,4.464940714459235,4.711820322131631,4.625204926532482,5.9344550474098945,6.670927921965249,6.007325385781084,6.797382072902797,6.52959220584255,7.870105030232713,8.241021962126473,2.4923470525994653,2.891027404409417,3.5938630873712953,3.858154623129757,4.887868047686904,4.999180114527994,5.59651308862462,5.793182147074816,6.615781072079728,5.228252016697126,5.358953425542657,4.301371071224801,6.695715323994728,6.706819668610844,6.862786286014046,7.675959562066823,5.957782135348441,5.9484532993011054,6.044487061895421,7.084324394549672,7.759318975614167
2H,0.0,0.0,1.6240899727887774,2.044770189110241,2.333833812643451,3.34455272309175,3.5234037539734953,3.619128006220007,4.592102817332178,5.271012785442942,5.053468342608291,5.460517857613606,5.389655724244853,6.538516325346993,7.2117706356864195,6.692752462312166,7.470747944301206,7.161616014811193,8.465978279377216,8.801657550828574,2.7517551851488995,3.1781444199579187,3.636155246790304,3.9130054904760314,4.901798943201773,5.149568742705021,5.3427852964838785,5.4222508867084604,6.404535524367545,4.850780279834909,5.127037039784186,3.8266816528602776,6.136278449378921,5.966890092301981,6.172393467464027,6.887697631132519,5.134734934180512,6.037802772960354,6.140664511358199,7.203106835809161,7.900635843289577
3H,0.0,0.0,0.0,2.0185914858642726,2.9118787903621217,2.7305212531031775,3.0633334371417,2.509300271117234,4.1174323714279835,5.137016389887102,5.1479444209716085,4.758857223724762,4.438362560593232,6.412837346864242,7.248862517639924,6.110891591375056,6.781977171050724,6.829231966776967,8.163220747227372,8.635123793930148,2.566876630038142,2.4978181680920315,3.852689465379825,4.333062455166339,4.957876545750096,4.860267127245418,5.639535072986252,6.009262017475401,6.593440130790996,5.094083950234674,5.026722296091165,4.223775208992386,6.559819534358849,6.8187017134084345,7.0917461605808825,7.768972072124082,6.113711958931495,6.148710521244353,6.426245578887083,7.160382927764721,7.90935994720557
4C,0.0,0.0,0.0,0.0,1.097804894124412,1.551113141846604,2.140979360282384,2.151231461950078,2.570919477993836,3.347997952893108,3.37441481929293,3.470322026273836,3.576954241535104,4.584510772283567,5.360284555919181,4.675059197970158,5.507505586417429,5.134481494549613,6.454903910570218,6.827351449182208,1.538936914615532,2.4132396382991397,2.469637973889247,2.5946042655520967,3.829333689432514,4.013068312903246,4.814201526267066,5.010119046040115,5.788759956581844,4.831206509181509,5.003961725493021,4.0862447393522245,6.490369334533657,6.556290409826201,6.511129764734452,7.606969813650133,5.98238448463696,4.681035473797193,4.694643975367783,5.846789137292416,6.448127800071179
5H,0.0,0.0,0.0,0.0,0.0,2.1680521300673252,2.4624631398441084,3.0538280534994557,2.822912125131708,3.1263827608462265,2.9089149834493657,3.907512470886951,4.266865991672416,4.319865084026036,4.918696309449943,4.919131838522988,5.842176496871796,5.088488779104792,6.357969476651987,6.586230267901295,2.1735639283119337,3.2809674194527787,2.5394047387317547,2.2633311108848444,3.9902387831936807,4.437113793201294,4.901198217400588,4.859785672394599,5.907834833215134,5.108472143916595,5.488203069264068,4.354092370069491,6.676381934111387,6.4666902693102895,6.282569823534399,7.50650576048818,5.877601218659155,4.6212552510760885,4.3809534924476665,5.900522686081079,6.3942663731555065
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.09568500627914,1.0970514712619492,1.5135069704931596,2.53869258427572,2.7438848404925094,2.541657596058984,2.7399652070092464,3.8276891180196064,4.6956310650648865,3.8292239684807168,4.706368677492699,4.335130052755522,5.702497263064439,6.115077404064592,2.5186067596795048,3.1057359356247374,3.413273305379308,3.4281546009554433,4.57773103064369,4.539139346224541,5.83975731421319,6.148817360516312,6.688600639123159,6.001113243090788,5.99589419009696,5.3964109415463835,7.759205984906452,7.9869021103618465,7.90105987465496,9.054759553831145,7.478866799014925,5.162037707163117,5.115194816359426,6.198029621849498,6.700854527629753
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7642023645124103,2.1664705196552565,2.740683475096441,2.5688007761060954,3.37790356517249,3.6786220482201446,4.1088821822441375,4.816835347584921,4.561128027702237,5.500435737718445,4.855956194695386,6.210239454079438,6.503544862922412,3.4480907882619407,4.067016772018114,4.307769382868379,4.180728759998103,5.5680622114004725,5.606053184756125,6.777388088525447,6.98794174296687,7.67229002806722,6.90280492285118,6.95708574300472,6.2037624400580045,8.606291438317632,8.687589755603181,8.601854381356686,9.734998482993145,8.087058109702621,6.096921955439339,5.9087887065297595,7.1856397420330165,7.632993765987468
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1513274163624234,3.4067186926699318,3.74928803500685,2.6632953763676572,2.436343668360658,4.573524703335589,5.524179766917008,4.045250443215048,4.7454171915247345,4.830353462275496,6.165463453176592,6.699111125287471,2.748701846505394,2.876733127835323,3.8712979696394463,4.130210613628426,4.852757946140635,4.5723986922793225,6.089140036544728,6.5632108336695865,6.877483916930043,6.076236010701798,5.879568022099364,5.512394299372186,7.834931899102346,8.274366180267377,8.303546632858664,9.32636687736133,7.781380764830213,5.587583622732286,5.745776822376183,6.478631496109449,7.062511019710457
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4009829834255552,2.1574643153227173,1.4040608444057139,2.1553297599388723,2.439004034543653,3.4218990116067576,2.4415333508781205,3.4295579815214654,2.8223982362303146,4.190065236820775,4.62153649767337,3.0098475607463087,3.701839744922359,3.3972415765000967,3.1966626793600232,4.30856954127573,4.291987427192747,5.766219946835211,6.063721542209363,6.468357031693889,6.2839988939405504,6.293940938080961,5.892528372265137,8.093350652699328,8.36549431262134,8.112935070191062,9.4574938767752,8.019786300612774,4.45588690051016,4.271009746229452,5.39454240127634,5.732859674166921
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885275725105659,2.4007435739721137,3.38887688187896,1.3953381681626158,2.1579881709010893,2.785864401922035,3.8717696679545583,2.4179003781137447,3.688737918586511,3.8378540397014786,3.953250265964975,4.863883466124138,3.98737329896683,3.428164464371425,4.922154262889632,5.14476597882012,6.336327355029156,6.424697439799479,7.0308112556890245,7.054829399274454,7.231104979004822,6.663554710884839,8.800881855454698,8.847633857275127,8.448848692484908,9.92801600199023,8.5096883951427,4.725018162416226,4.176953924947569,5.7249033044189215,5.858640281323475
