 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,H32,S33,C34,H35,H36,H37,C38,O39,O40,H41
N1,0.0,1.8999733894800501,1.8180525549622075,3.074220520619857,0.08757863251912035,0.20480531675173644,0.015489292961428203,0.009241596039855304,0.03330935141092983,0.005571007103222322,0.0003712324642848319,0.006108920003046775,0.0001776748312409815,0.0009803301789953478,6.147667640754584e-05,0.0012711409364974807,9.814721234335799e-05,0.0015224798972790776,0.0004183653578809371,1.0614029910649414e-05,0.22990663676168155,0.04981620284101329,0.034757414711780135,0.0024529602095790803,0.0061648681233241465,0.0005452143620204852,0.0014797417172939809,3.4082713486149885e-05,0.0002891916538533268,0.00019710025707690704,2.6880977283538776e-05,0.00013524033657441592,5.608330348204349e-05,4.2993400289903505e-06,1.0945742499046673e-06,2.706142523400956e-07,1.328909602138495e-06,0.0005348522413831658,9.732227738970534e-05,0.00015174816339925956,2.8577591443701422e-05
H2,0.0,0.0,0.02722702326973292,0.10496855715868392,0.007081063919060604,0.03239255905293703,0.0007339453957768693,0.0009305289768912761,0.004546382367414559,0.0009027645410908391,4.493282515372066e-05,0.0009029988706074077,5.529016483252214e-05,0.0001621826555844308,2.7031369056684795e-05,0.00016255556798339121,2.871588089492505e-05,0.00025803914672273276,6.358705861220226e-05,3.92318325204144e-06,0.007770426412596065,0.0017209739706874894,0.000685720600675177,5.337775858804683e-05,0.00018148269087769897,2.5138622301135172e-05,5.694047281867842e-05,1.6582704807088788e-06,1.9958060651470433e-05,7.289737755877823e-05,3.759807695624673e-06,0.00015192641876882185,3.4775130968167645e-05,3.1095351810117577e-06,1.7611825264829406e-07,1.2295767914949352e-07,3.042673837772014e-06,1.5718437064493607e-05,2.1500520652750765e-06,5.702510222915791e-06,2.0132225035940365e-06
H3,0.0,0.0,0.0,0.10468206449380546,0.03621319387220723,0.008960240828598143,0.00019858904704417313,0.0055904062365097484,0.0007363900507865173,0.0005263464643775473,8.106704450505653e-05,7.564839240103982e-05,9.707388506807746e-06,0.0001385026990795568,1.3837741281275129e-05,4.118095309435521e-05,1.2829299014249784e-06,9.888113273626153e-06,1.4835561545911702e-06,5.144455437200435e-07,0.01876705244745247,0.04425760668311829,0.0033483705887159543,0.000758994048865258,0.000491065306102767,7.226264752513423e-05,2.9357000734919758e-05,5.7218838414030415e-06,1.2952648005271072e-06,2.9065289704144348e-05,8.74122598948368e-06,9.702238202846658e-06,1.233143847190199e-05,9.943482053298425e-07,6.029392918271981e-08,1.5299853695083243e-07,2.671752965532903e-07,6.733819829685128e-05,3.7225533722429205e-05,7.5039713292035515e-06,2.085204297674892e-06
C4,0.0,0.0,0.0,0.0,1.8393967833988025,2.696127118700417,0.09170563582468927,0.08307562184049422,0.16925160952549864,0.03641734966235782,0.0010620777087029243,0.035810582209086894,0.0005686598832030931,0.0045830272469165045,0.00010619354886620691,0.00506272690863796,0.0001600750247623406,0.011776135119618891,0.0030022532084434395,1.9223454804428997e-05,2.343374157273829,0.2697716419733957,0.22898671789548272,0.017531548090127247,0.03652321332019029,0.004785994532592319,0.003685112644872729,0.00016189824917267615,0.0009020925469793717,0.0011296858362511153,0.0004044083026972789,0.0004589404389951923,0.00027439590594215135,1.8114528447465972e-05,2.617939739435471e-06,2.160640592441254e-06,4.445030015620688e-06,0.003444705966305611,0.00044647260818309054,0.0010297550548023227,0.00021976385709299162
H5,0.0,0.0,0.0,0.0,0.0,0.07762521355565122,0.005697959121508056,0.033999921669690014,0.007078298599655586,0.003994286346044262,0.0012614119463749685,0.0006359794962824683,0.00017354051241769142,0.00044411297173185815,1.6630307051457294e-05,0.0005410211842962198,8.123667197823536e-06,0.0003141199275418227,7.864534905244192e-05,2.130534335620382e-06,0.09093543686321603,0.021765002266556976,0.012636183754159314,0.01078173317777642,0.0019690811548225273,0.0003449115266798142,7.144311157358807e-05,1.425799422416496e-05,1.8816810679167517e-05,7.708211595036651e-05,3.208361603590504e-05,2.581392439449104e-05,2.727891913334446e-05,2.3886464752820302e-06,9.94507658447219e-08,5.330201346964714e-07,7.460577238216359e-07,0.0001084581408843377,0.00012985188590908248,3.3216126444468586e-05,1.065606961181409e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6765338457950398,1.8008387618122899,2.8049259832037663,0.23827289516552733,0.013702271200186855,0.24306640530651513,0.014758844611178601,0.036998956643262845,0.0023008771390029548,0.03486197813824278,0.0024461710559997574,0.02039521496661162,0.00520299748096241,0.0002851113148233386,0.187818395268952,0.037515989887076356,0.03030072459487397,0.0010967398055951039,0.004003969729183876,0.0002991995177654694,0.0007553858572155736,3.8825808220455116e-05,5.282130046802003e-05,0.00026058987281461776,1.7772181299613443e-05,0.00027776524961353743,6.032201235506296e-05,3.4598280362063694e-06,1.6604428889621659e-06,4.617212274737881e-07,1.4322415011758238e-06,0.0008554445254905785,9.507359124501236e-05,0.00025049179017380685,9.66486243688669e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024634746612027802,0.09701870458508677,0.0163159199702978,0.004029895440523568,0.027716795394147065,0.0005588095081734412,0.001729211146158649,3.839507427350064e-05,0.002925921077412408,0.0005745344580145861,0.00375210152412353,0.0009285406367696147,1.207042090811683e-05,0.02892561721430864,0.0057323495415624315,0.003087990153300857,5.896151153406137e-05,0.0007905689517513359,8.497055071798876e-05,5.6307892859708275e-05,7.296455674543623e-06,1.375943509085431e-05,1.639306314449307e-05,9.89961750352819e-07,7.019991905776735e-06,6.69230038374824e-06,2.7721051421014664e-07,1.7542998209663097e-07,3.243246471384964e-08,2.0347898144201793e-07,0.0001482371614867084,1.0419370647163362e-05,4.45614357232893e-05,1.3088374664071978e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09740201669007731,0.02527927484634751,0.0006923020125260138,0.017523009463401573,0.006614942103496668,0.0028949262489414984,0.0006756190899239733,0.0015759182017065498,6.182283065281347e-05,0.0017848206199249095,0.00040913961768895835,7.401374258519944e-05,0.010249364295298102,0.008754248314324142,0.0014345392010719493,0.0005576112965270941,0.00013561566849173978,2.5201727327228696e-05,1.9254840287308284e-05,1.2371059225912973e-06,4.0458786445540795e-06,1.5407846757131693e-05,3.933976194581135e-06,4.491678971207946e-06,8.79110100482361e-06,5.377761542746384e-07,1.8892118536228963e-08,1.535634903682137e-07,2.0697177771644704e-07,1.4556484927430446e-05,6.892532053881517e-06,2.354426896888917e-06,2.417141828914282e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7539719583946796,0.12549996540023733,3.70949486364058,0.1256586070035577,0.3285438438074286,0.025679715550162685,0.32612213284137725,0.026512199135860115,0.2648377278742766,0.054692502680912594,0.0014093204997902564,0.022648000042308436,0.005414736691851496,0.009434013660045829,0.004822859741220653,0.0009284147963816713,0.00016800081474088735,0.0003767669500938098,2.0114551117611512e-05,2.8284531043976102e-05,6.954944244794148e-05,4.387668800287514e-06,8.26223286227723e-05,2.710308225790936e-05,1.7186577756234112e-06,4.925701395652737e-07,3.5790827856985175e-08,4.0900089159912056e-07,0.0002941344897100795,0.00029864231546176956,5.799637534394109e-05,1.3196868854703503e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.060590440700599,0.33304664178909993,0.02894569094706112,3.859916401637146,0.12813396905446828,0.30590987512968476,0.003989639066545925,0.34121274601480867,0.044104506709104194,0.0027948814629653596,0.0033028172499485475,0.0009404732303841118,0.0023707761672872446,0.004740357133811934,0.0003660247025126795,5.285300596113984e-05,0.00013761772908893466,2.563506035890839e-06,1.4546093956013806e-05,1.3792608273111018e-05,1.0447103148125692e-06,6.450055556772583e-06,7.1159679529003705e-06,5.782454334524179e-07,2.2176001257534494e-07,3.2920992376617164e-08,9.187276228672658e-08,0.00041198134619485627,0.0005014873657266383,8.897443052295617e-05,1.6839725425099594e-05
