,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
1N,0.0,1.0218316455274377,1.0237625130356436,1.4737909775265443,2.096741672364004,2.4518592959699115,2.598589465987161,2.6980394806225427,3.8391791105556647,4.179710320980553,4.172602922218007,5.2866866611389085,5.635332952376961,5.112125484994072,5.7559664143953935,6.667168678469589,2.4903874716587335,2.853190934171573,3.604812511057793,3.8836524800043177,4.8308806063806,4.917213226635828,6.003721680210715,6.324766286114525,6.886214694743391,6.062357923654008,7.187216040472578,5.205082422199737,5.444235553280477,5.583906268241141,6.365240345977099,6.902890572249853
2H,0.0,0.0,1.614997735879706,2.0340803553605684,2.3112250175468168,3.3318072947770463,3.5083698881320537,3.6496196731846866,4.582285904618418,4.805680294598206,4.789700428432881,6.161472620026386,6.527837540571095,6.0420668605553205,6.54783892236923,7.583297454416042,2.74230750208107,3.1462314751572773,3.6626464467023614,3.806714753469895,4.802249706457351,4.7202197983936784,5.899501152683277,6.368456200732059,6.7358665052490565,5.770808071464953,6.805026273978095,4.910387641133198,5.641477052678766,5.9786790716868445,6.475265490952584,7.124201043077188
3H,0.0,0.0,0.0,2.002990439868727,2.8969423768807805,2.7412754974110136,3.051815141193147,2.567619654574563,4.159927337888273,4.378649946620243,4.712602972621962,5.460627621941447,5.475548608129668,4.808143465753887,5.569177568883467,6.48494241524495,2.49662483093429,2.379390066912692,3.7838095802409404,4.300891368614086,4.813673346296816,4.796102005193433,6.156571918227726,6.517660967716443,6.944721100806206,6.427439113097665,7.548099659670693,5.729409128753889,5.220773765077993,5.375933001372484,5.997250517277113,6.470991530361616
4C,0.0,0.0,0.0,0.0,1.0973577267549461,1.5453101183094622,2.1564285440464572,2.144616166728457,2.576745336725065,2.7907407040431105,2.894920636109046,4.244539913099648,4.703091650518937,4.4219803216668,4.6862190591241975,5.777096492459097,1.540135340081337,2.4077025813163835,2.4497154894400337,2.7162604060297477,3.8147801853627508,4.186919785625233,4.867914617348336,5.029765405781887,5.829400978949371,5.025210587241272,6.2234555724399,4.186030295834625,4.406501806516366,4.425293862959499,5.515876662790185,6.033684409434553
5H,0.0,0.0,0.0,0.0,0.0,2.172302445219872,2.530964314096834,3.055345276662118,2.7877165487571496,3.0426071888894923,2.673035523646787,4.555272753608714,5.331993360354601,5.219957650686024,5.290612107916763,6.384620597233056,2.1779546931559457,3.2814746563031836,2.5441749870931734,2.354741232685824,3.9837450580929494,4.417950525327951,4.730800361875383,4.867037200321562,5.7604025781121795,4.5731441576006375,5.734622051297966,3.544563006610293,4.829646424133727,4.897845400506804,6.002651446526868,6.595726877821878
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0958776368166263,1.0977445867818214,1.5329425499427238,2.185819427796535,2.175765419552533,2.838665838451657,3.4222551613428083,3.173980694413519,3.668511858864033,4.440387023414755,2.5089934340591156,3.094062712324402,3.3413898175858243,3.695637761708253,4.610448360794983,5.190620933009683,5.620076069984551,5.505664535079549,6.591484766138077,5.993852250636279,7.230076230147609,5.204335303039618,4.779708865484451,4.393177742591367,5.966178026085336,6.265841858738401
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765831782870292,2.1717959367509527,3.0870438988153883,2.4837579763417827,3.079828184294179,3.9701381617361906,3.684652422832761,4.4414788878012965,4.865189623076928,3.450187399461345,4.026896789737254,4.288925182173795,4.489467170987527,5.6264378617993165,6.1704805930012405,6.57530290373257,6.451505309269685,7.579897527546591,6.790227007202752,8.009576479488194,5.8713742973966365,5.870743545396953,5.4730300812468515,7.054981515965206,7.355795396340274
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1679955753921183,2.578772665618522,3.077814382837772,2.9889135960566224,2.984364226056446,2.4327804427872026,3.284757941429173,3.985599698984428,2.6741917764203076,2.792777378369716,3.715018844085788,4.313384886942194,4.781778066327456,5.274309033336354,5.976846289975846,5.898408559097899,6.850403910606228,6.565658991915805,7.7989895256884125,5.919865318160016,4.675240640156299,4.2323179381907,5.724213323380815,5.911308456605825
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942569777785536,1.0963207005368485,1.8420259926196607,2.8054678467337206,3.0795824355612247,2.9021065459465385,3.769908032584387,3.07035638904381,3.8112261697407215,3.3452763072221456,3.5764081607288563,4.4702230889345484,5.310888248883798,5.166795217899683,4.766481281636567,6.153547115888243,5.6338627293791,6.850653890640648,4.942970478825765,4.490667546139558,3.8530922304645636,5.796436457128765,6.0069242396849285
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7634352927573809,2.4105978652736075,2.825443166685912,3.2009344108257127,2.4974958063679065,3.820390851061022,2.69876480460042,3.40254731286583,2.687423744872228,3.0539512842700853,3.587475534316383,4.511378377828046,4.250676952829198,3.80470282250907,5.184595761148294,4.924697298295634,6.126754057354002,4.440745843200607,3.4837999682273137,2.814172728486284,4.807394149006551,5.011083237864915
