 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,S33,H34,C35,O36,O37,H38
N1,0.0,1.9173311228054515,1.777220011909591,3.0264261056210833,0.09598839820098992,0.20842527977661024,0.016330632235537323,0.009822552221617431,0.03595829970847646,0.0020985752949177483,0.001101794452576521,0.0046388139546613,0.0009074496578765912,0.00013620943684211628,0.0008073011556389148,0.00046671708096457376,0.00010630156794250167,7.495391992752565e-05,6.96849144624645e-05,9.21416860633073e-06,3.136473674716922e-05,0.0001122557730209861,1.1888309122687346e-06,0.27155067030475144,0.052550036221001656,0.04917724968063661,0.003446095005789185,0.005114520693826688,0.0012900491181214724,0.0021326388891789866,0.000359361581983797,0.00020397312765429998,0.006551085950744155,0.0005894064117639708,0.0003989714414849854,8.874221692145579e-05,0.00014256874975414335,1.6396659141326708e-05
H2,0.0,0.0,0.02791032529019355,0.10700423336701936,0.006101812509695881,0.032483338008825524,0.0008318561906173194,0.0007499150602614524,0.004803642174833422,0.00010226881423247569,0.0002602017041579696,0.0008181063042229653,0.00019060611595778099,3.3318137461435526e-05,5.373521285956251e-05,2.700603083516384e-05,9.08244204878006e-06,7.398500694755228e-06,1.2186175395001442e-05,3.160273407409875e-07,2.3898983433356946e-06,5.47911513715249e-07,3.5978122792101885e-07,0.008171406443392315,0.0006595447638565455,0.00860634113486014,0.0008844674290251486,0.0008883189799197,0.0004805989915737108,0.0006937692706383558,0.000293100522812173,4.10079626944615e-06,0.00861183052037473,9.632414532001476e-05,5.60815318868535e-05,2.5722805308769914e-05,3.449440283564975e-05,3.4183123676090332e-06
H3,0.0,0.0,0.0,0.10206070744507645,0.03665817855725084,0.010896737508833132,0.00024726248376483184,0.006287438000986745,0.0010769708831357416,0.00040365733383684876,0.00018379094100096083,8.187791697711333e-05,7.534132072883892e-06,2.11185157334981e-05,5.2131418995515766e-05,5.877031536538624e-06,1.9717064015489782e-05,8.037216132628089e-06,3.2870199784262866e-07,2.35849365592955e-07,6.689998089393079e-06,3.737267608272532e-06,2.9393407374733727e-07,0.011297441816377929,0.005898956735914118,0.0006252175992742526,4.439504398368044e-05,8.487711640736695e-05,4.868921405165594e-06,5.22687712397607e-05,8.64187893445667e-06,1.3107109506860226e-05,0.0003442298493582241,1.4937254060320981e-05,1.2743240694779168e-05,2.8517404349059916e-06,4.333861467253897e-06,3.7966109167619777e-07
C4,0.0,0.0,0.0,0.0,1.876828321519711,2.742844964915454,0.10341864862789207,0.08840411172620977,0.1631167892900994,0.02199058717369784,0.00642965675346141,0.020673612687499482,0.0024101978186805706,0.0008370552695002864,0.002658276071958149,0.0017711133674108703,0.0004215875854321205,0.00022888897389755636,0.00016171933667585847,2.7425710718231855e-05,0.00017122643108093138,0.0006387698283868426,6.291201547936609e-06,2.697266608882802,0.2511721117670704,0.23819443996037068,0.017776410007016352,0.036843581715747364,0.002436691120344503,0.003026722821913047,0.0006099668162704575,0.0010845043084894979,0.0010304253107439598,6.854487026419775e-05,0.0043139031509499826,0.00047828431496127477,0.0012457292186537627,0.00026035811151359223
H5,0.0,0.0,0.0,0.0,0.0,0.08164541993642205,0.00541528739363728,0.03455411467390057,0.006473572273764772,0.0014373179399038705,0.00021123771127085078,0.0007892734182931571,7.589717900380322e-05,0.00022537009537426655,0.0002964418044522077,4.893814649098438e-05,0.00013618905981793716,4.5584610870008646e-05,1.6112659824152331e-06,7.475843581961072e-07,4.143698789649264e-05,6.475269243177983e-05,2.787906161483278e-06,0.10072793505427469,0.022272354838222985,0.012049116331069865,0.009102990426821611,0.0016003186306405848,8.010602600205807e-05,0.0003976090697905832,8.060036514700997e-05,1.2931230796819904e-05,4.910921693368486e-05,9.252429560291375e-06,6.513002699581882e-05,5.9024516670169724e-05,1.4007500215074131e-05,4.079442518456489e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1048804758828283,1.8818853562004763,2.7551228298996167,0.07253348881368438,0.08324466866434121,0.16246070083492084,0.027420967416525555,0.008884685711608942,0.02432711972165691,0.009801363745022718,0.00357487507816312,0.0015719960243201214,0.0008751596052559707,0.00013962139109602312,0.0008566677862872352,3.878928382905489e-05,6.873094234749466e-05,0.16472017804263447,0.031044244744658306,0.02734676328120951,0.0020274075374983047,0.005591768232819622,0.0002342255766711876,0.0003554495244602607,4.2735343301569806e-05,8.034734748108008e-05,0.000386194931557976,3.5331062315346884e-05,0.0008642805933168352,8.300039618958088e-05,0.0002972709535953022,9.092756653239498e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026241375601552264,0.08773263124670083,0.01432162432703743,0.013929502462337595,0.0066774591508754755,0.0001672455721046795,0.0003842013048036552,0.001451057086651164,0.00019481598766479813,0.0005470897052513024,0.00020967728688237042,4.003327651824762e-05,3.990359551742095e-05,0.00015158949969229507,7.409807531777446e-06,1.3004201577127006e-05,0.02911073143877463,0.003576009672575542,0.003709287372779979,0.0001009355386705213,0.0010124120395258451,1.05671213714853e-05,3.961616469339013e-05,5.982539168281065e-06,1.4603956803860285e-06,1.5024724013712465e-05,1.0622243631353001e-06,0.00018103064240682087,4.686215896332335e-06,5.9710145628999456e-05,1.924850545820256e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07451908669334761,0.00643676160653861,0.012925365883482032,0.023237236821176177,0.002633219973757761,0.0018017854680048018,0.013385149625729564,0.006515130521887125,0.001231015577555672,0.0007310578753850772,8.761935397227916e-05,2.7099393064888844e-05,0.00026890652409805593,1.0335406771533329e-05,1.906375017912687e-05,0.009188097819708752,0.009418530893765542,0.0010797603283038137,0.0008690389040602042,0.00014125356422289848,6.999909538007998e-06,1.2444044527937237e-05,6.450551710557306e-07,2.0810897933820627e-06,2.886286848857722e-06,2.0887389129420342e-07,4.016195257250388e-05,1.2318431994673418e-05,5.223536875265111e-06,8.704862717312523e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6798966636612571,1.8701709197678231,2.8366818365125566,0.08586873825634833,0.08327565477859888,0.19043796299787666,0.01909922117883922,0.028338299455830135,0.005431771652731385,0.0032674104800906045,0.00023077564796414318,0.004534946944350346,0.00014782789844813848,0.0007021906115867171,0.01861811839268737,0.00904264890580149,0.0029564768173847844,0.00011869153252719311,0.00035276139460319045,3.126353019455852e-05,0.00010395825628084499,1.031186873301504e-05,2.73497800206135e-05,7.728543629624551e-05,7.052193615075808e-06,4.1129677223167294e-05,6.15129448716667e-06,1.7406468367925365e-05,3.718649196016166e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026436070566130843,0.09236574533046371,0.005280947309731943,0.03373034166833144,0.008727703274871823,0.002737783269102012,0.0007842142789820095,0.0004579982439105734,0.00045879796138970086,3.71269719758871e-05,0.00028333929060531116,3.927473812170845e-06,1.6229156172054005e-05,0.011190156958367448,0.0030322415475492193,0.0007578487112319676,3.9198988548205804e-05,0.00013878377268983222,1.0674852054304296e-05,4.4822723950899146e-05,3.977393418175268e-06,1.3710264052058108e-05,1.7733125318275533e-05,7.777775512529672e-08,1.57067899797525e-05,2.0115968860645594e-06,6.634114923964596e-06,2.003064688116396e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10695463703220587,0.004158707119379379,0.0042295389102271486,0.028423550490190297,0.0011550793437546947,0.004376757973934886,0.0002274032156128758,9.152710784854357e-05,1.4718369872435133e-05,0.0010283785674553014,3.860057563254138e-05,0.00018183464019805307,0.0007691367290278972,0.0013142569742574661,0.00010469714258221074,3.862718322755754e-06,1.0741458335683518e-05,1.0637984340089446e-06,8.168733451441312e-06,7.75549896525618e-07,5.292247040822318e-06,1.609851938311202e-06,1.6645345368715425e-07,2.098770551572926e-06,7.472737296732035e-07,5.794842091733088e-07,1.1323270321383916e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0251824593279943,1.6992825270274354,2.7279843295916497,0.08591332961701692,0.2729669007289489,0.03755887511059898,0.021647931353801386,0.00202286612334579,0.04728396728144743,0.0015942463180997901,0.004277671570746322,0.002679110174867827,0.008950540488322556,0.0006342056642047872,7.261403427527569e-05,6.864509278381448e-05,6.854893840113618e-06,2.6781111195958718e-05,1.0939316111846509e-06,1.173621623606902e-05,1.259166736572448e-05,1.3298049390542133e-06,6.189210030177472e-06,7.601532188025728e-06,1.6882237775656117e-06,3.8840344240842484e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02302389372006508,0.09443003184849119,0.009151500821167335,0.021778542816518698,0.010812421455122734,0.007139502225120387,0.00016487822264199536,0.005541851691245991,0.00018655595487704346,0.0006109854229354728,0.0002979420285929013,0.0009349176501044498,9.112771328745328e-05,1.0547750791012334e-05,7.624615532941803e-06,1.269849140728141e-06,2.7787941467849464e-06,6.432398103051185e-08,1.019194757478914e-06,4.40062816009501e-06,7.85219445686991e-07,1.2521347103611191e-06,1.425986164482751e-06,2.140205905831749e-07,2.6917313711294355e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09584369801357828,0.008145936084899663,0.025133667932548898,0.012050260401256674,0.004750674288136247,0.0001875158645687769,0.006118802156164005,0.00017474084135460366,8.910498051051263e-05,0.0004277981981710699,0.0008139827447107839,6.518988587012053e-05,6.4541525073291695e-06,6.295499533015558e-06,4.3167041408054274e-07,4.068448436811423e-06,4.409039064956488e-07,2.850242794671942e-06,2.113961159122546e-06,1.0684883111622412e-07,9.810402110677074e-07,1.0264692972272726e-06,3.025843551274221e-07,8.619040658963684e-08
