,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33S,34H,35C,36O,37O,38H
1N,0.0,1.0185330458508755,1.0193354162174342,1.4659479605159493,2.075959005340434,2.4373327523063537,2.5846782391327148,2.644955763461525,3.8582495873352705,4.065435495652435,4.425441718809303,4.902754738346341,5.860295857486247,5.146999483902046,4.844030636597902,4.107055063267595,5.900091865425157,7.005771505359576,7.139639167781556,7.770127664798152,6.1257327652267195,5.539569092785606,7.108691369575367,2.4717624789714336,3.2554924895377733,3.1382838250961016,3.1430274948337815,4.394151440199716,5.015088657239556,4.615711087026534,5.707494405984801,4.3685652740855465,4.32487188569864,5.379652110390898,5.322129622137236,5.247932382117256,6.541479290765866,7.162771119550315
2H,0.0,0.0,1.6396608160217043,2.0729278851408193,2.366223523014999,3.3460621396834775,3.5106346802482045,3.611629246911861,4.651163116956837,4.676931032970904,5.20643223359084,5.7620546078263395,6.6712770822828205,6.095823059425276,5.622584313732816,4.790303658359966,6.666646193324462,7.835668890386572,8.015623731984574,8.595338007633547,6.779025531463672,6.089178705109561,7.7352259365684315,2.7155657004761764,3.641477432904698,2.935842153483145,2.746793788194494,4.082356195053764,4.884020145263645,4.2207188043823,5.2953143894188495,4.177217456655108,3.627270700515692,4.5806532201341605,4.820420925229599,4.667972418295726,6.030336175248695,6.582833212190137
3H,0.0,0.0,0.0,2.059233034563482,2.937610422016061,2.699152355373945,2.9661822178840707,2.4719852876330126,4.161344087599913,4.458172246967586,4.862118879092667,4.925647354929123,5.955529682300054,5.0809472733811125,4.643526289949923,3.9010575511766326,5.532712035389945,6.6627164140128885,6.903545232772122,7.334184290556431,5.603983742780117,4.999502214592019,6.5552256226994166,2.665067404018935,3.075984236181882,3.495280240098123,3.7392394105290054,4.555779303762395,5.106332663803186,4.492580043802229,5.5557813329520425,4.0377959377090855,4.226994196031576,5.4356089579511115,5.672985353781435,5.79147884166224,6.7876283820768695,7.495977045435487
4C,0.0,0.0,0.0,0.0,1.0980895843532976,1.5355277427347307,2.123949897923117,2.1426976292080853,2.6062236179358713,2.630936670205343,3.259004419102545,3.786472716317312,4.632131551762625,4.258126374399166,3.83172039096415,3.1163769411962203,5.030061955842163,6.114299285263642,6.180138583893454,6.974297343630964,5.433824286501509,4.91892435586649,6.429797965597223,1.5439770246441884,2.462004672706332,2.440926451972935,2.5748084568112835,3.8272832923287825,4.2225748200608395,4.4716250122837655,5.523266422197927,4.247782176621649,4.719486054675239,5.659852606166985,4.783873042564352,4.73675414772373,6.026023514721885,6.663091639303992
5H,0.0,0.0,0.0,0.0,0.0,2.160952389211748,2.4579415605707187,3.0508380068667083,2.855612353922251,2.6824378829866373,3.219812062566321,4.273756999190253,4.956647617649256,4.810652510939289,4.552697590865212,3.907773467659421,5.823010355886983,6.840346688935687,6.802001982953313,7.755697745143952,6.325250830566859,5.832012370228254,7.309727505407815,2.1595474247826485,3.2738198115933157,2.5590169753702465,2.2993980299301735,4.008420289426452,4.467013709491948,4.898015596457387,5.917557026456464,4.894907151918053,5.07187564326184,5.808246968249817,4.641210370279174,4.3335476227004435,5.953659160615977,6.457495690921064
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0933224271510336,1.097944495402358,1.5505768892881975,2.1989835137357603,2.1883733727416286,2.577961628203211,3.52077007687078,2.8271268626415296,2.9851357353932015,2.6530918618302257,4.2002789921224375,5.074258195785946,4.9889874452276874,5.952487095683069,4.8964315415925475,4.65579323037861,5.899388844722877,2.565945947544379,2.914496128388933,3.737960496384916,4.003797881964649,5.022560762091221,5.164323864727404,5.65545420847436,6.663192919070629,5.224393791326824,6.075236498525933,7.097586007253189,6.089946963884073,6.105184501955919,7.275099948430483,7.954769569361104
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7491475848180669,2.1890345460262686,2.9735387658618793,2.326931366700239,3.233030431933689,4.117502600405619,3.1953910400821877,3.900108450364313,3.6982053783037556,5.060945370914528,5.789615076154217,5.583485376338227,6.644177766462534,5.821936970368525,5.640587447671491,6.815384484419114,3.476899049851763,3.954989517727081,4.529249610029078,4.606145351425865,5.895509615482697,6.141191023835508,6.502279628945682,7.547321108240167,6.114086269757105,6.690702945477481,7.705755728916002,6.856205200737147,6.725578939318039,8.100467109919109,8.722209922037248
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1886880216641638,2.8969462397790227,2.9629436660109816,2.5722408590807375,3.65257802353924,2.6090217431929004,2.606564214112331,2.3068887135804133,3.6157371863450884,4.52794205784363,4.580934577840243,5.304374147583063,4.185307297540447,3.9747434480456705,5.1820316227687835,2.8097458875028947,2.7454994223456044,4.118992172038445,4.568208267196026,5.243200388133978,5.329353651910696,5.617928977193633,6.598646242698727,4.996776482005458,6.060897448721675,7.208365145355698,6.48938559237013,6.672442584709237,7.588028760264876,8.351681704453096
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0981235761846584,1.0945051313796033,1.5351792496905483,2.169979391822425,2.176483207396173,2.441747410108741,2.472812149302383,3.7259976286716836,4.39375236449609,4.127535246879085,5.373143534423231,4.706502903917939,4.662311814872469,5.636891227995885,3.1333540908965904,3.2923637078755035,4.181797209068054,4.4992134801997485,5.331400509629929,5.200301855708347,6.234962180815696,7.131667998578305,5.846536437643406,6.996614440668262,7.897789992451782,6.3131781547124195,6.348176924563055,7.420667058033389,8.07452507963019
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.750112453822015,2.1469766991814683,2.463028135360401,3.0657504292798348,2.6824885634047377,2.495379401137095,3.9635854706756244,4.742590811466325,4.569123735208852,5.735940205796551,4.8184169460368995,4.655649761591159,5.711901025618156,2.752766308206601,3.012898840337484,3.558924319465154,3.8803730001227827,4.609489042721865,4.402470313782508,5.69818701901537,6.5271370042303,5.444510268930749,6.612985877011201,7.38002404696817,5.475040665034284,5.516945990693557,6.543123438322973,7.162295021626312
