 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,H39,C40,O41,O42,H43
N1,0.0,1.9259340961591775,1.7826089620640022,3.0015405359229144,0.08444975842119695,0.17730689227761634,0.008780282311320331,0.042552378714399236,0.0007427745090842208,0.04829445663978804,0.03212920915761909,0.0009045182690361475,0.0037516899268887904,0.0008121510142631294,0.004654327026773333,0.00018417891565203348,0.0010848800178018259,0.00030912594200316335,0.247951096355437,0.0575448279431063,0.03608247759504006,0.0021573163249757332,0.005796258829334849,0.0005526773020368969,0.0018353011003312547,2.6124274488670274e-05,0.00032820573000569286,0.0002930124027091946,0.00148991509894629,6.105986313809098e-05,0.00019652350111236394,3.940938336333133e-06,0.0016004478990189475,5.81033286064514e-05,0.0001258042317562741,1.6090609278318624e-07,0.00027658666605517856,6.515983815380544e-05,7.22892432580835e-08,0.0005191940874668677,8.591396789421613e-05,0.00011891487102322351,1.8242825935987916e-05
H2,0.0,0.0,0.02708534796430806,0.10690034815338756,0.006597596423427277,0.031329911333841776,0.0007856521230209523,0.002160327783066629,9.507130379993178e-05,0.0004466160276650477,0.0039708626247055845,3.251570048323771e-05,0.0010031320324970228,8.917708577116379e-05,0.00015790019714012615,1.048332807007668e-05,0.00011674740300748887,2.2905776609460915e-05,0.009857284673215227,0.0016150782553566723,0.0012617739674509743,5.349727122183623e-05,0.00022704478020751928,2.3565380724122065e-05,0.00010824000700482284,5.61350607219957e-06,2.7261584724103116e-05,0.0003898728784104133,0.0050301318306126275,9.078349116209417e-05,0.0006651694742464409,1.1535363597658943e-07,0.00621490784482337,0.00012435227678886385,0.00039792467747290505,1.012709383019228e-07,0.0007899628116186941,0.000247265408093722,7.474732444112675e-07,4.564648278782002e-05,2.9208134080249692e-06,1.0984269798952617e-05,4.049287706919813e-06
H3,0.0,0.0,0.0,0.1028955989686019,0.0362800151206637,0.009248858573860042,0.0059453705911587384,0.000702279932651706,8.722135403838038e-05,0.00045089598918224283,0.0007827136153114589,0.0004890954091312238,8.094733832497703e-05,2.791043491545686e-05,0.00010110890559311692,1.3411374384597607e-05,3.632442210288467e-05,7.011869782580504e-07,0.0199545184837312,0.04032125207491144,0.003439185354998542,0.0007129914180858954,0.0004712726706939119,8.954541291394946e-05,3.898633765375692e-05,1.006624756705321e-05,2.5968113925856073e-06,7.785340551458297e-06,3.6344574968261156e-05,4.908461554986587e-06,5.4693000720584806e-06,8.635201207418675e-07,4.6385253878900023e-05,3.1976346781537046e-06,1.9620746500192965e-05,8.086769609505495e-08,3.568954998145468e-05,4.972209172948716e-06,1.855628761759931e-08,5.241170932868133e-05,2.2957623937225335e-05,5.83052798441841e-06,1.353016935823348e-06
C4,0.0,0.0,0.0,0.0,1.8391836109040847,2.6639480591456612,0.08579398878595645,0.16271086795064227,0.006097872089496192,0.016131238133189285,0.16767948054144294,0.009640860515106375,0.030057372852718922,0.007467778911560918,0.03129960122787716,0.0008344283353161064,0.0005577409372932163,0.0032692459741099356,2.585260951826241,0.2741036226855681,0.2325837199455063,0.01789026173281605,0.03553883581527112,0.006286541730322059,0.0032473552859505622,0.00011299923031149461,0.0008253212815145794,0.00045218254149254067,0.00029306260490860603,3.426099659908921e-05,0.00025941571064755364,2.3395125879455136e-05,0.00016988391830495553,1.1072149507906914e-05,4.6524462364971875e-05,3.3294646706316655e-07,5.3028074026462146e-05,1.0886257118231102e-05,1.0386431525954976e-07,0.0039251487308174515,0.00040996605753457205,0.001095451776322559,0.00024539716181271043
H5,0.0,0.0,0.0,0.0,0.0,0.07941987747001655,0.03593824977829896,0.010101245599124065,0.00402596863742799,0.00033184598013380473,0.007051715583384577,0.003945815195736557,0.00027460951274593803,6.122674087660762e-05,0.001050665763233538,0.00036870746036021806,4.2905673015347645e-05,2.0776148173862197e-05,0.09144504105283247,0.02066017652294372,0.013646884369637347,0.012298778190239945,0.0022056894695086093,0.0003813988068062102,5.531258822832896e-05,1.7752221381783784e-05,1.360430358920972e-05,3.4412181878273884e-05,3.539630674542771e-05,1.4401533418917367e-05,1.810123075429715e-05,3.837404260353949e-06,1.0346162931940128e-05,5.055451941515798e-07,8.214167583453502e-06,2.8913840877109465e-08,5.802695816070624e-06,1.284866459783096e-06,2.0650157361856714e-08,0.00013084331495072377,0.00012095096141007122,4.567760410401078e-05,1.2610335410778717e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.779110327967774,2.7060018160045356,0.0853673106549604,0.08851081448414,2.803040277177652,0.08066143770258494,0.08845083920147356,0.08415102858779511,0.15827058693293589,0.009714458115923197,0.0059847685963845265,0.028732295200457836,0.17553774534783853,0.03376840949285666,0.028448101153904976,0.0012799052358942742,0.004363593415202469,0.00029395312595315026,0.0006449555129317414,1.972790282600556e-05,6.421379450605169e-05,0.00016452565195738955,0.00012695256311366643,1.076366435404097e-05,3.786845040965048e-05,1.641050234590935e-06,5.61085964307928e-05,5.17236299391044e-06,7.0527016991089875e-06,1.0668620586962163e-07,2.1896968559226293e-05,4.2776004118422195e-06,5.329967278644432e-08,0.0010684166712647547,0.00011685982529935357,0.00027666451941210646,9.89071720280954e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08075368279631712,0.03503081392848073,0.0026974239698884794,0.0809030003952178,0.03488324800978382,0.004188708462759427,0.004628987428326736,0.01193687517061881,0.00552131597871397,0.0001128306779567545,0.0006966130875212251,0.00936243433270545,0.011083759913837032,0.001808991641912172,0.0006740064018542213,0.00020090108337633694,3.4702124005914214e-05,2.8570306089381603e-05,2.1109208672154267e-06,3.791068498459893e-06,7.270038708817594e-06,1.0908010642740606e-05,1.7508921001940791e-06,4.2754324992566595e-06,4.351325733065181e-07,3.0227896122836384e-06,5.8402240599164656e-08,7.151721659326427e-07,1.2562852313990902e-08,1.179907896275978e-06,1.8991648598198907e-07,2.177476421394431e-09,1.60535951185814e-05,1.2373112025398925e-05,2.5480261556243278e-06,3.4253962533092874e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7304998439719028,1.9219235429318362,0.16132118885584962,0.008880026925604634,0.007445466544147461,0.0315034621351864,2.8848666067284467,0.0840294378390849,0.08247877461160646,0.08698607680162218,0.029284055037572504,0.006676261298269495,0.004532483529072179,0.00013532184090092603,0.0009246086257398006,9.407008999195998e-05,6.645020987330885e-05,3.536849960017463e-06,1.505578996985335e-05,1.716852665388513e-05,2.1094306701094356e-05,8.696649471673368e-07,5.246207600131947e-06,3.381861479745396e-07,1.1106691800419344e-05,4.4544073030117204e-07,1.9082642493117863e-06,2.26605740838437e-08,2.809115046520372e-06,5.357822515233979e-07,9.676470957842298e-09,0.00024362301201763525,2.7507546853669518e-05,6.57679583231513e-05,1.747556923625826e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02409688825088585,0.012461772240486502,0.005526266132628521,0.0002085171795138674,0.0007736504303155201,0.08456306863835827,0.034751462486174445,0.005022420537206251,0.003989389908996666,0.0007770261623940566,0.000559816195727092,5.5856792434694214e-05,1.0731522579021657e-05,1.3538198493590059e-05,6.66169600416211e-06,8.071736319337219e-07,1.3850118985025972e-07,2.6824409804504512e-08,8.742626009805576e-07,2.735869704117988e-07,9.934726596938503e-09,7.379620408087817e-07,4.8026312260418536e-08,5.65474160607593e-07,2.198936388531081e-08,3.3445597291681395e-07,8.343914448261103e-10,3.0341872570005535e-07,5.3302860569814925e-08,7.647438238223003e-12,2.7284120771575715e-06,8.059898095602591e-07,5.691772193561206e-07,6.208093883408594e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028698349928293232,0.0003816575253128285,0.0009458835139806165,0.0019405746112597377,0.0874666592022979,0.00452248495194052,0.03287644578988669,0.005336575012727218,0.003042018542787739,0.0003789488337382352,0.00039171326282294583,1.3819238781298537e-05,9.541060536788493e-05,3.963639617632353e-06,7.047658595049633e-06,6.896171766967996e-08,2.018900826294967e-06,2.455404980894471e-06,4.614209969444616e-06,1.293302507310301e-07,3.561983377142752e-07,2.0898486940978955e-08,3.4843383924787474e-06,1.1489197349057179e-07,4.834523185115458e-07,8.785712157788339e-10,5.873048598559194e-07,7.743086405387345e-08,6.171085864536963e-10,1.3732835062008064e-05,1.0288087410881275e-06,3.7888736826863223e-06,1.1631136187517654e-06
