 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,C22,H23,C24,H25,C26,H27,C28,H29,C30,H31,C32,O33,O34,H35
N1,0.0,1.627782928465337,1.8961090510298662,3.0198756583337003,0.09178080249616372,0.18836850898517637,0.02580303896298497,0.003979574786652895,0.027701509649366823,0.008514535378721544,0.0067578443150257475,0.2107052944333257,0.050618237691793466,0.03296105638770483,0.002662109551376468,0.007265587063693374,0.00023391605222189416,0.0006384584032362584,0.00011278128952685318,0.00019204808672934615,7.263435371085425e-05,0.00020703308717964775,0.00031257670998152687,2.510656870269301e-05,2.7118212420074173e-06,2.840886942256926e-05,9.223686117110219e-07,8.985281213916285e-06,5.080075391461492e-07,7.729374250101118e-06,9.469856685484501e-07,0.0012661882151092374,0.00010618895987270227,0.000377157304319288,0.00010958978588804236
H2,0.0,0.0,0.025716300061502162,0.10239831248760478,0.0058985134674138795,0.03305978954562194,0.0019242193954160935,0.00018114463626695,0.004780619596201796,0.002261274205861863,0.0007637918314243874,0.01212681260118742,0.014989991305091821,0.001380941991265816,8.667504324755271e-05,0.0002926614399936245,1.3901045685438262e-05,3.352667102185514e-05,5.322014078323889e-07,8.327734579482993e-06,6.474889945351503e-05,0.00020595216012864181,0.0005161953109331652,2.705437915162534e-05,3.964118567623132e-06,4.550002441194856e-05,1.205281345395548e-06,8.929476819075077e-06,8.487678637703056e-07,9.78624319425414e-06,2.386470020043774e-06,2.3779399771495235e-05,9.538407071962851e-06,8.495659063356698e-06,3.965932792837634e-06
H3,0.0,0.0,0.0,0.10128965588354888,0.03810944480567313,0.010467655316772073,0.0006992018734737204,0.0035872312743259194,0.0012820361296390637,0.0006558554389689553,0.0011947408589626507,0.01535334358375473,0.04226926519046559,0.002596339334438258,0.0003459592812731227,0.00031831134793292026,1.7055755705319697e-05,0.0002106257545062551,1.3088464924537746e-05,6.124626833670099e-05,2.493191276142781e-05,3.1089955662588764e-05,4.6220992503398506e-05,1.0397264585404464e-05,5.100379791844745e-07,4.328665699548928e-06,4.2037751946111257e-07,1.7819934714502494e-06,3.0153057917203796e-07,3.983703936838445e-06,3.299667856726529e-07,4.463461280779235e-05,7.609235131433856e-06,7.652449929729244e-06,1.0117785023133763e-06
C4,0.0,0.0,0.0,0.0,1.9848529405966597,2.368183373156358,0.09547905475314522,0.0825023016659947,0.13548438555006945,0.04280737241040675,0.04540559949548528,2.4951030266906407,0.269658004017939,0.22902736126983828,0.018103254689222248,0.036015369173628325,0.0018937283064393018,0.004279866854160014,0.0008303623169978458,0.0031508065153604825,0.000365835130356873,0.0005440884867503604,0.0006614602367398525,0.00012223762662158522,1.7432491030922037e-05,8.445124136366444e-05,5.544934480239405e-06,2.7565540981655534e-05,9.102075342326543e-07,4.049436136208118e-05,2.507778098070901e-06,0.004429352366166733,0.00030887750204799946,0.0013027196428911092,0.00026352791888684113
H5,0.0,0.0,0.0,0.0,0.0,0.0821213086426984,0.002293224329866561,0.03356898202889891,0.0147346352175044,0.003185922904130667,0.02224912190734607,0.09716668919649085,0.02539457765263653,0.011882808454033222,0.0037985391392560963,0.0016897513871825254,0.0004404145899195022,0.00025389393786079406,1.97551385729966e-05,8.325258661168178e-05,3.7870215855884126e-05,0.00021529478976289873,0.00010313643389991967,1.3576180869057097e-05,6.449294025490104e-07,4.281388602445091e-05,1.1927335767936142e-06,1.2207426661747789e-05,3.082315329638874e-07,9.252502920498173e-06,1.1374153896515082e-06,5.495823284995538e-05,1.8976717077512362e-05,1.7409524728617676e-05,6.916716891458563e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9240074367484608,2.071800904350461,2.547913603973507,0.31866657541267074,0.27375742040968787,0.1935387448547417,0.03728916390812828,0.030569560673417456,0.003952306913197923,0.003074419245329557,0.0007370300806629482,0.0010397105422711717,9.226071401036151e-05,0.00017470276526387885,0.00011483488996016922,0.00025919479816147173,0.00033339213934713285,1.4556076340738189e-05,1.0485839740947966e-06,3.0318141768126416e-05,7.33336919855887e-07,1.398055648257901e-05,1.1432082702711455e-07,1.3387812040063785e-05,8.839280192241006e-07,0.00031178955228794436,5.234359696132396e-05,0.00011432908980819889,2.852497650551733e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02498147726715394,0.09070445388375337,0.019441771920713502,0.022173319288800952,0.028814387211833825,0.004604026001080674,0.006127095725676712,0.00034659675739678875,0.0007890033109658745,0.00014667430759773836,0.00015740202256819824,8.529537827151046e-07,5.3219707291329854e-05,2.0994314773759015e-05,2.1213017318055805e-05,2.4521649157893677e-06,2.5966915988551165e-06,3.0779074489117875e-07,5.598423209018932e-06,1.2994244769082286e-07,2.9813929069977263e-06,1.1955398449003951e-08,8.978864201036885e-07,7.505673949026459e-08,5.3283510704549286e-05,7.70266520966345e-06,2.4020080297892932e-05,9.693198094851141e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08347634622989553,0.018724209518979018,0.019408341310859667,0.01638696427183861,0.0033397642026744556,0.0010698684924637103,6.670297456112806e-05,9.736104256341527e-05,1.1003024982469967e-05,3.934297831320599e-05,6.593246225428118e-06,2.6456804800067957e-05,1.0005874417684524e-05,3.301303830127722e-05,1.9267554771440487e-05,2.9087593582666216e-06,1.9944571882923867e-07,4.74456296384318e-06,1.9122603522880866e-07,1.8729296042963028e-06,3.5477402571260086e-08,3.404156748931797e-06,3.2998603449740926e-07,3.993033739480012e-05,9.189466412706793e-06,5.313164278764049e-06,8.761326044659512e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328216500470203,4.385360253264033,0.007948281108510064,0.002997964817964216,0.025373709630081093,0.048366409327758486,0.0029077342962917363,0.00011114279291968288,0.0007668006173390529,0.00011019234053821769,2.2692278115021836e-05,5.809340384960171e-05,4.5567006441843416e-05,2.849190433451554e-05,1.3138850332244933e-05,2.2704061655165475e-06,7.20979205953709e-06,1.8359376019461138e-07,8.04500914713957e-06,3.735280795780227e-08,1.0336230116619882e-05,1.0553391005529988e-07,0.0006433771584883341,0.0004611329317993351,7.939023320213678e-05,1.1965788700218916e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5722468072550118,0.003947810303391974,0.001431747552699196,0.009465743146544324,0.012409452500097395,0.0009931648145471705,3.064056820079042e-05,0.00023534363227446092,5.365990066796833e-05,1.195712186907727e-05,2.9068526973333175e-05,2.8054618597866954e-05,1.314035935562341e-05,6.489798928283053e-06,2.3870694978445073e-06,3.11904671655705e-06,5.3872030614243727e-08,3.849783164061593e-06,3.7470297198360925e-08,4.918563831335376e-06,6.141316266639052e-08,0.0003695148684721705,0.00020525774047891465,2.763797197141704e-05,9.982416669052085e-06
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01706037357256253,0.004701786809353112,0.17134644431037166,0.3964927445896127,0.016540284257859736,0.0002887519415357698,0.004115601816362516,0.000594322006926995,0.0001468717721496704,0.0003115669954060901,0.00017573488564509576,1.3224803684486197e-05,6.913913370089342e-05,1.3191061872586118e-05,2.3131439819759625e-05,4.273658391618085e-07,4.469383406764671e-05,2.4360364814235425e-07,5.5090563705714746e-05,3.06567093821819e-07,0.003547575079718146,0.0022718152134223873,0.0003349618875772703,3.737220727695334e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.916756163125062,3.6021663309533714,0.14010759372982973,0.28221180823435854,0.028938354759966645,0.03201127301807763,0.0028959970318993555,0.010582104781655888,0.003820459363619133,0.011222915885506335,0.014567716014203258,0.0006333304102769666,4.394870126533945e-05,0.001379555571501767,3.62593530833788e-05,0.00047624296215784123,9.314955764727628e-06,0.0005310194395573564,5.6687883283501606e-05,0.028978670390602812,0.004220997970774604,0.005651293374630495,0.0012781442606993876
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5219452634396115,0.02102296910710577,0.05604637935913323,0.016727420063685883,0.05266513391585166,0.0023750003612128534,0.06649630732431189,0.005832781631093159,0.01163516382036349,0.024628607555544635,0.0012171130160227583,0.00015165839438147088,0.0013295454925925931,0.00010746329045607794,0.0002142954037054473,1.859936092674097e-05,0.0005310279272462137,5.529587938113423e-05,0.004559853783787315,0.0019379922981716674,0.00090261431137037,0.0002568694486961842
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.664667122816769,2.6247714472015296,0.09903846561836993,0.16123271144349743,0.022980129889836,0.005731181233199378,0.018051779953979663,0.012951814677217177,0.0018053469245469245,0.003011816451875149,0.0001333604940794153,0.002427991355492043,2.7118672627057805e-05,0.001715413790794984,6.314493840697821e-06,0.000981877290994887,4.92404861929252e-06,0.18238640904416872,0.031231382680727074,0.026454875845521142,0.004958665390767947
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09274558454964621,0.003787720619625512,0.017109793752782987,0.0010821295919869467,0.0003293054805695306,0.0006534679407783628,0.0003173600118374642,2.0373215651403598e-05,0.00021924503612957835,8.310444266745876e-06,3.0168694026277976e-05,7.983608818484811e-08,4.763012836006553e-05,1.6757844800707744e-07,0.00013878208272644077,4.493038168185137e-07,0.018360705628954865,0.01496306224663968,0.0027363569755993744,7.504767556687497e-05
