,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22C,23H,24C,25H,26C,27H,28C,29H,30C,31H,32C,33O,34O,35H
1N,0.0,1.0226865561296463,1.0225676300880402,1.472767304422327,2.0924970615133995,2.476915649767196,2.5246194643843736,2.8836641741646503,3.8872873706661966,4.7966891975406165,4.291644881072816,2.4945487293114765,2.7646235794639358,3.692357612002427,3.898975268019424,4.936072404214384,5.184113741930367,5.426601882018376,6.450393335648151,4.941028997674134,5.701076034232746,5.010584032448656,4.076844642521354,6.990134136957956,7.678362783342174,5.8259273312838795,5.678506560877655,7.600364550074809,8.644338930410203,7.094509186679298,7.839123937985579,6.115844178585374,6.351236544898962,7.231739368216658,7.945890511915764
2H,0.0,0.0,1.598498050354806,2.029731168081939,2.3713215867476682,3.352419125528512,3.4988341615530647,3.7685451528049425,4.641961723806209,5.652949401776365,4.823139516345069,2.634854098753093,2.712332432926915,3.805459861341537,4.174770393868311,4.968698502138818,5.349173134910389,5.1807115688139245,6.236867698887416,4.6591239854969,5.247481315383383,4.368435333434098,3.392843959980599,6.533796405759281,7.319620677260699,5.072402939877482,4.821373304682227,7.02866138289783,8.090641031529968,6.398449079304796,7.0959857525602095,6.17941533622972,6.40034530920957,7.321418917041815,8.040022740077843
3H,0.0,0.0,0.0,2.0146069027896587,2.914099347285207,2.7142359035501036,2.82464085758632,2.7118442430617136,4.244447649868749,5.06552887073431,4.7722197321134,2.601359520793959,2.482984960581951,3.9226828951210133,4.276795965931928,4.981677144100349,5.032131441032086,5.412961355930326,6.361626557427679,4.773187267405654,5.899614524764437,5.3163375879622325,4.3181247861449235,7.254146987296277,7.878874689585975,6.272827047022842,6.18759038577693,7.986061416294927,9.046457313589336,7.561497009182123,8.36956921100597,6.293966506732738,6.707082265105541,7.277896714224126,8.069086376065938
4C,0.0,0.0,0.0,0.0,1.0960968642117264,1.5434620887860604,2.1438737334795985,2.182465462254973,2.656145148669127,3.7446700437901423,2.87434554795731,1.5453093137362384,2.431595450234917,2.440509830677342,2.4615966703507217,3.8007002497342794,4.114260476391622,4.599065399515789,5.59946196089607,4.359174884189988,4.957558717096882,4.540420752484395,3.808135742646009,6.156675437069266,6.7320557478393885,5.461634288041221,5.551282027467401,6.868492206797752,7.857654960166345,6.570570922498798,7.3884127150319365,4.819926051205377,4.994569555428022,5.973045361063848,6.6260833476115
5H,0.0,0.0,0.0,0.0,0.0,2.1428717112357165,2.5833285432440802,3.0499159002873233,2.7365226487666146,3.874165799921568,2.6205857475412198,2.156832024323914,3.194366263024705,2.601170042230702,2.3725001525902143,4.041906720910429,4.58633989279765,4.8303986462192965,5.8637474982821844,4.780385604568066,4.897179974295635,4.386378164517955,3.8149844956667285,5.955592707916961,6.592683639787532,5.089713942387499,5.130510998304313,6.495294862841069,7.44030824711223,6.118053208318908,6.845406310097576,4.81025227566914,4.722429142121296,6.086294323895422,6.619324287859637
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096128464284861,1.1010961269932205,1.5701763507614037,2.3792043398120644,2.433193495198924,2.545879992845874,3.4055424351656716,3.1060410269970595,2.7637692528394764,4.332402339488637,4.374398494139738,5.468313044450605,6.334841926328053,5.296437939465973,6.071555949383278,5.888473922689887,5.2283857360667225,7.1980663827901035,7.6088602392311335,6.868224183444418,7.03478425477611,8.023167108631561,8.952367240769453,7.880209801198243,8.722074834749096,5.162068308500997,5.342649467755133,6.177353281721079,6.778826424521119
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7540484300728159,2.1670366803538856,2.5787400851083775,3.1812258981184174,3.451245561211786,4.1992906907369365,4.1333109888555235,3.7588657404430825,5.407008554981711,5.456877475179547,6.4815830220532735,7.381207747091757,6.248342919078402,7.002147362888003,6.673741441774865,5.948351358089861,8.144158736907986,8.61490334208051,7.555342196165692,7.588893363978595,8.884906349628835,9.82648550272257,8.62328111461658,9.400679186200806,6.227716136044576,6.332697252080284,7.263589140291071,7.842041952424897
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1827261887294727,2.716006347471304,3.096982312917253,2.685370638477322,3.24014108108924,3.332417891589155,3.2008487769,4.299963004852638,4.0695158584925,5.422495608760805,6.184847635100433,5.1358715861933275,6.265940786211813,6.2132874526132476,5.507343823052531,7.4445104271465015,7.767720245294601,7.3327769341548565,7.565941596633401,8.405135127674574,9.344485616131376,8.359365186291864,9.270097497391461,5.254697967963412,5.657087965202441,6.0848365593935405,6.770004567645366
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2428738426527521,1.2765837540344762,3.335389121237358,4.415004509597211,3.240080211139283,2.445654469734282,4.33720138566288,4.43928340735047,5.728020876730661,6.488224446337735,5.842758027474915,6.297222163204073,6.335806517110625,5.911654544958669,7.202284888214294,7.474385629011799,7.2508069267945245,7.548829203754713,8.022290758590243,8.83083242843878,8.0472175804705,8.87038511088896,4.70291960805155,4.660018346916097,5.687908842006796,6.102811030762739
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263545132344536,4.483338066381836,5.474726208644237,4.407052624352876,3.6056265395998675,5.374058951894914,5.325777174568256,6.827656316044888,7.510961473758172,6.935496306378512,7.480890477324526,7.570842086346595,7.1383842919649485,8.349779464914006,8.548327885878713,8.489689902173117,8.781833615140503,9.194152358825347,9.965906246682286,9.261114160136778,10.075073983688743,5.624804152673943,5.573064756131869,6.460536460027527,6.808380766902213
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.209957975808601,4.4118734196563,2.6549323431414193,1.6341291669486746,3.695032181467742,4.04509704645201,5.090652867876311,5.833978658686879,5.416187911126345,5.489680160285382,5.623841646785982,5.3967753863385175,6.234801657005703,6.4842086490305455,6.453773256752487,6.84767493260078,6.995647211047947,7.738002446545373,7.0973746679452585,7.9007687701047855,3.778571413346158,3.523299272611882,4.874824608695127,5.184628882600415
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.242893499548622,1.3554262039758032,2.02010407520829,2.445483048847004,2.7651136173002544,3.110206903341458,4.089226617047313,2.8432132162863133,3.6888988174459154,3.534400068942722,2.8642400404826054,4.956545183949476,5.454677086527825,4.708957431422271,5.038821206165932,5.856312073161549,6.855236335097662,5.7568956110970335,6.702554787110913,3.7134266767485715,4.16450817657105,4.766417686668928,5.525423537546834
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3007996202297925,3.170783667473735,2.836650027371803,2.920128047807,2.993638284140113,3.8967022116855854,2.3088516063362636,3.7265434155215047,3.533714250329061,2.6945302625358076,5.1022401745691015,5.607631351971149,4.801734665056608,5.10289230569814,6.05397387265949,7.089826674931467,5.933641337860521,6.905210399024971,4.315044430924959,4.981379918654124,5.159468098954022,6.025867922903208
