 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,C32,O33,N34,H35,H36,C37,O38,O39,H40
N1,0.0,1.9738223261582175,1.88273342881446,2.6803260771933677,0.09587089230130896,0.1860059665429304,0.027230696216603012,0.010934696660339971,0.018881355386618087,0.015077219283001528,0.008669696087552636,0.0032838969531916173,0.0001979741837849769,0.002395767279619501,5.3860958741713816e-05,0.0017071428637824154,7.923224282668784e-06,0.0015930193649730667,3.6296501599419884e-05,0.2058440294721984,0.040370576403740685,0.048508988849848694,0.0598782992698762,0.006329606237273605,0.001607286312131695,0.000782408802147222,4.5375518908263857e-05,0.00015471145280654408,0.0006250943128555259,9.874084105343517e-05,0.00013561508391612964,0.004987027253435167,0.012663804270334159,0.0006012944080208416,4.152512163835276e-05,0.0002891882080666708,0.00044358871736016603,8.723661848872993e-05,0.00014688247705288426,3.594807908025022e-05
H2,0.0,0.0,0.02786100872855246,0.10765170769821375,0.00837470164974774,0.030941666105272825,0.001645667157617714,0.0005550650317116546,0.0020341445660962965,0.0008607907863871223,0.00020466933015916844,0.0001914219266165862,1.27994952323629e-05,0.00026858108005867187,1.2613980122644364e-06,0.00034013735828286595,7.411651883337811e-07,5.988384672439562e-05,3.0398808328335747e-06,0.004229803793310616,0.0011966391498094975,0.00645187049279583,0.008337517268522276,0.0008048567807382723,0.0004187059675251348,5.323776270660385e-05,9.335677908728357e-06,1.1527297485880439e-05,1.2743947840010428e-05,2.2289369965289296e-06,3.596471703781745e-06,0.0002497406829780058,0.0004088790157164013,5.225080358317591e-05,4.432869509463089e-06,4.130042716665727e-05,5.7350998808880504e-05,7.121282976163545e-05,2.0502021404689152e-05,2.849123800663378e-06
H3,0.0,0.0,0.0,0.10173006014455055,0.03383163368438091,0.005733563926405338,0.0001613937416926614,0.00010467889964305144,0.008685771414470467,0.012214872798746668,0.0012632825478942067,0.0006769197975668995,3.438476214867592e-06,0.0012291940136485158,5.0396852973033646e-06,0.0011808089377747244,1.2647772906770882e-06,0.001032324720856903,1.0719936478498227e-06,0.00803324198872657,0.0012855847260253572,0.009610965714751396,0.010252418560154464,0.0008470126199587868,0.00011477645129165381,0.00019264822304609908,3.473344549886903e-05,1.8653486039355016e-05,0.00240949339476082,0.00028063572097081213,0.00023085193495475664,0.011570559052019536,0.0415402738718722,0.0007641981098559514,4.629568660652339e-05,0.0007804114979435006,0.00034601865181149716,2.7318762657602136e-05,8.0810584728086e-05,2.956744624671437e-05
C4,0.0,0.0,0.0,0.0,1.7928537795659287,2.6933668650637985,0.09166764572268127,0.08938203763036268,0.16278437745614857,0.03405170809055938,0.001106950050572042,0.03439326351220842,0.0005421292454561577,0.0035891322457128616,0.00018155051848234294,0.003965776715863262,0.00018443807513635058,0.013119713008290013,2.9253259882011662e-05,2.667219176974971,0.2844426484670813,0.22200787174598738,0.012885890082550366,0.03683813686760998,0.004371206740139577,0.004187059381663333,0.0001306690298836788,0.001369440503378172,0.0003286476979983133,2.3146171366006385e-05,2.7853381572295888e-05,0.0007798403334207116,0.0013904748964662234,0.00019863317677842884,3.1477422438808134e-05,7.180403398310276e-05,0.0033062331867140804,0.0004636401212027852,0.0008114766948016661,0.00015670456015903778
H5,0.0,0.0,0.0,0.0,0.0,0.09331840021244808,0.005248049290020429,0.006587849372296617,0.024382544972320397,0.0031762476956145314,0.00016755558860226394,0.003389135834730106,0.00010350904040268283,0.0005187447385432975,4.352256113460129e-05,0.0005398335938662235,3.484917775509189e-05,0.001017791452761374,2.7665763295825485e-06,0.11184803120777409,0.02153177347005042,0.021184678386982903,0.0003851433808459426,0.0019282859247804485,0.00022909820555061522,8.469927092458196e-05,1.2552702028933993e-06,2.753724495097032e-06,4.725273348182846e-05,3.250391463982538e-06,1.1715765691144853e-05,0.00032740643759909815,0.00041743521869441746,2.8282694604087055e-05,1.9781855498113288e-06,2.3255979310965458e-05,0.0010402748763320702,0.00015929973906958494,0.00017577037040272803,5.891644786659711e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6460219674344376,2.0560562424913726,2.581057508021488,0.2349155996110639,0.014400757184106716,0.2326118242437527,0.014023208882846583,0.03437128705245282,0.002603483873676149,0.03516994232110919,0.002536285367581881,0.020422205224890008,0.0004918495560952696,0.17735680004320806,0.04699545257607439,0.02910085756988115,0.002340131500110032,0.004448285936755114,0.00023574914511181877,0.0011778076477604177,2.9571774375125592e-05,0.00021119545281234053,7.856298570051157e-05,1.2354898895061694e-05,1.0817733629542303e-05,0.00023181661057744551,0.0001467546845224238,0.00015590148521588132,5.618734648371593e-05,4.336178820196768e-05,0.000684238558211897,8.065663117132194e-05,9.10108183600905e-05,1.282412982650527e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02528048747281675,0.0971957966697804,0.026291391355821148,0.0006710584659221919,0.017635425565461715,0.005397318232476689,0.0028954798232456724,0.0006515360114154323,0.0017545736655486532,5.9166930829412934e-05,0.0030619941550233953,2.062405561997771e-05,0.012135226755148887,0.02392597402756136,0.0022608356421736087,2.5411207108749778e-05,0.00022710273140336135,2.0985895262226606e-05,3.675793954927009e-05,8.154820646533167e-06,4.048659867139648e-06,2.789362145705354e-06,1.2762105772168297e-06,6.511181387391929e-07,1.8903226137068074e-05,2.015614854711245e-05,1.6068912957911685e-05,6.119652202318804e-06,2.7488049834101247e-06,1.2023471370303795e-05,2.276005133583503e-06,1.3613812928081614e-06,5.612119791109649e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10047314763847526,0.017432967018945145,0.005592697637132105,0.026746957522117754,0.0006754927511427589,0.001667533273005839,5.006821818831497e-05,0.002857060211687301,0.0006702970693823751,0.003503942269756144,2.215410422889974e-05,0.027147754369195143,0.004441668492144113,0.0037030960077477637,0.00017359712328257615,0.0009686495460741185,3.8156706407610486e-05,0.0001545494808814496,3.0889956883495273e-06,4.570575182216707e-05,8.174890139378554e-06,5.331722108259385e-07,3.0166230780004355e-06,1.9001899280279844e-05,5.380913489339001e-06,1.7697988728637704e-05,5.992782124986107e-06,5.2886017378739325e-06,4.193833151489024e-05,6.587357330611887e-06,1.3765118889841332e-05,2.6213216730575084e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.680406546761154,0.1237951411638627,3.8172481127885094,0.1252037827581256,0.32466181077002654,0.02625959476247952,0.329964330196622,0.026314885217904482,0.3013466196048232,0.003928787708871173,0.017111147242426294,0.005079203009374561,0.00228285450129595,7.917377254096358e-05,0.0003507687821745209,4.1551712988807665e-05,7.318781843265731e-05,4.5696906436631934e-06,1.254834186392717e-05,0.00011815946462932769,1.9567443314771893e-05,8.649196724230812e-05,0.0011213861052695728,0.00018650556437660448,0.0021948429421543153,0.0008782622161389586,0.0006684566787303892,0.00010407070273021901,2.0168426970709752e-05,1.6752929275359874e-05,4.162107954286398e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.081523537617729,0.33109087544202054,0.02797266227431261,3.5966023410419248,0.12715691901047133,0.31061879188745095,0.003498781776934523,0.33030484884376027,0.026826225834000184,0.002789030697348177,0.0007315046615461521,0.0003731081170093159,0.00010452244170289227,7.912443450210083e-05,1.434755799711862e-05,5.554812896493844e-05,3.4479149010335775e-06,1.8804806605210445e-06,0.000235709947502466,9.070778201891727e-06,3.303028794765517e-05,0.0008171801595447115,0.0003312099074310182,0.005098377543610838,0.0025030163039688746,0.010816302185940874,8.783644265764057e-06,4.282562694198078e-06,2.627334852803309e-06,5.984432043248944e-07
