,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31H,32C,33O,34N,35H,36H,37C,38O,39O,40H
1N,0.0,1.0169979968058724,1.0181374618139973,1.4608210088197677,2.0648475234028285,2.483862542168156,3.398007734235743,2.6876904270265376,3.072915438168013,3.318367830675893,3.0346981117173173,4.15247034983166,4.5012433909051035,4.506339899805653,5.072108045454895,5.153440774659824,6.073575991928656,5.308318282343965,6.304758347667027,2.581946507956408,3.707383005618433,2.8324255058204537,2.3890978513618806,4.266345915561702,4.786273252994134,4.937502840311719,4.8379257560567215,5.994725589125959,4.9732827562473405,5.923639943340353,5.272404061341664,4.007491872884265,3.4366997460257442,4.421736892075081,4.9595736674922755,4.108401943743192,5.03105024373433,4.8475399987401495,6.332328633524189,6.870543522190131
2H,0.0,0.0,1.6434533836359075,2.0664313705695254,2.3051153080237308,3.3678312233974186,4.166257284437202,3.5353451765888266,4.063973768313731,4.310606575336432,3.9683670223025835,5.066918326330906,5.3215446103475506,5.449660311342679,5.958741487820804,6.067785406668111,6.9442297660701655,6.239811101707175,7.208668022131487,2.90364141439663,4.068451728281838,2.872751152522075,2.2630149646734354,4.221549121411563,4.921970541711296,4.859660995520074,4.571391470216934,5.889824511662496,5.144674724602869,6.048464508889837,5.601900994549426,4.26549155645912,3.4744702315503835,4.923836344389477,5.558615183882085,4.687645926854614,4.73103318423414,4.35036958237824,6.078002438095861,6.510044133375989
3H,0.0,0.0,0.0,2.079391852779005,2.940302034184077,2.8478316842178684,3.8140321656423537,3.202762110045244,2.914942092039955,2.9494350700559195,2.8150895307795394,3.865542857548802,4.3581597270336125,3.920090749878355,4.44791346695348,4.651173099761967,5.565517285200818,4.68250780621541,5.610233882836463,2.805497877931288,3.9608196738203514,2.7397486486772262,2.1557460680864926,4.082212926079118,4.610743540714929,4.471856898309157,4.378438701708041,5.559423796441321,4.264988682731528,5.150001685597326,4.610873679323392,3.128683217557872,2.58993232650708,3.4655690790781706,4.081387313336077,3.1198957942315686,5.074797743271187,5.079026959184332,6.317280241461882,6.951866762754456
4C,0.0,0.0,0.0,0.0,1.0981235922508026,1.5505742005350358,2.145767642358555,2.142256061893731,2.589948485079684,3.425254483601634,3.4500894533083715,3.462315324332881,3.5110003891450297,4.682002365587769,5.477309303358312,4.7094918168806466,5.520371617886855,5.218418321490276,6.281435523617204,1.5491356043973963,2.429337542578764,2.4668915088252477,2.588082782280286,3.835425058863967,4.083370101986577,4.876252944833269,5.049759126051195,5.832376434225557,5.018217098705115,6.080145252760707,5.059667786262812,4.399133890979595,4.162003802468334,4.784807323653069,5.060196760003998,4.662275728458828,4.562322540128075,4.4795974458641,5.776158361058025,6.323260503473851
5H,0.0,0.0,0.0,0.0,0.0,2.1312959309762465,2.411483311173021,2.38600379765871,3.4827054079624333,4.318464900780446,4.194736839432964,4.361541133354125,4.269888052018382,5.643367131191358,6.405575685430668,5.676476555193487,6.4585377850658565,6.223522474842968,7.299745253566876,2.1118367444089294,2.7273297247957213,3.082509942806637,3.2391290686727148,4.355084533700347,4.626362201026492,5.546727520225867,5.6542003610437135,6.442967718026117,5.906204326702848,6.97229438312219,5.974547172698286,5.377095149476437,5.032705446660189,5.856297142127049,6.143665052992299,5.732522304516042,4.74616592547573,4.4259679833509535,5.96789754765131,6.368149031217676
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0936376699226715,1.0950388756173366,1.5157830517053958,2.540728497972778,2.7330865771772124,2.5399881035360328,2.73053895508045,3.829799797158186,4.694989398829198,3.828189373537276,4.693061273959455,4.338778848236696,5.425763902345019,2.531767138082947,2.9079029146565145,3.6304050410369357,3.8584735775318726,4.870710800561273,4.833826245216632,5.860397448204044,6.201822183018006,6.785167721117088,5.685296115503039,6.729591812979938,5.484006929864248,5.00623292162554,5.021472946405309,4.981226006677409,5.042036163373157,4.736258914961192,5.781943640876508,5.8606579491872,6.868223897319099,7.490219608098974
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7728348023340457,2.145914388010128,3.384096888191249,3.711356820848968,2.663506920362912,2.4529124262904505,4.544036527485593,5.485493621772522,4.033587688708198,4.720739786470468,4.807154030483538,5.870075900385315,2.66444510728384,2.551324942333762,3.9547496617851823,4.416204733068238,5.008859109477491,4.7768031807126565,6.168796812082877,6.636603403693251,6.985869584342638,6.093640345936617,7.162811730541597,5.748154515942595,5.65401556722976,5.792128155893002,5.657786443653031,5.570201801643573,5.544083539202835,5.808679625363304,5.932177448312265,6.772978309315399,7.364687460582343
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1454315935247417,2.678601182092931,2.4829274842017557,3.3705013247211655,3.6900044020750538,4.0435879791121945,4.736836292611309,4.531003753101218,5.467150643506637,4.804694288311342,5.86698589183441,3.4530269462025163,3.885580025881348,4.50104815109918,4.575503558734378,5.822811099819068,5.872010782046408,6.78450676671453,7.018012776108195,7.749382092787854,6.608207202051429,7.628537733366804,6.480286971368335,5.775782823464565,5.642976707982892,5.694543970875394,5.836776420329939,5.286048136409818,6.647473727377961,6.58260480059241,7.796012527599271,8.361787132673866
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4044316392613894,2.153558644451667,1.4042602319976767,2.152298029967645,2.439058807679212,3.419923167533524,2.437419968627947,3.418218275495973,2.8235370747965405,3.9108452505741877,3.159671356198897,3.5435017216454052,3.9367755275569034,4.1015461735580905,5.036621188752355,4.906920468322357,5.716464920029922,6.14826791013877,6.6356410822675365,5.151078667908776,6.0973572632403865,4.836201230670689,4.37011163636371,4.6430997931005775,3.9758277373069877,3.8952721696603363,3.6753933264441656,6.246086980145081,6.556947799644883,7.235692211134971,7.991930339731052
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873230687008355,2.4109086364279735,3.3949813216932396,1.397878248538069,2.1556848918306266,2.7874165607872037,3.8752471955477916,2.4234499011209327,3.409881624728703,4.232576722833439,4.82986894043454,4.756736518566789,4.6453521644108395,5.914977405383948,5.935067837026071,6.332325939720955,6.616740985174134,7.31344864204187,5.572114055648241,6.386680855606384,5.400285655989742,4.478646091085041,4.635448818252831,3.8350182742620498,3.9108856948415336,3.2074854021640045,7.181723500445465,7.445586990721516,8.229963763866476,8.99893628634188
